,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2082387,304,3.2346934003496504,left,fixation,1.0,,1541.7159350649401,840.7207922077921,,,,,0.0,,
1,2082387,304,3.2346934003496504,right,fixation,,1.0,1484.2768831168805,859.8257922077928,,,,,0.0,,
2,2082695,56,,right,saccade,,1.0,,,1478.37,855.3910000000003,452.36300000000006,206.218,,,
3,2082695,64,,left,saccade,1.0,,,,1536.588,836.028,418.871,178.15200000000004,,,
4,2082819,744,3.177691313555725,right,fixation,,2.0,477.445320855615,196.174,,,,,2.0,10.882824320500603,29.79465172877974
5,2082823,364,3.208273730472861,left,fixation,2.0,,426.865576086957,237.342358695652,,,,,1.0,9.53090186504462,31.14790228891829
6,2083191,32,,left,saccade,2.0,,,,394.017,243.553,483.675,185.796,,,
7,2083227,324,3.1567839506172835,left,fixation,3.0,,487.6925,115.385073170732,,,,,0.0,,
8,2083555,20,,left,saccade,3.0,,,,496.61,147.1,462.526,213.678,,,
9,2083567,4,,right,saccade,,2.0,,,505.814,215.236,505.228,216.438,,,
10,2083575,324,3.037560975609756,right,fixation,,3.0,496.307707317073,275.060926829268,,,,,0.0,,
11,2083579,320,3.036802469135803,left,fixation,4.0,,475.841864197531,268.074592592593,,,,,0.0,,
12,2083903,36,,left,saccade,4.0,,,,474.69199999999995,260.486,882.931,276.783,,,
13,2083903,40,,right,saccade,,3.0,,,500.76099999999997,278.553,905.7719999999999,269.775,,,
14,2083943,0,,left,fixation,5.0,,889.65,280.749,,,,,0.0,,
15,2083947,0,,left,saccade,5.0,,,,896.547,281.483,896.547,281.483,,,
16,2083947,204,3.05458,right,fixation,,4.0,914.921807692308,261.317057692308,,,,,0.0,,
17,2083951,204,3.0542599999999998,left,fixation,6.0,,916.673134615384,304.524365384615,,,,,0.0,,
18,2084155,40,,right,saccade,,4.0,,,907.308,274.043,549.35,171.47400000000005,,,
19,2084159,36,,left,saccade,6.0,,,,915.775,314.082,543.232,186.662,,,
20,2084199,320,3.07779375,left,fixation,7.0,,520.049827160494,166.471222222222,,,,,0.0,,
21,2084199,320,3.07779375,right,fixation,,5.0,525.132987654321,180.153395061728,,,,,0.0,,
22,2084523,56,,left,saccade,7.0,,,,531.408,162.001,1462.1989999999994,281.254,,,
23,2084523,60,,right,saccade,,5.0,,,523.59,175.888,1409.7720000000006,246.548,,,
24,2084583,180,3.099032608695652,left,fixation,8.0,,1473.4328043478301,283.908413043478,,,,,1.0,6.552703258961136,14.321084944933428
25,2084587,176,3.099188888888889,right,fixation,,6.0,1426.55653333333,280.14015555555596,,,,,0.0,,
26,2084767,32,,left,saccade,8.0,,,,1453.4589999999994,286.599,1045.941,244.38400000000001,,,
27,2084767,36,,right,saccade,,6.0,,,1427.021,277.747,1049.799,260.879,,,
28,2084803,144,3.1017083333333333,left,fixation,9.0,,1025.06175675676,249.77829729729697,,,,,0.0,,
29,2084807,136,3.1013823529411764,right,fixation,,7.0,1030.26962857143,274.816371428571,,,,,0.0,,
30,2084947,20,,right,saccade,,7.0,,,1019.9730000000001,288.467,927.7739999999999,287.655,,,
31,2084951,12,,left,saccade,9.0,,,,1006.196,251.86900000000003,945.038,255.38099999999997,,,
32,2084967,152,3.0840263157894734,left,fixation,10.0,,922.657307692308,268.290461538461,,,,,0.0,,
33,2084971,148,3.0835540540540536,right,fixation,,8.0,905.036421052632,284.863684210526,,,,,0.0,,
34,2085123,24,,left,saccade,10.0,,,,925.694,279.812,765.576,278.157,,,
35,2085123,28,,right,saccade,,8.0,,,906.816,277.953,715.794,263.33,,,
36,2085151,164,3.1162142857142863,left,fixation,11.0,,729.5249047619051,228.191476190476,,,,,1.0,9.62962707539141,16.92522924512398
37,2085155,164,3.1175000000000006,right,fixation,,9.0,692.3903333333328,218.02314285714297,,,,,1.0,8.164097032808414,18.55172471766439
38,2085319,28,,left,saccade,11.0,,,,713.181,199.13,460.606,210.638,,,
39,2085323,28,,right,saccade,,9.0,,,687.512,217.77599999999998,481.842,226.738,,,
40,2085351,436,3.078926605504588,left,fixation,12.0,,455.863163636364,238.103909090909,,,,,1.0,7.220769728513861,16.26145036581909
41,2085355,424,3.0789669811320755,right,fixation,,10.0,468.55308411214895,240.23357943925203,,,,,0.0,,
42,2085783,24,,right,saccade,,10.0,,,487.47,270.303,463.54900000000004,367.074,,,
43,2085791,40,,left,saccade,12.0,,,,444.022,229.64700000000002,417.99300000000005,390.376,,,
44,2085811,1604,3.077419368246052,right,fixation,,11.0,480.08755721393095,398.53221393034795,,,,,3.0,8.190373708602142,22.56124698901239
45,2085915,744,3.1037553763440866,left,fixation,13.0,,488.68564705882403,371.272165775401,,,,,2.0,11.279106752782454,36.1265557731725
46,2086663,8,,left,saccade,13.0,,,,490.45099999999996,354.441,466.205,352.78,,,
47,2086675,740,3.051683783783784,left,fixation,14.0,,460.061005376344,395.732451612903,,,,,2.0,7.478475923531545,24.90765600341209
48,2087419,44,,left,saccade,14.0,,,,466.839,427.849,980.329,477.527,,,
49,2087419,44,,right,saccade,,11.0,,,474.10900000000004,491.195,1006.08,490.82599999999996,,,
50,2087467,104,3.086538461538461,left,fixation,15.0,,1006.2847777777803,483.417296296296,,,,,0.0,,
51,2087467,128,3.08728125,right,fixation,,12.0,999.8326060606059,509.545393939394,,,,,0.0,,
52,2087575,8,,left,saccade,15.0,,,,1000.5,457.779,965.0369999999999,463.27099999999996,,,
53,2087587,172,3.0864767441860463,left,fixation,16.0,,950.181681818182,491.265636363636,,,,,2.0,8.683530677249653,35.36735777731066
54,2087599,4,,right,saccade,,12.0,,,975.552,466.43699999999995,965.547,463.869,,,
55,2087607,152,3.0844736842105265,right,fixation,,13.0,947.678641025641,470.869487179487,,,,,2.0,6.338000061927342,24.106430139306546
56,2087763,24,,left,saccade,16.0,,,,947.398,477.793,1164.136,502.824,,,
57,2087763,24,,right,saccade,,13.0,,,964.332,473.43699999999995,1165.215,487.281,,,
58,2087791,252,3.0451746031746034,left,fixation,17.0,,1180.6896875,499.549078125,,,,,3.0,7.612286870228728,17.630559264656988
59,2087791,256,3.04496875,right,fixation,,14.0,1182.64304615385,491.88067692307686,,,,,0.0,,
60,2088047,32,,left,saccade,17.0,,,,1175.437,486.475,1432.6979999999999,489.514,,,
61,2088051,24,,right,saccade,,14.0,,,1184.757,503.901,1387.7520000000006,507.97900000000004,,,
62,2088079,416,3.0277115384615385,right,fixation,,15.0,1391.0010952380999,520.967419047619,,,,,1.0,9.250805910838274,25.13364551751299
63,2088083,412,3.0275048543689316,left,fixation,18.0,,1426.56434615385,508.56926923076895,,,,,0.0,,
64,2088499,60,,left,saccade,18.0,,,,1430.89,518.183,599.134,405.92699999999996,,,
65,2088499,60,,right,saccade,,15.0,,,1387.122,537.164,592.31,440.68800000000016,,,
66,2088563,124,3.1039375,right,fixation,,16.0,582.486,445.00421875,,,,,0.0,,
67,2088563,1212,3.0814796940928275,left,fixation,19.0,,470.683907894737,367.2048421052629,,,,,4.0,10.947080860741803,33.133809842903965
68,2088691,40,,right,saccade,,16.0,,,568.571,438.18300000000005,538.616,396.96,,,
69,2088755,744,3.0767750102082485,right,fixation,,17.0,472.132748663101,380.308176470588,,,,,2.0,61.885799459046524,27.57696864502403
70,2089503,16,,right,saccade,,17.0,,,391.411,397.577,378.959,348.20099999999996,,,
71,2089523,248,3.0847580645161288,right,fixation,,18.0,368.17253968254,356.422507936508,,,,,0.0,,
72,2089775,20,,right,saccade,,18.0,,,430.564,402.061,512.452,406.538,,,
73,2089779,20,,left,saccade,19.0,,,,398.76199999999994,345.189,505.851,344.12800000000016,,,
74,2089799,135,3.0413942428035043,right,fixation,,19.0,510.5292,371.309685714286,,,,,0.0,,
75,2089803,135,3.0411134751773052,left,fixation,20.0,,518.7452,356.081771428571,,,,,0.0,,
76,2089938,44,,right,saccade,,19.0,,,506.67699999999996,358.93199999999996,521.467,298.586,,,
77,2089942,40,,left,saccade,20.0,,,,527.418,363.35699999999997,520.3530000000002,331.01800000000014,,,
78,2090058,376,3.0207642688280982,left,fixation,21.0,,519.010178947368,367.39591578947403,,,,,0.0,,
79,2090058,728,3.0309595956037763,right,fixation,,20.0,476.67667759562795,353.433196721312,,,,,3.0,12.220176104217234,37.32003003714299
80,2090438,0,,left,saccade,21.0,,,,506.76800000000003,387.728,506.76800000000003,387.728,,,
81,2090442,0,,left,fixation,22.0,,499.481,387.728,,,,,0.0,,
82,2090446,8,,left,saccade,22.0,,,,488.648,387.728,462.591,387.728,,,
83,2090458,328,3.0380884146341463,left,fixation,23.0,,390.190698795181,367.687096385542,,,,,0.0,,
84,2090790,20,,right,saccade,,20.0,,,422.24300000000005,370.536,523.851,353.911,,,
85,2090790,24,,left,saccade,23.0,,,,356.92800000000005,372.345,489.125,358.1,,,
86,2090814,256,2.999546875,right,fixation,,21.0,520.811676923077,371.146046153846,,,,,0.0,,
87,2090818,804,3.0250945273631844,left,fixation,24.0,,485.054356435643,360.012658415842,,,,,2.0,6.88802312461558,19.848925554168478
88,2091074,17,,right,saccade,,21.0,,,539.867,370.81199999999995,470.256,371.032,,,
89,2091095,523,3.0389038461538456,right,fixation,,22.0,470.51137878787904,366.330962121212,,,,,3.0,10.14373311492892,29.566986937211322
90,2091622,60,,right,saccade,,22.0,,,510.981,374.86199999999997,1389.525,518.495,,,
91,2091626,60,,left,saccade,24.0,,,,523.067,360.467,1441.154,516.721,,,
92,2091686,1072,3.0956830855018587,right,fixation,,23.0,1388.0678029739802,534.353055762082,,,,,0.0,,
93,2091690,837,3.1033447867298576,left,fixation,25.0,,1456.0522428571398,487.441028571428,,,,,8.0,8.883745313766402,26.198340147965713
94,2092531,12,,left,saccade,25.0,,,,1435.0539999999999,531.2180000000002,1453.713,485.995,,,
95,2092547,215,3.0711886792452834,left,fixation,26.0,,1427.4620363636402,478.41389090909104,,,,,3.0,173.26814691085949,26.71524707894905
96,2092762,68,,right,saccade,,23.0,,,1410.001,469.777,450.82300000000004,559.871,,,
97,2092766,68,,left,saccade,26.0,,,,1429.256,470.593,463.096,574.6569999999998,,,
98,2092834,312,3.0631666666666666,right,fixation,,24.0,419.83735443037995,600.14064556962,,,,,1.0,8.896363134887062,17.640209806008503
99,2092838,468,3.0598986156888586,left,fixation,27.0,,457.98631355932196,618.5802118644069,,,,,1.0,13.722301629099984,42.91528422368893
100,2093150,16,,right,saccade,,24.0,,,419.335,602.596,477.969,616.613,,,
101,2093170,132,3.0474865211810016,right,fixation,,25.0,490.6262058823529,610.178411764706,,,,,0.0,,
102,2093306,52,,right,saccade,,25.0,,,488.079,601.729,496.31,525.565,,,
103,2093310,44,,left,saccade,27.0,,,,512.256,636.746,475.12,453.38199999999995,,,
104,2093418,24,,right,fixation,,26.0,502.046,491.714428571429,,,,,0.0,,
105,2093422,48,,left,fixation,28.0,,474.352,486.119307692308,,,,,1.0,12.490813652218359,39.119168549446414
106,2093446,48,,right,saccade,,26.0,,,504.152,515.425,401.783,603.2330000000002,,,
107,2093474,20,,left,saccade,28.0,,,,479.526,508.773,375.199,529.3530000000002,,,
108,2093498,664,3.0455452574525745,right,fixation,,27.0,407.441574850299,588.527862275449,,,,,2.0,6.688497069913009,20.68594375000497
109,2093498,1028,3.0375991068361388,left,fixation,29.0,,443.246418604651,586.408717054264,,,,,2.0,9.813408706741402,27.004650584734048
110,2094166,12,,right,saccade,,27.0,,,425.64099999999996,579.2769999999998,474.043,579.02,,,
111,2094182,344,3.0240872093023263,right,fixation,,28.0,491.1049310344831,588.23875862069,,,,,0.0,,
112,2094530,32,,left,saccade,29.0,,,,497.93199999999996,587.096,806.221,685.8960000000002,,,
113,2094530,32,,right,saccade,,28.0,,,503.913,593.572,836.518,713.426,,,
114,2094566,160,3.117325,left,fixation,30.0,,844.450682926829,695.962024390244,,,,,0.0,,
115,2094566,160,3.117325,right,fixation,,29.0,847.3908780487799,725.683804878049,,,,,0.0,,
116,2094730,16,,right,saccade,,29.0,,,856.5139999999999,728.113,932.173,727.067,,,
117,2094730,20,,left,saccade,30.0,,,,832.959,698.3539999999997,951.465,706.22,,,
118,2094750,144,3.2045416666666666,right,fixation,,30.0,952.5474594594592,712.006621621622,,,,,0.0,,
119,2094754,144,3.206069444444444,left,fixation,31.0,,950.96327027027,698.117513513513,,,,,0.0,,
120,2094898,28,,right,saccade,,30.0,,,951.305,713.5060000000003,710.743,732.029,,,
121,2094902,24,,left,saccade,31.0,,,,949.447,699.308,700.745,718.327,,,
122,2094930,196,3.178734693877552,right,fixation,,31.0,694.0099799999997,765.12044,,,,,0.0,,
123,2094930,200,3.1788699999999994,left,fixation,32.0,,701.4563921568622,736.5225294117647,,,,,0.0,,
124,2095130,36,,right,saccade,,31.0,,,698.25,770.013,524.823,591.116,,,
125,2095134,28,,left,saccade,32.0,,,,708.7080000000003,746.615,533.869,595.789,,,
126,2095166,904,3.1041607929515425,left,fixation,33.0,,474.604770925111,602.769920704846,,,,,2.0,6.257185504964535,21.159778939874336
127,2095170,472,3.085453781512605,right,fixation,,32.0,495.8391680672271,567.883521008403,,,,,0.0,,
128,2095646,16,,right,saccade,,32.0,,,483.88699999999994,598.7669999999998,433.48199999999997,607.7,,,
129,2095666,400,3.1260300000000005,right,fixation,,33.0,414.11297029702996,592.782930693069,,,,,0.0,,
130,2096070,64,,right,saccade,,33.0,,,431.786,597.93,1125.0339999999999,728.145,,,
131,2096074,64,,left,saccade,33.0,,,,456.224,623.2280000000002,1150.83,727.1519999999997,,,
132,2096138,32,3.1719375,right,fixation,,34.0,1136.57488888889,737.588888888889,,,,,0.0,,
133,2096142,28,3.173357142857143,left,fixation,34.0,,1152.250125,731.283,,,,,0.0,,
134,2096174,24,,left,saccade,34.0,,,,1153.755,731.065,1355.099,716.436,,,
135,2096174,24,,right,saccade,,34.0,,,1145.6,743.812,1341.477,746.188,,,
136,2096202,112,3.1411481481481496,left,fixation,35.0,,1352.76482758621,730.310965517241,,,,,0.0,,
137,2096202,116,3.140821428571429,right,fixation,,35.0,1344.7338,738.002133333333,,,,,0.0,,
138,2096318,0,,left,saccade,35.0,,,,1356.489,742.9019999999997,1356.489,742.9019999999997,,,
139,2096322,0,,left,fixation,36.0,,1369.129,742.117,,,,,0.0,,
140,2096322,8,,right,saccade,,35.0,,,1356.245,738.034,1397.682,738.232,,,
141,2096326,8,,left,saccade,36.0,,,,1402.507,742.05,1410.425,738.778,,,
142,2096334,232,3.1515344827586205,right,fixation,,36.0,1433.8701864406796,739.307830508474,,,,,1.0,6.0204917780858676,15.419634009923993
143,2096338,228,3.1516929824561397,left,fixation,37.0,,1450.78227586207,725.5213965517239,,,,,0.0,,
144,2096570,28,,left,saccade,37.0,,,,1453.67,741.58,1219.651,739.88,,,
145,2096570,28,,right,saccade,,36.0,,,1436.251,735.8969999999997,1227.512,761.453,,,
146,2096602,248,3.201306451612904,left,fixation,38.0,,1216.26549206349,756.884571428571,,,,,0.0,,
147,2096602,248,3.201306451612904,right,fixation,,37.0,1188.7234126984101,767.304888888889,,,,,1.0,5.529860559322978,22.231299669609953
148,2096854,24,,left,saccade,38.0,,,,1216.471,747.183,982.419,745.98,,,
149,2096854,28,,right,saccade,,37.0,,,1171.823,744.107,958.7130000000001,746.9960000000003,,,
150,2096882,256,3.2490703125,left,fixation,39.0,,961.606538461539,725.964138461539,,,,,0.0,,
151,2096886,252,3.2491666666666665,right,fixation,,38.0,946.76246875,750.2455156250011,,,,,0.0,,
152,2097142,24,,left,saccade,39.0,,,,958.81,727.803,734.275,715.5139999999999,,,
153,2097142,24,,right,saccade,,38.0,,,952.2589999999999,751.6060000000001,743.331,756.145,,,
154,2097170,480,3.189066115702478,left,fixation,40.0,,691.945710743802,739.54252892562,,,,,0.0,,
155,2097170,480,3.189066115702478,right,fixation,,39.0,711.6115619834711,764.990090909091,,,,,0.0,,
156,2097654,28,,right,saccade,,39.0,,,704.69,768.7639999999999,522.127,781.012,,,
157,2097654,32,,left,saccade,40.0,,,,690.6310000000003,754.763,478.23,754.1460000000003,,,
158,2097686,260,3.1397923076923075,right,fixation,,40.0,496.888484848485,785.057515151516,,,,,0.0,,
159,2097690,256,3.1390625,left,fixation,41.0,,491.21770769230795,736.4881076923068,,,,,0.0,,
160,2097950,24,,left,saccade,41.0,,,,484.80300000000005,735.643,693.97,738.063,,,
161,2097950,24,,right,saccade,,40.0,,,511.756,784.067,722.185,780.2760000000003,,,
162,2097978,356,3.1777329545454545,left,fixation,42.0,,715.4068,730.647944444444,,,,,0.0,,
163,2097978,356,3.1777329545454545,right,fixation,,41.0,718.132488888889,768.028344444445,,,,,0.0,,
164,2098338,28,,left,saccade,42.0,,,,691.3489999999997,753.6469999999997,526.078,623.972,,,
165,2098338,32,,right,saccade,,41.0,,,708.827,772.6,510.74699999999996,605.6569999999998,,,
166,2098370,348,3.093862359550562,left,fixation,43.0,,519.185761363637,602.617113636364,,,,,0.0,,
167,2098374,344,3.0933778409090915,right,fixation,,42.0,522.870367816092,621.983862068965,,,,,0.0,,
168,2098722,24,,left,saccade,43.0,,,,538.803,606.298,700.688,689.0219999999997,,,
169,2098722,24,,right,saccade,,42.0,,,529.234,636.761,729.2,687.548,,,
170,2098750,368,3.1645489130434785,right,fixation,,43.0,732.482043010753,732.349021505376,,,,,0.0,,
171,2098750,372,3.164801075268817,left,fixation,44.0,,726.324063829787,712.665063829787,,,,,1.0,6.311222816890938,12.933729276585465
172,2099122,52,,right,saccade,,43.0,,,728.5139999999999,743.045,1469.351,851.982,,,
173,2099126,48,,left,saccade,44.0,,,,716.37,714.7710000000003,1507.715,833.179,,,
174,2099178,608,3.1383684210526317,left,fixation,45.0,,1545.8677254902,832.031359477124,,,,,0.0,,
175,2099178,608,3.1383684210526317,right,fixation,,44.0,1483.9715032679699,854.869588235294,,,,,0.0,,
176,2099790,60,,right,saccade,,44.0,,,1479.9189999999999,848.47,595.899,901.635,,,
177,2099790,64,,left,saccade,45.0,,,,1542.7820000000006,828.577,578.0,886.317,,,
178,2099854,188,3.121106382978724,right,fixation,,45.0,577.7747708333329,904.206083333334,,,,,0.0,,
179,2099858,184,3.1206521739130437,left,fixation,46.0,,571.328723404255,882.8671489361699,,,,,0.0,,
180,2100046,20,,left,saccade,46.0,,,,582.137,877.4780000000003,699.4810000000001,873.3580000000003,,,
181,2100046,20,,right,saccade,,45.0,,,572.927,918.362,689.645,915.197,,,
182,2100070,104,3.164115384615385,left,fixation,47.0,,704.8838148148151,890.777851851852,,,,,0.0,,
183,2100070,104,3.164115384615385,right,fixation,,46.0,706.3778148148151,914.4474074074072,,,,,0.0,,
184,2100178,56,,left,saccade,47.0,,,,706.2760000000003,883.698,1510.135,824.077,,,
185,2100178,56,,right,saccade,,46.0,,,705.587,924.3489999999999,1464.9160000000006,852.5060000000003,,,
186,2100238,256,3.1581718750000003,left,fixation,48.0,,1528.6635538461499,823.833676923077,,,,,0.0,,
187,2100238,256,3.1581718750000003,right,fixation,,47.0,1487.34429230769,843.636092307693,,,,,0.0,,
188,2100498,52,,right,saccade,,47.0,,,1472.852,847.457,1431.1470000000006,67.245,,,
189,2100498,60,,left,saccade,48.0,,,,1537.267,827.454,1411.192,158.347,,,
190,2100554,184,3.2140543478260875,right,fixation,,48.0,1434.21076595745,2.57985106382979,,,,,0.0,,
191,2100562,508,3.2139980916030533,left,fixation,49.0,,1415.5523125,137.303375,,,,,0.0,,
192,2100742,16,,right,saccade,,48.0,,,1453.408,-19.915,1446.1070000000002,23.283,,,
193,2100762,308,3.2092314814814813,right,fixation,,49.0,1400.3830641025595,83.0742307692308,,,,,0.0,,
