,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,20610892,152,3.743,right,fixation,,1.0,489.295307692308,1039.70038461538,,,,,0.0,,
1,20611048,52,,right,saccade,,1.0,,,488.704,1038.403,1473.213,1021.6360000000001,,,
2,20611104,564,3.6873404255319153,right,fixation,,2.0,1486.55576056338,1014.81337323944,,,,,2.0,12.456057761191941,42.352260091355284
3,20611672,48,,right,saccade,,2.0,,,1483.721,985.579,836.2719999999997,846.6389999999999,,,
4,20611680,20,,left,saccade,1.0,,,,0.0,0.0,900.39,1075.346,,,
5,20611704,348,3.835382464171975,left,fixation,1.0,,840.161295454546,1058.06932954545,,,,,5.0,9.314539525809414,23.437260695215336
6,20611724,200,3.8304209872159087,right,fixation,,3.0,819.7281568627451,836.442431372549,,,,,0.0,,
7,20611928,8,,right,saccade,,3.0,,,800.955,839.4910000000001,766.6030000000003,840.1189999999997,,,
8,20611940,364,3.875917159763314,right,fixation,,4.0,746.069423913043,874.376739130435,,,,,0.0,,
9,20612056,8,,left,saccade,2.0,,,,790.6260000000003,1102.1889999999999,791.818,1112.813,,,
10,20612068,236,3.891333333333335,left,fixation,2.0,,784.11755,1076.19095,,,,,0.0,,
11,20612308,68,,left,saccade,3.0,,,,783.7389999999997,1078.769,1377.711,100.803,,,
12,20612308,52,,right,saccade,,4.0,,,746.7330000000003,873.796,1481.1470000000006,1008.993,,,
13,20612364,312,3.6981025641025647,right,fixation,,5.0,1489.05096202532,1008.42169620253,,,,,0.0,,
14,20612680,48,,right,saccade,,5.0,,,1495.0629999999999,970.425,1378.092,118.38799999999999,,,
15,20612732,244,3.645017857142857,left,fixation,3.0,,1362.9813387096801,77.3118064516129,,,,,1.0,3.431811252417918,5.151122790227303
16,20612732,248,3.645043859649123,right,fixation,,6.0,1336.77711111111,112.36041269841299,,,,,1.0,5.6260174018176645,12.50257613454143
17,20612980,40,,left,saccade,4.0,,,,1343.809,54.24100000000001,981.1439999999999,22.250999999999998,,,
18,20612984,36,,right,saccade,,6.0,,,1312.098,85.18799999999997,960.8710000000001,42.665,,,
19,20613024,276,3.6398985507246375,left,fixation,4.0,,967.6324142857152,20.7245,,,,,0.0,,
20,20613024,276,3.6398985507246375,right,fixation,,7.0,944.8435428571428,21.2383,,,,,0.0,,
21,20613304,40,,left,saccade,5.0,,,,959.7869999999999,35.51,546.453,173.955,,,
22,20613304,40,,right,saccade,,7.0,,,944.7919999999999,34.842,483.642,160.638,,,
23,20613348,304,3.623363160844386,left,fixation,5.0,,528.021636363636,213.515792207792,,,,,0.0,,
24,20613348,308,3.623363160844386,right,fixation,,8.0,471.82053846153815,189.404807692308,,,,,1.0,7.1209644029287125,13.69239062399259
25,20613656,40,,left,saccade,6.0,,,,523.455,214.428,322.695,131.232,,,
26,20613660,48,,right,saccade,,8.0,,,471.79900000000004,197.21,385.36,137.142,,,
27,20613792,1000,3.5765432162929405,right,fixation,,9.0,381.6705896414341,123.871549800797,,,,,1.0,3.4047234061260085,5.955264057957541
28,20613824,0,,left,fixation,6.0,,348.914,131.232,,,,,0.0,,
29,20613828,4,,left,saccade,7.0,,,,353.038,131.232,359.82099999999997,115.346,,,
30,20613836,952,3.5765432162929405,left,fixation,7.0,,404.89963598326403,128.440234309624,,,,,1.0,13.437559530617492,18.843357052287733
31,20614792,68,,left,saccade,8.0,,,,396.004,120.15100000000001,332.49199999999996,60.413000000000004,,,
32,20614796,48,,right,saccade,,9.0,,,377.908,117.734,377.043,70.812,,,
33,20614916,201,3.5531666666666664,right,fixation,,10.0,380.459254901961,98.88196078431379,,,,,0.0,,
34,20614976,137,3.552434782608695,left,fixation,8.0,,379.2448,95.6229142857143,,,,,2.0,6.576304636669582,26.94667925516777
35,20615117,16,,left,saccade,9.0,,,,384.381,104.205,430.76099999999997,157.088,,,
36,20615121,12,,right,saccade,,10.0,,,390.255,109.68,406.784,152.624,,,
37,20615137,871,3.7148972602739727,left,fixation,9.0,,501.2505753424649,238.729849315069,,,,,3.0,5.508337422984905,20.79194313306132
38,20615137,871,3.7148972602739727,right,fixation,,11.0,462.775643835616,247.311173515982,,,,,3.0,6.108872298528782,19.330238972852488
39,20616012,24,,right,saccade,,11.0,,,462.889,257.928,391.324,113.53,,,
40,20616012,28,,left,saccade,10.0,,,,488.324,228.952,393.958,132.181,,,
41,20616040,376,3.6605777646363102,right,fixation,,12.0,379.28311578947404,120.87083157894699,,,,,0.0,,
42,20616044,368,3.660342310661292,left,fixation,10.0,,393.874827956989,127.35204301075301,,,,,2.0,6.432708560087991,47.80877986792514
43,20616416,60,,left,saccade,11.0,,,,417.18300000000005,150.035,326.661,111.585,,,
44,20616420,40,,right,saccade,,12.0,,,364.254,102.109,354.569,99.73200000000001,,,
45,20616544,132,3.71325,right,fixation,,13.0,365.79508823529403,90.651205882353,,,,,0.0,,
46,20616604,76,3.7144,left,fixation,11.0,,372.9955,107.14525,,,,,1.0,10.635904610746042,65.62809995725921
47,20616680,24,,right,saccade,,13.0,,,373.86699999999996,111.366,446.01,293.26,,,
48,20616684,20,,left,saccade,12.0,,,,408.218,136.273,466.985,207.84799999999998,,,
49,20616708,660,3.7659019513165,left,fixation,12.0,,503.446722891566,243.99556626506,,,,,1.0,4.968792031268769,26.31922652738864
50,20616708,660,3.7659019513165,right,fixation,,14.0,470.827265060241,294.524542168675,,,,,0.0,,
51,20617372,20,,left,saccade,13.0,,,,513.381,231.145,436.02099999999996,182.183,,,
52,20617372,24,,right,saccade,,14.0,,,464.03,255.783,416.751,163.694,,,
53,20617396,648,3.617466049382717,left,fixation,13.0,,413.696920245398,126.723797546012,,,,,0.0,,
54,20617400,648,3.617070987654321,right,fixation,,15.0,385.275920245399,132.555957055215,,,,,0.0,,
55,20618048,24,,left,saccade,14.0,,,,401.20099999999996,115.90899999999999,499.289,226.821,,,
56,20618052,20,,right,saccade,,15.0,,,375.414,134.408,449.37699999999995,223.666,,,
57,20618076,363,3.599545708434184,left,fixation,14.0,,513.036217391304,252.86211956521703,,,,,2.0,3.8518334684804665,8.24243770139297
58,20618076,367,3.599545708434184,right,fixation,,16.0,460.088096774194,260.087505376344,,,,,3.0,5.906809384868121,15.151142470235861
59,20618443,41,,left,saccade,15.0,,,,504.684,261.072,305.83099999999996,92.91799999999999,,,
60,20618447,41,,right,saccade,,16.0,,,458.846,285.746,360.494,73.271,,,
61,20618552,632,3.6668293328367,right,fixation,,17.0,369.468094339623,113.039075471698,,,,,0.0,,
62,20618576,608,3.6668293328367,left,fixation,15.0,,387.672934640523,104.223405228758,,,,,5.0,4.8468301936672376,14.279662133509635
63,20619188,44,,left,saccade,16.0,,,,405.74,128.276,280.592,91.21799999999999,,,
64,20619188,44,,right,saccade,,17.0,,,369.13300000000004,121.215,361.296,60.979,,,
65,20619316,1435,3.615601551422136,right,fixation,,18.0,380.449200557103,119.396896935933,,,,,2.0,7.271698279318861,18.03075760413596
66,20619352,0,,left,fixation,16.0,,280.592,91.21799999999999,,,,,0.0,,
67,20619356,8,,left,saccade,17.0,,,,279.189,79.92399999999998,279.189,45.75899999999999,,,
68,20619368,13,,left,fixation,17.0,,289.762,38.25925,,,,,0.0,,
69,20619385,28,,left,saccade,18.0,,,,310.866,37.921,378.509,70.28699999999999,,,
70,20619417,1342,3.6159583920431,left,fixation,18.0,,402.000330357143,104.054267857143,,,,,2.0,4.758085576982396,29.246581435863305
71,20620755,32,,right,saccade,,18.0,,,375.964,122.561,453.223,222.918,,,
72,20620763,24,,left,saccade,19.0,,,,426.47,116.87200000000001,490.555,200.951,,,
73,20620791,24,3.670666666666667,right,fixation,,19.0,458.498857142857,231.699571428571,,,,,0.0,,
74,20620791,1024,3.728882863340565,left,fixation,19.0,,508.944443579766,238.86979766537002,,,,,1.0,7.1424124231398345,26.502677694904715
75,20620819,8,,right,saccade,,19.0,,,463.474,256.194,466.244,277.344,,,
76,20620831,988,3.7315351473922895,right,fixation,,20.0,479.797008064517,287.798491935483,,,,,5.0,8.322738091388857,24.541159584691922
77,20621819,40,,left,saccade,20.0,,,,500.282,252.725,416.435,252.271,,,
78,20621823,52,,right,saccade,,20.0,,,454.338,247.446,450.01599999999996,165.142,,,
79,20621943,8,,right,fixation,,21.0,452.3056666666671,173.923333333333,,,,,0.0,,
80,20621955,0,,right,saccade,,21.0,,,454.68,178.31400000000005,454.68,178.31400000000005,,,
81,20621959,4,,right,fixation,,22.0,455.51199999999994,194.898,,,,,0.0,,
82,20621967,4,,right,saccade,,22.0,,,455.51199999999994,221.61700000000002,455.51199999999994,224.90200000000002,,,
