,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,1877171,548,3.4070398550724637,left,fixation,1.0,,1409.30584057971,72.30504347826091,,,,,1.0,6.769706010767549,31.980821534163326
1,1877171,548,3.4070398550724637,right,fixation,,1.0,1408.20207971014,79.1688985507247,,,,,2.0,5.75093021232183,14.276071708093168
2,1877723,60,,left,saccade,1.0,,,,1410.3670000000006,74.14,619.819,508.42199999999997,,,
3,1877723,60,,right,saccade,,1.0,,,1414.918,56.641999999999996,614.346,488.591,,,
4,1877787,244,3.5019016393442617,right,fixation,,2.0,608.346483870968,526.656709677419,,,,,0.0,,
5,1877787,248,3.5022338709677423,left,fixation,2.0,,600.391825396826,515.332777777778,,,,,0.0,,
6,1878035,52,,right,saccade,,2.0,,,597.078,512.135,1466.71,789.775,,,
7,1878039,52,,left,saccade,2.0,,,,603.675,507.43699999999995,1466.5539999999999,756.4830000000003,,,
8,1878091,1044,3.483344827586207,right,fixation,,3.0,1513.5357251908401,828.458366412213,,,,,1.0,8.847982974792743,17.842898447281566
9,1878095,1036,3.4830019305019304,left,fixation,3.0,,1520.93372307692,808.6413807692302,,,,,1.0,5.574279896193869,16.61835048974463
10,1879135,44,,left,saccade,3.0,,,,1543.599,813.0060000000003,1071.014,681.002,,,
11,1879139,44,,right,saccade,,3.0,,,1528.736,831.221,1105.219,675.42,,,
12,1879183,124,3.565390625,left,fixation,4.0,,1066.3454375,648.09559375,,,,,0.0,,
13,1879187,120,3.565854838709678,right,fixation,,4.0,1091.28383870968,647.998032258064,,,,,0.0,,
14,1879311,48,,left,saccade,4.0,,,,1058.996,646.29,1385.26,224.63,,,
15,1879311,56,,right,saccade,,4.0,,,1096.2160000000001,628.126,1455.7620000000006,162.03799999999995,,,
16,1879363,60,3.5078888888888886,left,fixation,5.0,,1412.2084375,189.8784375,,,,,1.0,5.221876429449922,15.912170499337961
17,1879371,52,3.5080625000000003,right,fixation,,5.0,1457.22978571429,138.992285714286,,,,,0.0,,
