,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2290400,240,3.0856352459016394,right,fixation,,1.0,572.786229508197,164.549098360656,,,,,0.0,,
1,2290400,244,3.0855282258064514,left,fixation,1.0,,568.82735483871,121.302790322581,,,,,3.0,2.7585423839405574,14.262367143773488
2,2290644,16,,right,saccade,,1.0,,,569.762,178.40400000000002,501.88,193.08900000000003,,,
3,2290648,16,,left,saccade,1.0,,,,553.826,126.971,505.07,150.658,,,
4,2290664,224,3.0423660714285714,right,fixation,,2.0,475.329280701754,205.359368421053,,,,,1.0,3.8579917775386217,11.96945980401784
5,2290668,220,3.041836363636364,left,fixation,2.0,,470.709178571429,156.154571428571,,,,,1.0,4.405930211405732,16.595266102114728
6,2290892,60,,left,saccade,2.0,,,,466.892,150.92700000000005,1253.407,178.44400000000005,,,
7,2290892,60,,right,saccade,,2.0,,,465.63800000000003,192.685,1251.264,208.63400000000001,,,
8,2290956,156,3.0002564102564104,left,fixation,3.0,,1273.430425,190.605675,,,,,1.0,5.967324591286872,6.161354477710214
9,2290956,156,3.0002564102564104,right,fixation,,3.0,1264.060925,227.872525,,,,,0.0,,
10,2291116,44,,left,saccade,3.0,,,,1275.555,187.17,819.513,173.71,,,
11,2291116,44,,right,saccade,,3.0,,,1267.972,215.055,813.439,208.797,,,
12,2291164,205,2.979009615384616,right,fixation,,4.0,793.9376538461528,222.06786538461498,,,,,4.0,3.7412791997041817,8.587916320669374
13,2291164,209,2.97911320754717,left,fixation,4.0,,803.2922830188679,175.56007547169796,,,,,0.0,,
14,2291373,20,,right,saccade,,4.0,,,787.5189999999999,201.666,701.582,203.516,,,
15,2291377,20,,left,saccade,4.0,,,,788.007,166.90400000000002,710.127,168.997,,,
16,2291397,403,3.003175,right,fixation,,5.0,675.464470588235,215.050274509804,,,,,4.0,2.910987528509351,19.519674069165585
17,2291401,387,3.0025364583333336,left,fixation,5.0,,668.988693877551,168.933142857143,,,,,7.0,3.5534438905569523,19.37755916639345
18,2291792,20,,left,saccade,5.0,,,,647.615,172.083,725.7330000000003,178.55,,,
19,2291804,8,,right,saccade,,5.0,,,713.559,204.34799999999998,719.072,201.278,,,
20,2291816,444,3.0780000000000003,right,fixation,,6.0,755.995803571429,222.335089285714,,,,,5.0,3.604853854172247,20.00466862186871
21,2291816,452,3.0781681415929203,left,fixation,6.0,,757.6489035087718,182.47969298245602,,,,,4.0,3.1876312575701724,12.766407131780335
22,2292264,20,,right,saccade,,6.0,,,742.427,206.365,818.388,199.295,,,
23,2292272,16,,left,saccade,6.0,,,,769.5369999999997,180.40599999999998,828.998,179.55900000000003,,,
24,2292288,168,3.117488095238095,right,fixation,,7.0,841.1407441860457,205.939697674419,,,,,1.0,2.162180098367824,6.055514016167326
25,2292292,164,3.11780487804878,left,fixation,7.0,,844.195238095238,179.45983333333302,,,,,1.0,2.6256723424677606,9.863730024691481
26,2292460,20,,right,saccade,,7.0,,,849.804,209.907,716.0319999999997,212.855,,,
27,2292460,24,,left,saccade,7.0,,,,846.9639999999997,172.175,722.0360000000003,172.683,,,
28,2292484,304,3.163383116883117,right,fixation,,8.0,707.662233766234,202.72664935064896,,,,,3.0,2.247174855532787,7.0356941922578535
29,2292488,304,3.16387012987013,left,fixation,8.0,,711.971675324675,152.82461038961,,,,,1.0,2.7702589128896378,6.003050641132416
30,2292792,56,,right,saccade,,8.0,,,721.56,187.178,1365.941,169.82299999999995,,,
31,2292796,52,,left,saccade,8.0,,,,713.023,136.819,1364.4379999999999,145.293,,,
32,2292852,752,3.1929331550802145,right,fixation,,9.0,1392.6372804232801,143.44255026455,,,,,7.0,3.2943201983538484,14.170092917629864
33,2292852,756,3.1926622340425532,left,fixation,9.0,,1382.49618947368,128.318547368421,,,,,8.0,3.6326651503625853,14.24038449435719
34,2293608,16,,right,saccade,,9.0,,,1386.49,140.49200000000002,1459.265,140.2,,,
35,2293612,12,,left,saccade,9.0,,,,1377.634,106.639,1432.08,110.631,,,
36,2293628,1276,3.13532890625,left,fixation,10.0,,1459.131425,131.474396875,,,,,13.0,3.06954701916462,11.816298862349422
37,2293628,1276,3.13532890625,right,fixation,,10.0,1482.290396875,126.49355625,,,,,9.0,2.355181598105722,12.858425381829818
38,2294908,20,,left,saccade,10.0,,,,1461.145,139.16,1333.6760000000004,127.036,,,
39,2294908,20,,right,saccade,,10.0,,,1492.119,127.65299999999999,1369.973,120.41799999999999,,,
40,2294932,128,3.185703125,left,fixation,11.0,,1322.4186666666699,112.450878787879,,,,,0.0,,
41,2294932,128,3.185703125,right,fixation,,11.0,1344.86654545454,120.539242424242,,,,,2.0,1.8115487846073708,7.367466886201052
42,2295064,48,,right,saccade,,11.0,,,1331.396,126.85700000000001,819.068,295.99,,,
43,2295064,52,,left,saccade,11.0,,,,1321.745,111.85,807.355,298.01,,,
44,2295116,192,3.134081632653061,right,fixation,,12.0,801.733224489796,318.199142857143,,,,,1.0,3.8115768718471577,14.489890303242536
45,2295120,192,3.133448979591837,left,fixation,12.0,,790.497265306122,317.878081632653,,,,,1.0,4.336434034882659,14.648326354911694
46,2295312,28,,right,saccade,,12.0,,,800.595,336.162,610.775,333.092,,,
47,2295316,24,,left,saccade,12.0,,,,793.206,316.445,625.207,308.145,,,
48,2295344,136,3.113411764705882,left,fixation,13.0,,590.440542857143,290.855914285714,,,,,2.0,3.264558762015674,21.994505507995285
49,2295344,136,3.113411764705882,right,fixation,,13.0,580.9257428571431,319.711,,,,,2.0,2.538691002306856,9.820021022971748
50,2295484,24,,left,saccade,13.0,,,,591.443,285.558,470.255,279.846,,,
51,2295484,24,,right,saccade,,13.0,,,570.15,322.41,456.836,331.1330000000001,,,
52,2295512,400,3.0559898989899,left,fixation,14.0,,427.00966336633695,282.402386138614,,,,,3.0,4.30384204627602,26.278497318466226
53,2295512,400,3.0559898989899,right,fixation,,14.0,401.95245544554496,320.916910891089,,,,,5.0,3.47003017340343,22.558513351409232
54,2295916,24,,left,saccade,14.0,,,,388.82599999999996,275.444,520.253,279.902,,,
