,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2924119,220,3.447875,left,fixation,1.0,,1523.82944642857,887.3780178571429,,,,,3.0,3.265701399548567,7.895008888004199
1,2924119,220,3.447875,right,fixation,,1.0,1510.54216071429,920.0257678571428,,,,,0.0,,
2,2924343,56,,left,saccade,1.0,,,,1524.376,886.424,790.701,369.56,,,
3,2924343,56,,right,saccade,,1.0,,,1500.529,920.9680000000001,799.198,383.01599999999996,,,
4,2924403,136,3.3540294117647056,left,fixation,2.0,,781.387,368.319971428571,,,,,0.0,,
5,2924403,136,3.3540294117647056,right,fixation,,2.0,774.396314285714,375.8484,,,,,2.0,4.998330522793152,8.780704249480161
6,2924543,28,,left,saccade,2.0,,,,777.8610000000001,367.884,669.7810000000002,265.401,,,
7,2924543,28,,right,saccade,,2.0,,,768.966,375.32099999999997,648.2959999999998,278.70099999999996,,,
8,2924575,140,3.363728571428572,left,fixation,3.0,,651.672361111111,235.45802777777803,,,,,0.0,,
9,2924575,140,3.363728571428572,right,fixation,,3.0,631.81025,275.751,,,,,0.0,,
10,2924719,32,,left,saccade,3.0,,,,644.442,230.75900000000001,622.124,599.956,,,
11,2924719,32,,right,saccade,,3.0,,,628.495,279.038,564.705,670.573,,,
12,2924755,140,3.421588235294118,left,fixation,4.0,,592.811888888889,621.343194444444,,,,,1.0,3.688440237944621,8.025766816946534
13,2924755,140,3.421588235294118,right,fixation,,4.0,546.8940555555561,680.8125555555561,,,,,1.0,3.0676194398552665,8.025078005851391
14,2924899,52,,left,saccade,4.0,,,,589.174,635.168,542.249,186.82299999999998,,,
15,2924899,52,,right,saccade,,4.0,,,543.212,686.416,551.116,222.896,,,
16,2924955,148,3.4416184210526324,right,fixation,,5.0,547.835052631579,209.893684210526,,,,,0.0,,
17,2924955,152,3.4417051282051285,left,fixation,5.0,,554.930897435897,163.17082051282,,,,,1.0,6.396998456307447,17.149131523199653
18,2925107,36,,right,saccade,,5.0,,,546.227,200.794,968.915,94.45200000000001,,,
19,2925111,36,,left,saccade,5.0,,,,556.755,152.401,988.467,22.680999999999997,,,
20,2925147,308,3.4922792207792206,right,fixation,,6.0,975.713935897436,52.55243589743589,,,,,2.0,4.516781186163021,15.609148212463891
21,2925151,304,3.4927039473684207,left,fixation,6.0,,972.180077922078,0.900636363636364,,,,,3.0,5.8804636558911065,16.518145178020813
22,2925459,40,,left,saccade,6.0,,,,977.763,14.015,488.995,245.68400000000003,,,
23,2925459,40,,right,saccade,,6.0,,,987.3710000000001,53.548,485.655,237.171,,,
24,2925503,372,3.5400322580645165,right,fixation,,7.0,468.18198936170194,262.1345,,,,,5.0,42.122447386437095,127.31880266174568
25,2925503,376,3.539760638297873,left,fixation,7.0,,467.52086315789495,249.458157894737,,,,,6.0,33.57220698914756,100.1823075817195
26,2925879,32,,right,saccade,,7.0,,,488.874,270.686,377.13800000000003,210.56900000000002,,,
27,2925883,28,,left,saccade,7.0,,,,481.712,245.209,366.441,169.195,,,
28,2925915,3864,3.3847116977225675,left,fixation,8.0,,413.481158221303,140.114664943123,,,,,24.0,4.805331066756763,19.105626292539373
29,2925915,3864,3.3847116977225675,right,fixation,,8.0,412.022483971044,157.752070320579,,,,,14.0,5.981194655562874,17.68838726416384
30,2929783,20,,left,saccade,8.0,,,,409.98800000000006,160.154,494.835,268.894,,,
31,2929783,20,,right,saccade,,8.0,,,393.527,151.41899999999995,487.963,230.47299999999998,,,
32,2929807,720,3.2825750000000005,left,fixation,9.0,,499.066165745857,271.269839779005,,,,,5.0,3.9466373784011095,10.777717042552496
33,2929807,720,3.2825750000000005,right,fixation,,9.0,483.625867403315,257.310475138122,,,,,9.0,3.9402037768056517,11.423392999857498
34,2930531,24,,right,saccade,,9.0,,,480.293,272.579,687.0039999999998,265.48,,,
35,2930531,28,,left,saccade,9.0,,,,499.181,260.415,690.675,252.792,,,
36,2930559,936,3.2468547008547013,right,fixation,,10.0,707.7801787234039,266.0604,,,,,6.0,4.776878716366523,13.927987326552826
37,2930563,932,3.2467467811158803,left,fixation,10.0,,723.027854700855,267.308824786325,,,,,5.0,7.082080395500643,16.941416675549085
38,2931499,24,,left,saccade,10.0,,,,748.57,270.51,959.0889999999999,274.978,,,
39,2931499,24,,right,saccade,,10.0,,,736.962,272.67,956.5980000000001,268.628,,,
40,2931527,876,3.2403470319634717,left,fixation,11.0,,957.140031818182,258.44395,,,,,6.0,5.13201316392918,14.83384541456352
41,2931527,876,3.2403470319634717,right,fixation,,11.0,953.941681818182,253.328609090909,,,,,7.0,8.188513604698269,25.171629746066564
42,2932407,44,,right,saccade,,11.0,,,953.727,240.03400000000002,434.444,224.65900000000002,,,
43,2932407,56,,left,saccade,11.0,,,,951.64,246.422,444.82099999999997,203.072,,,
