,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,14122681,379,3.0824131578947367,left,fixation,1.0,,716.5432291666672,442.6505625,,,,,0.0,,
1,14122681,383,3.082372395833333,right,fixation,,1.0,721.482329896907,457.57962886597915,,,,,0.0,,
2,14123064,44,,left,saccade,1.0,,,,717.221,438.077,562.745,210.915,,,
3,14123068,40,,right,saccade,,1.0,,,719.596,448.537,568.9540000000002,230.106,,,
4,14123112,480,3.135708333333333,left,fixation,2.0,,500.931520661157,166.987991735537,,,,,3.0,7.9140867963601345,25.914390695636087
5,14123112,1900,3.1503596966688754,right,fixation,,2.0,447.1044579831929,186.755930672269,,,,,7.0,5.521510276028821,16.640306873054676
6,14123596,20,,left,saccade,2.0,,,,489.44199999999995,144.08,388.827,141.984,,,
7,14123620,1392,3.155970853917932,left,fixation,3.0,,418.072922636103,141.274134670487,,,,,1.0,4.685261933861203,37.690075616798666
8,14125016,40,,left,saccade,3.0,,,,454.43199999999996,143.79,483.73,115.179,,,
9,14125016,40,,right,saccade,,2.0,,,437.23800000000006,184.608,497.194,173.81400000000005,,,
10,14125140,348,3.201577409955359,right,fixation,,3.0,502.514034090909,172.63261363636397,,,,,0.0,,
11,14125160,328,3.201577409955359,left,fixation,4.0,,492.71690361445803,148.827168674699,,,,,0.0,,
12,14125492,16,,left,saccade,4.0,,,,490.995,138.881,433.63599999999997,137.753,,,
13,14125492,16,,right,saccade,,3.0,,,499.281,170.535,439.86199999999997,170.535,,,
14,14125512,3000,3.301658666666666,right,fixation,,4.0,440.78974300932,142.191264980026,,,,,12.0,4.147300348213883,14.445332162221426
15,14125512,4960,3.297467338709677,left,fixation,5.0,,441.9907074939569,137.87640209508498,,,,,10.0,5.766406792855152,19.68390678482229
16,14128516,4,,right,saccade,,4.0,,,472.273,159.114,459.76599999999996,156.349,,,
17,14128524,1944,3.290778806584362,right,fixation,,5.0,445.585829568788,164.267778234086,,,,,7.0,4.955515495145051,19.709630704817744
18,14130472,16,,right,saccade,,5.0,,,499.14099999999996,176.821,553.602,183.47099999999998,,,
19,14130476,12,,left,saccade,5.0,,,,492.283,157.061,546.012,162.1,,,
20,14130492,100,3.26586,left,fixation,6.0,,566.5258076923079,169.044230769231,,,,,0.0,,
21,14130492,100,3.26586,right,fixation,,6.0,571.3852692307689,196.963769230769,,,,,0.0,,
22,14130596,20,,left,saccade,6.0,,,,574.649,166.15900000000005,668.7360000000001,213.15099999999998,,,
