,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,11259639,28,4.0889285714285695,left,fixation,1.0,,465.16075,362.1345,,,,,0.0,,
1,11259639,48,4.086211538461539,right,fixation,,1.0,457.174538461538,326.16138461538503,,,,,0.0,,
2,11259671,12,,left,saccade,1.0,,,,463.41900000000004,345.536,457.353,309.426,,,
3,11259687,0,,left,fixation,2.0,,454.348,308.695,,,,,0.0,,
4,11259691,24,,left,saccade,2.0,,,,454.292,305.423,429.069,168.625,,,
5,11259691,24,,right,saccade,,1.0,,,446.72900000000004,321.803,447.441,147.293,,,
6,11259719,1480,4.030601351351352,left,fixation,3.0,,428.545778975741,152.672781671159,,,,,4.0,6.516439458489571,23.102620069103278
7,11259719,2008,4.062362549800797,right,fixation,,2.0,467.348403578529,145.211761431412,,,,,5.0,7.647407283818993,31.36051395910456
8,11261203,16,,left,saccade,3.0,,,,422.295,130.036,479.168,134.191,,,
9,11261223,504,4.152857142857143,left,fixation,4.0,,477.379322834646,135.778732283464,,,,,1.0,3.3554158750361167,13.246509615744062
10,11261731,20,,left,saccade,4.0,,,,469.25199999999995,157.062,366.608,157.22899999999996,,,
11,11261731,20,,right,saccade,,2.0,,,510.21,133.218,412.515,125.45299999999999,,,
12,11261755,320,4.272274999999999,left,fixation,5.0,,355.741061728395,130.169283950617,,,,,0.0,,
13,11261755,320,4.272274999999999,right,fixation,,3.0,408.783296296296,103.03074074074101,,,,,0.0,,
14,11262079,20,,left,saccade,5.0,,,,369.10699999999997,140.094,443.616,144.855,,,
15,11262079,20,,right,saccade,,3.0,,,408.666,78.417,489.106,81.461,,,
16,11262103,1060,4.416697368421053,left,fixation,6.0,,460.364593984963,163.36891353383498,,,,,6.0,5.8018055893432665,27.33110444154202
17,11262103,1060,4.416697368421053,right,fixation,,4.0,498.432770676692,95.68835338345859,,,,,6.0,5.607942318569157,17.319740394914636
18,11263167,16,,right,saccade,,4.0,,,463.731,66.705,406.286,63.225,,,
19,11263167,20,,left,saccade,6.0,,,,441.832,185.595,364.834,135.55,,,
20,11263187,1212,4.4699405940594055,right,fixation,,5.0,426.157684210526,87.24294407894743,,,,,4.0,6.8898486834805865,24.375605314987755
21,11263191,1208,4.470149006622517,left,fixation,7.0,,388.2085379537951,133.154240924092,,,,,3.0,8.468944658661243,23.16217660330632
22,11264403,16,,left,saccade,7.0,,,,416.75300000000004,161.988,472.595,165.517,,,
23,11264403,16,,right,saccade,,5.0,,,442.38800000000003,60.306999999999995,507.394,78.435,,,
24,11264423,400,4.5777350000000006,right,fixation,,6.0,522.451,144.425801980198,,,,,1.0,8.65091839215801,36.332575479863785
25,11264423,636,4.571845911949686,left,fixation,8.0,,464.654925,137.94974375,,,,,0.0,,
26,11264827,12,,right,saccade,,6.0,,,519.2669999999998,131.02200000000002,517.072,82.111,,,
27,11264843,220,4.559218181818182,right,fixation,,7.0,502.377875,87.20725,,,,,0.0,,
28,11265063,20,,left,saccade,8.0,,,,464.63199999999995,106.32600000000001,384.291,104.11200000000001,,,
29,11265067,20,,right,saccade,,7.0,,,494.17199999999997,72.96600000000002,388.952,88.57600000000002,,,
30,11265087,336,4.519392857142857,left,fixation,9.0,,345.431023529412,86.8543058823529,,,,,0.0,,
31,11265091,328,4.519158536585366,right,fixation,,8.0,386.66008433735,98.3312409638554,,,,,0.0,,
32,11265423,24,,right,saccade,,8.0,,,376.105,80.313,555.124,104.286,,,
33,11265427,28,,left,saccade,9.0,,,,344.338,90.539,532.72,100.36200000000001,,,
34,11265451,184,4.596369565217392,right,fixation,,9.0,555.005723404255,104.187191489362,,,,,0.0,,
35,11265459,176,4.59765909090909,left,fixation,10.0,,554.080088888889,165.763111111111,,,,,0.0,,
36,11265639,24,,left,saccade,10.0,,,,557.568,194.428,712.225,217.75099999999998,,,
37,11265639,24,,right,saccade,,9.0,,,547.091,109.417,695.074,241.24,,,
38,11265667,228,4.702859649122807,left,fixation,11.0,,731.976293103448,264.85910344827596,,,,,0.0,,
39,11265667,228,4.702859649122807,right,fixation,,10.0,708.607068965517,236.233224137931,,,,,0.0,,
40,11265899,32,,right,saccade,,10.0,,,710.752,227.114,484.344,238.729,,,
41,11265899,36,,left,saccade,11.0,,,,736.788,285.5,486.95300000000003,284.743,,,
42,11265935,200,4.5758800000000015,right,fixation,,11.0,466.829254901961,241.085411764706,,,,,2.0,3.5558581096643564,5.902653865689918
43,11265939,192,4.57596875,left,fixation,12.0,,472.747163265306,260.286775510204,,,,,0.0,,
44,11266135,52,,left,saccade,12.0,,,,467.745,240.895,1013.182,235.22299999999998,,,
45,11266139,48,,right,saccade,,11.0,,,481.876,262.448,982.627,272.03,,,
46,11266191,596,4.39134899328859,left,fixation,13.0,,985.1918800000001,253.00341333333301,,,,,1.0,7.859723731715317,44.44610835607548
47,11266191,596,4.39134899328859,right,fixation,,12.0,972.474093333334,269.082966666667,,,,,6.0,7.156248376591091,20.694547449244922
48,11266791,48,,left,saccade,13.0,,,,956.432,257.775,1435.5479999999998,224.025,,,
