,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,19869632,32,3.4032333333333336,left,fixation,1.0,,1531.31655555556,850.165333333333,,,,,0.0,,
1,19869632,36,3.4019848484848487,right,fixation,,1.0,1467.2092,907.0601,,,,,0.0,,
2,19869668,60,,left,saccade,1.0,,,,1526.6989999999994,847.916,828.4630000000003,306.937,,,
3,19869672,60,,right,saccade,,1.0,,,1462.17,903.2260000000001,781.198,310.559,,,
4,19869732,200,3.333500000000001,left,fixation,2.0,,826.9650980392163,310.36405882352904,,,,,0.0,,
5,19869736,200,3.3321000000000005,right,fixation,,2.0,786.5901372549022,307.541156862745,,,,,0.0,,
6,19869936,36,,left,saccade,2.0,,,,832.663,332.59,546.724,310.672,,,
7,19869940,32,,right,saccade,,2.0,,,782.193,324.601,510.522,310.733,,,
8,19869976,360,3.2502055555555565,left,fixation,3.0,,476.062549450549,239.294956043956,,,,,1.0,16.015461239758974,48.95367984125402
9,19869976,360,3.2502055555555565,right,fixation,,3.0,443.32431868131897,251.03945054945,,,,,0.0,,
10,19870340,32,,right,saccade,,3.0,,,432.551,243.65400000000002,676.801,256.33299999999997,,,
11,19870340,36,,left,saccade,3.0,,,,457.346,217.187,707.0260000000003,242.921,,,
12,19870376,96,,right,fixation,,4.0,691.13176,272.89376,,,,,0.0,,
13,19870380,96,,left,fixation,4.0,,736.9680000000003,247.81912000000003,,,,,0.0,,
14,19870476,64,,right,saccade,,4.0,,,690.1030000000003,271.664,538.578,205.424,,,
15,19870480,52,,left,saccade,4.0,,,,739.039,244.075,547.84,235.071,,,
16,19870608,0,,right,fixation,,5.0,537.898,207.236,,,,,0.0,,
17,19870612,0,,right,saccade,,5.0,,,536.477,208.482,536.477,208.482,,,
18,19870612,836,3.2641128700128696,left,fixation,5.0,,471.635614285715,201.50076666666698,,,,,2.0,11.993074695505744,41.35134345027056
19,19870616,828,3.2641651138716354,right,fixation,,6.0,444.16162019230796,216.990110576923,,,,,3.0,8.331253037684107,26.751894780611963
20,19871448,20,,right,saccade,,6.0,,,394.98900000000003,243.13099999999997,467.501,237.674,,,
21,19871452,20,,left,saccade,5.0,,,,399.918,187.6,473.986,184.197,,,
22,19871472,376,3.3017127659574466,right,fixation,,7.0,495.5010421052629,203.598084210526,,,,,0.0,,
23,19871476,376,3.3025159574468086,left,fixation,6.0,,513.529705263158,163.24187368421002,,,,,0.0,,
24,19871852,24,,right,saccade,,7.0,,,503.666,191.579,648.8340000000002,212.24200000000002,,,
25,19871856,24,,left,saccade,6.0,,,,519.503,174.63099999999997,696.2760000000003,199.817,,,
26,19871880,212,3.3648396226415094,right,fixation,,8.0,681.500240740741,245.808296296296,,,,,0.0,,
27,19871884,212,3.365358490566037,left,fixation,7.0,,693.1766296296298,233.648296296296,,,,,0.0,,
28,19872096,36,,right,saccade,,8.0,,,677.8760000000002,249.825,948.4989999999999,259.428,,,
29,19872100,36,,left,saccade,7.0,,,,693.493,218.467,980.6410000000001,232.463,,,
30,19872136,196,3.457428571428572,right,fixation,,9.0,963.2063199999999,236.00923999999998,,,,,0.0,,
31,19872140,192,3.4585104166666665,left,fixation,8.0,,990.719346938776,252.875510204082,,,,,0.0,,
32,19872336,24,,right,saccade,,9.0,,,959.3839999999999,246.638,1142.858,259.367,,,
33,19872336,36,,left,saccade,8.0,,,,998.3960000000001,300.324,1189.066,285.389,,,
34,19872364,548,3.37428102189781,right,fixation,,10.0,1177.28144202899,277.302869565217,,,,,0.0,,
35,19872376,532,3.372511278195489,left,fixation,9.0,,1229.1154477611901,271.361902985074,,,,,0.0,,
36,19872912,48,,left,saccade,9.0,,,,1228.508,234.27900000000002,632.2819999999998,224.773,,,
37,19872916,44,,right,saccade,,10.0,,,1180.692,257.056,630.255,248.984,,,
38,19872964,120,3.294633333333333,left,fixation,10.0,,603.722258064516,202.567741935484,,,,,0.0,,
39,19872964,124,3.294064516129033,right,fixation,,11.0,592.430125,221.5536875,,,,,0.0,,
40,19873088,8,,left,saccade,10.0,,,,583.854,200.34,561.857,200.104,,,
41,19873092,8,,right,saccade,,11.0,,,557.965,226.43,540.519,221.515,,,
42,19873100,420,3.2948952380952377,left,fixation,11.0,,524.775028301887,183.455481132076,,,,,0.0,,
43,19873104,412,3.294927184466019,right,fixation,,12.0,508.811836538462,206.743375,,,,,0.0,,
44,19873520,40,,right,saccade,,12.0,,,522.6990000000002,208.796,1067.969,230.354,,,
45,19873524,44,,left,saccade,11.0,,,,533.123,178.299,1112.139,217.364,,,
46,19873564,332,3.324071428571428,right,fixation,,13.0,1146.5456666666698,250.44103571428602,,,,,1.0,10.186193080450776,52.010545180761135
47,19873572,112,3.3322758620689648,left,fixation,12.0,,1135.96782758621,205.395586206897,,,,,0.0,,
48,19873688,16,,left,saccade,12.0,,,,1145.74,210.65200000000002,1204.894,220.912,,,
49,19873708,188,3.3176489361702126,left,fixation,13.0,,1220.56529166667,237.84425,,,,,0.0,,
50,19873900,24,,right,saccade,,13.0,,,1179.063,276.41900000000004,1430.898,281.776,,,
51,19873900,28,,left,saccade,13.0,,,,1220.385,258.638,1452.957,266.579,,,
52,19873928,192,3.3568297872340422,right,fixation,,14.0,1446.78218367347,285.732612244898,,,,,0.0,,
53,19873932,188,3.3572934782608685,left,fixation,14.0,,1487.49358333333,270.225375,,,,,0.0,,
54,19874124,32,,left,saccade,14.0,,,,1498.765,261.978,1183.599,250.405,,,
55,19874124,40,,right,saccade,,14.0,,,1459.763,281.2,1177.174,263.155,,,
56,19874160,880,3.299632882882884,left,fixation,15.0,,1222.16635294118,213.19633936651599,,,,,1.0,10.360292017817015,36.16678976630354
57,19874168,872,3.2992477272727267,right,fixation,,15.0,1177.34709589041,257.89547945205504,,,,,0.0,,
58,19875044,52,,right,saccade,,15.0,,,1176.468,263.232,421.23699999999997,369.219,,,
59,19875044,56,,left,saccade,15.0,,,,1222.274,224.52900000000002,430.06800000000004,349.60400000000016,,,
60,19875100,472,3.374470338983051,right,fixation,,16.0,390.1139831932769,379.970277310924,,,,,1.0,11.08029540445561,25.802911851184568
61,19875104,1088,3.4442867647058826,left,fixation,16.0,,463.013641025642,395.186637362638,,,,,2.0,7.412789557031889,20.37835163965804
62,19875576,0,,right,saccade,,16.0,,,418.015,383.975,418.015,383.975,,,
63,19875580,480,3.492583333333333,right,fixation,,17.0,437.060198347107,431.29332231405,,,,,2.0,9.581636084612366,26.053251363590288
64,19876064,0,,right,saccade,,17.0,,,449.569,438.656,449.569,438.656,,,
65,19876068,112,3.5155178571428567,right,fixation,,18.0,477.719724137931,413.968413793103,,,,,0.0,,
66,19876184,28,,right,saccade,,18.0,,,472.144,409.082,469.98400000000004,552.571,,,
67,19876196,12,,left,saccade,16.0,,,,510.144,407.88599999999997,511.13800000000003,458.765,,,
68,19876212,120,3.526849297573436,left,fixation,17.0,,518.3413548387099,502.64709677419296,,,,,0.0,,
69,19876216,112,3.529377668308704,right,fixation,,19.0,476.9944827586209,573.485862068965,,,,,0.0,,
70,19876332,40,,right,saccade,,19.0,,,474.59,570.987,667.712,458.811,,,
71,19876336,60,,left,saccade,17.0,,,,511.73699999999997,517.453,665.715,447.79900000000004,,,
72,19876472,24,,right,fixation,,20.0,674.986142857143,476.476428571429,,,,,1.0,12.864021253307845,20.750297467747266
73,19876480,172,3.6142051282051275,left,fixation,18.0,,679.699181818182,504.54304545454596,,,,,1.0,10.165386903059275,23.27787361422861
74,19876500,12,,right,saccade,,20.0,,,680.872,503.333,685.367,536.361,,,
75,19876516,132,3.6130270270270266,right,fixation,,21.0,667.3495,563.561970588235,,,,,0.0,,
76,19876652,32,,right,saccade,,21.0,,,656.789,571.521,920.327,577.375,,,
77,19876656,36,,left,saccade,18.0,,,,685.041,518.303,943.71,529.39,,,
78,19876688,148,3.693851351351351,right,fixation,,22.0,941.4771052631579,576.636578947368,,,,,0.0,,
79,19876696,140,3.6958,left,fixation,19.0,,973.309333333333,528.583888888889,,,,,0.0,,
80,19876840,28,,left,saccade,19.0,,,,958.2139999999999,539.4169999999998,736.7289999999997,530.669,,,
81,19876840,28,,right,saccade,,22.0,,,934.7280000000001,572.645,712.918,580.495,,,
82,19876872,972,3.525260330578512,right,fixation,,23.0,692.460053278689,574.374229508197,,,,,0.0,,
83,19876872,1224,3.5097271241830064,left,fixation,20.0,,734.7530032573289,516.835651465798,,,,,0.0,,
84,19877848,8,,right,saccade,,23.0,,,694.1569999999997,556.663,694.1569999999997,538.295,,,
85,19877860,232,3.448093220338983,right,fixation,,24.0,694.077237288135,497.452372881356,,,,,0.0,,
86,19878096,40,,right,saccade,,24.0,,,694.5219999999997,515.76,1103.769,537.951,,,
87,19878100,40,,left,saccade,20.0,,,,743.9989999999997,480.246,1149.664,520.222,,,
88,19878140,52,3.4160714285714286,right,fixation,,25.0,1140.25592857143,543.873785714286,,,,,0.0,,
89,19878144,48,3.4162692307692315,left,fixation,21.0,,1172.8555384615402,528.582384615385,,,,,0.0,,
90,19878196,44,,right,saccade,,25.0,,,1144.099,549.252,599.614,602.091,,,
91,19878196,48,,left,saccade,21.0,,,,1176.594,530.237,578.366,523.6,,,
92,19878244,196,3.4166530612244896,right,fixation,,26.0,575.857,605.28156,,,,,0.0,,
93,19878248,192,3.416385416666667,left,fixation,22.0,,586.93612244898,540.590591836735,,,,,0.0,,
94,19878444,24,,left,saccade,22.0,,,,595.592,550.9730000000002,469.454,609.661,,,
95,19878444,24,,right,saccade,,26.0,,,567.443,602.396,435.05300000000005,648.677,,,
96,19878472,668,3.3568772455089824,right,fixation,,27.0,389.13971428571404,693.6708869047618,,,,,0.0,,
97,19878472,672,3.3567291666666663,left,fixation,23.0,,416.660988165681,634.085289940828,,,,,0.0,,
98,19879144,16,,right,saccade,,27.0,,,369.519,688.689,429.80800000000005,686.709,,,
99,19879148,16,,left,saccade,23.0,,,,409.56699999999995,630.019,467.63699999999994,623.323,,,
100,19879164,384,3.316880208333333,right,fixation,,28.0,480.373371134021,697.2072474226801,,,,,0.0,,
101,19879168,368,3.316690217391304,left,fixation,24.0,,501.670387096774,641.125440860215,,,,,0.0,,
102,19879540,24,,left,saccade,24.0,,,,510.68,639.724,505.663,773.1560000000003,,,
103,19879552,20,,right,saccade,,28.0,,,496.225,715.9860000000001,479.57,777.0989999999997,,,
104,19879568,316,3.3054995718567146,left,fixation,25.0,,491.628275,760.745612500001,,,,,0.0,,
105,19879576,308,3.305586227106226,right,fixation,,29.0,459.04270512820506,805.7211025641029,,,,,0.0,,
