,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,1237807,48,2.8677884615384617,left,fixation,1.0,,661.197538461538,687.123153846154,,,,,0.0,,
1,1237807,48,2.8677884615384617,right,fixation,,1.0,693.1720769230769,624.567307692308,,,,,0.0,,
2,1237859,28,,right,saccade,,1.0,,,691.294,615.596,673.898,462.06,,,
3,1237859,32,,left,saccade,1.0,,,,658.569,679.966,636.89,488.845,,,
4,1237891,192,2.94234375,right,fixation,,2.0,657.522591836735,448.615551020408,,,,,0.0,,
5,1237895,188,2.9430744680851064,left,fixation,2.0,,633.876229166667,470.38370833333397,,,,,0.0,,
6,1238087,32,,right,saccade,,2.0,,,649.144,453.56300000000016,470.43699999999995,368.374,,,
7,1238087,36,,left,saccade,2.0,,,,633.558,475.892,435.61,334.9,,,
8,1238123,104,3.0126346153846137,right,fixation,,3.0,469.476777777778,351.063888888889,,,,,0.0,,
9,1238127,92,3.012130434782608,left,fixation,3.0,,433.4970416666671,349.938916666667,,,,,0.0,,
10,1238223,24,,left,saccade,3.0,,,,441.251,375.481,432.14599999999996,253.56799999999998,,,
11,1238231,16,,right,saccade,,3.0,,,465.155,338.8730000000001,447.649,287.418,,,
12,1238251,115,3.0513214285714283,left,fixation,4.0,,424.696566666667,241.78746666666697,,,,,0.0,,
13,1238251,135,3.0530606060606056,right,fixation,,4.0,430.60488571428596,252.5876,,,,,0.0,,
14,1238370,20,,left,saccade,4.0,,,,427.71,260.488,421.652,188.54,,,
15,1238390,4,,right,saccade,,4.0,,,423.77,200.40400000000002,423.56300000000016,192.713,,,
16,1238394,376,3.0451223404255314,left,fixation,5.0,,417.65315789473686,191.5354,,,,,1.0,6.609583070142258,16.744250266882652
17,1238398,372,3.0449247311827965,right,fixation,,5.0,411.91239361702105,178.10344680851105,,,,,1.0,4.971793810532014,11.048396489988944
18,1238774,20,,right,saccade,,5.0,,,418.806,188.295,496.065,216.017,,,
19,1238774,24,,left,saccade,5.0,,,,413.204,173.989,517.374,236.986,,,
20,1238798,308,3.0191103896103897,right,fixation,,6.0,494.45308974359,257.860423076923,,,,,1.0,6.5456876262162265,17.429624924248966
21,1238802,300,3.0189,left,fixation,6.0,,511.84372368421,271.408105263158,,,,,1.0,5.4232404545417054,13.391355756606586
22,1239106,28,,left,saccade,6.0,,,,486.731,280.997,442.892,155.842,,,
23,1239110,20,,right,saccade,,6.0,,,482.035,265.85900000000004,430.025,170.72400000000005,,,
24,1239134,792,3.1648888967668767,right,fixation,,7.0,408.916226130653,158.055361809045,,,,,0.0,,
25,1239138,784,3.1655461417772077,left,fixation,7.0,,400.38387817258905,126.626385786802,,,,,0.0,,
26,1239926,80,,left,saccade,7.0,,,,405.26300000000003,149.648,389.392,114.884,,,
27,1239930,44,,right,saccade,,7.0,,,409.73199999999997,168.84,402.478,123.473,,,
