,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,19761663,320,3.2263055555555566,left,fixation,1.0,,809.177333333333,185.91801234567902,,,,,0.0,,
1,19761663,320,3.2263055555555566,right,fixation,,1.0,818.852296296297,212.85507407407397,,,,,0.0,,
2,19761987,20,,left,saccade,1.0,,,,810.8330000000003,186.96,671.112,208.638,,,
3,19761987,20,,right,saccade,,1.0,,,806.403,213.109,668.44,220.132,,,
4,19762011,88,3.2543863636363644,left,fixation,2.0,,670.479695652174,228.99578260869598,,,,,0.0,,
5,19762011,88,3.2543863636363644,right,fixation,,2.0,664.018695652174,231.05352173913,,,,,0.0,,
6,19762103,24,,left,saccade,2.0,,,,668.819,227.646,485.772,139.188,,,
7,19762103,24,,right,saccade,,2.0,,,660.577,235.49400000000003,500.91,142.49200000000005,,,
8,19762131,452,3.265681415929204,left,fixation,3.0,,478.5602982456141,143.130070175439,,,,,0.0,,
9,19762131,452,3.265681415929204,right,fixation,,3.0,471.928350877193,135.73324561403498,,,,,1.0,4.072560162573159,14.64609794450385
10,19762587,36,,right,saccade,,3.0,,,480.594,147.88,885.332,135.016,,,
11,19762587,40,,left,saccade,3.0,,,,473.592,146.639,885.3639999999997,114.241,,,
12,19762627,176,3.2433409090909087,right,fixation,,4.0,916.003244444444,143.037666666667,,,,,1.0,5.921316775947005,14.830615799756922
13,19762631,172,3.243244186046511,left,fixation,4.0,,916.800840909091,138.5935,,,,,0.0,,
14,19762807,28,,left,saccade,4.0,,,,919.2239999999999,150.892,589.5169999999998,257.332,,,
15,19762807,32,,right,saccade,,4.0,,,926.762,140.852,596.813,255.46099999999998,,,
16,19762839,192,3.2503125,left,fixation,5.0,,572.4793061224491,268.851,,,,,0.0,,
17,19762843,188,3.2502659574468082,right,fixation,,5.0,572.846333333333,271.41829166666696,,,,,1.0,9.187983083293572,9.141343500820842
18,19763035,20,,left,saccade,5.0,,,,569.969,270.069,481.505,286.272,,,
19,19763035,20,,right,saccade,,5.0,,,572.214,274.222,475.288,277.481,,,
20,19763059,552,3.3199239130434783,right,fixation,,6.0,469.698625899281,265.982201438849,,,,,0.0,,
21,19763059,556,3.3199424460431652,left,fixation,6.0,,476.755228571429,281.616957142857,,,,,0.0,,
22,19763615,24,,right,saccade,,6.0,,,472.194,281.658,507.94199999999995,363.8,,,
23,19763619,20,,left,saccade,6.0,,,,490.45599999999996,297.83799999999997,508.411,380.209,,,
24,19763643,116,3.3132586206896555,left,fixation,7.0,,518.142466666667,398.688266666667,,,,,0.0,,
25,19763643,116,3.3132586206896555,right,fixation,,7.0,526.6102,391.0503333333329,,,,,1.0,4.457355235388398,8.284867711677721
26,19763763,56,,left,saccade,7.0,,,,516.112,399.751,1452.49,745.518,,,
27,19763763,56,,right,saccade,,7.0,,,528.306,415.075,1425.588,733.5110000000003,,,
28,19763823,224,3.3535982142857144,right,fixation,,8.0,1440.77652631579,755.3863859649118,,,,,0.0,,
29,19763823,236,3.3539661016949154,left,fixation,8.0,,1473.72431666667,775.813866666667,,,,,1.0,15.688018763445639,38.457855699453475
30,19764051,16,,right,saccade,,8.0,,,1441.5539999999999,760.6460000000003,1497.474,819.755,,,
31,19764063,0,,left,saccade,8.0,,,,1523.255,805.0360000000003,1523.255,805.0360000000003,,,
32,19764067,164,3.341658536585366,left,fixation,9.0,,1553.96964285714,850.0229761904761,,,,,1.0,10.55156278182945,38.73662504658868
33,19764071,164,3.341487804878049,right,fixation,,9.0,1521.61904761905,837.812,,,,,0.0,,
34,19764235,28,,left,saccade,9.0,,,,1556.828,873.6560000000003,1485.4189999999999,682.4010000000002,,,
35,19764239,20,,right,saccade,,9.0,,,1514.205,835.058,1490.839,710.578,,,
36,19764263,236,3.3698389830508475,right,fixation,,10.0,1461.32616666667,692.48195,,,,,1.0,3.7831681204748624,5.733693399546066
37,19764267,232,3.3701724137931035,left,fixation,10.0,,1473.7192711864402,681.966474576271,,,,,1.0,8.406906423358768,16.325137732956627
38,19764503,32,,left,saccade,10.0,,,,1475.398,693.931,1383.3570000000002,223.69,,,
39,19764503,36,,right,saccade,,10.0,,,1462.22,696.84,1427.569,247.97,,,
40,19764539,196,3.30265306122449,left,fixation,11.0,,1384.7281,205.356,,,,,0.0,,
41,19764543,192,3.302395833333333,right,fixation,,11.0,1396.219,212.779081632653,,,,,1.0,5.145956654392728,20.499589312959326
42,19764739,24,,left,saccade,11.0,,,,1374.435,202.484,1144.106,205.12900000000002,,,
43,19764739,28,,right,saccade,,11.0,,,1394.339,201.08700000000002,1151.3039999999999,203.2,,,
44,19764767,84,3.28547619047619,left,fixation,12.0,,1131.19577272727,206.210863636364,,,,,0.0,,
45,19764771,80,3.284925,right,fixation,,12.0,1138.2910000000004,204.89590476190497,,,,,1.0,3.3417444089045287,11.88205171677011
46,19764855,28,,left,saccade,12.0,,,,1131.002,201.717,726.419,215.769,,,
47,19764855,40,,right,saccade,,12.0,,,1118.032,204.042,716.225,209.78599999999997,,,
48,19764887,188,3.2801702127659578,left,fixation,13.0,,682.5539375,183.04202083333303,,,,,1.0,7.162868010712551,20.73095465722701
49,19764899,172,3.2803372093023264,right,fixation,,13.0,702.436727272727,208.60922727272703,,,,,2.0,4.098284881073297,11.79793342415132
50,19765075,24,,right,saccade,,13.0,,,687.49,188.98,494.44699999999995,205.796,,,
51,19765079,20,,left,saccade,13.0,,,,683.79,179.7,498.189,200.827,,,
52,19765103,200,3.305921568627451,left,fixation,14.0,,485.63178431372495,218.873352941176,,,,,0.0,,
53,19765103,208,3.306424528301887,right,fixation,,14.0,479.518358490566,221.057641509434,,,,,1.0,3.9511600441445514,3.5142744628159064
54,19765307,20,,left,saccade,14.0,,,,476.874,224.856,438.62,139.0,,,
55,19765315,12,,right,saccade,,14.0,,,469.02099999999996,211.81,463.14,164.658,,,
56,19765331,180,3.337895838433292,left,fixation,15.0,,438.09576086956497,132.545065217391,,,,,0.0,,
57,19765331,184,3.337895838433292,right,fixation,,15.0,442.225765957447,145.319723404255,,,,,1.0,9.645172347403188,18.46218058626878
58,19765515,8,,left,saccade,15.0,,,,457.167,136.561,491.30699999999996,135.41299999999998,,,
59,19765519,4,,right,saccade,,15.0,,,474.949,146.874,484.93699999999995,146.629,,,
60,19765527,76,,left,fixation,16.0,,512.0297,139.35805,,,,,0.0,,
61,19765527,76,,right,fixation,,16.0,505.45155,142.88985,,,,,0.0,,
62,19765607,40,,left,saccade,16.0,,,,519.225,145.30100000000004,425.75,128.238,,,
63,19765607,40,,right,saccade,,16.0,,,509.486,154.274,399.775,153.13299999999995,,,
64,19765771,208,3.36404,right,fixation,,17.0,417.1803962264151,144.849981132076,,,,,0.0,,
65,19765783,560,3.375375,left,fixation,17.0,,475.483673758865,146.285546099291,,,,,1.0,6.665363633074423,16.014406326804558
66,19765983,0,,right,saccade,,17.0,,,463.52099999999996,144.86700000000005,463.52099999999996,144.86700000000005,,,
67,19765987,352,3.3785909090909088,right,fixation,,18.0,506.618382022472,150.456011235955,,,,,2.0,5.698660713582717,15.565375714887438
68,19766343,24,,right,saccade,,18.0,,,532.797,154.601,705.428,205.47099999999998,,,
69,19766347,24,,left,saccade,17.0,,,,530.302,151.91,721.3919999999997,189.338,,,
70,19766371,196,3.3026020408163266,right,fixation,,19.0,713.8854200000003,229.64806000000002,,,,,1.0,4.0792427299683975,12.806011283768273
71,19766375,192,3.3016875000000003,left,fixation,18.0,,726.245959183674,223.456591836735,,,,,0.0,,
72,19766571,24,,right,saccade,,19.0,,,717.78,229.925,964.7239999999999,229.627,,,
73,19766571,28,,left,saccade,18.0,,,,735.312,227.24099999999999,929.444,215.41,,,
74,19766599,180,3.2947608695652173,right,fixation,,20.0,960.2543260869568,240.232130434783,,,,,0.0,,
75,19766603,176,3.2944555555555564,left,fixation,19.0,,949.585577777778,203.52437777777803,,,,,1.0,6.403294310569959,16.859407136670004
76,19766783,24,,left,saccade,19.0,,,,975.81,227.88,1177.411,222.69,,,
77,19766783,24,,right,saccade,,20.0,,,959.672,247.081,1193.41,248.217,,,
78,19766811,548,3.2519411764705883,left,fixation,20.0,,1199.32726086957,218.264956521739,,,,,0.0,,
79,19766811,548,3.2519411764705883,right,fixation,,21.0,1194.7582826087,235.549217391304,,,,,2.0,4.61927267095092,15.20766347781068
80,19767363,24,,left,saccade,20.0,,,,1208.9189999999999,220.09900000000002,1352.207,236.83599999999998,,,
81,19767363,24,,right,saccade,,21.0,,,1204.9260000000004,243.003,1355.6370000000004,242.458,,,
