,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2551968,72,3.2261388888888884,left,fixation,1.0,,565.963631578947,61.25100000000001,,,,,0.0,,
1,2551968,72,3.2261388888888884,right,fixation,,1.0,571.317578947368,50.550052631579,,,,,0.0,,
2,2552044,24,,left,saccade,1.0,,,,570.589,67.089,509.0,181.03599999999997,,,
3,2552044,24,,right,saccade,,1.0,,,575.7,60.768,510.194,194.81,,,
4,2552072,184,3.2312157608695657,left,fixation,2.0,,484.83791489361687,178.348212765957,,,,,3.0,3.7792506496659852,19.240305674850827
5,2552072,184,3.2312157608695657,right,fixation,,2.0,489.783765957447,179.07297872340405,,,,,0.0,,
6,2552260,40,,left,saccade,2.0,,,,491.064,191.90599999999998,421.184,137.162,,,
7,2552260,44,,right,saccade,,2.0,,,482.647,184.40099999999998,433.51099999999997,167.773,,,
8,2552416,272,3.2614712643678163,right,fixation,,3.0,427.31995652173896,188.891115942029,,,,,1.0,5.764078419641588,22.477473278818536
9,2552420,272,3.2617078651685385,left,fixation,3.0,,423.837014492754,161.248579710145,,,,,0.0,,
10,2552692,20,,right,saccade,,3.0,,,431.211,190.049,477.334,276.008,,,
11,2552696,20,,left,saccade,3.0,,,,437.379,190.783,460.485,267.67,,,
12,2552716,240,3.293908333333333,right,fixation,,4.0,491.35944262295095,284.381721311475,,,,,0.0,,
13,2552720,232,3.294137931034483,left,fixation,4.0,,487.38005084745794,277.840559322034,,,,,1.0,2.8623011818387467,4.57790312260978
14,2552956,28,,left,saccade,4.0,,,,490.483,281.347,364.98800000000006,174.71200000000005,,,
15,2552960,24,,right,saccade,,4.0,,,486.61699999999996,272.84,403.48,198.78099999999998,,,
16,2552988,516,3.3201007751937985,left,fixation,5.0,,383.264353846154,172.213623076923,,,,,2.0,4.846982792377698,29.13988837708447
17,2552988,516,3.3201007751937985,right,fixation,,5.0,388.223769230769,175.902423076923,,,,,1.0,5.524305087017231,20.351870405444316
18,2553508,24,,right,saccade,,5.0,,,400.81800000000004,199.75099999999998,636.695,214.003,,,
19,2553508,32,,left,saccade,5.0,,,,402.283,194.623,646.4169999999998,238.02900000000002,,,
20,2553536,668,3.454355654761905,right,fixation,,6.0,699.189785714286,265.640005952381,,,,,4.0,6.609148106882246,21.473922550550824
21,2553544,660,3.455375,left,fixation,6.0,,688.8656024096381,255.448475903615,,,,,1.0,10.332596022082518,56.997346639997346
22,2554208,32,,left,saccade,6.0,,,,709.7719999999997,249.77900000000002,417.84,430.985,,,
23,2554208,32,,right,saccade,,6.0,,,721.925,258.98400000000004,444.29,471.406,,,
24,2554244,747,3.5471854838709675,left,fixation,7.0,,412.021654255319,426.00857978723394,,,,,4.0,3.5716536589276533,19.630959459517086
25,2554244,747,3.5471854838709675,right,fixation,,7.0,421.88617021276605,464.83075,,,,,3.0,5.172113921047532,20.06274993504491
26,2554995,40,,right,saccade,,7.0,,,390.19199999999995,472.92800000000005,929.0110000000001,564.6569999999998,,,
27,2554995,44,,left,saccade,7.0,,,,393.901,433.654,901.799,533.127,,,
28,2555039,584,3.626859589041096,right,fixation,,8.0,949.588462585034,571.821673469388,,,,,2.0,6.080474757391224,24.87990237708475
29,2555043,576,3.6272430555555553,left,fixation,8.0,,943.335606896552,550.453606896552,,,,,3.0,3.324255402476414,15.433720314582882
30,2555623,44,,left,saccade,8.0,,,,961.393,548.3340000000002,408.904,719.263,,,
31,2555627,40,,right,saccade,,8.0,,,961.5319999999999,544.873,410.597,722.0219999999997,,,
32,2555671,821,3.5726859903381647,left,fixation,9.0,,404.422097087379,704.308286407767,,,,,6.0,5.3693779065671645,21.799749266777386
33,2555671,821,3.5726859903381647,right,fixation,,9.0,409.58763106796096,727.2067087378641,,,,,6.0,4.594442520166047,20.143386834871077
34,2556496,32,,right,saccade,,9.0,,,399.152,737.7,820.1669999999997,814.799,,,
35,2556496,36,,left,saccade,9.0,,,,395.455,724.2180000000003,799.97,794.018,,,
36,2556532,112,3.5875714285714286,right,fixation,,10.0,823.893,811.4520344827589,,,,,0.0,,
37,2556536,108,3.588166666666666,left,fixation,10.0,,808.0129642857138,800.71425,,,,,0.0,,
38,2556648,20,,left,saccade,10.0,,,,809.7439999999997,804.99,712.56,811.623,,,
39,2556648,20,,right,saccade,,10.0,,,819.571,812.166,717.3760000000003,815.403,,,
40,2556672,120,3.5940833333333333,left,fixation,11.0,,698.0910322580638,822.806419354839,,,,,0.0,,
41,2556672,120,3.5940833333333333,right,fixation,,11.0,711.3940322580638,825.530161290323,,,,,0.0,,
42,2556796,32,,left,saccade,11.0,,,,699.6410000000003,822.93,431.535,707.439,,,
43,2556796,32,,right,saccade,,11.0,,,712.668,828.372,448.69199999999995,725.122,,,
44,2556832,451,3.533785714285714,left,fixation,12.0,,418.76335964912215,694.983622807017,,,,,1.0,2.7761923014165304,8.052224102693629
45,2556832,451,3.533785714285714,right,fixation,,12.0,433.65745614035103,712.469289473684,,,,,0.0,,
46,2557287,24,,right,saccade,,12.0,,,435.48800000000006,720.3330000000003,567.832,857.688,,,
47,2557287,28,,left,saccade,12.0,,,,425.37800000000004,701.799,551.9490000000002,861.85,,,
48,2557315,144,3.498611111111112,right,fixation,,13.0,580.225648648649,872.0242702702701,,,,,0.0,,
49,2557319,136,3.4989558823529414,left,fixation,13.0,,574.742514285714,872.4562857142862,,,,,1.0,3.0379381576984303,7.753248867410361
50,2557459,16,,left,saccade,13.0,,,,585.14,879.581,525.615,865.291,,,
51,2557463,12,,right,saccade,,13.0,,,581.35,876.673,530.43,874.887,,,
52,2557479,108,3.5014629629629628,right,fixation,,14.0,511.597464285714,876.8605,,,,,0.0,,
53,2557479,112,3.5020714285714285,left,fixation,14.0,,511.50117241379303,841.175827586207,,,,,0.0,,
54,2557591,24,,right,saccade,,14.0,,,512.6519999999998,869.9689999999997,698.688,864.887,,,
55,2557595,24,,left,saccade,14.0,,,,501.787,828.453,688.6389999999999,835.385,,,
56,2557619,885,3.538652466367713,right,fixation,,15.0,717.1443468468469,825.036081081081,,,,,2.0,4.225878884969048,13.130165289908508
57,2557623,881,3.5386036036036033,left,fixation,15.0,,708.1537285067882,817.5621131221719,,,,,0.0,,
58,2558508,47,,left,saccade,15.0,,,,708.587,802.015,1401.954,854.1060000000001,,,
59,2558508,51,,right,saccade,,15.0,,,719.9060000000003,810.4,1415.2420000000006,876.327,,,
60,2558559,184,3.5315760869565223,left,fixation,16.0,,1417.20989361702,869.4441702127658,,,,,2.0,3.3249406423787558,12.24192699026758
61,2558563,440,3.527011261261261,right,fixation,,16.0,1467.86699099099,914.289315315315,,,,,4.0,7.7538592940004705,27.024018665888658
62,2558747,12,,left,saccade,16.0,,,,1422.957,873.265,1470.118,906.227,,,
