,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2271161,180,2.8586630434782614,left,fixation,1.0,,1533.37923913043,756.485065217391,,,,,0.0,,
1,2271161,180,2.8586630434782614,right,fixation,,1.0,1522.3454347826098,726.5460869565221,,,,,0.0,,
2,2271345,56,,left,saccade,1.0,,,,1524.398,746.602,721.732,403.76099999999997,,,
3,2271345,56,,right,saccade,,1.0,,,1516.629,720.962,720.0310000000003,396.849,,,
4,2271405,104,2.8446923076923065,left,fixation,2.0,,713.832851851852,384.366481481481,,,,,0.0,,
5,2271405,108,2.8445925925925923,right,fixation,,2.0,718.4955,383.12953571428596,,,,,0.0,,
6,2271513,28,,left,saccade,2.0,,,,710.518,380.156,571.595,273.971,,,
7,2271517,28,,right,saccade,,2.0,,,716.3389999999997,383.84,586.646,265.786,,,
8,2271545,128,2.853484375,left,fixation,3.0,,554.635393939394,227.393545454546,,,,,1.0,6.612655396199676,15.056343945327484
9,2271549,124,2.8534838709677417,right,fixation,,3.0,567.765625,243.6898125,,,,,0.0,,
10,2271677,16,,left,saccade,3.0,,,,541.327,212.25599999999997,474.972,186.011,,,
11,2271677,16,,right,saccade,,3.0,,,556.695,228.312,486.601,207.553,,,
12,2271697,396,2.865515151515152,right,fixation,,4.0,455.61954000000003,167.48277,,,,,0.0,,
13,2271697,652,2.860782208588957,left,fixation,4.0,,475.977,164.39543902439,,,,,1.0,11.226272867697446,35.491320065616065
14,2272097,16,,right,saccade,,4.0,,,434.12300000000016,151.119,504.713,157.702,,,
15,2272117,232,2.852594827586207,right,fixation,,5.0,526.4566949152539,179.242745762712,,,,,0.0,,
16,2272353,16,,left,saccade,4.0,,,,520.502,171.997,589.019,172.908,,,
17,2272353,16,,right,saccade,,5.0,,,525.391,187.24099999999999,603.769,193.05,,,
18,2272373,264,2.856416666666666,left,fixation,5.0,,612.968164179105,177.384074626866,,,,,0.0,,
19,2272373,268,2.856283582089552,right,fixation,,6.0,631.185985294117,206.28554411764702,,,,,0.0,,
20,2272641,20,,left,saccade,5.0,,,,624.703,188.885,711.056,187.09400000000002,,,
21,2272645,16,,right,saccade,,6.0,,,637.935,202.679,717.523,202.679,,,
22,2272665,660,2.839469696969697,left,fixation,6.0,,790.350572289156,196.09548795180697,,,,,2.0,6.924473939515673,23.173669127887898
23,2272665,668,2.839721556886228,right,fixation,,7.0,798.2809583333328,207.38365476190498,,,,,4.0,7.608576610730371,20.730146272053297
24,2273329,16,,left,saccade,6.0,,,,829.748,205.56799999999998,753.403,203.77200000000002,,,
25,2273337,12,,right,saccade,,7.0,,,810.932,229.053,777.883,227.139,,,
26,2273349,376,2.8730904255319154,left,fixation,7.0,,748.9372736842108,190.34257894736805,,,,,0.0,,
27,2273353,372,2.873236559139785,right,fixation,,8.0,758.2294361702119,205.992436170213,,,,,1.0,5.398534165760979,12.80318850911748
28,2273729,20,,right,saccade,,8.0,,,762.796,188.243,649.476,202.886,,,
29,2273729,24,,left,saccade,7.0,,,,756.166,186.393,630.342,176.828,,,
30,2273753,264,2.869878787878788,right,fixation,,9.0,634.974119402984,204.470074626866,,,,,0.0,,
31,2273757,260,2.8697769230769232,left,fixation,8.0,,620.696666666667,175.96125757575803,,,,,0.0,,
32,2274021,20,,left,saccade,8.0,,,,626.2769999999998,180.34,540.882,192.803,,,
33,2274021,20,,right,saccade,,9.0,,,637.196,195.718,554.306,197.275,,,
34,2274045,696,2.87432183908046,right,fixation,,10.0,476.5292171428569,186.020274285714,,,,,1.0,10.173083020347796,28.593444790720774
35,2274045,700,2.8743314285714288,left,fixation,9.0,,463.01364204545405,172.361272727273,,,,,2.0,5.6818377404659115,19.73910276415355
36,2274745,20,,right,saccade,,10.0,,,456.689,175.947,531.143,190.857,,,
37,2274749,16,,left,saccade,9.0,,,,466.032,191.80599999999998,531.5830000000002,186.62400000000002,,,
38,2274769,523,2.882440968419761,left,fixation,10.0,,538.902712121213,189.830977272727,,,,,0.0,,
39,2274769,531,2.8824409684197607,right,fixation,,11.0,543.44097761194,204.030529850746,,,,,2.0,5.136352639133451,17.133971742473506
40,2275296,60,,left,saccade,10.0,,,,545.1419999999998,205.842,594.33,209.885,,,
41,2275304,40,,right,saccade,,11.0,,,527.549,193.278,527.219,194.18200000000002,,,
42,2275444,713,2.849188166275066,right,fixation,,12.0,619.124810055865,223.965748603352,,,,,4.0,7.08053383987074,23.216369088823928
43,2275496,661,2.849188166275066,left,fixation,11.0,,612.680487951807,190.62317469879503,,,,,2.0,7.0744368558355974,26.41206162113472
44,2276161,20,,left,saccade,11.0,,,,621.0790000000002,192.095,725.305,195.118,,,
