,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,10650325,252,2.9486757812499995,left,fixation,1.0,,1448.684640625,846.808421875,,,,,0.0,,
1,10650325,252,2.9486757812499995,right,fixation,,1.0,1438.863734375,856.069015625,,,,,0.0,,
2,10650581,60,,left,saccade,1.0,,,,1448.737,847.6,722.949,352.722,,,
3,10650581,60,,right,saccade,,1.0,,,1440.5410000000006,856.7189999999997,726.831,386.691,,,
4,10650645,124,2.890258064516129,left,fixation,2.0,,711.58028125,339.53009375,,,,,0.0,,
5,10650645,124,2.890258064516129,right,fixation,,2.0,698.57159375,362.61140625,,,,,0.0,,
6,10650773,36,,right,saccade,,2.0,,,685.673,338.311,427.245,242.33,,,
7,10650773,40,,left,saccade,2.0,,,,707.185,332.837,430.83099999999996,189.389,,,
8,10650813,3932,2.947655137334689,right,fixation,,3.0,388.66911077235915,170.097266260163,,,,,1.0,6.161934231409988,22.944076904508506
9,10650817,3932,2.9477339776195324,left,fixation,3.0,,405.66874390244,165.19457621951202,,,,,3.0,4.906854518911124,18.045424424387022
10,10654749,24,,right,saccade,,3.0,,,386.608,181.887,467.282,252.64700000000002,,,
11,10654753,20,,left,saccade,3.0,,,,401.026,182.592,477.93699999999995,221.41,,,
12,10654777,1220,2.9460800653594768,left,fixation,4.0,,487.62187908496696,263.501450980392,,,,,0.0,,
13,10654777,1220,2.9460800653594768,right,fixation,,4.0,485.79037254902,289.587058823529,,,,,0.0,,
14,10656001,24,,right,saccade,,4.0,,,483.70099999999996,301.44,656.638,297.781,,,
15,10656001,28,,left,saccade,4.0,,,,488.806,270.596,637.29,264.135,,,
16,10656029,144,2.9800555555555555,right,fixation,,5.0,670.224054054054,295.117837837838,,,,,1.0,14.87770491279559,35.065827068529394
17,10656033,1460,2.945694520547945,left,fixation,5.0,,722.906043715846,288.156251366121,,,,,1.0,7.1625043979044225,38.89605580261337
18,10656177,0,,right,saccade,,5.0,,,716.159,290.2920000000001,716.159,290.2920000000001,,,
19,10656181,1308,2.94189755351682,right,fixation,,6.0,724.4217378048779,301.267304878049,,,,,1.0,3.880589760447327,8.020542936734232
20,10657493,28,,right,saccade,,6.0,,,724.0210000000003,316.06,905.8969999999999,302.4170000000001,,,
21,10657497,24,,left,saccade,5.0,,,,737.4639999999997,298.438,908.035,291.872,,,
22,10657525,1988,2.8493328313253015,left,fixation,6.0,,957.5577329317281,295.417451807229,,,,,4.0,5.500699444794532,14.489093210920785
23,10657525,1988,2.8493328313253015,right,fixation,,7.0,955.76218875502,310.55398795180696,,,,,2.0,8.092361648796517,36.8032722148424
24,10659517,24,,left,saccade,6.0,,,,967.113,304.445,1149.27,299.265,,,
25,10659517,28,,right,saccade,,7.0,,,967.057,311.387,1163.192,314.8540000000001,,,
26,10659545,1512,2.8851574074074082,left,fixation,7.0,,1180.8265171504,297.39440633245397,,,,,3.0,8.690475626333571,23.83203311760779
27,10659549,1508,2.8852108753315653,right,fixation,,8.0,1178.01082010582,315.822386243387,,,,,2.0,8.779624097320577,25.991161004624857
28,10661061,28,,left,saccade,7.0,,,,1244.545,311.941,1459.691,310.913,,,
29,10661061,28,,right,saccade,,8.0,,,1248.121,307.907,1456.842,308.681,,,
30,10661093,491,2.878331967213115,left,fixation,8.0,,1456.04528225806,292.311556451613,,,,,0.0,,
31,10661093,491,2.878331967213115,right,fixation,,9.0,1445.74666129032,296.925064516129,,,,,1.0,4.103970452162377,8.490516179832689
32,10661588,28,,left,saccade,8.0,,,,1450.016,294.387,1196.247,289.21299999999997,,,
33,10661588,28,,right,saccade,,9.0,,,1444.819,300.688,1185.099,309.716,,,
34,10661620,1321,2.8442583081571002,left,fixation,9.0,,1183.6043836858,293.617477341389,,,,,1.0,7.140497751479861,23.58349545762882
35,10661620,1321,2.8442583081571002,right,fixation,,10.0,1180.68934743202,305.77203021148,,,,,0.0,,
36,10662945,48,,left,saccade,9.0,,,,1192.626,296.95799999999997,679.716,290.791,,,
37,10662945,48,,right,saccade,,10.0,,,1189.22,311.21299999999997,672.288,299.552,,,
38,10662997,207,2.9192745098039214,left,fixation,10.0,,664.0219999999998,277.308132075472,,,,,0.0,,
39,10662997,431,2.898439252336449,right,fixation,,11.0,600.123697247706,279.876944954128,,,,,2.0,8.518814234849827,27.545341325466552
40,10663208,16,,left,saccade,10.0,,,,656.5980000000002,281.02,597.477,281.02,,,
41,10663228,288,2.8720069444444443,left,fixation,11.0,,566.21706849315,269.73743835616403,,,,,2.0,5.021893714721225,18.908261845231113
42,10663432,16,,right,saccade,,11.0,,,562.529,272.954,510.07,275.941,,,
43,10663452,64,2.85996875,right,fixation,,12.0,494.327294117647,271.252058823529,,,,,0.0,,
44,10663520,24,,left,saccade,11.0,,,,531.251,271.183,716.8989999999999,278.218,,,
45,10663520,24,,right,saccade,,12.0,,,491.286,274.829,696.654,281.49,,,
46,10663548,292,2.8208767123287672,left,fixation,12.0,,733.7722297297299,292.267878378379,,,,,1.0,4.720755742227882,11.292598992260206
47,10663548,292,2.8208767123287672,right,fixation,,13.0,721.312716216216,302.508337837838,,,,,0.0,,
48,10663844,36,,right,saccade,,13.0,,,722.831,300.024,428.918,390.21,,,
49,10663844,44,,left,saccade,12.0,,,,721.5189999999999,284.84,431.463,395.116,,,
50,10663884,3836,2.8314655891553704,right,fixation,,14.0,405.335410416667,441.04355,,,,,3.0,4.421028589307227,13.754443533871806
51,10663892,3824,2.831443514644352,left,fixation,13.0,,405.08204911180803,433.15660292581003,,,,,3.0,5.32021253708626,17.195174137437164
52,10667720,28,,left,saccade,13.0,,,,422.286,431.11800000000005,515.077,520.655,,,
53,10667724,24,,right,saccade,,14.0,,,424.73800000000006,463.684,499.33,550.159,,,
54,10667752,2540,2.812051100628931,left,fixation,14.0,,489.178966981133,558.8317767295598,,,,,2.0,6.922149534377395,22.551437885977634
55,10667752,2540,2.812051100628931,right,fixation,,15.0,493.48664465408797,564.426911949686,,,,,3.0,6.093536087315475,16.545475461828403
56,10670296,24,,left,saccade,14.0,,,,483.593,566.052,382.32099999999997,492.524,,,
57,10670296,24,,right,saccade,,15.0,,,482.639,554.262,389.746,484.843,,,
58,10670324,1744,2.8723337155963304,left,fixation,15.0,,400.275695652174,440.30698398169295,,,,,1.0,4.427008746822676,9.31088502775115
59,10670324,1748,2.872037757437071,right,fixation,,16.0,407.86239269406303,454.536043378996,,,,,0.0,,
60,10672072,28,,left,saccade,15.0,,,,404.00300000000004,456.704,490.055,530.923,,,
61,10672076,24,,right,saccade,,16.0,,,429.32599999999996,465.715,509.777,543.326,,,
62,10672104,2364,2.737115059221658,left,fixation,16.0,,484.84717905405404,562.363738175676,,,,,0.0,,
63,10672104,2368,2.737214527027027,right,fixation,,17.0,492.696212478921,571.3160758853289,,,,,1.0,4.672698155836254,11.283125675095437
64,10674472,20,,left,saccade,16.0,,,,478.68,561.178,398.615,545.2090000000002,,,
65,10674476,20,,right,saccade,,17.0,,,465.287,573.825,400.134,543.225,,,
66,10674496,527,2.8111946564885497,left,fixation,17.0,,430.31954135338304,450.613187969925,,,,,3.0,6.4286225582002805,37.40608496212142
67,10674500,523,2.8111384615384623,right,fixation,,18.0,434.8704393939389,461.50161363636397,,,,,2.0,9.048521325958022,40.00221374025513
68,10675027,4,,right,saccade,,18.0,,,469.75,466.166,478.184,471.816,,,
69,10675027,16,,left,saccade,17.0,,,,443.13300000000004,441.907,484.00699999999995,480.57300000000004,,,
70,10675035,436,2.7749770642201828,right,fixation,,19.0,486.63871818181815,504.4478,,,,,0.0,,
71,10675047,428,2.7753271028037383,left,fixation,18.0,,501.5706203703711,500.42800000000005,,,,,2.0,4.753939259092991,12.843542416226065
72,10675475,36,,right,saccade,,19.0,,,469.96,511.689,739.0089999999999,503.915,,,
73,10675479,32,,left,saccade,18.0,,,,502.645,490.82800000000003,733.1,493.58099999999996,,,
74,10675515,936,2.7212136752136753,left,fixation,19.0,,732.3067234042551,554.5923914893609,,,,,1.0,11.964562638846774,42.050397786465616
75,10675515,936,2.7212136752136753,right,fixation,,20.0,736.776557446809,550.757204255319,,,,,1.0,6.80131206296092,25.64519590488649
76,10676455,28,,right,saccade,,20.0,,,737.059,561.697,951.422,553.997,,,
77,10676455,32,,left,saccade,19.0,,,,724.096,569.9680000000002,948.0060000000001,553.49,,,
78,10676487,1008,2.6555793650793653,right,fixation,,21.0,962.883328063243,572.944905138339,,,,,0.0,,
79,10676491,1004,2.655573705179284,left,fixation,20.0,,957.973587301587,561.309,,,,,0.0,,
80,10677499,28,,left,saccade,20.0,,,,955.535,565.072,1149.155,566.189,,,
81,10677499,28,,right,saccade,,21.0,,,961.447,579.808,1142.896,558.749,,,
82,10677531,796,2.673987437185929,left,fixation,21.0,,1199.794705,549.3318849999998,,,,,3.0,5.730011875320233,18.404610756522576
83,10677531,796,2.673987437185929,right,fixation,,22.0,1203.7448,559.31386,,,,,2.0,8.247101418794635,26.864124571647736
84,10678331,24,,left,saccade,21.0,,,,1197.6860000000001,559.373,1388.376,556.65,,,
85,10678331,32,,right,saccade,,22.0,,,1213.246,563.56,1428.882,560.177,,,
86,10678359,832,2.7612259615384622,left,fixation,22.0,,1436.75920095694,550.996205741627,,,,,2.0,4.523502212907788,9.844116914106703
87,10678367,824,2.7619223300970868,right,fixation,,23.0,1436.9080628019299,555.221898550725,,,,,0.0,,
88,10679195,68,,left,saccade,22.0,,,,1431.7779999999998,564.061,504.705,455.152,,,
89,10679195,68,,right,saccade,,23.0,,,1426.943,547.278,487.246,473.605,,,
90,10679267,372,2.86686170212766,left,fixation,23.0,,458.806755319148,455.546010638298,,,,,2.0,6.62934086538891,24.930899999086012
91,10679267,372,2.86686170212766,right,fixation,,24.0,446.089968085107,464.00470212766,,,,,2.0,6.562773488467903,20.429930805572926
92,10679643,20,,left,saccade,23.0,,,,420.767,445.20300000000003,492.345,461.06300000000016,,,
93,10679643,20,,right,saccade,,24.0,,,409.173,444.705,480.43199999999996,465.756,,,
94,10679667,192,2.8649270833333333,left,fixation,24.0,,498.6620408163269,485.212408163265,,,,,0.0,,
95,10679667,192,2.8649270833333333,right,fixation,,25.0,489.452979591837,495.189632653061,,,,,0.0,,
96,10679863,28,,left,saccade,24.0,,,,499.42,503.408,408.202,621.116,,,
97,10679863,28,,right,saccade,,25.0,,,481.034,502.491,385.524,621.654,,,
98,10679895,1212,2.8761627269612884,left,fixation,25.0,,413.453720394737,693.6308355263161,,,,,4.0,5.639628069489103,22.129403124328817
99,10679895,1216,2.8761627269612884,right,fixation,,26.0,402.846219672131,706.2706655737691,,,,,3.0,5.518709532279601,19.666065075842074
100,10681111,40,,left,saccade,25.0,,,,411.3,679.1,365.407,679.775,,,
101,10681115,40,,right,saccade,,26.0,,,395.175,695.4789999999997,401.218,702.3480000000003,,,
102,10681235,7236,2.803936380853994,right,fixation,,27.0,404.27786408839796,714.7830265193352,,,,,0.0,,
103,10681239,7240,2.8038924499337545,left,fixation,26.0,,404.3808746548861,703.5555648812822,,,,,13.0,4.773938753615143,13.906086135946465
104,10688475,36,,right,saccade,,27.0,,,386.295,707.82,562.57,821.5880000000003,,,
105,10688483,28,,left,saccade,26.0,,,,426.374,721.0269999999997,548.58,809.0930000000003,,,
106,10688515,132,2.7904393939393937,left,fixation,27.0,,573.376323529412,849.6390294117641,,,,,2.0,4.09011483381354,9.706786783685924
107,10688515,132,2.7904393939393937,right,fixation,,28.0,579.332941176471,858.4345588235291,,,,,0.0,,
108,10688651,16,,right,saccade,,28.0,,,587.158,868.688,516.009,863.578,,,
109,10688651,20,,left,saccade,27.0,,,,578.51,856.68,501.62300000000016,844.013,,,
110,10688671,1824,2.806245614035088,right,fixation,,29.0,498.078048140044,869.454363238512,,,,,0.0,,
111,10688675,1820,2.8062659340659337,left,fixation,28.0,,498.512451754387,846.068232456141,,,,,5.0,4.520274240909599,14.421188328576415
112,10690499,24,,left,saccade,28.0,,,,479.66900000000004,836.47,395.64300000000003,685.69,,,
113,10690499,24,,right,saccade,,29.0,,,512.487,872.9060000000003,426.93300000000005,732.395,,,
114,10690527,1511,2.7851107954545458,left,fixation,29.0,,403.09606596305997,691.771997361477,,,,,1.0,4.955594958114392,24.169458578958718
115,10690527,1515,2.7851107954545453,right,fixation,,30.0,403.592628947369,709.095981578947,,,,,0.0,,
116,10692042,40,,left,saccade,29.0,,,,396.101,708.382,392.119,873.2489999999997,,,
117,10692046,40,,right,saccade,,30.0,,,411.25,711.824,438.059,867.317,,,
118,10692158,1880,2.788617848970252,right,fixation,,31.0,489.04073460722,857.356605095542,,,,,1.0,4.837548472338244,13.033175553179634
119,10692170,1872,2.7889817351598167,left,fixation,30.0,,487.895091684435,846.611023454158,,,,,4.0,7.079861519352014,18.441124360152774
120,10694042,32,,right,saccade,,31.0,,,508.389,839.5169999999997,780.689,819.802,,,
121,10694046,28,,left,saccade,30.0,,,,503.26300000000003,815.3539999999997,758.831,817.673,,,
122,10694078,124,2.9745483870967746,left,fixation,31.0,,789.8329375,815.69928125,,,,,2.0,5.7231890842106345,15.109218555652662
123,10694078,1052,2.8993996212121207,right,fixation,,32.0,727.401363636364,839.3398598484848,,,,,1.0,16.518515801299433,53.49127294241548
124,10694206,16,,left,saccade,31.0,,,,789.954,822.375,733.577,824.06,,,
125,10694226,908,2.8867017543859648,left,fixation,32.0,,714.9762149122798,837.535942982457,,,,,2.0,4.393786923318172,15.413325856659375
126,10695134,32,,right,saccade,,32.0,,,726.669,849.303,922.691,824.301,,,
127,10695138,24,,left,saccade,32.0,,,,722.4639999999997,849.67,889.9580000000003,823.3960000000003,,,
128,10695166,1352,2.8373545994065283,left,fixation,33.0,,959.197710914455,812.316401179941,,,,,0.0,,
129,10695170,1348,2.8373720238095244,right,fixation,,33.0,951.4669053254448,815.916020710058,,,,,0.0,,
130,10696522,48,,left,saccade,33.0,,,,956.66,834.087,384.82599999999996,713.467,,,
131,10696522,56,,right,saccade,,33.0,,,959.802,817.273,368.339,736.3889999999999,,,
132,10696574,1460,2.7902547945205485,left,fixation,34.0,,402.34221311475403,699.5563606557381,,,,,1.0,4.223960506575692,10.149699108840688
133,10696582,1448,2.790229281767956,right,fixation,,34.0,389.89227272727305,706.7990303030299,,,,,3.0,4.672609038397353,11.267229927715304
134,10698034,52,,right,saccade,,34.0,,,384.871,686.439,957.512,777.8489999999997,,,
135,10698038,44,,left,saccade,34.0,,,,405.379,678.956,958.16,774.409,,,
136,10698086,336,2.713375,left,fixation,35.0,,968.417811764705,815.344764705882,,,,,1.0,5.7883447955544325,13.962113450334096
137,10698090,332,2.712783132530121,right,fixation,,35.0,952.492595238095,835.004916666667,,,,,1.0,4.873834780972984,29.018427335057336
138,10698426,52,,right,saccade,,35.0,,,953.811,808.449,994.597,261.265,,,
139,10698426,56,,left,saccade,35.0,,,,973.8739999999999,812.3660000000001,989.7669999999999,249.98,,,
140,10698482,128,2.8027121212121213,right,fixation,,36.0,973.873939393939,219.869515151515,,,,,1.0,4.457865464546914,8.574083332928383
141,10698486,120,2.8034193548387085,left,fixation,36.0,,989.5697096774188,221.67251612903198,,,,,0.0,,
142,10698610,20,,left,saccade,36.0,,,,987.9019999999999,217.645,964.632,140.029,,,
143,10698614,16,,right,saccade,,36.0,,,970.672,217.865,954.324,154.659,,,
144,10698634,60,2.8333333333333326,right,fixation,,37.0,927.602125,139.4786875,,,,,0.0,,
145,10698634,64,2.83346875,left,fixation,37.0,,948.893882352941,110.786117647059,,,,,0.0,,
146,10698698,20,,right,saccade,,37.0,,,914.798,136.484,942.143,41.583,,,
147,10698702,16,,left,saccade,37.0,,,,942.821,101.71600000000001,956.763,46.463,,,
148,10698722,268,2.8502686567164184,left,fixation,38.0,,969.173544117647,23.731088235294102,,,,,0.0,,
149,10698722,268,2.8502686567164184,right,fixation,,38.0,949.6160588235292,39.29588235294121,,,,,0.0,,
