,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,19766477,336,4.015794806244261,right,fixation,,1.0,632.852752941176,290.024023529412,,,,,1.0,8.180283647622241,9.409457582666574
1,19766477,344,4.015794806244261,left,fixation,1.0,,611.696114942529,378.86199999999997,,,,,2.0,8.622443064672655,20.784446078264505
2,19766817,40,,right,saccade,,1.0,,,625.555,288.343,489.899,140.365,,,
3,19766825,40,,left,saccade,1.0,,,,610.924,368.54,361.29400000000004,139.703,,,
4,19766905,72,,left,fixation,2.0,,372.563842105263,152.463,,,,,1.0,11.44294783795777,21.681665733979067
5,19766909,68,,right,fixation,,2.0,473.7331666666671,151.656111111111,,,,,1.0,5.438714628067513,8.883646604857711
6,19766981,40,,left,saccade,2.0,,,,368.60900000000004,172.378,432.166,190.108,,,
7,19766981,40,,right,saccade,,2.0,,,463.366,171.04,464.28,140.012,,,
8,19767109,216,3.9747678571428575,right,fixation,,3.0,453.26010909090894,144.952909090909,,,,,1.0,8.851141172501745,61.3903223806488
9,19767113,172,3.977416666666666,left,fixation,3.0,,403.42427272727286,166.797204545455,,,,,2.0,5.809692704686718,31.171995964455014
10,19767289,40,,left,saccade,3.0,,,,402.736,131.95,489.975,223.09900000000002,,,
11,19767329,8,,right,saccade,,3.0,,,520.5509999999998,158.048,525.288,177.05599999999995,,,
12,19767333,176,3.921897727272727,left,fixation,4.0,,547.835622222222,267.88048888888903,,,,,2.0,5.0257866273353065,14.863274072227359
13,19767341,168,3.9207261904761896,right,fixation,,4.0,537.217651162791,187.670046511628,,,,,1.0,6.2606641664886915,14.209505304548824
14,19767513,12,,left,saccade,4.0,,,,562.298,290.731,521.7080000000002,318.449,,,
15,19767513,16,,right,saccade,,4.0,,,533.696,204.11,523.756,272.435,,,
16,19767529,224,3.961294642857143,left,fixation,5.0,,504.467421052632,318.345280701754,,,,,0.0,,
17,19767533,220,3.9616636363636375,right,fixation,,5.0,512.901071428571,281.61044642857104,,,,,0.0,,
18,19767757,44,,left,saccade,5.0,,,,503.423,310.913,1008.117,302.695,,,
19,19767757,44,,right,saccade,,5.0,,,505.561,279.383,1006.935,272.922,,,
20,19767805,312,4.063083333333333,left,fixation,6.0,,989.442012658228,281.98639240506304,,,,,1.0,5.29451722959182,14.26323392502568
21,19767805,312,4.063083333333333,right,fixation,,6.0,983.435607594937,266.675481012658,,,,,2.0,6.174292848008487,17.984294309123452
22,19768121,32,,right,saccade,,6.0,,,958.8960000000001,287.086,1393.3010000000006,271.923,,,
23,19768121,40,,left,saccade,6.0,,,,955.375,290.806,1402.911,294.4170000000001,,,
24,19768157,108,4.101722222222222,right,fixation,,7.0,1385.47767857143,264.524857142857,,,,,0.0,,
25,19768165,96,4.102854166666666,left,fixation,7.0,,1413.50552,272.73924,,,,,0.0,,
26,19768265,48,,left,saccade,7.0,,,,1419.795,258.876,530.5269999999998,132.893,,,
27,19768269,48,,right,saccade,,7.0,,,1389.1070000000002,252.80599999999998,563.259,181.675,,,
28,19768317,312,4.036858974358975,left,fixation,8.0,,547.248658227848,199.73635443038003,,,,,1.0,6.241820116048772,48.96456573890961
29,19768321,308,4.035928571428571,right,fixation,,8.0,564.430807692308,159.792038461538,,,,,1.0,6.321943954284246,14.519555433965634
30,19768633,25,,left,saccade,8.0,,,,549.818,204.33599999999998,458.848,250.703,,,
31,19768633,29,,right,saccade,,8.0,,,577.5,167.192,498.80199999999996,242.739,,,
32,19768662,792,4.031855527638192,left,fixation,9.0,,463.48843718592906,246.50227135678398,,,,,0.0,,
33,19768666,788,4.03188005050505,right,fixation,,9.0,491.21173232323304,229.33621717171692,,,,,0.0,,
34,19769458,24,,left,saccade,9.0,,,,461.514,243.40400000000002,456.287,404.98699999999997,,,
35,19769458,28,,right,saccade,,9.0,,,475.55400000000003,243.16299999999998,473.728,377.642,,,
36,19769486,951,4.128264705882353,left,fixation,10.0,,429.88609623431,406.6690334728029,,,,,4.0,5.414418405151092,16.333459872864346
37,19769490,1411,4.117926136363637,right,fixation,,10.0,489.98702824858805,380.1306327683609,,,,,3.0,6.701216385859972,30.262336820529004
38,19770441,16,,left,saccade,10.0,,,,464.57199999999995,410.71,532.5169999999998,410.71,,,
39,19770461,440,4.094100917431192,left,fixation,11.0,,532.027153153153,397.423837837838,,,,,0.0,,
40,19770905,32,,left,saccade,11.0,,,,532.5740000000002,397.205,767.512,500.024,,,
41,19770905,32,,right,saccade,,10.0,,,536.578,377.64099999999996,727.721,460.629,,,
42,19770941,369,4.112876344086022,left,fixation,12.0,,771.273204301076,531.44435483871,,,,,1.0,7.2392530500198795,52.19616723476924
43,19770941,373,4.113260638297873,right,fixation,,11.0,731.3726276595738,483.87580851063797,,,,,0.0,,
44,19771314,35,,left,saccade,12.0,,,,778.8989999999999,516.9630000000002,480.83099999999996,515.868,,,
45,19771318,35,,right,saccade,,11.0,,,718.6339999999999,490.577,480.712,480.716,,,
46,19771353,260,4.098738461538462,left,fixation,13.0,,475.590712121212,510.04806060606103,,,,,0.0,,
47,19771357,252,4.09856349206349,right,fixation,,12.0,457.92271875,472.991265625,,,,,0.0,,
48,19771613,44,,right,saccade,,12.0,,,461.26,471.163,1184.917,485.23900000000003,,,
49,19771617,44,,left,saccade,13.0,,,,482.649,508.191,1208.649,523.394,,,
50,19771661,668,4.049517857142857,right,fixation,,13.0,1190.497875,484.5326785714289,,,,,0.0,,
51,19771665,660,4.049716867469879,left,fixation,14.0,,1219.9389698795198,534.532614457831,,,,,0.0,,
52,19772329,48,,left,saccade,14.0,,,,1234.361,527.581,540.737,443.31699999999995,,,
53,19772333,44,,right,saccade,,13.0,,,1192.285,488.385,531.316,424.004,,,
54,19772381,184,4.020228260869566,left,fixation,15.0,,548.6685319148941,408.179106382979,,,,,1.0,13.011348060870212,31.65692646167653
55,19772381,472,4.052275423728815,right,fixation,,14.0,496.723571428571,401.7125462184871,,,,,2.0,6.507069193172245,23.950101517265033
56,19772569,0,,left,saccade,15.0,,,,523.078,386.301,523.078,386.301,,,
57,19772573,280,4.073171428571428,left,fixation,16.0,,497.132183098592,393.66732394366204,,,,,1.0,8.860668252952982,39.752582067080866
58,19772857,12,,left,saccade,16.0,,,,482.89,445.02099999999996,486.481,480.569,,,
59,19772857,20,,right,saccade,,14.0,,,473.108,418.292,467.264,489.301,,,
60,19772873,352,4.056614611005693,left,fixation,17.0,,501.308617977528,508.22095505617995,,,,,0.0,,
61,19772881,340,4.056690260366442,right,fixation,,15.0,485.422046511628,499.79601162790703,,,,,0.0,,
62,19773225,40,,right,saccade,,15.0,,,499.79699999999997,505.293,502.91900000000004,362.994,,,
63,19773229,40,,left,saccade,17.0,,,,492.272,500.60900000000004,501.65,395.415,,,
64,19773341,336,3.907918181818182,right,fixation,,16.0,488.096988235294,404.167576470588,,,,,2.0,9.0518722454371,23.561973468914704
65,19773341,744,3.8111518987341775,left,fixation,18.0,,514.201048128342,410.64741176470596,,,,,3.0,7.840908372992246,37.414420135179256
66,19773681,16,,right,saccade,,16.0,,,467.855,402.25699999999995,527.5409999999998,400.108,,,
67,19773701,380,3.753182291666667,right,fixation,,17.0,534.695145833334,399.5865,,,,,0.0,,
68,19774085,12,,right,saccade,,17.0,,,515.596,405.695,461.908,402.10699999999997,,,
69,19774089,8,,left,saccade,18.0,,,,481.32800000000003,420.82199999999995,454.702,425.259,,,
70,19774101,700,3.627737142857143,right,fixation,,18.0,447.854443181818,392.4595909090911,,,,,0.0,,
71,19774101,720,3.6270249999999993,left,fixation,19.0,,432.307546961326,411.289508287293,,,,,3.0,6.846913975859362,16.047896919831587
72,19774805,20,,right,saccade,,18.0,,,424.62300000000016,390.47900000000004,519.854,396.57099999999997,,,
73,19774825,4,,left,saccade,19.0,,,,455.51300000000003,394.472,461.621,394.20099999999996,,,
74,19774829,160,3.594275000000001,right,fixation,,19.0,523.914487804878,389.5378536585369,,,,,0.0,,
75,19774833,156,3.594038461538461,left,fixation,20.0,,503.603825,396.331125,,,,,0.0,,
76,19774993,44,,right,saccade,,19.0,,,517.71,387.77099999999996,1101.42,482.156,,,
77,19774993,48,,left,saccade,20.0,,,,507.1,392.917,1094.84,485.773,,,
78,19775041,156,3.6630256410256408,right,fixation,,20.0,1096.74495,493.34475,,,,,0.0,,
79,19775045,156,3.6636538461538453,left,fixation,21.0,,1106.855425,491.473575,,,,,0.0,,
80,19775201,20,,right,saccade,,20.0,,,1105.143,493.37199999999996,1230.505,488.347,,,
81,19775205,16,,left,saccade,21.0,,,,1120.607,496.102,1208.325,496.756,,,
82,19775225,124,3.6896129032258074,left,fixation,22.0,,1228.33646875,488.7501875,,,,,1.0,4.5146458271324414,11.272960613787308
83,19775225,124,3.6896129032258074,right,fixation,,21.0,1230.70290625,482.62234375,,,,,0.0,,
84,19775353,24,,right,saccade,,21.0,,,1220.604,486.005,1416.5720000000001,487.44199999999995,,,
85,19775353,32,,left,saccade,22.0,,,,1228.627,494.147,1437.7820000000006,492.06,,,
86,19775381,1432,3.779369080779945,right,fixation,,22.0,1435.86164902507,463.531832869081,,,,,2.0,6.07717197106491,23.90586599196477
87,19775389,1420,3.7797654494382025,left,fixation,23.0,,1461.6614662921302,457.124730337078,,,,,0.0,,
88,19776813,52,,left,saccade,23.0,,,,1457.0020000000006,446.051,463.648,632.941,,,
89,19776817,52,,right,saccade,,22.0,,,1438.346,443.814,473.036,631.366,,,
90,19776869,1168,3.8303921232876714,left,fixation,24.0,,477.31899317406095,635.1460443686,,,,,5.0,5.586017755768311,19.45943536559273
91,19776873,1168,3.8301249999999993,right,fixation,,23.0,485.70121843003403,605.2965733788391,,,,,4.0,7.930719985447682,24.665456035559203
92,19778041,20,,left,saccade,24.0,,,,518.763,619.4730000000002,410.901,621.193,,,
93,19778045,16,,right,saccade,,23.0,,,542.0509999999998,610.4069999999998,462.397,623.281,,,
94,19778065,16,3.776125,right,fixation,,24.0,454.82300000000004,611.2128,,,,,0.0,,
95,19778065,160,3.787992248062016,left,fixation,25.0,,432.74087804877996,619.131024390244,,,,,4.0,8.017107868674266,22.22789689567949
96,19778085,0,,right,saccade,,24.0,,,457.87300000000016,579.844,457.87300000000016,579.844,,,
97,19778089,132,3.7964844961240316,right,fixation,,25.0,453.83941176470597,581.424823529412,,,,,0.0,,
98,19778225,40,,right,saccade,,25.0,,,445.966,579.875,450.491,576.379,,,
99,19778229,40,,left,saccade,25.0,,,,445.69,626.559,433.01300000000003,641.599,,,
100,19778341,239,3.7927115528882216,left,fixation,26.0,,447.571737704918,641.836590163935,,,,,1.0,8.68370652588963,25.887355620070586
101,19778345,235,3.7927115528882216,right,fixation,,26.0,450.2539333333329,590.00175,,,,,0.0,,
102,19778584,16,,left,saccade,26.0,,,,444.665,654.434,467.506,726.3389999999997,,,
103,19778584,16,,right,saccade,,26.0,,,451.235,595.617,478.81300000000016,666.1419999999998,,,
104,19778604,233,3.904872881355932,left,fixation,27.0,,505.25850847457605,737.7034745762711,,,,,2.0,6.040030434024235,15.863402042168653
105,19778604,233,3.904872881355932,right,fixation,,27.0,495.730694915254,689.0724915254242,,,,,0.0,,
106,19778841,16,,left,saccade,27.0,,,,508.842,721.865,511.135,652.501,,,
107,19778841,20,,right,saccade,,27.0,,,511.32599999999996,667.73,513.165,603.7669999999998,,,
108,19778861,292,3.978767123287672,left,fixation,28.0,,512.835162162162,646.1883243243241,,,,,0.0,,
109,19778865,284,3.9792464788732405,right,fixation,,28.0,522.8823055555549,602.1824166666661,,,,,1.0,5.223707974226731,16.872979730918882
110,19779153,36,,right,saccade,,28.0,,,526.8969999999998,594.8009999999998,737.069,713.748,,,
111,19779157,32,,left,saccade,28.0,,,,512.2040000000002,659.053,737.0189999999999,737.709,,,
112,19779193,380,4.0687842105263154,left,fixation,29.0,,747.62765625,726.2935,,,,,0.0,,
113,19779193,380,4.0687842105263154,right,fixation,,29.0,741.2352083333328,717.97503125,,,,,0.0,,
114,19779577,24,,left,saccade,29.0,,,,729.659,715.3489999999997,896.235,710.039,,,
115,19779577,28,,right,saccade,,29.0,,,738.2819999999997,713.7810000000003,926.81,717.429,,,
116,19779605,148,4.094932432432431,left,fixation,30.0,,930.175368421053,708.851657894737,,,,,1.0,4.668163099359549,9.244484842326216
117,19779609,144,4.094875,right,fixation,,30.0,925.8047297297301,701.140675675676,,,,,0.0,,
118,19779757,32,,left,saccade,30.0,,,,926.317,706.7330000000003,720.4960000000003,687.821,,,
119,19779757,32,,right,saccade,,30.0,,,931.3389999999999,685.8660000000001,732.878,685.0260000000002,,,
120,19779793,460,4.131604347826087,left,fixation,31.0,,731.824551724138,673.925293103449,,,,,0.0,,
121,19779793,464,4.131672413793104,right,fixation,,31.0,741.8131965811971,672.024333333333,,,,,1.0,5.711464875824563,16.27401192085092
122,19780257,28,,left,saccade,31.0,,,,746.25,682.178,566.37,653.775,,,
123,19780261,28,,right,saccade,,31.0,,,729.785,678.919,560.922,623.744,,,
124,19780289,195,4.021653061224488,left,fixation,32.0,,549.78192,639.6638,,,,,0.0,,
125,19780293,191,4.0203750000000005,right,fixation,,32.0,558.751306122449,602.418775510204,,,,,0.0,,
