,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,20429097,112,3.4012931034482765,left,fixation,1.0,,1410.97262068966,859.445310344828,,,,,0.0,,
1,20429097,116,3.4015166666666667,right,fixation,,1.0,1421.42773333333,856.5639,,,,,0.0,,
2,20429213,56,,left,saccade,1.0,,,,1412.494,863.44,704.0089999999999,325.589,,,
3,20429217,56,,right,saccade,,1.0,,,1440.9489999999994,853.8969999999997,723.6619999999997,249.192,,,
4,20429273,24,3.3965,left,fixation,2.0,,692.4975714285713,322.065,,,,,1.0,3.3043096648332946,5.3556745606878415
5,20429277,4,3.3975,right,fixation,,2.0,708.5945,240.864,,,,,0.0,,
6,20429285,24,,right,saccade,,2.0,,,702.674,231.75900000000001,621.494,204.747,,,
7,20429301,12,,left,saccade,2.0,,,,676.53,315.252,637.0369999999998,311.307,,,
8,20429313,140,3.4279000000000006,right,fixation,,3.0,609.386,228.14775,,,,,1.0,6.183465373702497,19.189471618572547
9,20429317,136,3.4285,left,fixation,3.0,,620.319085714286,289.787457142857,,,,,2.0,3.8859734438623663,13.585176310725913
10,20429457,16,,left,saccade,3.0,,,,604.6080000000002,284.907,550.122,288.664,,,
11,20429457,20,,right,saccade,,3.0,,,597.1469999999998,226.1,513.455,244.115,,,
12,20429477,224,3.367651785714286,left,fixation,4.0,,516.430263157895,300.80728070175496,,,,,1.0,3.30487569946118,12.410584555128732
13,20429481,224,3.3658125,right,fixation,,4.0,484.741385964912,262.751754385965,,,,,2.0,3.698523638290326,6.679626837231567
14,20429705,24,,left,saccade,4.0,,,,513.471,305.07099999999997,474.796,198.722,,,
15,20429709,24,,right,saccade,,4.0,,,489.999,265.87,428.79699999999997,159.843,,,
16,20429733,140,3.3317571428571435,left,fixation,5.0,,447.8790833333329,190.115416666667,,,,,1.0,3.855230393749361,15.658208869471652
17,20429737,136,3.3316617647058826,right,fixation,,5.0,410.2266,143.43968571428601,,,,,0.0,,
18,20429877,48,,right,saccade,,5.0,,,415.892,144.13,968.681,48.17100000000001,,,
19,20429877,52,,left,saccade,5.0,,,,426.851,164.41099999999997,965.885,79.936,,,
20,20429929,336,3.3254107142857143,right,fixation,,6.0,976.716952941177,53.39268235294121,,,,,2.0,3.9692688086656505,11.1723654527099
21,20429933,332,3.3254096385542167,left,fixation,6.0,,979.636238095238,90.783988095238,,,,,1.0,4.015504375404061,18.275052393905792
22,20430269,28,,left,saccade,6.0,,,,962.5,95.844,849.413,169.676,,,
23,20430269,28,,right,saccade,,6.0,,,970.065,56.9,849.015,129.929,,,
24,20430301,120,3.3485000000000014,left,fixation,7.0,,838.740193548387,197.10335483871003,,,,,1.0,5.539650863948428,22.239349810639744
25,20430301,124,3.3485645161290325,right,fixation,,7.0,839.96465625,152.65775,,,,,0.0,,
26,20430425,24,,left,saccade,7.0,,,,833.1469999999997,208.322,735.273,258.44599999999997,,,
27,20430429,16,,right,saccade,,7.0,,,837.22,168.80900000000003,787.565,206.025,,,
28,20430449,320,3.361037500000001,right,fixation,,8.0,735.3545308641969,237.026259259259,,,,,4.0,4.0796793398083935,11.758841563142305
29,20430453,312,3.3610384615384623,left,fixation,8.0,,711.2742911392401,287.16613924050597,,,,,1.0,2.8805659937665795,6.039768538611318
30,20430769,36,,left,saccade,8.0,,,,705.612,308.319,461.599,232.553,,,
31,20430773,36,,right,saccade,,8.0,,,702.972,259.945,451.181,152.799,,,
32,20430809,1128,3.4328617021276595,left,fixation,9.0,,449.8550530035329,205.31205300353298,,,,,2.0,2.881115515089004,12.775943766913194
33,20430813,1124,3.4329519572953737,right,fixation,,9.0,424.54104964539,159.77162411347499,,,,,2.0,3.747097688497642,10.90788674486432
34,20431941,28,,left,saccade,9.0,,,,464.782,209.49900000000002,539.869,348.983,,,
35,20431941,28,,right,saccade,,9.0,,,439.65,177.864,523.725,315.14,,,
36,20431973,120,3.3865833333333337,right,fixation,,10.0,551.172,335.103967741935,,,,,1.0,4.1391893194467855,16.358492137113366
37,20431973,124,3.3865000000000003,left,fixation,10.0,,566.12440625,372.263125,,,,,2.0,3.303007279508462,9.410294389333274
38,20432097,28,,right,saccade,,10.0,,,558.441,350.228,410.30699999999996,424.222,,,
39,20432101,24,,left,saccade,10.0,,,,556.727,386.51599999999996,441.49800000000016,427.782,,,
40,20432129,1032,3.3915190326237563,left,fixation,11.0,,449.746359073359,442.964351351351,,,,,2.0,4.520184551789211,27.869334330378944
41,20432129,1032,3.3915190326237563,right,fixation,,11.0,426.531065637066,424.369227799228,,,,,4.0,4.995202241434497,17.87278218383225
42,20433165,40,,left,saccade,11.0,,,,457.97,453.966,412.027,486.25800000000004,,,
