,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,1479198,0,,left,saccade,1.0,,,,1502.142,895.6060000000001,1502.142,895.6060000000001,,,
1,1479198,12,,right,saccade,,1.0,,,1458.819,847.2410000000001,1484.57,878.7330000000003,,,
2,1479202,192,3.3031020408163267,left,fixation,1.0,,1503.88263265306,942.418734693878,,,,,0.0,,
3,1479214,180,3.3059565217391307,right,fixation,,1.0,1493.1096956521699,910.162130434783,,,,,0.0,,
4,1479398,64,,left,saccade,2.0,,,,1500.194,933.253,780.415,240.47400000000002,,,
5,1479398,64,,right,saccade,,2.0,,,1486.273,914.408,805.388,244.72799999999998,,,
6,1479466,128,3.313828125,left,fixation,2.0,,787.597787878788,247.665545454545,,,,,0.0,,
7,1479466,128,3.313828125,right,fixation,,2.0,801.880303030303,249.327939393939,,,,,0.0,,
8,1479598,44,,left,saccade,3.0,,,,789.3610000000001,267.093,459.639,216.77599999999998,,,
9,1479598,44,,right,saccade,,3.0,,,800.758,254.389,462.95,230.375,,,
10,1479646,216,3.3410092592592586,left,fixation,3.0,,436.63458181818197,192.42305454545502,,,,,0.0,,
11,1479646,216,3.3410092592592586,right,fixation,,3.0,452.56596363636396,237.456,,,,,0.0,,
12,1479866,8,,left,saccade,4.0,,,,422.31300000000016,164.993,408.707,138.67,,,
13,1479866,8,,right,saccade,,4.0,,,443.39,208.699,441.10400000000004,183.26,,,
14,1479878,276,3.3479555555555565,left,fixation,4.0,,384.234357142857,108.47462857142901,,,,,3.0,4.394010155118703,11.225743048552896
15,1479878,276,3.3479555555555565,right,fixation,,4.0,404.46611428571504,138.826128571429,,,,,1.0,4.9879603853233885,17.630981878500137
16,1480158,40,,left,saccade,5.0,,,,378.94,119.6,373.855,86.47,,,
17,1480158,52,,right,saccade,,5.0,,,392.537,152.35,391.129,115.17299999999999,,,
18,1480298,1460,3.327180002062554,right,fixation,,5.0,403.81930327868895,153.972469945355,,,,,4.0,6.729049186010622,21.019005835313546
19,1480310,1448,3.327180002062554,left,fixation,5.0,,384.842801652892,115.946418732782,,,,,0.0,,
20,1481762,20,,left,saccade,6.0,,,,379.398,125.745,410.909,185.792,,,
21,1481762,28,,right,saccade,,6.0,,,382.661,173.317,446.574,252.041,,,
22,1481786,272,3.3934705882352936,left,fixation,6.0,,440.911623188406,213.600188405797,,,,,1.0,5.043082269582556,7.029554537806881
23,1481794,260,3.393761538461538,right,fixation,,6.0,465.173893939394,266.971818181818,,,,,0.0,,
24,1482058,36,,right,saccade,,7.0,,,465.341,263.20099999999996,688.107,247.68900000000002,,,
25,1482062,36,,left,saccade,7.0,,,,451.335,215.46400000000003,676.298,208.188,,,
26,1482098,588,3.3419931972789114,right,fixation,,7.0,702.071087837838,254.148506756757,,,,,0.0,,
27,1482102,584,3.341595890410959,left,fixation,7.0,,699.719074829932,213.978673469388,,,,,0.0,,
28,1482690,32,,left,saccade,8.0,,,,706.698,216.16099999999997,889.529,214.87,,,
29,1482690,32,,right,saccade,,8.0,,,725.4830000000003,247.46400000000003,922.293,238.722,,,
