,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2450626,304,3.580698051948052,left,fixation,1.0,,1542.86861038961,853.3988181818179,,,,,0.0,,
1,2450626,308,3.5810544871794887,right,fixation,,1.0,1498.6533205128198,858.696666666667,,,,,0.0,,
2,2450934,44,,left,saccade,1.0,,,,1540.7020000000002,864.9639999999997,1157.2839999999999,420.98699999999997,,,
3,2450938,44,,right,saccade,,1.0,,,1503.045,847.421,1126.2830000000001,361.36800000000005,,,
4,2450982,176,3.6903837209302326,left,fixation,2.0,,1128.29626666667,403.48699999999997,,,,,1.0,4.65787563941138,7.37718713331858
5,2450986,176,3.6910116279069762,right,fixation,,2.0,1098.35673333333,375.502066666667,,,,,0.0,,
6,2451162,28,,left,saccade,2.0,,,,1126.354,394.675,1010.08,284.3040000000001,,,
7,2451166,28,,right,saccade,,2.0,,,1081.41,386.16900000000004,999.283,253.207,,,
8,2451194,248,3.656870967741936,left,fixation,3.0,,978.636333333333,269.418158730159,,,,,0.0,,
9,2451198,244,3.656368852459016,right,fixation,,3.0,983.7577903225812,259.394241935484,,,,,0.0,,
10,2451446,36,,left,saccade,3.0,,,,976.0939999999999,262.95799999999997,1378.795,241.72,,,
11,2451446,40,,right,saccade,,3.0,,,982.727,257.75,1361.6129999999996,249.919,,,
12,2451486,416,3.699461904761904,left,fixation,4.0,,1430.54578095238,273.135238095238,,,,,4.0,7.246729472672912,23.260334472555233
13,2451490,412,3.7000625000000014,right,fixation,,4.0,1421.72303846154,272.739211538462,,,,,3.0,8.364546252055776,28.424065504280964
14,2451906,24,,right,saccade,,4.0,,,1452.622,305.214,1230.295,291.769,,,
15,2451906,28,,left,saccade,4.0,,,,1457.3210000000001,262.474,1226.61,283.644,,,
16,2451934,180,3.863728224699828,right,fixation,,5.0,1183.1534782608699,292.22267391304297,,,,,0.0,,
17,2451938,192,3.8648718154735033,left,fixation,5.0,,1213.6131632653098,293.315,,,,,0.0,,
18,2452118,64,,right,saccade,,5.0,,,1182.749,291.832,463.01300000000003,311.372,,,
19,2452134,76,,left,saccade,5.0,,,,1212.167,293.846,436.529,270.122,,,
20,2452302,184,3.8819999999999997,right,fixation,,6.0,487.267191489362,306.577127659574,,,,,2.0,7.972407712727673,28.90949501237978
21,2452330,388,3.8838478260869564,left,fixation,6.0,,491.794122448979,299.01412244898,,,,,1.0,7.6147773459096015,10.335864018068404
22,2452490,4,,right,saccade,,6.0,,,491.86400000000003,286.036,491.833,273.893,,,
23,2452498,220,3.885627272727272,right,fixation,,7.0,482.576267857143,265.51525,,,,,0.0,,
24,2452722,20,,left,saccade,6.0,,,,513.8290000000002,280.344,594.371,275.357,,,
25,2452722,20,,right,saccade,,7.0,,,500.48199999999997,248.218,577.61,237.858,,,
26,2452746,128,3.821234375,left,fixation,7.0,,616.915303030303,283.69772727272704,,,,,1.0,4.060570379337778,6.172959176926442
27,2452746,128,3.821234375,right,fixation,,8.0,592.75396969697,249.24606060606098,,,,,0.0,,
28,2452878,20,,left,saccade,7.0,,,,616.059,276.028,687.4830000000003,283.953,,,
29,2452878,20,,right,saccade,,8.0,,,591.235,263.506,690.067,266.257,,,
30,2452902,300,3.74972972972973,left,fixation,8.0,,717.301789473685,288.689315789474,,,,,1.0,6.4394175806339815,21.299738989011107
31,2452902,300,3.74972972972973,right,fixation,,9.0,707.901921052632,271.930407894737,,,,,0.0,,
32,2453206,28,,left,saccade,8.0,,,,706.873,279.187,578.408,213.99400000000003,,,
