,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2438617,396,2.5615499999999995,left,fixation,1.0,,1419.75466,551.7934700000002,,,,,0.0,,
1,2438617,396,2.5615499999999995,right,fixation,,1.0,1413.40067,553.53335,,,,,0.0,,
2,2439017,68,,left,saccade,1.0,,,,1422.1470000000006,550.659,401.781,1044.028,,,
3,2439017,68,,right,saccade,,1.0,,,1419.496,556.281,453.50199999999995,1031.002,,,
4,2439089,136,2.612985294117648,right,fixation,,2.0,432.5682571428569,1054.7564,,,,,0.0,,
5,2439089,140,2.613357142857143,left,fixation,2.0,,394.301916666667,1047.33677777778,,,,,0.0,,
6,2439229,20,,right,saccade,,2.0,,,406.719,1053.629,410.57300000000004,940.925,,,
7,2439233,20,,left,saccade,2.0,,,,390.39599999999996,1038.111,374.894,933.168,,,
8,2439253,344,2.6860174418604648,right,fixation,,3.0,412.23618390804603,928.186057471264,,,,,1.0,5.3964649874812896,9.695636956899722
9,2439257,340,2.6867470588235296,left,fixation,3.0,,371.461290697675,921.580930232558,,,,,0.0,,
10,2439601,60,,right,saccade,,3.0,,,391.036,920.824,1335.192,859.801,,,
11,2439601,64,,left,saccade,3.0,,,,385.14599999999996,945.203,1318.567,874.6210000000003,,,
12,2439665,584,2.8770342465753425,right,fixation,,4.0,1419.2820272108802,905.172891156463,,,,,3.0,11.66844321570492,32.478691560803014
13,2439669,180,2.8688555555555566,left,fixation,4.0,,1334.51032608696,856.995673913044,,,,,0.0,,
14,2439853,16,,left,saccade,4.0,,,,1343.612,847.057,1427.03,847.409,,,
15,2439873,140,2.8909,left,fixation,5.0,,1428.31438888889,854.243916666667,,,,,1.0,14.280548536383323,27.708671025511237
16,2440017,0,,left,saccade,5.0,,,,1462.257,896.159,1462.257,896.159,,,
17,2440021,224,2.873785714285714,left,fixation,6.0,,1476.12980701754,921.132666666667,,,,,0.0,,
18,2440249,60,,left,saccade,6.0,,,,1488.639,914.1339999999999,782.9810000000001,803.085,,,
19,2440253,60,,right,saccade,,4.0,,,1476.864,941.5939999999999,784.209,795.951,,,
20,2440313,320,2.8692222222222217,left,fixation,7.0,,760.3042839506171,790.030580246914,,,,,1.0,6.795802015051455,17.610481112110428
21,2440317,316,2.86935,right,fixation,,5.0,755.66345,777.513775,,,,,2.0,5.3502350826994975,14.895513641404607
22,2440637,20,,right,saccade,,5.0,,,747.758,798.472,929.673,798.2180000000003,,,
23,2440637,24,,left,saccade,7.0,,,,746.471,820.209,932.9810000000001,822.191,,,
24,2440661,72,2.844053571428572,right,fixation,,6.0,941.154,802.1614736842099,,,,,1.0,5.875898843770394,19.376270255134283
25,2440665,68,2.84453125,left,fixation,8.0,,953.113,800.770444444444,,,,,0.0,,
