,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,6988298,212,3.4043854679802954,left,fixation,1.0,,1411.9088148148098,271.703018518519,,,,,0.0,,
1,6988298,216,3.4043854679802954,right,fixation,,1.0,1440.72741818182,234.96116363636398,,,,,0.0,,
2,6988514,64,,left,saccade,1.0,,,,1422.6070000000002,269.057,413.164,252.16099999999997,,,
3,6988518,60,,right,saccade,,1.0,,,1428.266,243.831,448.522,194.155,,,
4,6988678,120,3.41422695035461,right,fixation,,2.0,447.1725806451609,217.253580645161,,,,,0.0,,
5,6988682,112,3.4080904255319147,left,fixation,2.0,,434.070344827586,238.93572413793098,,,,,0.0,,
6,6988798,20,,left,saccade,2.0,,,,444.74800000000016,252.497,448.89300000000003,158.534,,,
7,6988802,16,,right,saccade,,2.0,,,446.798,230.489,464.551,162.766,,,
8,6988822,104,3.4725,right,fixation,,3.0,475.031111111111,155.949037037037,,,,,1.0,3.1353062627295523,8.861602168908306
9,6988822,108,3.4725,left,fixation,3.0,,450.540142857143,157.164178571429,,,,,0.0,,
10,6988930,40,,right,saccade,,3.0,,,459.965,148.041,469.32099999999997,110.238,,,
11,6988934,40,,left,saccade,3.0,,,,448.591,153.876,442.029,131.951,,,
12,6989094,364,3.505079792365668,right,fixation,,4.0,489.477315217391,171.100336956522,,,,,2.0,7.055193469766532,27.98563376880969
13,6989102,348,3.5040074521111904,left,fixation,4.0,,467.271511363636,186.93557954545503,,,,,2.0,8.845892719496582,31.179518001745762
14,6989454,20,,left,saccade,4.0,,,,478.36699999999996,230.676,429.11800000000005,153.107,,,
15,6989462,16,,right,saccade,,4.0,,,484.465,201.024,455.332,148.227,,,
16,6989478,492,3.5074552845528455,left,fixation,5.0,,426.308556451613,144.022887096774,,,,,1.0,6.616556331993565,17.093535678729513
17,6989482,488,3.5069877049180334,right,fixation,,5.0,433.26834146341486,128.884707317073,,,,,1.0,3.0969316042029487,6.827981033951367
18,6989974,20,,left,saccade,5.0,,,,400.642,146.423,488.798,151.315,,,
19,6989974,20,,right,saccade,,5.0,,,415.449,118.8,505.89599999999996,123.164,,,
20,6989998,208,3.467980392156864,left,fixation,6.0,,498.365188679245,151.354075471698,,,,,1.0,3.656006663317528,7.757704879666437
21,6989998,208,3.467980392156864,right,fixation,,6.0,518.227490566038,129.539509433962,,,,,0.0,,
22,6990210,20,,left,saccade,6.0,,,,498.276,153.46200000000005,482.903,230.615,,,
23,6990210,20,,right,saccade,,6.0,,,520.038,125.508,500.327,243.604,,,
24,6990234,224,3.551254385964913,left,fixation,7.0,,473.51282456140297,267.03026315789504,,,,,0.0,,
25,6990234,228,3.551870689655173,right,fixation,,7.0,495.4499655172409,244.25415517241402,,,,,0.0,,
26,6990462,20,,left,saccade,7.0,,,,476.366,282.546,431.74,180.896,,,
27,6990466,16,,right,saccade,,7.0,,,496.298,234.672,473.342,170.96099999999996,,,
28,6990486,1372,3.5516938775510205,right,fixation,,8.0,446.2205523255809,143.445889534884,,,,,10.0,5.381737134295263,17.027295668662312
29,6990486,2320,3.5115775862068963,left,fixation,8.0,,407.64013253012,133.875445783132,,,,,11.0,7.047259707969273,26.089550940764127
30,6991862,0,,right,saccade,,8.0,,,436.096,149.445,436.096,149.445,,,
31,6991866,328,3.4418292682926834,right,fixation,,9.0,421.331253012048,140.156228915663,,,,,0.0,,
