,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,1027126,164,3.6979166666666665,left,fixation,1.0,,651.8138571428569,228.57235714285702,,,,,0.0,,
1,1027126,164,3.6979166666666665,right,fixation,,1.0,646.197404761905,220.77219047619099,,,,,0.0,,
2,1027294,24,,left,saccade,1.0,,,,640.9730000000002,205.293,459.542,200.852,,,
3,1027294,28,,right,saccade,,1.0,,,640.778,208.253,455.11400000000003,202.43,,,
4,1027322,204,3.679980392156864,left,fixation,2.0,,452.139673076923,202.82228846153802,,,,,1.0,9.794274274062145,25.56609825530677
5,1027326,368,3.6729747016460905,right,fixation,,2.0,433.3563548387101,189.15979569892502,,,,,1.0,4.606987169265588,35.85360595532894
6,1027530,4,,left,saccade,2.0,,,,455.5,201.895,453.24699999999996,197.75599999999997,,,
7,1027538,164,3.654537404214559,left,fixation,3.0,,429.522214285714,171.699619047619,,,,,1.0,3.778121020354497,8.017648595442488
8,1027698,48,,right,saccade,,2.0,,,419.051,174.579,436.398,272.96299999999997,,,
9,1027706,44,,left,saccade,3.0,,,,425.231,169.48,437.82,299.878,,,
10,1027842,176,3.6086820473251033,left,fixation,4.0,,484.306511111111,306.327155555556,,,,,0.0,,
11,1027858,160,3.6086820473251033,right,fixation,,3.0,459.41026829268304,297.885585365854,,,,,1.0,4.579612444180043,19.55735140554568
12,1028022,20,,left,saccade,4.0,,,,475.995,288.8,432.519,152.501,,,
13,1028022,24,,right,saccade,,3.0,,,458.176,307.397,442.49800000000016,169.84900000000005,,,
14,1028046,1072,3.766587183551681,left,fixation,5.0,,408.460026022305,167.42636431226802,,,,,1.0,7.046855141755704,26.803393255332452
15,1028050,1064,3.7670208801498126,right,fixation,,4.0,412.17789138576796,199.80539325842705,,,,,5.0,3.5240903214673787,9.576327874850264
16,1029118,40,,right,saccade,,4.0,,,400.075,171.27900000000002,388.58099999999996,154.951,,,
17,1029122,40,,left,saccade,5.0,,,,409.129,163.488,372.57,153.332,,,
18,1029242,1304,3.771253370098038,left,fixation,6.0,,417.53936391437287,174.854892966361,,,,,7.0,6.9920111219974475,24.79453747960941
19,1029254,1288,3.771253370098038,right,fixation,,5.0,411.05613622291,187.30578328173402,,,,,6.0,3.7440130447166986,11.798942944829204
20,1030546,40,,right,saccade,,5.0,,,430.58099999999996,191.2,421.12800000000004,189.437,,,
21,1030550,40,,left,saccade,6.0,,,,444.80800000000005,187.187,398.80199999999996,168.45,,,
22,1030686,1084,3.718277551020409,left,fixation,7.0,,421.142279411765,180.732952205882,,,,,6.0,5.7065770835239205,17.592187362123152
23,1030702,1068,3.718277551020409,right,fixation,,6.0,416.933958955224,201.377947761194,,,,,5.0,4.464302061595763,14.548488771553115
24,1031774,44,,right,saccade,,6.0,,,446.153,183.768,698.9730000000003,273.763,,,
25,1031774,48,,left,saccade,7.0,,,,439.842,157.76,694.195,254.137,,,
26,1031822,264,3.588030303030303,right,fixation,,7.0,715.30176119403,298.530895522388,,,,,2.0,5.2164005642352835,15.432729214258652
27,1031826,176,3.5855795454545456,left,fixation,8.0,,703.9934,267.822533333333,,,,,0.0,,
28,1032006,8,,left,saccade,8.0,,,,706.159,273.002,712.368,302.685,,,
29,1032018,76,3.596973684210527,left,fixation,9.0,,720.43015,315.3754,,,,,0.0,,
30,1032090,28,,right,saccade,,7.0,,,724.824,301.6670000000001,956.4689999999999,297.972,,,
31,1032098,24,,left,saccade,9.0,,,,725.263,298.536,941.5989999999999,291.34,,,
32,1032122,180,3.6147777777777774,right,fixation,,8.0,963.761586956522,299.254913043478,,,,,0.0,,
33,1032126,180,3.615411111111111,left,fixation,10.0,,957.242739130435,310.478869565217,,,,,0.0,,
34,1032306,24,,right,saccade,,8.0,,,968.8510000000001,273.73900000000003,1168.867,283.808,,,
35,1032310,24,,left,saccade,10.0,,,,951.5210000000001,311.312,1137.312,311.686,,,
36,1032334,848,3.687370283018868,right,fixation,,9.0,1182.71612676056,303.395854460094,,,,,5.0,3.4303181718807023,12.329480596416
37,1032338,840,3.687507142857143,left,fixation,11.0,,1179.28823222749,289.217478672986,,,,,0.0,,
38,1033182,56,,left,saccade,11.0,,,,1197.838,271.869,530.156,277.842,,,
39,1033186,56,,right,saccade,,9.0,,,1195.661,261.306,501.17900000000003,251.68099999999998,,,
40,1033242,248,3.659258064516129,left,fixation,12.0,,510.695825396826,282.781126984127,,,,,1.0,7.553186174647684,52.614703163659456
41,1033246,256,3.6583359375,right,fixation,,10.0,492.802338461539,277.7348,,,,,2.0,28.735413509104948,86.13088836282097
42,1033494,40,,left,saccade,12.0,,,,495.167,318.217,724.3380000000003,273.96299999999997,,,
43,1033506,32,,right,saccade,,10.0,,,475.038,319.77099999999996,775.154,264.253,,,
44,1033538,80,3.6182,left,fixation,13.0,,756.2025238095239,283.28733333333304,,,,,1.0,4.66996552747212,24.259280657101158
45,1033542,72,3.6200833333333327,right,fixation,,11.0,776.841842105263,287.851210526316,,,,,1.0,6.578150856771566,17.205215284907087
46,1033618,48,,right,saccade,,11.0,,,774.877,301.499,1420.496,338.24,,,
47,1033622,48,,left,saccade,13.0,,,,771.9830000000003,305.845,1419.279,293.876,,,
48,1033670,148,3.6754216269841273,right,fixation,,12.0,1431.79102631579,307.258894736842,,,,,1.0,4.98312853815528,20.225861885220066
49,1033674,144,3.6773081140350876,left,fixation,14.0,,1423.29732432432,304.194918918919,,,,,1.0,5.437883015884415,15.90445629375609
