,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2608019,240,3.805657234890619,left,fixation,1.0,,532.495508196721,830.539590163934,,,,,0.0,,
1,2608019,240,3.805657234890619,right,fixation,,1.0,537.002049180328,886.129704918033,,,,,1.0,8.521219749999256,24.349705645038053
2,2608263,40,,left,saccade,1.0,,,,521.312,828.0219999999997,426.289,364.094,,,
3,2608263,40,,right,saccade,,1.0,,,541.381,879.676,447.63599999999997,405.082,,,
4,2608307,40,,left,fixation,2.0,,421.402818181818,364.8424545454551,,,,,0.0,,
5,2608307,40,,right,fixation,,2.0,433.746,395.591363636364,,,,,0.0,,
6,2608351,40,,right,saccade,,2.0,,,421.608,396.85,410.80300000000005,117.64200000000001,,,
7,2608351,56,,left,saccade,2.0,,,,421.189,364.244,394.767,116.715,,,
8,2608503,836,3.630921409214092,right,fixation,,3.0,433.077723809524,150.987380952381,,,,,2.0,6.2221750829959594,26.991383019611124
9,2608519,372,3.635713286713286,left,fixation,3.0,,407.78946808510597,120.370010638298,,,,,0.0,,
10,2608895,0,,left,saccade,3.0,,,,439.35900000000004,108.581,439.35900000000004,108.581,,,
11,2608899,788,3.6482588832487295,left,fixation,4.0,,481.201590909091,124.398565656566,,,,,2.0,7.3760766588513755,39.796625307262985
12,2609343,8,,right,saccade,,3.0,,,451.483,144.192,481.71,134.535,,,
13,2609355,332,3.6757317073170737,right,fixation,,4.0,507.938083333333,155.661380952381,,,,,0.0,,
14,2609691,20,,left,saccade,4.0,,,,490.444,89.228,474.445,207.03400000000002,,,
15,2609691,24,,right,saccade,,4.0,,,501.47,158.817,487.293,285.341,,,
16,2609715,520,3.8592251908396946,left,fixation,5.0,,474.210748091603,232.176984732824,,,,,0.0,,
17,2609719,512,3.8595658914728683,right,fixation,,5.0,476.554480620155,277.77525581395304,,,,,1.0,10.204595355089364,31.78091987340836
18,2610235,36,,right,saccade,,5.0,,,479.63300000000004,287.08,815.137,239.705,,,
19,2610239,32,,left,saccade,5.0,,,,459.686,223.63,746.306,193.55200000000002,,,
20,2610275,128,3.840265625,left,fixation,6.0,,756.9485454545461,195.667333333333,,,,,0.0,,
21,2610275,128,3.840265625,right,fixation,,6.0,814.1043636363637,246.262878787879,,,,,0.0,,
22,2610407,24,,left,saccade,6.0,,,,759.375,204.331,901.005,209.32,,,
23,2610407,24,,right,saccade,,6.0,,,814.097,246.334,957.9760000000001,250.202,,,
24,2610435,144,3.834569444444445,right,fixation,,7.0,951.347108108108,256.24948648648603,,,,,0.0,,
25,2610435,152,3.8348421052631583,left,fixation,7.0,,896.6724102564099,207.29387179487202,,,,,0.0,,
26,2610583,16,,right,saccade,,7.0,,,955.196,250.362,1010.058,250.118,,,
27,2610591,8,,left,saccade,7.0,,,,925.182,197.75599999999997,941.959,191.68900000000002,,,
28,2610603,84,3.8392,left,fixation,8.0,,952.9354090909088,196.545136363636,,,,,0.0,,
29,2610603,84,3.8392,right,fixation,,8.0,1017.2686818181801,256.166454545455,,,,,0.0,,
30,2610691,24,,left,saccade,8.0,,,,953.002,196.27599999999998,1158.997,197.325,,,
31,2610691,28,,right,saccade,,8.0,,,1015.529,262.931,1239.611,270.363,,,
32,2610719,184,3.832063829787234,left,fixation,9.0,,1156.61459574468,195.924382978723,,,,,2.0,195.59338235407355,584.8335794021813
33,2610723,184,3.8321595744680863,right,fixation,,9.0,1243.70889361702,263.800680851064,,,,,3.0,143.62112099997853,432.3928603955155
