,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2768699,184,3.8514734042553194,left,fixation,1.0,,1216.62536170213,814.3922340425529,,,,,0.0,,
1,2768699,184,3.8514734042553194,right,fixation,,1.0,1208.67940425532,786.870042553192,,,,,0.0,,
2,2768887,40,,left,saccade,1.0,,,,1208.256,824.183,802.176,384.24199999999996,,,
3,2768887,44,,right,saccade,,1.0,,,1200.728,782.696,773.025,400.339,,,
4,2768931,96,3.8368750000000014,left,fixation,2.0,,776.31964,372.75300000000004,,,,,1.0,7.913194089269181,24.410682354248138
5,2768935,4,3.849,right,fixation,,2.0,770.2235,400.339,,,,,0.0,,
6,2768943,8,,right,saccade,,2.0,,,766.387,387.68199999999996,765.658,354.723,,,
7,2768955,72,3.8320277777777783,right,fixation,,3.0,768.845105263158,347.803789473684,,,,,0.0,,
8,2769031,24,,left,saccade,2.0,,,,765.804,365.17800000000005,579.4730000000002,237.763,,,
9,2769031,36,,right,saccade,,3.0,,,773.368,359.064,533.163,216.722,,,
10,2769059,128,3.7886875,left,fixation,3.0,,524.715242424243,216.55284848484902,,,,,1.0,6.638036879312343,23.564707721505908
11,2769071,116,3.785931034482758,right,fixation,,4.0,517.4686,212.53766666666698,,,,,0.0,,
12,2769191,16,,left,saccade,3.0,,,,511.57,206.632,430.219,204.702,,,
13,2769191,20,,right,saccade,,4.0,,,508.724,218.658,419.079,219.765,,,
14,2769211,804,3.730734693877552,left,fixation,4.0,,406.01352970297097,166.803792079208,,,,,2.0,8.048860836266986,23.814379940017297
15,2769215,532,3.737631578947368,right,fixation,,5.0,407.417835820896,191.69070149253704,,,,,0.0,,
16,2769751,8,,right,saccade,,5.0,,,418.95300000000003,172.555,429.76,147.556,,,
17,2769763,244,3.704358208955224,right,fixation,,6.0,419.8277903225811,129.654758064516,,,,,0.0,,
18,2770011,40,,right,saccade,,6.0,,,398.15,142.763,410.523,174.104,,,
19,2770019,40,,left,saccade,4.0,,,,378.366,131.877,316.624,166.731,,,
20,2770159,12,,left,fixation,5.0,,317.4285,159.6465,,,,,0.0,,
21,2770175,0,,left,saccade,5.0,,,,317.673,142.56,317.673,142.56,,,
22,2770179,1136,3.974628501407652,left,fixation,6.0,,388.641631578947,159.057203508772,,,,,1.0,5.7668974568460785,26.20431300377855
23,2770191,8,,right,fixation,,7.0,414.027666666667,173.68133333333301,,,,,0.0,,
24,2770203,8,,right,saccade,,7.0,,,416.30300000000005,165.016,419.89599999999996,131.09,,,
25,2770215,1104,3.9748413057074266,right,fixation,,8.0,405.104054151624,148.088602888087,,,,,0.0,,
26,2771319,20,,left,saccade,6.0,,,,418.42900000000003,183.72299999999998,442.50800000000004,238.61700000000002,,,
27,2771323,12,,right,saccade,,8.0,,,424.535,159.554,444.236,194.497,,,
28,2771339,404,4.082990099009901,right,fixation,,9.0,471.851294117647,241.546823529412,,,,,0.0,,
29,2771343,400,4.08352,left,fixation,7.0,,490.575148514851,277.068821782178,,,,,0.0,,
30,2771747,20,,left,saccade,7.0,,,,491.32800000000003,270.16700000000003,443.95300000000003,203.71099999999998,,,
31,2771747,20,,right,saccade,,9.0,,,462.19599999999997,248.91299999999998,435.589,162.10299999999995,,,
32,2771771,320,4.198175106140623,right,fixation,,10.0,391.590654320988,152.224320987654,,,,,0.0,,
33,2771771,328,4.198175106140623,left,fixation,8.0,,415.104265060241,183.156867469879,,,,,0.0,,
34,2772095,40,,right,saccade,,10.0,,,397.216,157.759,392.787,177.912,,,
35,2772103,40,,left,saccade,8.0,,,,401.241,178.135,357.49699999999996,192.315,,,
36,2772239,320,4.147933408926915,left,fixation,9.0,,387.668493827161,171.14235802469102,,,,,2.0,12.282961185465975,52.689777769284476
37,2772247,308,4.147249921243306,right,fixation,,11.0,393.712076923077,154.530666666667,,,,,0.0,,
38,2772559,20,,right,saccade,,11.0,,,382.407,172.054,458.23,198.842,,,
39,2772563,20,,left,saccade,9.0,,,,391.094,176.257,477.80199999999996,204.982,,,
40,2772583,600,4.146789999999998,right,fixation,,12.0,483.979503311258,254.39946357615898,,,,,0.0,,
41,2772587,596,4.146459731543624,left,fixation,10.0,,499.217713333333,245.995426666667,,,,,0.0,,
42,2773187,24,,left,saccade,10.0,,,,500.389,257.651,419.148,169.257,,,
43,2773187,24,,right,saccade,,12.0,,,503.421,264.574,410.171,174.458,,,
44,2773215,80,,right,fixation,,13.0,388.9095714285711,164.92204761904802,,,,,0.0,,
45,2773215,88,,left,fixation,11.0,,403.856869565217,154.895782608696,,,,,0.0,,
46,2773299,40,,right,saccade,,13.0,,,385.434,158.869,394.31,166.158,,,
47,2773307,40,,left,saccade,11.0,,,,398.26300000000003,143.27100000000004,390.111,185.80599999999998,,,
48,2773443,8,,left,fixation,12.0,,390.000333333333,184.156333333333,,,,,0.0,,
49,2773455,4,,left,saccade,12.0,,,,388.874,168.017,383.144,167.62599999999995,,,
50,2773463,220,4.058712121212121,left,fixation,13.0,,400.583214285714,142.75094642857098,,,,,2.0,5.304937554592081,14.162628849463976
51,2773463,220,4.058712121212121,right,fixation,,14.0,402.529857142857,148.322232142857,,,,,1.0,8.465839880891263,19.362228409973888
52,2773687,24,,left,saccade,13.0,,,,410.51300000000003,150.636,482.81300000000016,227.285,,,
53,2773687,28,,right,saccade,,14.0,,,401.912,160.77700000000004,499.086,228.93099999999998,,,
54,2773715,716,4.2349804469273735,left,fixation,14.0,,506.0591333333329,243.56875,,,,,0.0,,
55,2773719,712,4.235755617977529,right,fixation,,15.0,495.445184357542,269.12310055865896,,,,,0.0,,
56,2774435,20,,left,saccade,14.0,,,,523.075,254.21400000000003,669.0930000000002,255.33700000000002,,,
57,2774435,20,,right,saccade,,15.0,,,498.272,275.183,648.7130000000002,273.778,,,
58,2774459,820,4.205037487391834,right,fixation,,16.0,703.416966019418,256.38645631068,,,,,0.0,,
59,2774459,828,4.205037487391834,left,fixation,15.0,,701.954341346154,256.547125,,,,,0.0,,
60,2775283,40,,right,saccade,,16.0,,,710.919,252.41299999999998,379.871,206.407,,,
61,2775291,60,,left,saccade,15.0,,,,717.802,272.289,367.67199999999997,179.22099999999998,,,
62,2775435,28,,right,fixation,,17.0,382.790875,196.97375,,,,,0.0,,
63,2775443,0,,left,fixation,16.0,,366.48,160.235,,,,,0.0,,
64,2775447,0,,left,saccade,16.0,,,,365.142,146.311,365.142,146.311,,,
65,2775451,564,4.113641185910035,left,fixation,17.0,,406.27962676056296,168.03088028168997,,,,,0.0,,
66,2775467,16,,right,saccade,,17.0,,,381.26800000000003,185.82299999999998,379.99800000000016,117.52799999999999,,,
67,2775487,524,4.114574302385866,right,fixation,,18.0,390.457621212122,139.014462121212,,,,,0.0,,
68,2776015,44,,right,saccade,,18.0,,,403.63,176.75799999999995,905.831,78.884,,,
69,2776019,40,,left,saccade,17.0,,,,430.54,197.459,909.674,83.353,,,
70,2776063,408,3.920313725490197,left,fixation,18.0,,949.428048543689,77.8288737864077,,,,,0.0,,
71,2776063,408,3.920313725490197,right,fixation,,19.0,949.9929514563112,60.4486699029126,,,,,1.0,7.340613223702753,17.95850119024406
72,2776475,44,,left,saccade,18.0,,,,952.318,74.02600000000002,528.174,135.254,,,
73,2776475,44,,right,saccade,,19.0,,,963.801,49.465,511.18699999999995,96.816,,,
74,2776523,100,3.91938,left,fixation,19.0,,493.318884615385,130.45726923076901,,,,,0.0,,
75,2776523,100,3.91938,right,fixation,,20.0,485.07965384615403,105.513769230769,,,,,0.0,,
76,2776627,16,,left,saccade,19.0,,,,488.88699999999994,139.942,430.06800000000004,164.93200000000004,,,
77,2776627,16,,right,saccade,,20.0,,,487.745,102.62200000000001,411.82199999999995,119.495,,,
78,2776647,140,3.9341428571428576,left,fixation,20.0,,415.316138888889,156.236916666667,,,,,0.0,,
79,2776647,140,3.9341428571428576,right,fixation,,21.0,406.591611111111,129.90227777777798,,,,,0.0,,
80,2776791,52,,right,saccade,,21.0,,,404.54699999999997,125.96700000000001,1298.107,123.98700000000001,,,
81,2776791,56,,left,saccade,20.0,,,,430.055,158.91,1278.087,96.23299999999999,,,
82,2776847,112,4.033232142857143,right,fixation,,22.0,1317.09875862069,122.48472413793101,,,,,0.0,,
83,2776851,108,4.035055555555555,left,fixation,21.0,,1296.79903571429,104.86767857142901,,,,,0.0,,
84,2776963,20,,left,saccade,21.0,,,,1308.519,120.863,1418.838,104.552,,,
85,2776963,20,,right,saccade,,22.0,,,1303.493,136.797,1421.8870000000006,127.204,,,
86,2776987,420,4.258319047619048,left,fixation,22.0,,1420.62500943396,77.6348679245283,,,,,1.0,9.713756353749014,28.53003725900116
87,2776987,420,4.258319047619048,right,fixation,,23.0,1435.8039433962301,106.852981132075,,,,,0.0,,
88,2777411,56,,left,saccade,22.0,,,,1392.3229999999999,67.52600000000001,444.865,147.342,,,
89,2777411,60,,right,saccade,,23.0,,,1406.88,109.51299999999999,429.689,111.064,,,
90,2777471,84,,left,fixation,23.0,,415.691181818182,150.948454545455,,,,,1.0,6.456757721780943,16.06111534109628
91,2777475,72,,right,fixation,,24.0,405.030157894737,139.525105263158,,,,,0.0,,
92,2777551,40,,right,saccade,,24.0,,,402.56199999999995,146.93200000000004,410.08099999999996,184.449,,,
93,2777559,68,,left,saccade,23.0,,,,409.12800000000004,134.639,356.745,157.067,,,
94,2777703,892,4.427805898534962,right,fixation,,25.0,397.2295491071431,157.56415625,,,,,1.0,8.0096951408902,13.802426199766446
95,2777711,884,4.427805898534962,left,fixation,24.0,,411.56163063062996,161.65204504504499,,,,,0.0,,
96,2778599,24,,right,saccade,,25.0,,,393.12800000000004,165.02700000000004,475.97900000000004,249.54,,,
97,2778599,28,,left,saccade,24.0,,,,401.952,184.08599999999998,494.44300000000004,275.56,,,
98,2778627,347,4.331482558139535,right,fixation,,26.0,502.2752954545449,270.931943181818,,,,,0.0,,
99,2778631,343,4.331429411764706,left,fixation,25.0,,509.22379310344803,294.116563218391,,,,,0.0,,
100,2778978,24,,left,saccade,25.0,,,,510.014,262.289,664.192,260.882,,,
101,2778978,24,,right,saccade,,26.0,,,500.347,286.39,648.581,271.461,,,
102,2779006,185,4.385170212765957,left,fixation,26.0,,673.631063829787,266.306191489362,,,,,1.0,4.167489198812885,7.280961818331451
103,2779006,185,4.385170212765957,right,fixation,,27.0,667.4325319148941,262.204170212766,,,,,0.0,,
104,2779195,24,,left,saccade,26.0,,,,679.059,279.783,511.164,295.177,,,
105,2779195,24,,right,saccade,,27.0,,,668.181,248.53799999999998,510.274,253.03400000000002,,,
106,2779223,703,4.28178,left,fixation,27.0,,497.089175141243,286.836050847457,,,,,0.0,,
107,2779223,707,4.282178977272728,right,fixation,,28.0,499.97653932584296,249.796438202247,,,,,0.0,,
108,2779930,20,,left,saccade,27.0,,,,475.93,274.784,436.99,204.815,,,
109,2779934,20,,right,saccade,,28.0,,,467.315,242.514,451.785,152.33700000000005,,,
110,2779954,1032,4.385486434108527,left,fixation,28.0,,407.888420849421,169.182486486487,,,,,1.0,8.58465694001675,19.33177531940617
111,2779958,1028,4.385626459143968,right,fixation,,29.0,403.49526744186005,129.880321705426,,,,,0.0,,
112,2780990,32,,left,saccade,28.0,,,,400.585,181.363,676.434,234.57299999999998,,,
113,2780990,40,,right,saccade,,29.0,,,386.25199999999995,130.184,694.8560000000001,251.739,,,
