,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,1924635,172,3.197340909090909,left,fixation,1.0,,521.182227272727,616.6545,,,,,0.0,,
1,1924635,172,3.197340909090909,right,fixation,,1.0,550.2635,601.348863636364,,,,,0.0,,
2,1924811,40,,left,saccade,1.0,,,,525.089,626.702,479.615,198.553,,,
3,1924811,44,,right,saccade,,1.0,,,556.314,612.696,497.973,231.521,,,
4,1924855,136,3.174897058823529,left,fixation,2.0,,481.059428571428,177.20617142857103,,,,,0.0,,
5,1924859,132,3.174772727272728,right,fixation,,2.0,480.405176470588,213.57026470588198,,,,,1.0,3.5786301111210395,16.940173228157974
6,1924995,8,,left,saccade,2.0,,,,470.01800000000003,156.388,456.651,140.24200000000002,,,
7,1924995,8,,right,saccade,,2.0,,,457.37800000000004,191.21099999999998,453.315,176.547,,,
8,1925007,149,3.1793421052631583,right,fixation,,3.0,450.681868421053,140.29752631578899,,,,,0.0,,
9,1925007,153,3.1792435897435896,left,fixation,3.0,,436.889743589743,111.17823076923099,,,,,0.0,,
10,1925160,20,,right,saccade,,3.0,,,456.436,128.66899999999998,462.17699999999996,202.301,,,
11,1925164,16,,left,saccade,3.0,,,,432.784,114.541,448.30699999999996,166.03,,,
12,1925184,136,3.1555441176470582,left,fixation,4.0,,460.451771428571,206.953171428571,,,,,0.0,,
13,1925184,140,3.1557428571428567,right,fixation,,4.0,483.777333333333,230.580833333333,,,,,1.0,4.661843894855334,24.30999370629284
14,1925324,24,,left,saccade,4.0,,,,466.909,219.643,441.684,95.361,,,
15,1925328,20,,right,saccade,,4.0,,,494.981,233.601,468.352,157.792,,,
16,1925352,199,3.1855918367346936,right,fixation,,5.0,458.4011176470591,127.90231372549,,,,,0.0,,
17,1925352,391,3.184865979381444,left,fixation,5.0,,474.200545454546,93.7210303030303,,,,,1.0,11.809968061392516,44.11040296800743
18,1925555,16,,right,saccade,,5.0,,,459.37199999999996,116.273,515.885,116.273,,,
19,1925575,168,3.1803452380952373,right,fixation,,6.0,552.8761162790702,133.12811627906999,,,,,0.0,,
20,1925747,28,,right,saccade,,6.0,,,558.586,127.458,899.7460000000003,157.735,,,
