,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,1793346,213,3.1175909090909086,left,fixation,1.0,,1433.4108333333304,450.372685185185,,,,,0.0,,
1,1793346,217,3.1176607142857136,right,fixation,,1.0,1420.47912727273,487.845236363636,,,,,0.0,,
2,1793563,52,,left,saccade,1.0,,,,1439.979,435.75300000000004,524.3919999999998,431.119,,,
3,1793567,52,,right,saccade,,1.0,,,1422.3570000000002,491.509,523.702,438.103,,,
4,1793619,108,3.135611111111111,left,fixation,2.0,,513.7570714285711,420.2163571428569,,,,,0.0,,
5,1793623,104,3.135846153846153,right,fixation,,2.0,502.18318518518487,421.632777777778,,,,,0.0,,
6,1793731,24,,left,saccade,2.0,,,,525.133,419.853,481.525,188.11900000000003,,,
7,1793731,24,,right,saccade,,2.0,,,498.865,423.76199999999994,489.936,186.946,,,
8,1793759,695,3.1427167630057813,left,fixation,3.0,,496.831451428572,171.587594285714,,,,,1.0,9.83233981562884,35.590269035229284
9,1793759,695,3.1427167630057813,right,fixation,,3.0,480.851268571429,184.048594285714,,,,,1.0,9.933193495939657,51.74924676746517
10,1794458,20,,left,saccade,3.0,,,,531.6569999999998,180.997,498.12300000000016,266.541,,,
11,1794458,20,,right,saccade,,3.0,,,508.655,186.16,488.625,263.635,,,
12,1794482,128,3.1209375,left,fixation,4.0,,492.210212121212,269.46396969697,,,,,0.0,,
13,1794482,128,3.1209375,right,fixation,,4.0,474.326575757576,285.992787878788,,,,,1.0,8.433774593199004,26.224671894992355
14,1794614,20,,left,saccade,4.0,,,,499.194,283.374,471.704,204.56599999999997,,,
15,1794614,20,,right,saccade,,4.0,,,483.417,297.048,472.957,212.301,,,
16,1794638,320,3.13746875,left,fixation,5.0,,459.011962962963,181.306691358025,,,,,0.0,,
17,1794638,576,3.1489236111111114,right,fixation,,5.0,426.036613793103,192.19423448275901,,,,,2.0,7.556867317533929,22.394034015410305
18,1794962,20,,left,saccade,5.0,,,,456.62800000000004,162.791,368.707,152.455,,,
19,1794986,228,3.1635350877192985,left,fixation,6.0,,389.25424137931,165.887844827586,,,,,0.0,,
20,1795218,24,,left,saccade,6.0,,,,404.24,198.549,526.3580000000002,183.37400000000002,,,
21,1795218,24,,right,saccade,,5.0,,,390.847,187.919,523.764,176.21400000000003,,,
22,1795246,261,3.1855757575757573,left,fixation,7.0,,531.632075757576,167.52200000000005,,,,,0.0,,
23,1795246,261,3.1855757575757573,right,fixation,,6.0,524.157909090909,176.517212121212,,,,,0.0,,
24,1795511,8,,left,saccade,7.0,,,,535.107,192.456,535.148,198.58700000000002,,,
25,1795511,20,,right,saccade,,6.0,,,521.86,179.13400000000001,525.6659999999998,263.01099999999997,,,
26,1795523,575,3.1998295261651872,left,fixation,8.0,,510.70499310344803,196.593558620689,,,,,1.0,9.130108227726543,25.138340836260518
27,1795535,180,3.1928888888888896,right,fixation,,7.0,523.077717391304,287.720304347826,,,,,0.0,,
28,1795719,20,,right,saccade,,7.0,,,526.2090000000002,285.939,512.339,188.486,,,
29,1795743,359,3.206831477961807,right,fixation,,8.0,492.85226373626404,186.56143956044,,,,,0.0,,
30,1796102,48,,left,saccade,8.0,,,,491.744,173.8,502.417,165.593,,,
31,1796106,40,,right,saccade,,8.0,,,486.79,195.452,492.07099999999997,144.888,,,
32,1796246,316,3.25443137254902,right,fixation,,9.0,508.6372625,183.062325,,,,,0.0,,
33,1796270,296,3.2546538461538463,left,fixation,9.0,,516.1852266666671,170.53048,,,,,0.0,,
34,1796566,20,,right,saccade,,9.0,,,503.041,181.051,432.19300000000004,190.796,,,
35,1796570,20,,left,saccade,9.0,,,,516.54,193.47400000000002,421.195,185.63299999999998,,,
36,1796590,184,3.2482282608695656,right,fixation,,10.0,403.845361702128,198.547170212766,,,,,0.0,,
37,1796594,180,3.247844444444445,left,fixation,10.0,,421.8167391304351,179.98304347826095,,,,,0.0,,
38,1796778,20,,left,saccade,10.0,,,,435.275,170.55700000000004,538.0369999999998,160.905,,,
39,1796778,20,,right,saccade,,10.0,,,411.251,196.452,525.9019999999998,195.8,,,
40,1796802,492,3.2200813008130083,right,fixation,,11.0,536.920661290323,181.77819354838692,,,,,0.0,,
41,1796802,496,3.2202500000000005,left,fixation,11.0,,550.9792,182.33823999999998,,,,,0.0,,
42,1797298,28,,right,saccade,,11.0,,,533.67,175.324,686.941,269.439,,,
43,1797302,28,,left,saccade,11.0,,,,554.7040000000002,174.84900000000005,696.796,255.34900000000002,,,
44,1797330,420,3.2469,right,fixation,,12.0,710.957386792453,302.334518867925,,,,,1.0,5.893289427626801,17.688384098045898
45,1797334,416,3.2469182692307688,left,fixation,12.0,,714.796771428571,283.843552380953,,,,,0.0,,
46,1797754,20,,left,saccade,12.0,,,,736.341,255.80700000000002,901.454,257.548,,,
47,1797754,20,,right,saccade,,12.0,,,738.0889999999997,300.298,887.0189999999999,298.783,,,
48,1797778,292,3.204609589041096,left,fixation,13.0,,933.120243243243,263.815702702703,,,,,1.0,9.864023127000467,24.366929658863373
49,1797778,292,3.204609589041096,right,fixation,,13.0,922.814702702702,279.20727027027,,,,,1.0,8.692349193399945,29.359102336413702
50,1798074,40,,left,saccade,13.0,,,,962.347,239.801,520.586,175.942,,,
51,1798074,40,,right,saccade,,13.0,,,958.16,287.072,545.927,198.269,,,
52,1798118,184,3.2229565217391305,left,fixation,14.0,,524.903085106383,157.017468085106,,,,,0.0,,
53,1798118,184,3.2229565217391305,right,fixation,,14.0,524.789936170213,173.880085106383,,,,,0.0,,
54,1798306,44,,left,saccade,14.0,,,,529.651,161.45,1152.987,217.84599999999998,,,
55,1798306,44,,right,saccade,,14.0,,,517.79,172.519,1162.026,233.463,,,
56,1798354,424,3.2277405660377365,left,fixation,15.0,,1186.9761682243,240.36830841121497,,,,,0.0,,
57,1798354,424,3.2277405660377365,right,fixation,,15.0,1180.3228971962599,265.258710280374,,,,,0.0,,
58,1798782,20,,left,saccade,15.0,,,,1214.229,236.39700000000002,1366.0620000000001,237.692,,,
59,1798782,20,,right,saccade,,15.0,,,1190.134,274.501,1358.023,279.518,,,
60,1798806,48,3.235625,left,fixation,16.0,,1368.61046153846,231.391307692308,,,,,0.0,,
61,1798806,48,3.235625,right,fixation,,16.0,1361.6083846153801,269.644538461538,,,,,0.0,,
62,1798858,20,,left,saccade,16.0,,,,1368.8210000000001,226.449,1532.98,230.104,,,
63,1798858,20,,right,saccade,,16.0,,,1364.872,259.259,1505.457,264.22900000000004,,,
64,1798882,44,3.2349090909090905,left,fixation,17.0,,1532.19133333333,232.84725,,,,,0.0,,
65,1798882,48,3.2344166666666667,right,fixation,,17.0,1521.64623076923,269.17415384615396,,,,,0.0,,
66,1798930,28,,left,saccade,17.0,,,,1521.9979999999994,236.072,1245.183,239.56,,,
67,1798934,28,,right,saccade,,17.0,,,1521.1779999999999,275.72,1252.275,264.164,,,
68,1798962,624,3.24225,left,fixation,18.0,,1218.59901273885,244.811108280255,,,,,0.0,,
69,1798966,624,3.2421353503184718,right,fixation,,18.0,1210.9686178344,273.490133757962,,,,,1.0,6.99735124688064,23.39489117307429
70,1799590,52,,left,saccade,18.0,,,,1213.212,232.356,346.69300000000015,432.491,,,
71,1799594,52,,right,saccade,,18.0,,,1198.157,274.425,359.459,454.084,,,
72,1799646,124,3.2011451612903232,left,fixation,19.0,,354.87640625,423.26071875,,,,,0.0,,
73,1799650,116,3.2009827586206887,right,fixation,,19.0,354.825733333333,453.3696,,,,,0.0,,
74,1799770,12,,right,saccade,,19.0,,,383.16900000000004,445.82599999999996,417.412,433.699,,,
75,1799774,4,,left,saccade,19.0,,,,381.662,393.884,395.82800000000003,391.64099999999996,,,
