,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2766508,220,3.129049107142857,left,fixation,1.0,,1081.96721428571,451.969303571428,,,,,0.0,,
1,2766508,220,3.129049107142857,right,fixation,,1.0,1068.05875,459.28191071428597,,,,,0.0,,
2,2766732,40,,left,saccade,1.0,,,,1084.933,460.841,709.442,357.98,,,
3,2766732,40,,right,saccade,,1.0,,,1068.608,456.972,720.8710000000003,353.10900000000015,,,
4,2766776,56,3.1529285714285717,left,fixation,2.0,,698.568533333333,343.712,,,,,0.0,,
5,2766776,56,3.1529285714285717,right,fixation,,2.0,682.662733333333,344.1802,,,,,1.0,5.0255461864579685,15.289967331554461
6,2766836,20,,right,saccade,,2.0,,,672.904,342.142,538.284,295.459,,,
7,2766836,24,,left,saccade,2.0,,,,692.587,343.55,530.363,273.08099999999996,,,
8,2766860,340,3.196370588235294,right,fixation,,3.0,499.131906976744,280.339395348837,,,,,3.0,6.917165348478396,22.34416857402095
9,2766864,340,3.1971176470588234,left,fixation,3.0,,504.360779069768,276.266360465116,,,,,2.0,4.770664302435131,13.229192560155331
10,2767204,24,,right,saccade,,3.0,,,464.588,295.22,431.72900000000004,189.14,,,
11,2767208,20,,left,saccade,3.0,,,,464.505,269.884,422.02099999999996,172.815,,,
12,2767232,636,3.310117353373975,left,fixation,4.0,,415.1358875,165.77529375,,,,,1.0,7.301579039647668,23.83631760570412
13,2767232,636,3.310117353373975,right,fixation,,4.0,413.56690625,170.6219375,,,,,0.0,,
14,2767872,40,,left,saccade,4.0,,,,398.38699999999994,163.406,430.226,117.77,,,
15,2767872,40,,right,saccade,,4.0,,,408.353,162.66899999999995,416.846,170.868,,,
16,2767956,128,3.3910366197183097,left,fixation,5.0,,447.66787878787903,130.882151515152,,,,,0.0,,
17,2767956,132,3.3897381938690967,right,fixation,,5.0,441.4143235294111,155.838823529412,,,,,2.0,7.5696031230802845,26.34971309097452
18,2768088,24,,left,saccade,5.0,,,,445.25699999999995,143.27100000000004,445.709,272.976,,,
19,2768092,20,,right,saccade,,5.0,,,445.917,170.012,446.305,323.441,,,
