,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,1781145,212,3.1629907407407414,left,fixation,1.0,,1151.93981481481,866.9180925925929,,,,,0.0,,
1,1781145,216,3.1628000000000007,right,fixation,,1.0,1145.77270909091,863.131781818182,,,,,0.0,,
2,1781361,52,,left,saccade,1.0,,,,1148.991,874.8380000000003,764.581,385.616,,,
3,1781365,48,,right,saccade,,1.0,,,1147.4769999999999,864.582,761.4780000000003,377.735,,,
4,1781417,264,3.114446969696969,left,fixation,2.0,,744.056522388059,326.136164179104,,,,,0.0,,
5,1781417,268,3.113917910447761,right,fixation,,2.0,747.630897058824,338.737235294118,,,,,0.0,,
6,1781685,40,,left,saccade,2.0,,,,736.581,322.76599999999996,503.17800000000005,211.967,,,
7,1781689,32,,right,saccade,,2.0,,,740.557,339.63599999999997,508.1,215.986,,,
8,1781725,784,2.9899238578680207,right,fixation,,3.0,453.698604060913,180.019197969543,,,,,3.0,7.198897407156344,18.08438760261441
9,1781729,792,2.9884020100502515,left,fixation,3.0,,454.795773869347,182.00396482412103,,,,,3.0,9.055659471156627,28.690738081671906
10,1782513,16,,right,saccade,,3.0,,,425.73400000000004,189.69099999999997,489.73,180.649,,,
11,1782525,4,,left,saccade,3.0,,,,462.673,193.519,469.92199999999997,193.519,,,
12,1782533,832,2.964834134615385,right,fixation,,4.0,496.651052631579,177.10570813397098,,,,,5.0,6.048583973880159,16.967289304459598
13,1782533,836,2.9650095693779903,left,fixation,4.0,,487.53073809523806,172.813252380952,,,,,4.0,7.414642701688478,21.998144333123378
14,1783369,28,,right,saccade,,4.0,,,544.241,175.84900000000005,749.449,224.582,,,
15,1783373,24,,left,saccade,4.0,,,,534.992,182.343,732.943,241.50799999999998,,,
16,1783401,240,3.017383333333333,left,fixation,5.0,,738.85537704918,269.520098360656,,,,,0.0,,
17,1783401,240,3.017383333333333,right,fixation,,5.0,747.6623606557381,273.145327868852,,,,,0.0,,
18,1783645,24,,right,saccade,,5.0,,,731.092,286.717,944.8889999999999,281.018,,,
19,1783645,28,,left,saccade,5.0,,,,717.0310000000003,271.103,950.4639999999999,261.624,,,
20,1783673,276,3.0396666666666667,right,fixation,,6.0,962.998285714286,280.881414285714,,,,,0.0,,
21,1783677,272,3.039705882352941,left,fixation,6.0,,965.2643043478259,279.350811594203,,,,,0.0,,
22,1783953,24,,left,saccade,6.0,,,,967.558,259.439,1159.497,256.908,,,
23,1783953,28,,right,saccade,,6.0,,,958.7439999999999,296.802,1157.4589999999996,294.09,,,
24,1783981,492,3.0571138211382123,left,fixation,7.0,,1184.27735483871,268.773612903226,,,,,0.0,,
25,1783985,488,3.0571434426229507,right,fixation,,7.0,1183.1866747967501,280.861447154471,,,,,1.0,3.4587894879888887,8.179342271845758
26,1784477,24,,left,saccade,7.0,,,,1193.08,257.0,1391.099,264.448,,,
27,1784477,28,,right,saccade,,7.0,,,1201.21,284.058,1407.1979999999999,287.09,,,
28,1784505,512,3.09691015625,left,fixation,8.0,,1426.10717829457,257.808302325581,,,,,2.0,4.863030462676498,17.79282669052986
29,1784509,508,3.0970905511811018,right,fixation,,8.0,1431.0186015625,276.74725,,,,,0.0,,
30,1785021,28,,left,saccade,8.0,,,,1437.93,242.49599999999998,1187.994,210.08700000000002,,,
31,1785021,28,,right,saccade,,8.0,,,1446.396,293.472,1223.281,231.615,,,
32,1785053,212,3.1464339622641497,left,fixation,9.0,,1181.7652037036999,191.03107407407398,,,,,0.0,,
33,1785053,212,3.1464339622641497,right,fixation,,9.0,1198.4832962963,226.608037037037,,,,,0.0,,
34,1785269,44,,left,saccade,9.0,,,,1193.549,216.079,534.256,202.649,,,
35,1785269,52,,right,saccade,,9.0,,,1190.818,234.665,552.797,201.005,,,
36,1785317,780,3.1584170918367347,left,fixation,10.0,,527.221214285714,177.890571428572,,,,,1.0,4.938106935973655,14.944263715553165
37,1785325,772,3.158403350515464,right,fixation,,10.0,523.295128865979,184.290659793814,,,,,4.0,4.3505746729488575,15.321565500710951
38,1786101,20,,left,saccade,10.0,,,,529.9680000000002,170.982,452.786,173.886,,,
39,1786101,20,,right,saccade,,10.0,,,524.026,178.81799999999996,457.80800000000005,185.438,,,
