,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,3115960,364,3.8322768817204285,left,fixation,1.0,,1437.2730978260904,135.377782608696,,,,,3.0,4.538898884033833,19.759438009987626
1,3115960,364,3.8322768817204285,right,fixation,,1.0,1423.07201086956,117.403076086956,,,,,2.0,12.649973473804605,33.46463316535593
2,3116328,60,,left,saccade,1.0,,,,1418.743,128.19299999999998,527.4,163.291,,,
3,3116328,60,,right,saccade,,1.0,,,1436.5929999999994,76.461,519.05,158.32,,,
4,3116392,844,3.7755142180094783,left,fixation,2.0,,467.012613207547,162.671778301887,,,,,5.0,6.148479522189362,19.272808568572366
5,3116392,856,3.7751214953271033,right,fixation,,2.0,452.853558139535,170.87450697674402,,,,,5.0,5.974194841550155,18.306747730128727
6,3117240,16,,left,saccade,2.0,,,,405.345,138.001,469.767,149.711,,,
7,3117252,4,,right,saccade,,2.0,,,450.981,134.416,454.836,140.079,,,
8,3117260,544,3.732948905109489,right,fixation,,3.0,480.205700729927,169.055569343066,,,,,1.0,6.3961877534807945,12.708865016200257
9,3117260,1256,3.7616385350318473,left,fixation,3.0,,458.119355555556,171.68773968253998,,,,,5.0,7.317034292347952,21.94279987471065
10,3117808,16,,right,saccade,,3.0,,,501.101,196.458,442.374,188.329,,,
11,3117828,684,3.7844147058823534,right,fixation,,4.0,396.97829651162806,168.99738372093,,,,,3.0,4.9261324797565855,19.417126320398157
12,3118516,28,,right,saccade,,4.0,,,355.23,116.17299999999999,603.645,143.66,,,
13,3118520,24,,left,saccade,3.0,,,,416.654,161.672,626.326,172.52900000000002,,,
14,3118548,136,3.8109852941176467,left,fixation,4.0,,650.194228571429,197.951285714286,,,,,1.0,4.183030390757392,16.521415980478213
15,3118548,136,3.8109852941176467,right,fixation,,5.0,606.376228571429,182.6748,,,,,0.0,,
16,3118688,16,,left,saccade,4.0,,,,663.717,210.78799999999998,704.681,252.205,,,
17,3118688,16,,right,saccade,,5.0,,,610.533,194.013,660.8610000000001,217.31099999999998,,,
18,3118708,136,3.822771428571428,left,fixation,5.0,,717.908371428572,260.844942857143,,,,,1.0,5.093326246177443,8.33954105451854
19,3118708,140,3.8232083333333327,right,fixation,,6.0,669.0553333333339,238.170388888889,,,,,1.0,8.150627405979927,6.039822265596876
20,3118848,28,,left,saccade,5.0,,,,721.2360000000001,250.537,522.452,266.939,,,
21,3118852,24,,right,saccade,,6.0,,,671.915,236.52599999999998,468.991,249.636,,,
22,3118880,292,3.8146232876712327,right,fixation,,7.0,456.232756756757,276.259878378378,,,,,0.0,,
23,3118880,296,3.8140202702702695,left,fixation,6.0,,496.233746666667,268.620653333333,,,,,1.0,4.096940664148746,6.985721723630233
24,3119176,44,,right,saccade,,7.0,,,459.716,298.656,964.1419999999999,244.16099999999997,,,
25,3119180,40,,left,saccade,6.0,,,,493.211,265.88,982.3989999999999,253.797,,,
26,3119224,1696,3.6948,left,fixation,7.0,,961.780458823528,228.487491764706,,,,,4.0,7.378977132515253,20.640915100435574
27,3119224,1696,3.6948,right,fixation,,8.0,952.066672941176,217.611922352941,,,,,2.0,3.7559098205512207,8.531463534965365
28,3120924,40,,left,saccade,7.0,,,,954.048,204.518,517.26,367.67199999999997,,,
29,3120924,44,,right,saccade,,8.0,,,946.9689999999999,208.253,473.13,358.147,,,
30,3120968,692,3.751549132947977,left,fixation,8.0,,485.018126436782,392.57494252873596,,,,,3.0,5.374221731865144,16.211758310577853
31,3120972,688,3.7515872093023264,right,fixation,,9.0,464.904572254335,412.137768786127,,,,,2.0,5.9941482594862965,27.04625823919836
32,3121664,20,,left,saccade,8.0,,,,511.968,407.407,506.856,526.783,,,
33,3121664,28,,right,saccade,,9.0,,,484.599,400.82599999999996,454.32199999999995,530.632,,,
34,3121688,164,3.789731707317072,left,fixation,9.0,,496.046619047619,532.668642857143,,,,,0.0,,
35,3121696,152,3.7906710526315774,right,fixation,,10.0,456.08776923076897,561.667256410256,,,,,0.0,,
36,3121852,24,,right,saccade,,10.0,,,455.713,592.193,681.685,572.549,,,
37,3121856,24,,left,saccade,9.0,,,,494.57099999999997,531.28,712.307,519.019,,,
38,3121880,204,3.813245098039215,right,fixation,,11.0,697.0070192307692,516.124076923077,,,,,0.0,,
39,3121884,196,3.8132959183673463,left,fixation,10.0,,732.02442,546.1489,,,,,0.0,,
40,3122084,24,,left,saccade,10.0,,,,742.915,550.076,574.944,425.022,,,
41,3122088,24,,right,saccade,,11.0,,,692.2719999999997,497.55199999999996,539.72,381.675,,,
42,3122112,2364,3.624092216582064,left,fixation,11.0,,494.438273648648,399.282403716216,,,,,6.0,9.329367078801523,25.45478307080424
43,3122116,1496,3.6095628342245982,right,fixation,,12.0,516.7692,401.518101333333,,,,,1.0,8.41926857637354,30.18203805245759
44,3123616,16,,right,saccade,,12.0,,,508.712,386.164,443.60400000000004,385.73400000000004,,,
45,3123636,840,3.6509380952380948,right,fixation,,13.0,419.731156398105,383.43472985782006,,,,,2.0,6.01303519350321,17.495954891420247
46,3124480,20,,left,saccade,11.0,,,,389.43699999999995,395.954,501.656,393.211,,,
47,3124480,20,,right,saccade,,13.0,,,392.185,398.12699999999995,512.1469999999998,390.209,,,
48,3124504,340,3.6053529411764713,left,fixation,12.0,,521.170476744186,415.821802325582,,,,,1.0,4.004273470653291,11.78948022603198
49,3124504,344,3.6058197674418606,right,fixation,,14.0,511.255252873563,370.94708045977006,,,,,0.0,,
50,3124848,32,,left,saccade,12.0,,,,525.075,403.19,713.102,523.6709999999998,,,
51,3124852,32,,right,saccade,,14.0,,,512.38,406.95,704.383,493.50800000000004,,,
52,3124884,172,3.704011627906976,left,fixation,13.0,,729.530409090909,541.1446590909089,,,,,1.0,4.617567953539584,11.397771712049696
53,3124888,172,3.705209302325582,right,fixation,,15.0,721.8321136363637,500.090840909091,,,,,0.0,,
54,3125060,28,,left,saccade,13.0,,,,731.794,536.196,960.4069999999999,545.175,,,
55,3125064,24,,right,saccade,,15.0,,,726.197,504.778,921.59,507.56699999999995,,,
56,3125092,468,3.7642777777777776,left,fixation,14.0,,966.3111440677968,529.500220338983,,,,,1.0,2.850909352976508,4.408247724436533
57,3125092,468,3.7642777777777776,right,fixation,,16.0,941.645457627118,499.783881355932,,,,,0.0,,
58,3125564,24,,left,saccade,14.0,,,,968.8610000000001,533.755,764.54,540.94,,,
59,3125564,32,,right,saccade,,16.0,,,940.013,510.923,722.2510000000003,516.557,,,
60,3125592,495,3.7006666666666654,left,fixation,15.0,,739.2645120000011,536.9982,,,,,0.0,,
61,3125600,487,3.7004338842975217,right,fixation,,17.0,702.089276422764,510.8769186991861,,,,,1.0,3.5656973916596866,7.2277759373129475
62,3126091,28,,left,saccade,15.0,,,,719.4119999999997,509.61400000000003,548.068,420.769,,,
63,3126091,36,,right,saccade,,17.0,,,690.927,522.0459999999998,483.63300000000004,399.917,,,
64,3126123,892,3.565791479820628,left,fixation,16.0,,488.593526785715,400.855102678572,,,,,5.0,5.1113741420819565,21.229188366574604
