,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2057435,116,3.262266666666666,left,fixation,1.0,,1540.2856666666696,812.126266666667,,,,,0.0,,
1,2057435,120,3.2619354838709684,right,fixation,,1.0,1531.7403548387101,804.926838709677,,,,,2.0,6.152108816133066,34.24081493236814
2,2057555,76,,left,saccade,1.0,,,,1543.0620000000001,822.475,544.363,239.11900000000003,,,
3,2057559,72,,right,saccade,,1.0,,,1534.766,798.816,524.164,229.812,,,
4,2057635,164,3.2784024390243904,right,fixation,,2.0,519.9725,224.97254761904802,,,,,0.0,,
5,2057635,476,3.2797521008403367,left,fixation,2.0,,494.9692333333329,171.66975,,,,,3.0,8.021560246404043,21.62309077132248
6,2057803,16,,right,saccade,,2.0,,,518.18,217.623,503.10400000000004,168.063,,,
7,2057823,288,3.2816527777777766,right,fixation,,3.0,480.91842465753405,142.828260273973,,,,,0.0,,
8,2058115,16,,left,saccade,2.0,,,,463.735,133.554,470.853,210.93099999999998,,,
9,2058115,16,,right,saccade,,3.0,,,478.026,163.436,479.655,223.73,,,
10,2058135,412,3.2753543689320384,left,fixation,3.0,,471.191307692308,233.3825,,,,,2.0,3.8162128305726837,13.026110182176454
11,2058135,412,3.2753543689320384,right,fixation,,4.0,481.85080769230797,247.47808653846198,,,,,1.0,4.726804149975138,18.18842274635159
12,2058551,28,,left,saccade,3.0,,,,474.435,221.424,693.31,227.975,,,
13,2058551,28,,right,saccade,,4.0,,,488.32099999999997,238.475,727.26,239.642,,,
14,2058583,216,3.300518518518518,left,fixation,4.0,,723.216127272727,244.64854545454602,,,,,0.0,,
15,2058583,216,3.300518518518518,right,fixation,,5.0,736.13049090909,232.286690909091,,,,,0.0,,
16,2058803,24,,left,saccade,4.0,,,,719.3710000000003,231.81400000000002,502.866,184.028,,,
