,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2645326,220,3.3037611607142856,left,fixation,1.0,,1536.17401785714,755.6533035714281,,,,,1.0,2.508190588407817,7.881226363961407
1,2645326,220,3.3037611607142856,right,fixation,,1.0,1541.52226785714,720.7946785714281,,,,,0.0,,
2,2645550,60,,left,saccade,1.0,,,,1532.797,751.945,738.445,208.014,,,
3,2645550,64,,right,saccade,,1.0,,,1538.989,714.314,731.8380000000003,219.396,,,
4,2645614,104,3.3399807692307686,left,fixation,2.0,,718.5004444444438,188.65355555555598,,,,,1.0,6.629119333583378,23.69547967440205
5,2645618,104,3.340211538461538,right,fixation,,2.0,714.073555555556,188.85085185185198,,,,,3.0,3.4719805830522072,6.9835749991288685
6,2645722,28,,left,saccade,2.0,,,,711.9730000000003,174.988,458.51099999999997,133.815,,,
7,2645726,28,,right,saccade,,2.0,,,709.701,171.86700000000005,449.588,155.747,,,
8,2645754,248,3.3280967741935483,left,fixation,3.0,,446.69171428571406,118.73477777777799,,,,,0.0,,
9,2645758,244,3.327999999999999,right,fixation,,3.0,438.543903225807,136.55235483871002,,,,,3.0,2.8883669844264523,8.141414428000331
10,2646006,20,,left,saccade,3.0,,,,441.594,115.801,476.17900000000003,194.726,,,
11,2646006,20,,right,saccade,,3.0,,,437.352,130.739,470.45099999999996,202.364,,,
12,2646030,104,3.3025769230769235,left,fixation,4.0,,488.1252592592591,199.49022222222197,,,,,1.0,4.454893164949183,9.031908989798339
13,2646030,104,3.3025769230769235,right,fixation,,4.0,482.136666666667,216.91559259259301,,,,,1.0,2.536806259847201,5.669869927961322
14,2646138,40,,right,saccade,,4.0,,,484.838,223.817,952.435,56.442,,,
15,2646138,44,,left,saccade,4.0,,,,485.63800000000003,199.253,947.2719999999999,36.381,,,
16,2646182,228,3.3302305,right,fixation,,5.0,972.689879310345,37.6422586206897,,,,,2.0,3.193550561681714,14.53978573945465
17,2646186,224,3.3306867241379305,left,fixation,5.0,,977.140035087719,9.51745614035088,,,,,2.0,4.186656601995724,16.100982709773984
18,2646414,48,,left,saccade,5.0,,,,981.508,4.672,360.832,175.785,,,
19,2646414,44,,right,saccade,,5.0,,,972.202,35.921,356.69599999999997,206.66,,,
20,2646542,292,3.3634417230320697,right,fixation,,6.0,435.444,248.305067567567,,,,,4.0,7.191440624866543,27.86608848772155
21,2646546,288,3.3634417230320697,left,fixation,6.0,,442.220794520548,230.56002739726003,,,,,3.0,8.459134059369429,38.79690628367157
22,2646838,20,,left,saccade,6.0,,,,469.86800000000005,241.515,419.825,153.805,,,
23,2646838,24,,right,saccade,,6.0,,,470.332,251.46400000000003,420.702,148.445,,,
24,2646862,312,3.404044871794872,left,fixation,7.0,,406.810379746835,134.300405063291,,,,,1.0,6.136651369254872,22.820324011722523
25,2646866,308,3.4044025974025973,right,fixation,,7.0,403.873782051282,145.976897435897,,,,,1.0,2.3937864473581536,5.866123080877157
26,2647178,20,,left,saccade,7.0,,,,405.92400000000004,134.696,460.981,248.618,,,
27,2647178,20,,right,saccade,,7.0,,,401.51300000000003,145.908,458.918,257.907,,,
28,2647202,272,3.3677647058823528,right,fixation,,8.0,480.261101449275,262.163724637681,,,,,1.0,3.7237114736360586,8.528079326554153
29,2647202,276,3.3674492753623184,left,fixation,8.0,,480.5583,251.111114285714,,,,,0.0,,
30,2647478,28,,right,saccade,,8.0,,,479.066,263.121,704.204,262.366,,,
31,2647482,24,,left,saccade,8.0,,,,477.892,251.2,698.9,251.21099999999998,,,
32,2647510,400,3.334085,left,fixation,9.0,,714.922207920792,246.89308910891103,,,,,0.0,,
33,2647510,400,3.334085,right,fixation,,9.0,718.382049504951,269.742247524753,,,,,1.0,4.429116572310042,11.236142443027367
34,2647914,36,,right,saccade,,9.0,,,721.043,263.732,1063.223,273.172,,,
35,2647914,40,,left,saccade,9.0,,,,713.047,251.601,1068.844,242.703,,,
36,2647954,140,3.315342857142857,right,fixation,,10.0,1098.08136111111,272.856305555556,,,,,1.0,4.41544734426762,24.655826998906388
37,2647958,140,3.3154857142857144,left,fixation,10.0,,1110.15136111111,244.43583333333302,,,,,1.0,3.3923281091309647,18.980357478193085
38,2648098,16,,right,saccade,,10.0,,,1112.548,272.525,1166.461,275.993,,,
39,2648102,12,,left,saccade,10.0,,,,1115.589,239.699,1177.111,232.06599999999997,,,
40,2648118,132,3.2966969696969697,left,fixation,11.0,,1190.2698823529402,234.072235294118,,,,,1.0,3.6476979384262993,9.771607032622539
41,2648118,136,3.2966323529411765,right,fixation,,11.0,1179.85725714286,270.0994,,,,,1.0,4.54604239360393,12.344335745595922
42,2648254,24,,left,saccade,11.0,,,,1190.363,235.803,953.62,240.766,,,
43,2648258,24,,right,saccade,,11.0,,,1178.145,265.638,958.2669999999999,262.319,,,
44,2648282,372,3.3202365591397847,left,fixation,12.0,,952.7706276595752,257.667393617021,,,,,0.0,,
45,2648286,368,3.3203913043478264,right,fixation,,12.0,948.598483870968,267.096795698925,,,,,0.0,,
46,2648658,28,,left,saccade,12.0,,,,953.2919999999999,271.312,1204.5230000000001,266.94,,,
47,2648658,28,,right,saccade,,12.0,,,962.57,275.279,1203.4089999999999,274.973,,,
48,2648690,452,3.3196622807017544,right,fixation,,13.0,1204.68956140351,265.231052631579,,,,,3.0,2.7482585785709084,7.890105013170026
49,2648690,456,3.3196434782608697,left,fixation,13.0,,1208.05910434783,240.52007826087,,,,,5.0,3.065507901072296,8.222047836262968
50,2649146,24,,right,saccade,,13.0,,,1192.17,267.18,1369.965,271.434,,,
51,2649150,24,,left,saccade,13.0,,,,1209.4460000000001,242.58599999999998,1389.382,240.986,,,
52,2649174,384,3.3134218749999995,right,fixation,,14.0,1409.22220618557,264.490113402062,,,,,3.0,5.163151903043805,16.851804334289838
53,2649178,376,3.31336170212766,left,fixation,14.0,,1415.04533684211,236.279094736842,,,,,2.0,5.80043237513623,16.702110827884365
54,2649558,56,,left,saccade,14.0,,,,1435.668,243.963,524.361,261.347,,,
55,2649562,60,,right,saccade,,14.0,,,1431.5629999999999,264.66700000000003,540.5840000000002,279.829,,,
56,2649618,396,3.3188181818181817,left,fixation,15.0,,499.89935999999994,258.9458,,,,,3.0,4.0281077816820865,15.299741848879455
