,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2099435,232,3.2900277777777784,left,fixation,1.0,,892.9563559322031,377.646627118644,,,,,0.0,,
1,2099435,232,3.2900277777777784,right,fixation,,1.0,884.543,394.812101694915,,,,,0.0,,
2,2099671,40,,left,saccade,1.0,,,,899.202,370.969,577.865,164.021,,,
3,2099671,40,,right,saccade,,1.0,,,882.5010000000003,369.142,573.085,182.229,,,
4,2099715,416,3.3469423076923075,left,fixation,2.0,,522.697619047619,140.050352380952,,,,,2.0,8.386210180472824,40.36534545477318
5,2099715,416,3.3469423076923075,right,fixation,,2.0,523.366923809523,149.614161904762,,,,,3.0,6.803331061537457,21.51624524949333
6,2100135,28,,left,saccade,2.0,,,,500.16,153.3,730.421,143.691,,,
7,2100135,28,,right,saccade,,2.0,,,492.665,152.607,761.567,149.888,,,
8,2100167,256,3.321375,left,fixation,3.0,,760.1382769230769,167.65072307692301,,,,,1.0,4.072974452275502,13.162836320489584
9,2100167,256,3.321375,right,fixation,,3.0,768.1382615384621,165.709092307692,,,,,0.0,,
10,2100427,19,,left,saccade,3.0,,,,762.466,178.36599999999999,651.617,194.24400000000003,,,
11,2100427,19,,right,saccade,,3.0,,,759.3689999999997,160.092,669.7139999999997,180.773,,,
12,2100450,389,3.300301020408163,left,fixation,4.0,,645.390367346939,193.549704081633,,,,,1.0,3.983817575168589,10.399757545250727
13,2100450,389,3.300301020408163,right,fixation,,4.0,650.8426530612239,199.254734693878,,,,,0.0,,
14,2100843,20,,left,saccade,4.0,,,,642.7090000000002,178.00900000000001,787.7560000000003,166.33599999999996,,,
15,2100843,24,,right,saccade,,4.0,,,648.366,191.459,793.1310000000003,189.11,,,
16,2100867,148,3.3298243243243246,left,fixation,5.0,,794.871578947368,160.729105263158,,,,,0.0,,
17,2100871,148,3.3297567567567574,right,fixation,,5.0,809.1657368421049,204.388763157895,,,,,0.0,,
18,2101019,12,,left,saccade,5.0,,,,793.972,163.16899999999995,742.35,157.843,,,
19,2101023,12,,right,saccade,,5.0,,,798.65,207.648,752.177,194.97799999999998,,,
20,2101035,192,3.3275104166666667,left,fixation,6.0,,723.44418367347,169.187571428571,,,,,1.0,4.323850910293346,10.24471341717292
21,2101039,188,3.3275212765957463,right,fixation,,6.0,737.975,179.1644375,,,,,0.0,,
22,2101231,44,,right,saccade,,6.0,,,745.444,197.136,1396.789,197.609,,,
23,2101231,48,,left,saccade,6.0,,,,726.7280000000003,180.32299999999998,1385.989,167.74599999999995,,,
24,2101279,1119,3.3574892857142857,right,fixation,,7.0,1439.13867259786,145.913839857651,,,,,3.0,3.5050414883534877,13.394988780741505
25,2101283,1115,3.357566308243728,left,fixation,7.0,,1446.29376071429,138.467182142857,,,,,3.0,4.334524477600026,14.11234479318086
26,2102402,48,,left,saccade,7.0,,,,1449.487,149.092,656.696,179.646,,,
27,2102402,52,,right,saccade,,7.0,,,1441.9779999999994,144.226,662.956,192.328,,,
28,2102454,376,3.3681648936170214,left,fixation,8.0,,628.605294736842,180.18087368421,,,,,2.0,4.329162599950384,9.598116427088259
29,2102458,372,3.3684193548387102,right,fixation,,8.0,639.924893617022,176.89514893617005,,,,,1.0,3.8119054035424034,13.283171383370867
30,2102834,20,,left,saccade,8.0,,,,622.357,178.607,727.693,184.774,,,
31,2102834,20,,right,saccade,,8.0,,,641.451,170.489,739.878,181.924,,,
32,2102858,544,3.3632463235294123,left,fixation,9.0,,745.73,194.56504379562,,,,,0.0,,
33,2102858,544,3.3632463235294123,right,fixation,,9.0,751.9732335766431,198.791313868613,,,,,0.0,,
34,2103406,20,,left,saccade,9.0,,,,749.061,200.842,626.285,192.325,,,
35,2103406,24,,right,saccade,,9.0,,,755.6519999999997,203.796,633.058,211.143,,,
36,2103430,388,3.3689896907216497,left,fixation,10.0,,622.097010204082,195.03684693877602,,,,,0.0,,
37,2103434,384,3.3689479166666665,right,fixation,,10.0,627.667855670103,207.24706185567,,,,,1.0,4.038112058871072,18.833893384003176
38,2103822,20,,left,saccade,10.0,,,,649.494,213.24,624.054,293.798,,,
39,2103822,20,,right,saccade,,10.0,,,636.17,187.416,606.623,282.598,,,
40,2103846,236,3.3362711864406784,left,fixation,11.0,,604.013233333333,307.231233333333,,,,,1.0,3.725099088913229,11.649548059903395
41,2103846,240,3.33605,right,fixation,,11.0,598.362737704918,313.396934426229,,,,,0.0,,
42,2104086,20,,left,saccade,11.0,,,,610.03,340.964,527.404,348.63300000000015,,,
43,2104090,16,,right,saccade,,11.0,,,588.435,317.351,518.524,328.764,,,
44,2104110,124,3.3388064516129026,right,fixation,,12.0,504.25865625,338.34209375,,,,,0.0,,
45,2104110,128,3.338609375,left,fixation,12.0,,496.452727272727,335.2940000000001,,,,,1.0,3.5482507466512567,6.536060128242395
46,2104238,16,,right,saccade,,12.0,,,503.35,338.856,445.103,336.976,,,
47,2104242,8,,left,saccade,12.0,,,,482.537,332.851,452.582,332.849,,,
48,2104254,440,3.344618181818181,left,fixation,13.0,,433.585144144144,325.182918918919,,,,,1.0,3.6415347687784263,8.592514882151765
49,2104258,436,3.344582568807339,right,fixation,,13.0,424.033845454546,315.167527272727,,,,,2.0,3.998540616549087,21.75742466958788
50,2104698,20,,left,saccade,13.0,,,,437.82199999999995,336.876,508.85900000000004,326.953,,,
51,2104698,20,,right,saccade,,13.0,,,420.51099999999997,302.95599999999996,505.522,314.195,,,
52,2104722,252,3.30454761904762,left,fixation,14.0,,544.643484375,341.088796875,,,,,1.0,3.964916578217304,17.306273804606253
53,2104722,252,3.30454761904762,right,fixation,,14.0,533.303140625,324.1119375,,,,,0.0,,
54,2104978,20,,left,saccade,14.0,,,,544.395,323.682,663.423,319.452,,,
55,2104978,24,,right,saccade,,14.0,,,527.9630000000002,314.0,660.297,311.312,,,
56,2105002,228,3.292842105263158,left,fixation,15.0,,691.095517241379,317.19101724137903,,,,,0.0,,
57,2105006,224,3.2925624999999994,right,fixation,,15.0,677.903719298245,322.84901754386004,,,,,0.0,,
58,2105234,20,,right,saccade,,15.0,,,685.378,334.106,780.2389999999997,330.348,,,
59,2105234,24,,left,saccade,15.0,,,,697.181,334.025,800.153,335.199,,,
60,2105258,240,3.323208333333333,right,fixation,,16.0,792.533229508197,317.902639344262,,,,,0.0,,
61,2105262,232,3.322948275862069,left,fixation,16.0,,794.0681355932201,302.571644067797,,,,,0.0,,
62,2105498,32,,left,saccade,16.0,,,,781.579,276.765,494.056,305.154,,,
63,2105502,32,,right,saccade,,16.0,,,791.35,311.121,508.7,313.59,,,
64,2105534,476,3.379609243697479,left,fixation,17.0,,511.044325,331.113483333334,,,,,2.0,7.265147671017911,33.038077228522766
65,2105538,476,3.3796512605042017,right,fixation,,17.0,516.649875,316.419975,,,,,2.0,5.098057158517413,24.74252087905095
66,2106014,24,,left,saccade,17.0,,,,537.243,338.418,644.931,336.745,,,
67,2106018,20,,right,saccade,,17.0,,,566.71,333.087,638.9830000000002,328.926,,,
68,2106042,364,3.3495494505494507,left,fixation,18.0,,650.087902173913,321.438413043478,,,,,0.0,,
69,2106042,368,3.349554347826087,right,fixation,,18.0,645.727172043011,309.774365591398,,,,,0.0,,
70,2106410,20,,left,saccade,18.0,,,,657.997,331.105,750.681,329.707,,,
71,2106414,20,,right,saccade,,18.0,,,646.751,305.403,756.569,307.32599999999996,,,
72,2106434,328,3.3462256097560967,left,fixation,19.0,,764.0594337349402,304.826313253012,,,,,0.0,,
73,2106438,328,3.34605487804878,right,fixation,,19.0,768.694228915663,311.937530120482,,,,,0.0,,
74,2106766,12,,left,saccade,19.0,,,,767.196,283.218,824.434,283.442,,,
