,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2031588,276,3.6308142857142864,left,fixation,1.0,,1418.63602857143,82.6494714285714,,,,,0.0,,
1,2031588,276,3.6308142857142864,right,fixation,,1.0,1411.75452857143,59.178728571428614,,,,,0.0,,
2,2031868,52,,left,saccade,1.0,,,,1413.422,82.976,639.747,210.123,,,
3,2031868,56,,right,saccade,,1.0,,,1401.995,78.03699999999998,645.365,157.153,,,
4,2031924,212,3.658556603773584,left,fixation,2.0,,620.969425925926,222.361703703704,,,,,0.0,,
5,2031928,204,3.658343137254902,right,fixation,,2.0,624.508115384616,184.55415384615398,,,,,0.0,,
6,2032136,24,,right,saccade,,2.0,,,628.686,190.02,472.353,172.083,,,
7,2032140,20,,left,saccade,2.0,,,,610.438,213.037,496.309,188.615,,,
8,2032164,156,3.665056250000001,right,fixation,,3.0,475.3337,150.40395,,,,,1.0,82.29709722334614,497.08444102184484
9,2032164,312,3.6399715189873416,left,fixation,3.0,,511.691670886076,172.828708860759,,,,,2.0,87.04492613961789,271.9428285990153
10,2032324,20,,right,saccade,,3.0,,,476.82599999999996,146.477,551.832,148.904,,,
11,2032348,128,3.6098125,right,fixation,,4.0,549.818575757576,144.999636363636,,,,,0.0,,
12,2032480,20,,left,saccade,3.0,,,,549.58,170.313,671.539,166.074,,,
13,2032480,20,,right,saccade,,4.0,,,561.278,156.239,693.65,158.797,,,
14,2032504,352,3.5379659090909086,right,fixation,,5.0,692.895910112359,164.553741573034,,,,,0.0,,
15,2032504,356,3.5376011235955054,left,fixation,4.0,,695.483544444444,174.863888888889,,,,,0.0,,
16,2032860,20,,right,saccade,,5.0,,,714.449,174.352,789.1410000000003,171.695,,,
17,2032864,20,,left,saccade,4.0,,,,715.202,176.99900000000005,811.3839999999999,168.497,,,
18,2032884,432,3.5208194444444447,right,fixation,,6.0,775.0665137614682,142.254642201835,,,,,2.0,9.366494009877856,24.267393246295853
19,2032888,432,3.521125,left,fixation,5.0,,766.593559633028,162.44023853211002,,,,,2.0,8.64355967384819,27.347768471664647
20,2033320,44,,right,saccade,,6.0,,,718.06,110.538,1339.753,127.525,,,
21,2033324,48,,left,saccade,5.0,,,,725.956,150.628,1368.406,158.803,,,
22,2033368,1276,3.63078515625,right,fixation,,7.0,1455.948940625,105.909678125,,,,,2.0,10.205635722663278,30.380235177643012
23,2033376,1264,3.630857255520505,left,fixation,6.0,,1454.65369716088,125.97921766561501,,,,,1.0,10.882789552520276,20.407406988640094
24,2034644,36,,left,saccade,6.0,,,,1474.9229999999998,118.245,1013.862,39.924,,,
25,2034648,48,,right,saccade,,7.0,,,1491.5870000000002,93.00399999999999,1029.427,8.32,,,
26,2034684,271,3.778858208955223,left,fixation,7.0,,982.397594202899,17.4838405797101,,,,,0.0,,
27,2034700,255,3.780849206349206,right,fixation,,8.0,996.238076923077,-2.11376923076923,,,,,1.0,9.816559108069482,24.294014839050323
28,2034959,48,,left,saccade,7.0,,,,955.814,1.903,409.63800000000003,312.476,,,
29,2034959,52,,right,saccade,,8.0,,,980.148,2.765,418.504,347.55,,,
30,2035011,376,3.779872340425532,left,fixation,8.0,,418.949515789473,332.378494736842,,,,,0.0,,
31,2035015,368,3.779880434782609,right,fixation,,9.0,434.258311827957,328.829913978495,,,,,1.0,11.527741209312833,25.867906312649254
32,2035387,28,,right,saccade,,9.0,,,419.355,304.2270000000001,666.2689999999999,307.247,,,
33,2035391,24,,left,saccade,8.0,,,,424.352,325.937,621.925,311.704,,,
34,2035419,289,3.6673698630136986,right,fixation,,10.0,662.1589589041099,301.864424657534,,,,,0.0,,
35,2035419,293,3.6669594594594597,left,fixation,9.0,,641.717432432432,315.230094594595,,,,,0.0,,
36,2035712,16,,right,saccade,,10.0,,,671.1160000000001,312.053,741.6519999999997,310.277,,,
37,2035716,16,,left,saccade,9.0,,,,654.71,306.99,733.8,297.656,,,
38,2035732,160,3.5842400000000003,right,fixation,,11.0,744.345780487805,306.665926829268,,,,,0.0,,
39,2035736,140,3.5858636363636367,left,fixation,10.0,,740.764388888889,308.58672222222197,,,,,0.0,,
40,2035880,40,,left,saccade,10.0,,,,725.9739999999997,318.128,746.7,224.13,,,
41,2035896,4,,right,saccade,,11.0,,,762.8889999999999,325.14799999999997,769.057,328.532,,,
42,2035904,152,3.5485384615384614,right,fixation,,12.0,769.9286923076918,311.417974358974,,,,,2.0,14.041073004274313,30.09309261333533
43,2035992,24,,left,fixation,11.0,,750.131714285714,238.656285714286,,,,,1.0,18.56029284521126,56.209008263800584
44,2036020,0,,left,saccade,11.0,,,,750.618,274.212,750.618,274.212,,,
45,2036024,24,,left,fixation,12.0,,747.2598571428571,285.75514285714297,,,,,0.0,,
46,2036052,40,,left,saccade,12.0,,,,744.449,290.577,571.79,284.918,,,
47,2036060,39,,right,saccade,,12.0,,,742.933,316.6,587.9490000000002,289.765,,,
48,2036211,240,3.672929166401361,right,fixation,,13.0,557.007852459016,300.989606557377,,,,,0.0,,
49,2036219,224,3.672929166401361,left,fixation,13.0,,571.123210526316,311.653859649123,,,,,1.0,7.9422854253531865,20.065077248792136
50,2036447,48,,left,saccade,13.0,,,,557.825,334.13199999999995,596.085,317.188,,,
51,2036455,52,,right,saccade,,13.0,,,533.854,323.655,594.8969999999998,305.492,,,
52,2036616,132,3.656308591065292,right,fixation,,14.0,605.324882352941,330.07182352941214,,,,,0.0,,
53,2036624,376,3.7121321196168746,left,fixation,14.0,,637.498336842105,337.029852631579,,,,,0.0,,
54,2036752,8,,right,saccade,,14.0,,,645.762,310.438,649.128,333.744,,,
55,2036764,92,3.675717391304348,right,fixation,,15.0,659.8489999999998,333.18,,,,,0.0,,
56,2036860,8,,right,saccade,,15.0,,,664.22,338.779,664.22,344.38800000000015,,,
57,2036872,44,3.790818181818182,right,fixation,,16.0,664.997666666667,359.1845833333329,,,,,1.0,15.470001143790808,2.412336004788678
58,2036920,12,,right,saccade,,16.0,,,669.209,339.121,665.243,308.14,,,
59,2036936,68,3.711735294117647,right,fixation,,17.0,644.934444444444,296.955944444444,,,,,2.0,23.95593497028837,75.0508484944212
60,2037004,28,,left,saccade,14.0,,,,648.556,354.66900000000015,456.966,348.836,,,
61,2037008,24,,right,saccade,,17.0,,,640.7869999999998,300.431,465.96,304.969,,,
62,2037036,396,3.5838888888888882,right,fixation,,18.0,427.42360999999994,329.77659,,,,,0.0,,
63,2037036,400,3.5833550000000005,left,fixation,15.0,,430.726940594059,331.72484158415796,,,,,0.0,,
64,2037436,32,,right,saccade,,18.0,,,422.04400000000004,346.224,821.284,353.73,,,
65,2037440,32,,left,saccade,15.0,,,,437.95,328.844,807.94,349.725,,,
66,2037472,440,3.5181409090909086,right,fixation,,19.0,857.309225225226,305.72363063063096,,,,,0.0,,
67,2037476,436,3.5179220183486235,left,fixation,16.0,,845.295318181818,345.8660545454551,,,,,0.0,,
68,2037916,36,,left,saccade,16.0,,,,852.689,356.274,455.09,321.6740000000001,,,
69,2037916,40,,right,saccade,,19.0,,,870.904,270.222,447.425,296.067,,,
70,2037956,224,3.551589285714286,left,fixation,17.0,,421.196912280702,303.477438596491,,,,,0.0,,
71,2037960,216,3.5516944444444443,right,fixation,,20.0,419.269,315.814690909091,,,,,1.0,9.48493051869356,28.45978743771641
72,2038180,55,,right,saccade,,20.0,,,403.648,321.177,1270.15,266.591,,,
73,2038184,51,,left,saccade,17.0,,,,398.61800000000005,309.018,1258.198,313.815,,,
74,2038239,136,3.597573529411765,right,fixation,,21.0,1283.59457142857,258.961828571429,,,,,0.0,,
75,2038239,1121,3.6112811387900354,left,fixation,18.0,,1328.81940925267,278.382661921708,,,,,1.0,13.288169360165545,46.63730250561215
76,2038379,16,,right,saccade,,21.0,,,1297.383,247.738,1356.799,247.738,,,
77,2038399,961,3.613566390041494,right,fixation,,22.0,1350.7898381742698,241.312933609958,,,,,0.0,,
78,2039364,56,,left,saccade,18.0,,,,1324.7220000000002,277.286,447.48699999999997,432.74300000000005,,,
79,2039364,56,,right,saccade,,22.0,,,1311.715,289.252,503.721,408.082,,,
80,2039424,287,3.6339375,left,fixation,19.0,,442.580561643836,451.054342465754,,,,,0.0,,
81,2039424,287,3.6339375,right,fixation,,23.0,466.995287671233,448.721095890411,,,,,0.0,,
82,2039715,20,,right,saccade,,23.0,,,461.267,462.712,574.289,466.213,,,
83,2039715,24,,left,saccade,19.0,,,,443.966,445.725,547.534,444.376,,,
84,2039739,192,3.677520833333334,right,fixation,,24.0,560.313448979592,462.990775510204,,,,,0.0,,
85,2039743,192,3.6773020833333336,left,fixation,20.0,,554.945959183673,461.077591836735,,,,,0.0,,
86,2039935,20,,right,saccade,,24.0,,,573.859,465.2,663.932,468.44599999999997,,,
87,2039939,16,,left,saccade,20.0,,,,565.998,475.968,636.369,467.98800000000006,,,
88,2039959,216,3.6559,left,fixation,21.0,,644.696,458.930163636364,,,,,0.0,,
89,2039959,220,3.6559821428571433,right,fixation,,25.0,666.814017857143,475.917196428572,,,,,0.0,,
90,2040179,24,,left,saccade,21.0,,,,658.763,472.89599999999996,739.2510000000003,481.585,,,
91,2040183,12,,right,saccade,,25.0,,,676.821,481.75199999999995,723.943,484.03,,,
92,2040199,288,3.6381180555555566,right,fixation,,26.0,762.406095890411,494.70956164383597,,,,,0.0,,
93,2040207,280,3.637428571428572,left,fixation,22.0,,758.4259154929581,461.885887323944,,,,,0.0,,
94,2040491,20,,right,saccade,,26.0,,,774.023,505.995,887.1469999999997,501.283,,,
95,2040491,24,,left,saccade,22.0,,,,753.696,449.75,901.419,473.83099999999996,,,
