,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,4107793,240,3.571133196721312,left,fixation,1.0,,445.352606557377,863.494786885246,,,,,1.0,3.7940860705986936,8.737969787084419
1,4107793,240,3.571133196721312,right,fixation,,1.0,446.815803278689,844.759016393443,,,,,1.0,4.962836736406135,8.607076623337305
2,4108037,24,,left,saccade,1.0,,,,454.161,853.684,447.222,667.243,,,
3,4108037,24,,right,saccade,,1.0,,,449.241,827.643,463.536,669.934,,,
4,4108065,100,3.55856,left,fixation,2.0,,459.186076923077,656.810615384616,,,,,0.0,,
5,4108065,100,3.55856,right,fixation,,2.0,468.5488846153849,659.0548846153849,,,,,0.0,,
6,4108169,36,,left,saccade,2.0,,,,453.455,640.187,426.074,269.249,,,
7,4108169,36,,right,saccade,,2.0,,,475.102,648.5,454.899,278.502,,,
8,4108209,1064,3.4762490566037734,left,fixation,3.0,,403.921531835206,167.116397003745,,,,,6.0,7.302824191767572,29.59724403160081
9,4108209,1064,3.4762490566037734,right,fixation,,3.0,409.74984269662997,166.252779026217,,,,,3.0,5.715044574548543,19.493318659168423
10,4109277,44,,left,saccade,3.0,,,,413.81699999999995,84.699,921.91,62.99100000000001,,,
11,4109277,44,,right,saccade,,3.0,,,435.01,83.478,945.65,64.616,,,
12,4109325,208,3.4916042568542567,left,fixation,4.0,,937.981679245282,72.98139622641509,,,,,0.0,,
13,4109325,212,3.491604256854257,right,fixation,,4.0,954.510388888889,70.5768703703704,,,,,0.0,,
14,4109537,56,,left,saccade,4.0,,,,929.845,75.031,362.194,68.835,,,
15,4109541,76,,right,saccade,,4.0,,,963.8960000000001,46.24,385.38599999999997,119.82700000000001,,,
16,4109705,9252,3.6927416796527166,left,fixation,5.0,,395.60924978392404,165.957630509939,,,,,12.0,7.595805512817902,29.67426144778795
17,4109709,7908,3.6811887297226575,right,fixation,,5.0,415.195989383215,181.981623356927,,,,,26.0,74.76106991790928,189.2883336266188
18,4117621,8,,right,saccade,,5.0,,,431.25300000000004,198.96599999999998,431.25300000000004,198.96599999999998,,,
19,4117645,8,,right,saccade,,6.0,,,435.704,202.695,438.87800000000004,206.25900000000001,,,
20,4117657,67,3.788625,right,fixation,,6.0,435.494277777778,203.648611111111,,,,,0.0,,
21,4117728,32,,right,saccade,,7.0,,,428.105,200.69299999999998,431.98699999999997,210.606,,,
22,4117772,1185,3.7551717171717165,right,fixation,,7.0,428.52396632996596,170.384868686869,,,,,5.0,37.41617422127839,23.467300880073342
23,4118961,24,,left,saccade,5.0,,,,400.293,181.91400000000002,496.92900000000003,234.122,,,
24,4118961,24,,right,saccade,,8.0,,,431.56300000000016,206.514,547.938,244.615,,,
25,4118989,143,3.7331,right,fixation,,8.0,550.4530540540541,280.112810810811,,,,,0.0,,
26,4118989,147,3.73325,left,fixation,6.0,,514.531605263158,255.066710526316,,,,,0.0,,
27,4119136,32,,right,saccade,,9.0,,,544.252,291.64799999999997,855.617,302.89099999999996,,,
28,4119140,36,,left,saccade,6.0,,,,528.919,263.97900000000004,825.8639999999997,250.706,,,
29,4119172,128,3.77646875,right,fixation,,9.0,872.808878787879,292.44609090909086,,,,,0.0,,
30,4119180,124,3.779112903225806,left,fixation,7.0,,845.14175,234.5483125,,,,,0.0,,
31,4119304,28,,right,saccade,,10.0,,,877.015,291.704,1082.786,289.322,,,
32,4119308,24,,left,saccade,7.0,,,,859.7810000000003,232.479,1057.735,237.387,,,
33,4119336,128,3.80059375,right,fixation,,10.0,1107.6863333333301,285.096090909091,,,,,0.0,,
34,4119336,136,3.7991470588235288,left,fixation,8.0,,1087.32708571429,250.145085714286,,,,,0.0,,
35,4119468,20,,right,saccade,,11.0,,,1126.3319999999999,284.249,1204.45,276.45,,,
36,4119476,8,,left,saccade,8.0,,,,1128.771,256.837,1148.235,268.07,,,
37,4119488,393,3.6569343434343438,left,fixation,9.0,,1191.31844444444,277.717090909091,,,,,0.0,,
38,4119492,389,3.6557142857142857,right,fixation,,11.0,1212.48102040816,264.88925510204103,,,,,0.0,,
39,4119885,56,,right,saccade,,12.0,,,1201.9160000000004,264.85900000000004,513.126,180.97,,,
40,4119885,60,,left,saccade,9.0,,,,1170.298,274.66900000000004,463.73199999999997,167.146,,,
41,4119945,3047,3.7443626806833117,right,fixation,,12.0,423.06633813892404,188.962427260812,,,,,7.0,48.31756098745028,85.65295927240508
42,4119949,3043,3.7445618421052633,left,fixation,10.0,,395.997703412073,169.576796587927,,,,,9.0,6.673032874072831,24.980716131249622
43,4122996,60,,left,saccade,10.0,,,,396.095,161.407,1120.612,225.761,,,
44,4122996,60,,right,saccade,,13.0,,,419.871,200.168,1178.248,233.514,,,
45,4123060,720,3.7379323204419888,left,fixation,11.0,,1177.29340331492,279.43173480663,,,,,2.0,8.723014805996606,28.704927702466602
46,4123060,720,3.7379323204419888,right,fixation,,13.0,1187.6268839779,272.145928176796,,,,,4.0,6.507621148451703,27.98769661250227
47,4123784,60,,left,saccade,11.0,,,,1177.514,276.52,424.87300000000016,194.512,,,
48,4123784,60,,right,saccade,,14.0,,,1206.435,273.155,463.006,209.793,,,
49,4123848,644,3.7078431734317343,left,fixation,12.0,,403.088512345679,160.639734567901,,,,,1.0,14.662137377347893,47.41172539572879
50,4123848,648,3.707843173431735,right,fixation,,14.0,432.295625766871,180.834877300614,,,,,1.0,7.446749635840362,26.56604375890386
51,4124496,48,,left,saccade,12.0,,,,371.1,164.773,253.229,56.461999999999996,,,
52,4124500,64,,right,saccade,,15.0,,,406.08099999999996,159.622,357.64599999999996,-37.061,,,
53,4124636,4,,right,fixation,,15.0,361.5175,-42.708,,,,,0.0,,
54,4124644,0,,left,fixation,13.0,,253.229,56.461999999999996,,,,,0.0,,
55,4124644,20,,right,saccade,,16.0,,,366.265,-42.708,380.25,60.224,,,
56,4124648,40,,left,saccade,13.0,,,,291.661,56.461999999999996,366.519,90.881,,,
57,4124668,0,,right,fixation,,16.0,381.38300000000004,72.69,,,,,0.0,,
58,4124672,0,,right,saccade,,17.0,,,384.584,80.344,384.584,80.344,,,
59,4124676,332,3.7329235776707685,right,fixation,,17.0,392.291392857143,101.932535714286,,,,,0.0,,
60,4124692,316,3.732923577670769,left,fixation,14.0,,391.1115,138.7513,,,,,0.0,,
61,4125012,32,,left,saccade,14.0,,,,407.769,154.498,421.975,483.728,,,
62,4125012,32,,right,saccade,,18.0,,,439.296,136.358,466.27,486.255,,,
63,4125048,112,3.76575,left,fixation,15.0,,445.097275862069,496.439586206897,,,,,0.0,,
64,4125048,116,3.7654827586206903,right,fixation,,18.0,480.430933333333,505.1776666666671,,,,,0.0,,
65,4125164,16,,left,saccade,15.0,,,,466.342,498.224,397.87,470.561,,,
66,4125168,16,,right,saccade,,19.0,,,481.119,520.012,425.291,500.276,,,
67,4125184,692,3.680852272727272,left,fixation,16.0,,368.790965517241,424.1385919540229,,,,,0.0,,
68,4125188,688,3.680434285714286,right,fixation,,19.0,401.568514450867,457.048450867052,,,,,3.0,6.336423544382059,19.193505529006647
