,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2374466,228,2.9101643222506386,right,fixation,,1.0,548.602310344827,138.090810344828,,,,,0.0,,
1,2374466,236,2.9101643222506386,left,fixation,1.0,,558.005216666667,166.0939,,,,,1.0,5.4615018793165016,8.315447071565051
2,2374698,56,,right,saccade,,1.0,,,549.885,144.494,464.29,118.16,,,
3,2374706,40,,left,saccade,1.0,,,,561.7909999999998,154.308,456.05,143.556,,,
4,2374882,156,2.9141487669245647,left,fixation,2.0,,457.289975,169.5468,,,,,0.0,,
5,2374890,148,2.9141487669245647,right,fixation,,2.0,453.120052631579,151.387842105263,,,,,0.0,,
6,2375042,52,,left,saccade,2.0,,,,453.811,170.74400000000003,1377.761,119.322,,,
7,2375042,52,,right,saccade,,2.0,,,452.67900000000003,144.325,1364.5279999999998,75.718,,,
8,2375098,164,2.924142857142857,left,fixation,3.0,,1385.2188095238098,110.298738095238,,,,,0.0,,
9,2375098,164,2.924142857142857,right,fixation,,3.0,1358.36947619048,113.839047619048,,,,,0.0,,
10,2375266,16,,right,saccade,,3.0,,,1351.9270000000001,146.869,1430.12,138.85399999999998,,,
11,2375266,20,,left,saccade,3.0,,,,1379.683,120.381,1461.1879999999999,115.329,,,
12,2375286,16,2.898,right,fixation,,4.0,1442.0794,127.0622,,,,,0.0,,
13,2375290,72,2.9045000000000005,left,fixation,4.0,,1479.07136842105,86.67347368421049,,,,,1.0,6.308252753778612,25.064561835388183
14,2375306,0,,right,saccade,,4.0,,,1450.848,103.45299999999999,1450.848,103.45299999999999,,,
15,2375310,52,2.9070769230769242,right,fixation,,5.0,1460.00642857143,70.607,,,,,0.0,,
16,2375366,32,,left,saccade,4.0,,,,1479.6129999999994,72.693,960.7689999999999,52.157,,,
17,2375366,36,,right,saccade,,5.0,,,1462.639,70.02,983.154,55.242,,,
18,2375402,248,2.9187661290322584,left,fixation,5.0,,974.6106031746028,50.3507301587302,,,,,0.0,,
19,2375406,244,2.9186311475409834,right,fixation,,6.0,965.3867903225812,41.8610161290323,,,,,0.0,,
20,2375654,36,,left,saccade,5.0,,,,984.942,65.545,541.7909999999998,99.51799999999999,,,
21,2375654,36,,right,saccade,,6.0,,,956.5239999999999,26.261999999999997,553.555,114.29,,,
22,2375694,176,2.9448971447654038,left,fixation,6.0,,529.201577777778,127.679466666667,,,,,0.0,,
23,2375694,176,2.9448971447654038,right,fixation,,7.0,527.5542,97.59024444444441,,,,,0.0,,
24,2375874,20,,left,saccade,6.0,,,,535.23,142.16299999999995,438.39099999999996,143.342,,,
25,2375874,20,,right,saccade,,7.0,,,530.896,92.031,446.394,111.536,,,
26,2375898,0,,right,fixation,,8.0,441.46,111.536,,,,,0.0,,
27,2375898,4,,left,fixation,7.0,,438.3315,143.4375,,,,,0.0,,
28,2375902,44,,right,saccade,,8.0,,,432.842,111.536,426.452,100.478,,,
29,2375906,40,,left,saccade,7.0,,,,437.91,143.06,432.685,152.394,,,
30,2376106,464,3.0309877647058823,right,fixation,,9.0,421.516786324786,154.643991452991,,,,,1.0,6.3477147462689105,24.98057839602597
31,2376106,468,3.0309877647058823,left,fixation,8.0,,424.435237288135,179.03709322033905,,,,,0.0,,
32,2376574,52,,right,saccade,,9.0,,,426.274,162.976,452.185,137.157,,,
33,2376578,44,,left,saccade,8.0,,,,411.832,179.73,417.81800000000004,168.747,,,
34,2376762,184,2.9770094602789565,left,fixation,9.0,,438.193212765957,186.900723404255,,,,,1.0,5.062364777343572,15.406081201915054
35,2376774,172,2.9770094602789565,right,fixation,,10.0,438.88599999999997,165.255727272727,,,,,0.0,,
36,2376950,20,,left,saccade,9.0,,,,429.69699999999995,183.49599999999998,538.45,182.77,,,
37,2376950,20,,right,saccade,,10.0,,,443.245,159.043,549.545,151.684,,,
38,2376974,140,2.979720588235294,right,fixation,,11.0,561.2428055555561,145.258194444444,,,,,0.0,,
39,2376974,144,2.9796285714285697,left,fixation,10.0,,564.607108108108,171.169459459459,,,,,0.0,,
40,2377118,20,,right,saccade,,11.0,,,562.635,145.33,724.7310000000001,150.086,,,
41,2377122,20,,left,saccade,10.0,,,,573.326,174.32,705.63,175.13299999999995,,,
42,2377142,220,2.9473125,right,fixation,,12.0,746.210107142857,165.129303571429,,,,,0.0,,
43,2377146,216,2.946918181818181,left,fixation,11.0,,729.822254545455,180.99034545454498,,,,,0.0,,
44,2377366,20,,right,saccade,,12.0,,,749.04,173.92,871.225,178.72400000000005,,,
45,2377366,24,,left,saccade,11.0,,,,733.1460000000003,183.487,861.2869999999997,189.729,,,
46,2377390,228,2.9085789473684214,right,fixation,,13.0,871.608137931034,181.455448275862,,,,,0.0,,
47,2377394,224,2.908285714285714,left,fixation,12.0,,863.760070175439,198.330052631579,,,,,0.0,,
48,2377622,40,,left,saccade,12.0,,,,872.221,198.137,1358.859,216.06599999999997,,,
49,2377622,40,,right,saccade,,13.0,,,882.405,182.19,1362.986,170.046,,,
50,2377666,319,2.9196392405063296,left,fixation,13.0,,1362.03859259259,178.609024691358,,,,,1.0,4.3055648132517295,10.5902816770849
51,2377666,319,2.9196392405063296,right,fixation,,14.0,1375.02840740741,158.070617283951,,,,,1.0,9.99321279947322,46.436601964398726
52,2377989,52,,left,saccade,13.0,,,,1368.134,150.161,490.32300000000004,164.91400000000004,,,
53,2377989,52,,right,saccade,,14.0,,,1377.6529999999998,137.241,554.125,155.541,,,
54,2378045,132,2.9700757575757577,left,fixation,14.0,,510.4262941176471,178.927264705882,,,,,0.0,,
55,2378045,132,2.9700757575757577,right,fixation,,15.0,545.569558823529,140.325941176471,,,,,0.0,,
56,2378181,20,,left,saccade,14.0,,,,531.975,176.36700000000005,443.709,184.31,,,
57,2378181,20,,right,saccade,,15.0,,,550.837,153.131,451.347,167.128,,,
58,2378205,465,2.9748717948717958,left,fixation,15.0,,419.8085726495729,182.389786324786,,,,,1.0,11.123439885614934,4.654362469769673
59,2378205,465,2.9748717948717958,right,fixation,,16.0,435.901572649573,168.675709401709,,,,,0.0,,
60,2378674,20,,left,saccade,15.0,,,,429.944,189.382,524.781,187.262,,,
61,2378674,20,,right,saccade,,16.0,,,434.846,152.33700000000005,527.591,153.418,,,
62,2378698,260,2.9424230769230766,left,fixation,16.0,,541.837696969697,181.649803030303,,,,,0.0,,
63,2378698,260,2.9424230769230766,right,fixation,,17.0,537.368863636364,169.012181818182,,,,,0.0,,
64,2378962,20,,left,saccade,16.0,,,,556.577,186.357,649.238,187.145,,,
65,2378962,20,,right,saccade,,17.0,,,538.115,169.39700000000005,673.8,163.025,,,
66,2378986,292,2.971082191780822,right,fixation,,18.0,666.732472972973,180.999445945946,,,,,0.0,,
67,2378986,304,2.9717368421052632,left,fixation,17.0,,668.577038961039,194.448402597403,,,,,1.0,12.144807789751134,31.408013818132574
68,2379282,12,,right,saccade,,18.0,,,670.3689999999998,189.00099999999998,725.773,186.429,,,
69,2379294,0,,left,saccade,17.0,,,,709.487,194.391,709.487,194.391,,,
70,2379298,379,3.0233351063829783,left,fixation,18.0,,748.824729166667,189.055885416666,,,,,0.0,,
71,2379298,379,3.0233351063829783,right,fixation,,19.0,742.973697916667,171.538604166667,,,,,0.0,,
72,2379681,21,,left,saccade,18.0,,,,759.6030000000003,190.94,875.43,196.08599999999998,,,
73,2379681,21,,right,saccade,,19.0,,,757.461,185.748,850.388,183.547,,,
