,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,9153522,312,3.551126582278482,left,fixation,1.0,,774.0565443037981,254.39044303797505,,,,,1.0,2.1424680601793797,5.637559933162595
1,9153522,312,3.551126582278482,right,fixation,,1.0,780.506417721519,202.17329113924,,,,,0.0,,
2,9153838,20,,right,saccade,,1.0,,,781.909,210.59,653.322,213.618,,,
3,9153838,24,,left,saccade,1.0,,,,766.86,251.606,656.385,254.708,,,
4,9153862,84,3.5855952380952383,right,fixation,,2.0,645.873045454545,213.523727272727,,,,,0.0,,
5,9153866,80,3.5864,left,fixation,2.0,,638.956,250.71442857142898,,,,,0.0,,
6,9153950,24,,left,saccade,2.0,,,,640.936,248.483,472.338,241.15,,,
7,9153950,24,,right,saccade,,2.0,,,638.887,208.502,473.949,199.043,,,
8,9153978,188,3.6248085106382986,right,fixation,,3.0,468.1147708333329,184.78666666666697,,,,,1.0,6.047275091128057,48.94845600220705
9,9153978,192,3.624729166666667,left,fixation,3.0,,474.66187755102004,238.980224489796,,,,,2.0,6.14897535034666,27.993459658956066
10,9154170,28,,right,saccade,,3.0,,,482.532,217.80200000000002,400.25699999999995,154.957,,,
11,9154174,24,,left,saccade,3.0,,,,495.72900000000004,274.288,405.26,205.08,,,
12,9154202,316,3.6219647952139895,left,fixation,4.0,,404.9380625,181.8310875,,,,,3.0,3.5091613642336537,10.869021690861757
13,9154202,316,3.6219647952139895,right,fixation,,4.0,394.0519,121.0156375,,,,,1.0,3.2028477996585623,18.09558377063302
14,9154522,52,,left,saccade,4.0,,,,425.08,190.892,395.723,192.94299999999998,,,
15,9154522,68,,right,saccade,,4.0,,,406.439,129.731,374.48400000000004,69.98,,,
16,9154622,787,3.651584047740032,left,fixation,5.0,,432.45619191919195,184.973803030303,,,,,5.0,34.8878719804987,9.896208365185721
17,9154642,767,3.651584047740032,right,fixation,,5.0,411.002518134715,129.478274611399,,,,,2.0,79.47315004973382,40.85091691505096
18,9155413,20,,right,saccade,,5.0,,,417.885,145.599,458.515,263.889,,,
19,9155413,24,,left,saccade,5.0,,,,434.395,209.83900000000003,479.583,295.497,,,
20,9155437,152,3.662605263157895,right,fixation,,6.0,473.590897435897,270.70776923076903,,,,,2.0,3.354111045916871,6.924296603486076
21,9155441,148,3.662283783783783,left,fixation,6.0,,494.994921052632,315.080105263158,,,,,1.0,4.8122637806384345,13.840155851723663
22,9155593,24,,left,saccade,6.0,,,,495.35400000000004,323.1140000000001,436.63,462.60400000000004,,,
23,9155593,24,,right,saccade,,6.0,,,468.514,276.95799999999997,392.48199999999997,416.995,,,
24,9155621,100,,left,fixation,7.0,,419.82184615384597,471.82230769230796,,,,,1.0,3.6601196398174847,10.818938302809544
25,9155621,100,,right,fixation,,7.0,380.7697307692311,420.11130769230795,,,,,1.0,3.1663598535577395,7.135325150264705
26,9155725,64,,right,saccade,,7.0,,,380.18,422.49,346.194,347.781,,,
27,9155725,56,,left,saccade,7.0,,,,416.603,479.301,387.376,475.593,,,
28,9155829,0,,left,fixation,8.0,,388.38199999999995,464.259,,,,,0.0,,
29,9155833,0,,left,saccade,8.0,,,,388.55800000000005,455.44699999999995,388.55800000000005,455.44699999999995,,,
30,9155837,168,3.6761363636363633,left,fixation,9.0,,423.772534883721,450.687046511628,,,,,3.0,3.8696988481032895,16.411180651292714
31,9155853,152,3.6761363636363633,right,fixation,,8.0,391.442974358974,371.65023076923103,,,,,2.0,6.9380153239121976,35.168121735278646
32,9156009,24,,left,saccade,9.0,,,,433.31,445.33,416.45,264.635,,,
33,9156009,24,,right,saccade,,8.0,,,408.899,386.477,407.82300000000004,200.452,,,
34,9156037,1216,3.699402960526316,left,fixation,10.0,,422.236445901639,191.22816065573798,,,,,7.0,3.431912709057824,11.468710587289241
35,9156037,1216,3.699402960526316,right,fixation,,9.0,403.746160655737,138.712334426229,,,,,4.0,2.7858652709365908,10.854034540319855
36,9157257,24,,right,saccade,,9.0,,,410.582,133.245,484.208,233.683,,,
37,9157257,28,,left,saccade,10.0,,,,429.436,192.093,507.358,295.305,,,
38,9157285,920,3.677410869565217,right,fixation,,10.0,493.045281385281,268.384904761905,,,,,7.0,2.729509554252504,8.785874794265732
39,9157289,916,3.6770174672489087,left,fixation,11.0,,516.840021739131,299.676543478261,,,,,6.0,3.0675623707252853,9.874881253823801
40,9158209,24,,left,saccade,11.0,,,,521.082,292.38599999999997,447.527,233.148,,,
41,9158209,28,,right,saccade,,10.0,,,495.601,274.94599999999997,415.62300000000016,186.50599999999997,,,
42,9158237,416,3.7270480769230767,left,fixation,12.0,,434.915847619047,187.12601904761902,,,,,2.0,2.7820648684323217,8.282917259489153
43,9158241,412,3.7273592233009714,right,fixation,,11.0,418.497875,161.0305,,,,,0.0,,
44,9158657,32,,right,saccade,,11.0,,,422.861,147.748,801.211,176.666,,,
45,9158657,36,,left,saccade,12.0,,,,430.07300000000004,174.955,794.1,233.011,,,
46,9158693,140,3.6844857142857146,right,fixation,,12.0,811.955694444444,213.352194444444,,,,,1.0,6.174808285373003,13.059180257581206
47,9158697,136,3.6832647058823538,left,fixation,13.0,,811.458771428571,255.729885714286,,,,,2.0,3.0673615020053884,10.376207155835164
48,9158837,16,,left,saccade,13.0,,,,814.039,266.827,758.699,281.791,,,
49,9158837,20,,right,saccade,,12.0,,,811.221,220.22099999999998,743.4889999999997,240.511,,,
50,9158857,384,3.6116197183098593,left,fixation,14.0,,729.5933917525771,287.53318556701,,,,,3.0,3.4593520697447406,11.98232789894486
51,9158861,388,3.610964285714286,right,fixation,,13.0,724.975489795918,258.497418367347,,,,,2.0,4.019041588056093,11.118023404650419
52,9159245,40,,left,saccade,14.0,,,,718.135,286.087,717.5139999999999,289.582,,,
53,9159253,48,,right,saccade,,13.0,,,719.788,262.043,695.2639999999999,228.18,,,
54,9159337,252,3.4694199999999995,left,fixation,15.0,,739.062546875,292.77321875,,,,,3.0,2.4706362815012333,8.672618870060376
55,9159349,240,3.4694199999999995,right,fixation,,14.0,717.405590163934,264.412196721312,,,,,1.0,8.568352159092335,51.215059191608894
