,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2028007,248,3.4953055555555554,left,fixation,1.0,,877.1133492063492,370.35773015873,,,,,0.0,,
1,2028007,252,3.4956192307692318,right,fixation,,1.0,887.426515625,350.535421875,,,,,5.0,6.189497171434288,18.06392855690041
2,2028259,48,,left,saccade,1.0,,,,881.175,366.705,464.85400000000004,191.47,,,
3,2028263,44,,right,saccade,,1.0,,,896.0310000000003,341.227,486.425,194.55,,,
4,2028311,244,3.4713934426229507,left,fixation,2.0,,463.80483870967697,218.95158064516102,,,,,3.0,5.750732492815035,18.891624769412093
5,2028311,488,3.4830245901639336,right,fixation,,2.0,481.58695934959394,191.28333333333302,,,,,1.0,3.4672096770233614,20.71891893897943
6,2028559,44,,left,saccade,2.0,,,,494.282,233.542,490.715,91.76,,,
7,2028607,188,3.5102021276595736,left,fixation,3.0,,467.9127916666671,-3.2186874999999904,,,,,3.0,4.729709011344115,15.703171170329215
8,2028799,40,,left,saccade,3.0,,,,471.662,-16.143,575.3380000000002,113.069,,,
9,2028803,20,,right,saccade,,2.0,,,483.23699999999997,190.138,618.487,192.467,,,
10,2028827,508,3.410937007874016,right,fixation,,3.0,605.9019375,174.541328125,,,,,3.0,6.156447486177207,21.80095962135759
11,2028843,480,3.408425,left,fixation,4.0,,582.3904132231401,168.674859504132,,,,,1.0,6.047346548510152,46.94157085143189
12,2029327,24,,left,saccade,4.0,,,,554.9069999999998,156.662,547.408,259.819,,,
13,2029339,12,,right,saccade,,3.0,,,573.9019999999998,194.738,554.4590000000002,221.167,,,
14,2029355,416,3.5137403846153843,right,fixation,,4.0,518.2921333333339,260.365990476191,,,,,1.0,7.456735331601582,40.91749939817924
15,2029355,1080,3.536898148148148,left,fixation,5.0,,512.8815498154979,197.678619926199,,,,,4.0,10.081316086888043,55.98396109482009
16,2029775,16,,right,saccade,,4.0,,,498.61800000000005,263.449,545.498,228.956,,,
17,2029795,516,3.5456875000000005,right,fixation,,5.0,551.785769230769,192.341692307692,,,,,3.0,3.948657992485333,25.108608417839843
18,2030315,20,,right,saccade,,5.0,,,554.006,157.184,471.158,163.056,,,
19,2030339,448,3.613575221238938,right,fixation,,6.0,437.398734513274,173.049433628319,,,,,4.0,5.763644852342651,19.112414742319018
20,2030439,20,,left,saccade,5.0,,,,447.536,21.449,441.44,-40.614000000000004,,,
21,2030463,48,3.677958333333333,left,fixation,6.0,,437.265076923077,-68.3687692307692,,,,,0.0,,
22,2030515,48,,left,saccade,6.0,,,,435.96,-78.523,344.61400000000015,84.389,,,
23,2030567,544,3.565113970588236,left,fixation,7.0,,422.892189781022,167.219262773723,,,,,7.0,7.038615535806272,22.252061379330147
24,2030791,16,,right,saccade,,6.0,,,417.61400000000003,190.262,475.55699999999996,186.625,,,
25,2030811,304,3.54046,right,fixation,,7.0,480.354844155844,188.200467532468,,,,,1.0,2.668382947696164,5.119261763184262
26,2031115,4,,left,saccade,7.0,,,,495.675,199.524,509.361,199.524,,,
27,2031119,0,,right,saccade,,7.0,,,523.739,181.22,523.739,181.22,,,
28,2031123,216,3.5407181818181823,left,fixation,8.0,,525.232,172.516927272727,,,,,0.0,,
29,2031123,216,3.5407181818181823,right,fixation,,8.0,541.5949090909089,184.02010909090905,,,,,0.0,,
30,2031343,32,,left,saccade,8.0,,,,518.5459999999998,175.93599999999995,739.312,214.362,,,
31,2031343,32,,right,saccade,,8.0,,,560.001,205.25799999999998,776.081,265.006,,,
32,2031379,140,3.519942857142858,left,fixation,9.0,,766.416111111111,233.810916666667,,,,,1.0,3.3107226888131915,6.418032252957275
33,2031379,140,3.519942857142858,right,fixation,,9.0,784.603722222222,282.092555555556,,,,,0.0,,
34,2031523,24,,right,saccade,,9.0,,,802.442,269.427,955.1060000000001,262.663,,,
35,2031523,28,,left,saccade,9.0,,,,786.932,250.34599999999998,948.398,250.63099999999997,,,
36,2031551,204,3.547735294117648,right,fixation,,10.0,978.710192307692,232.937980769231,,,,,0.0,,
37,2031555,200,3.5479700000000003,left,fixation,10.0,,969.991392156863,247.234019607843,,,,,0.0,,
38,2031759,24,,right,saccade,,10.0,,,988.029,237.764,1180.4569999999999,248.28400000000002,,,
39,2031759,28,,left,saccade,10.0,,,,975.54,246.388,1170.768,236.395,,,
40,2031787,372,3.4878225806451613,right,fixation,,11.0,1215.62971276596,245.367446808511,,,,,3.0,2.8374172208471564,7.589652783705072
41,2031791,372,3.487091397849462,left,fixation,11.0,,1185.8658085106401,258.68710638297904,,,,,0.0,,
42,2032163,28,,right,saccade,,11.0,,,1206.729,266.967,1385.236,271.969,,,
43,2032167,20,,left,saccade,11.0,,,,1200.292,249.479,1354.275,261.491,,,
44,2032191,160,3.5047124999999992,left,fixation,12.0,,1383.1199756097599,264.515073170732,,,,,0.0,,
