,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,21635883,300,3.456457236842105,left,fixation,1.0,,1464.84710526316,533.48872368421,,,,,0.0,,
1,21635883,300,3.456457236842105,right,fixation,,1.0,1447.6028026315805,517.087092105263,,,,,0.0,,
2,21636187,60,,right,saccade,,1.0,,,1446.4389999999999,515.273,491.779,202.75099999999998,,,
3,21636187,64,,left,saccade,1.0,,,,1468.44,523.043,467.69,167.91299999999995,,,
4,21636251,432,3.4164074074074082,right,fixation,,2.0,443.058119266055,170.542018348624,,,,,1.0,8.217546600956336,26.24385926269233
5,21636255,428,3.4162897196261683,left,fixation,2.0,,438.42210185185206,142.915805555555,,,,,1.0,6.829161354482375,20.789710555945717
6,21636687,48,,right,saccade,,2.0,,,429.971,149.707,1195.969,61.83600000000001,,,
7,21636687,52,,left,saccade,2.0,,,,415.949,132.491,1195.7160000000001,33.717,,,
8,21636739,144,3.403986111111111,right,fixation,,3.0,1207.94,43.056270270270296,,,,,0.0,,
9,21636743,140,3.4040428571428567,left,fixation,3.0,,1215.92430555556,31.9810277777778,,,,,0.0,,
10,21636887,24,,right,saccade,,3.0,,,1215.5919999999999,43.143,1435.369,42.604,,,
11,21636887,28,,left,saccade,3.0,,,,1220.0,32.285,1426.3870000000006,40.799,,,
12,21636915,304,3.424407894736842,right,fixation,,4.0,1443.24690909091,55.904090909090904,,,,,0.0,,
13,21636919,300,3.42466,left,fixation,4.0,,1433.91134210526,68.3751842105263,,,,,2.0,4.320834362362073,11.755846573988698
14,21637223,60,,right,saccade,,4.0,,,1411.404,75.25399999999998,449.126,121.163,,,
15,21637223,64,,left,saccade,4.0,,,,1407.5639999999999,69.961,433.911,131.394,,,
16,21637287,212,3.4454150943396225,right,fixation,,5.0,415.107703703704,137.661018518518,,,,,1.0,5.8408888046065295,9.790643543710498
17,21637291,208,3.4455384615384617,left,fixation,5.0,,423.629301886793,147.791924528302,,,,,0.0,,
18,21637503,48,,right,saccade,,5.0,,,432.09,168.12,937.977,58.397,,,
19,21637503,52,,left,saccade,5.0,,,,435.279,156.30700000000004,925.193,28.613000000000003,,,
20,21637555,200,3.4883700000000006,right,fixation,,6.0,950.535117647058,36.9124901960784,,,,,0.0,,
21,21637559,196,3.4887142857142863,left,fixation,6.0,,956.58116,21.261879999999998,,,,,0.0,,
