,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,1156367,284,3.0129375,left,fixation,1.0,,739.483791666667,327.056694444444,,,,,0.0,,
1,1156367,284,3.0129375,right,fixation,,1.0,733.6898472222217,316.873083333333,,,,,0.0,,
2,1156655,24,,left,saccade,1.0,,,,727.012,322.284,521.257,317.205,,,
3,1156655,24,,right,saccade,,1.0,,,736.178,316.943,534.247,320.863,,,
4,1156683,132,3.0374545454545463,left,fixation,2.0,,515.253705882353,307.570882352941,,,,,0.0,,
5,1156683,132,3.0374545454545463,right,fixation,,2.0,519.628647058824,307.137294117647,,,,,0.0,,
6,1156819,24,,left,saccade,2.0,,,,513.384,300.043,415.401,163.366,,,
7,1156819,24,,right,saccade,,2.0,,,512.005,309.6740000000001,460.017,205.86900000000003,,,
8,1156847,903,3.039741028395164,left,fixation,3.0,,412.409030837005,156.074211453744,,,,,2.0,6.145855793584203,21.21246459412749
9,1156847,903,3.039741028395164,right,fixation,,3.0,412.798823788546,172.402907488987,,,,,1.0,4.278538902346089,8.886239080736035
10,1157754,40,,left,saccade,3.0,,,,399.955,162.347,403.82,111.40899999999999,,,
11,1157754,40,,right,saccade,,3.0,,,399.006,146.77700000000004,394.454,58.37,,,
12,1157882,344,3.1022648633417864,right,fixation,,4.0,420.70382758620696,136.007850574713,,,,,0.0,,
13,1157894,328,3.102425991399904,left,fixation,4.0,,414.406,124.945626506024,,,,,1.0,5.739247337412822,16.979458236351395
14,1158226,32,,left,saccade,4.0,,,,408.81699999999995,134.785,678.95,281.885,,,
15,1158230,28,,right,saccade,,4.0,,,438.19300000000004,170.636,707.377,275.30400000000003,,,
16,1158262,200,3.0288700000000004,right,fixation,,5.0,721.247882352942,306.20243137254903,,,,,0.0,,
17,1158262,204,3.028264705882354,left,fixation,5.0,,702.210634615385,298.112,,,,,0.0,,
18,1158466,28,,right,saccade,,5.0,,,716.887,289.097,938.809,283.743,,,
19,1158470,24,,left,saccade,5.0,,,,713.0360000000003,295.82599999999996,916.79,295.002,,,
20,1158498,356,3.002168539325844,left,fixation,6.0,,943.088477777778,299.847533333333,,,,,1.0,5.538180389602503,22.681196815864855
21,1158498,356,3.002168539325844,right,fixation,,6.0,944.261711111111,290.432088888889,,,,,1.0,3.0984734951262314,5.791729620760874
22,1158858,24,,left,saccade,6.0,,,,949.13,304.692,1147.475,307.543,,,
23,1158858,24,,right,saccade,,6.0,,,953.9739999999999,285.468,1154.878,299.284,,,
24,1158886,932,3.0072618025751074,left,fixation,7.0,,1166.8427735042699,293.427145299145,,,,,0.0,,
25,1158886,932,3.0072618025751074,right,fixation,,7.0,1188.5935085470098,279.691017094017,,,,,1.0,4.4042301509142385,13.465393273128024
26,1159822,52,,left,saccade,7.0,,,,1177.912,285.199,474.973,371.86400000000003,,,
27,1159822,56,,right,saccade,,7.0,,,1185.59,267.487,509.273,417.911,,,
28,1159878,120,3.061916666666667,left,fixation,8.0,,474.08238709677397,396.68838709677397,,,,,0.0,,
29,1159882,1056,3.074637605042017,right,fixation,,8.0,423.529739622641,454.573637735849,,,,,1.0,15.088266206264755,42.915313001305286
30,1160002,12,,left,saccade,8.0,,,,469.33,402.509,421.056,410.023,,,
31,1160018,916,3.0764301470588236,left,fixation,9.0,,407.5899565217389,429.307682608696,,,,,0.0,,
32,1160938,40,,left,saccade,9.0,,,,394.718,425.515,368.98,342.595,,,
33,1160942,40,,right,saccade,,8.0,,,402.31800000000004,478.449,385.20300000000003,345.225,,,
34,1161110,352,3.1000396838070907,right,fixation,,9.0,416.03902247191,408.8270786516849,,,,,1.0,5.662340272458999,18.992770414028627
35,1161114,56,,left,fixation,10.0,,363.5113333333329,336.691,,,,,0.0,,
36,1161174,0,,left,saccade,10.0,,,,381.95,349.398,381.95,349.398,,,
37,1161178,644,3.0904010552371037,left,fixation,11.0,,416.6354320987661,399.470913580247,,,,,0.0,,
38,1161466,12,,right,saccade,,9.0,,,422.9,417.506,424.68699999999995,460.338,,,
39,1161482,336,3.082678571428571,right,fixation,,10.0,419.94991764705804,465.748623529412,,,,,0.0,,
40,1161822,40,,right,saccade,,10.0,,,385.909,458.42,738.645,542.096,,,
41,1161826,28,,left,saccade,11.0,,,,400.04400000000004,410.31699999999995,692.7289999999997,532.382,,,
42,1161858,300,3.0008266666666668,left,fixation,12.0,,721.875539473684,547.537026315789,,,,,1.0,7.866837196244884,36.828141006572665
43,1161866,292,2.9999109589041093,right,fixation,,11.0,742.9806756756758,572.086945945946,,,,,2.0,4.376346654573995,20.12462328795305
44,1162162,24,,left,saccade,12.0,,,,709.802,537.51,499.194,533.66,,,
45,1162162,24,,right,saccade,,11.0,,,708.4739999999997,562.755,524.943,586.997,,,
46,1162190,268,3.019477611940298,left,fixation,13.0,,494.271838235294,529.603647058823,,,,,1.0,5.703412694265723,14.540254502586926
47,1162190,268,3.019477611940298,right,fixation,,12.0,497.09664705882403,590.90775,,,,,1.0,3.9877608100007462,7.145609281230068
48,1162462,48,,left,saccade,13.0,,,,487.68800000000016,524.84,1360.621,555.813,,,
49,1162462,48,,right,saccade,,12.0,,,488.236,593.6519999999998,1394.658,559.6659999999998,,,
50,1162514,136,3.001823529411764,left,fixation,14.0,,1380.7366857142902,582.115028571429,,,,,0.0,,
51,1162514,136,3.001823529411764,right,fixation,,13.0,1402.2312285714304,565.455428571429,,,,,0.0,,
