,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,10548882,324,3.51242037037037,left,fixation,1.0,,444.49896341463403,861.070414634147,,,,,2.0,2.717181185543708,6.9956708483886265
1,10548882,332,3.51242037037037,right,fixation,,1.0,468.25876190476197,852.668130952381,,,,,0.0,,
2,10549210,40,,left,saccade,1.0,,,,446.38199999999995,851.8,421.717,167.28,,,
3,10549218,40,,right,saccade,,1.0,,,467.144,853.9810000000001,439.32300000000004,199.09099999999998,,,
4,10549362,952,3.5349262154512155,right,fixation,,2.0,428.62650627615096,195.56138493723802,,,,,6.0,4.620910285773822,16.923825773243458
5,10549382,924,3.5349262154512155,left,fixation,2.0,,411.899439655172,179.18581034482796,,,,,4.0,4.609339676152475,20.64643286548455
6,10550310,40,,left,saccade,2.0,,,,391.311,161.874,377.431,112.124,,,
7,10550318,40,,right,saccade,,2.0,,,409.246,188.076,379.875,181.63400000000001,,,
8,10550454,7084,3.757824056634824,right,fixation,,3.0,402.545943002258,153.271044582393,,,,,46.0,4.486543149472551,15.157588516565902
9,10550478,7052,3.757824056634824,left,fixation,3.0,,390.798950680272,157.66407029478398,,,,,18.0,5.575294072858523,19.159436150013946
10,10557534,40,,left,saccade,3.0,,,,408.82300000000004,163.702,380.039,185.34900000000002,,,
11,10557542,40,,right,saccade,,3.0,,,422.903,162.344,380.841,199.887,,,
12,10557706,6023,3.718304422363485,right,fixation,,4.0,427.490779694758,156.807818845388,,,,,40.0,3.6539684174309097,15.662849210860431
13,10557750,5983,3.7183174451434287,left,fixation,4.0,,419.25089245157096,171.928541750168,,,,,23.0,4.084117123148268,15.076027826110401
14,10563733,20,,right,saccade,,4.0,,,467.895,213.57299999999998,477.97,317.685,,,
15,10563737,20,,left,saccade,4.0,,,,455.57300000000004,227.188,474.901,323.624,,,
16,10563757,236,3.6999491525423727,right,fixation,,5.0,508.8786,323.553983333333,,,,,2.0,2.520290074324411,9.01425368530945
17,10563761,232,3.699534482758621,left,fixation,5.0,,502.04447457627197,333.370796610169,,,,,2.0,4.9759814850071065,13.855572578571039
18,10563997,36,,left,saccade,5.0,,,,518.238,319.14,790.326,303.775,,,
19,10563997,36,,right,saccade,,5.0,,,527.015,324.143,809.753,314.404,,,
20,10564037,108,3.628555555555556,left,fixation,6.0,,807.2067857142862,315.97560714285703,,,,,1.0,4.6053374981886215,3.8826018338223176
