,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2892870,76,3.773962500000001,left,fixation,1.0,,465.56685,764.3619,,,,,0.0,,
1,2892870,76,3.773962500000001,right,fixation,,1.0,455.4145,767.88665,,,,,0.0,,
2,2892950,20,,left,saccade,1.0,,,,476.194,761.694,438.80300000000005,710.806,,,
3,2892950,20,,right,saccade,,1.0,,,458.66,767.298,430.292,686.72,,,
4,2892974,136,3.7754705882352937,left,fixation,2.0,,428.2772,686.283428571429,,,,,0.0,,
5,2892974,136,3.7754705882352937,right,fixation,,2.0,417.404571428572,705.224571428572,,,,,0.0,,
6,2893114,28,,left,saccade,2.0,,,,435.12199999999996,684.65,434.125,312.082,,,
7,2893114,28,,right,saccade,,2.0,,,428.84,698.273,426.575,319.111,,,
8,2893146,120,3.7042,left,fixation,3.0,,451.56951612903197,319.480193548387,,,,,0.0,,
9,2893146,120,3.7042,right,fixation,,3.0,425.83383870967697,301.965451612903,,,,,0.0,,
10,2893270,24,,left,saccade,3.0,,,,448.409,318.82599999999996,443.358,150.42600000000004,,,
11,2893270,24,,right,saccade,,3.0,,,427.9,297.64799999999997,428.059,108.149,,,
12,2893298,824,3.637951460589272,right,fixation,,4.0,383.150898550725,124.21868115942,,,,,1.0,5.690753438205213,10.377929706834587
13,2893298,828,3.637951460589272,left,fixation,4.0,,406.890548076923,136.6621875,,,,,1.0,14.945222273541324,25.812858346180853
14,2894126,56,,right,saccade,,4.0,,,381.02,123.626,362.653,79.829,,,
15,2894130,40,,left,saccade,4.0,,,,402.905,138.65,382.69199999999995,70.047,,,
16,2894250,928,3.5798427518427522,left,fixation,5.0,,412.698944206008,138.374150214592,,,,,0.0,,
17,2894254,932,3.5798077858880784,right,fixation,,5.0,399.3583547008551,119.24642307692301,,,,,1.0,12.381148474820721,34.78232427541325
18,2895182,12,,left,saccade,5.0,,,,440.164,141.922,383.67900000000003,141.981,,,
