,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,19569669,4,3.4000000000000004,left,fixation,1.0,,992.309,425.39099999999996,,,,,0.0,,
1,19569669,4,3.4000000000000004,right,fixation,,1.0,1002.5260000000001,468.55300000000005,,,,,0.0,,
2,19569677,52,,left,saccade,1.0,,,,992.309,425.39099999999996,413.295,243.11,,,
3,19569677,52,,right,saccade,,1.0,,,1002.5260000000001,468.55300000000005,394.38699999999994,255.144,,,
4,19569733,180,3.3912444444444443,left,fixation,2.0,,348.335434782609,226.00206521739102,,,,,1.0,8.181780540050895,42.74561845382515
5,19569733,180,3.3912444444444443,right,fixation,,2.0,356.957413043478,221.28280434782602,,,,,1.0,6.861789469389322,23.530425941746138
6,19569917,20,,left,saccade,2.0,,,,336.755,219.507,352.287,156.179,,,
7,19569917,24,,right,saccade,,2.0,,,344.316,210.697,440.39599999999996,163.80100000000004,,,
8,19569941,663,3.3605606060606066,left,fixation,3.0,,345.783095808384,153.037766467066,,,,,1.0,10.298159943515273,33.63159921859204
9,19569945,324,3.3722592592592595,right,fixation,,3.0,453.6653658536589,159.506292682927,,,,,0.0,,
10,19570273,8,,right,saccade,,3.0,,,428.759,120.58,413.86400000000003,118.62,,,
11,19570285,311,3.347766233766234,right,fixation,,4.0,375.017924050633,134.789936708861,,,,,0.0,,
12,19570600,20,,right,saccade,,4.0,,,361.38199999999995,123.831,460.445,125.336,,,
13,19570608,16,,left,saccade,3.0,,,,347.663,143.983,418.676,149.662,,,
14,19570624,1561,3.418890025575448,right,fixation,,5.0,476.268511508951,128.905721227621,,,,,1.0,10.429301681107695,35.765709415584105
15,19570628,929,3.3699291845493566,left,fixation,4.0,,424.267399141631,141.811412017167,,,,,1.0,6.77415750399183,56.624672096180824
16,19571561,16,,left,saccade,4.0,,,,444.635,155.71200000000005,370.17199999999997,152.516,,,
17,19571581,604,3.4933642384105963,left,fixation,5.0,,343.84005921052596,151.587322368421,,,,,0.0,,
18,19572189,20,,left,saccade,5.0,,,,359.88300000000015,169.77700000000004,262.284,160.678,,,
19,19572189,20,,right,saccade,,5.0,,,457.99699999999996,149.931,393.971,142.369,,,
20,19572213,1987,3.5551209677419355,left,fixation,6.0,,315.61347188755,147.14852409638598,,,,,3.0,6.590608681770238,24.47307574619455
21,19572213,1991,3.5552786720321934,right,fixation,,6.0,463.439430861724,129.999394789579,,,,,3.0,7.070497161502353,23.171121610801336
22,19574204,24,,left,saccade,6.0,,,,340.945,149.738,228.696,148.519,,,
23,19574208,16,,right,saccade,,6.0,,,457.05400000000003,118.544,382.724,126.23899999999999,,,
24,19574228,472,3.689093220338983,right,fixation,,7.0,391.538025210084,145.566420168067,,,,,1.0,5.570904935964682,16.802366053624752
25,19574232,468,3.689448717948718,left,fixation,7.0,,226.445127118644,120.80260169491501,,,,,0.0,,
26,19574704,20,,left,saccade,7.0,,,,269.367,157.656,356.038,159.236,,,
27,19574704,20,,right,saccade,,7.0,,,409.189,160.02200000000005,528.986,151.55700000000004,,,
28,19574728,392,3.5660102040816324,left,fixation,8.0,,367.91290909090895,165.18196969697,,,,,0.0,,
29,19574728,392,3.5660102040816324,right,fixation,,8.0,529.4003838383841,140.47047474747498,,,,,1.0,14.627615121368516,48.39667023670123
30,19575124,24,,right,saccade,,8.0,,,529.605,150.364,783.942,231.80599999999998,,,
31,19575124,28,,left,saccade,8.0,,,,364.77099999999996,170.111,583.42,211.43,,,
32,19575152,124,3.573403225806452,right,fixation,,9.0,785.19003125,228.3089375,,,,,2.0,14.074262374259126,44.49203274796396
33,19575156,140,3.5707571428571434,left,fixation,9.0,,589.547444444444,224.98997222222198,,,,,1.0,7.221439230205839,23.91090623544005
34,19575280,48,,right,saccade,,9.0,,,788.135,225.65099999999998,709.457,229.035,,,
35,19575300,16,,left,saccade,9.0,,,,597.504,246.178,531.53,246.27,,,
36,19575320,216,3.5525,left,fixation,10.0,,515.570618181818,228.10565454545502,,,,,0.0,,
37,19575332,208,3.5519038461538464,right,fixation,,10.0,711.843301886792,232.94152830188702,,,,,0.0,,
38,19575540,32,,left,saccade,10.0,,,,519.263,232.676,236.07,241.771,,,
39,19575544,28,,right,saccade,,10.0,,,707.785,215.648,411.023,236.46599999999998,,,
40,19575576,132,3.476636363636364,left,fixation,11.0,,216.709617647059,250.784411764706,,,,,1.0,9.877910488109878,36.656832078072426
41,19575576,132,3.476636363636364,right,fixation,,11.0,392.65455882352995,222.44979411764703,,,,,1.0,11.733914183065927,28.46786189723425
42,19575712,16,,left,saccade,11.0,,,,226.957,238.502,278.564,225.81900000000002,,,
43,19575712,16,,right,saccade,,11.0,,,394.06699999999995,214.713,450.913,218.072,,,
44,19575732,240,3.410375,left,fixation,12.0,,308.058295081967,227.74157377049198,,,,,0.0,,
45,19575732,240,3.410375,right,fixation,,12.0,466.936819672131,209.367459016393,,,,,1.0,4.677303570909687,9.6811314421404
46,19575976,40,,right,saccade,,12.0,,,474.379,202.40900000000002,920.548,195.49599999999998,,,
47,19575976,56,,left,saccade,12.0,,,,335.115,226.28400000000002,741.868,202.171,,,
48,19576020,456,3.3258903508771933,right,fixation,,13.0,936.642173913044,209.86692173913002,,,,,1.0,6.5002041100431915,14.037179916208315
49,19576036,440,3.324640909090909,left,fixation,13.0,,783.9019639639639,192.053846846847,,,,,0.0,,
50,19576480,28,,right,saccade,,13.0,,,936.215,221.946,1279.329,252.765,,,
51,19576480,32,,left,saccade,13.0,,,,831.9580000000003,192.639,1180.5539999999999,206.731,,,
52,19576512,292,3.266746575342466,right,fixation,,14.0,1222.78645945946,238.590189189189,,,,,4.0,12.092450786830938,34.74979149806121
53,19576516,120,3.27235,left,fixation,14.0,,1188.2628709677401,208.08745161290298,,,,,1.0,29.17946927112355,61.21457239089384
54,19576640,16,,left,saccade,14.0,,,,1181.762,209.705,1113.5,214.25099999999998,,,
55,19576660,144,3.2642777777777776,left,fixation,15.0,,1106.46672972973,191.918459459459,,,,,0.0,,
56,19576808,24,,right,saccade,,14.0,,,1190.6789999999999,226.024,1442.655,238.37400000000002,,,
57,19576808,28,,left,saccade,15.0,,,,1100.63,173.145,1359.307,204.03,,,
58,19576836,304,3.2423289473684216,right,fixation,,15.0,1460.02077922078,238.246805194805,,,,,1.0,16.180374495219635,47.433310911215045
59,19576840,300,3.242,left,fixation,16.0,,1386.09964473684,215.57972368421105,,,,,1.0,10.302702010745609,38.044445494710345
60,19577144,52,,left,saccade,16.0,,,,1371.3529999999996,235.30900000000003,888.77,164.668,,,
61,19577144,52,,right,saccade,,15.0,,,1453.181,227.649,996.51,174.641,,,
62,19577200,672,3.222645833333333,left,fixation,17.0,,833.256846153846,160.235639053254,,,,,3.0,5.546284449912754,12.446119931260588
63,19577200,672,3.222645833333333,right,fixation,,16.0,965.0885739644972,186.171319526627,,,,,1.0,4.991724420923521,9.652187575881356
64,19577876,40,,left,saccade,17.0,,,,843.9960000000003,193.045,368.42,168.827,,,
65,19577876,40,,right,saccade,,16.0,,,953.88,206.08599999999998,478.619,191.514,,,
66,19577920,816,3.3934803921568637,right,fixation,,17.0,404.395687804878,135.067917073171,,,,,2.0,6.732841700036572,34.57287648531564
67,19577920,820,3.393746341463415,left,fixation,18.0,,289.439495145631,157.88345631068,,,,,2.0,7.312938123420667,37.06623475172884
68,19578740,20,,right,saccade,,17.0,,,375.061,127.417,444.65,124.361,,,
69,19578744,20,,left,saccade,18.0,,,,290.092,134.85399999999998,363.784,156.442,,,
70,19578764,640,3.486086956521739,right,fixation,,18.0,462.265571428572,119.274130434783,,,,,1.0,11.86057931178368,21.546127656727506
71,19578768,784,3.4757828282828287,left,fixation,19.0,,407.80930964467,160.481035532995,,,,,2.0,13.192226971406289,50.27433980321845
72,19579408,16,,right,saccade,,18.0,,,456.43199999999996,116.917,528.263,131.237,,,
73,19579428,124,3.432875,right,fixation,,19.0,522.5129375,138.9588125,,,,,1.0,6.747339792672218,17.603423672683693
74,19579556,32,,right,saccade,,19.0,,,523.0409999999998,139.476,1003.8960000000001,170.22299999999996,,,
75,19579556,36,,left,saccade,19.0,,,,471.23,155.08,860.7410000000001,178.8,,,
76,19579592,328,3.4064024390243888,right,fixation,,20.0,958.6421204819279,196.192506024096,,,,,3.0,13.236897111041609,40.38182464017479
77,19579596,156,3.3934487179487176,left,fixation,20.0,,890.792625,223.96475,,,,,2.0,9.603974426349467,37.391115474494654
78,19579756,8,,left,saccade,20.0,,,,881.936,211.62400000000002,865.081,187.045,,,
79,19579768,152,3.4179210526315784,left,fixation,21.0,,856.0338974358971,184.309538461538,,,,,0.0,,
80,19579924,40,,left,saccade,21.0,,,,866.081,191.455,341.624,359.411,,,
81,19579924,40,,right,saccade,,20.0,,,946.679,205.055,413.73,390.108,,,
82,19579968,152,3.4288815789473683,right,fixation,,21.0,369.9733333333329,383.9813589743589,,,,,1.0,12.969177169136227,36.76266783028673
83,19579968,348,3.4213706896551725,left,fixation,22.0,,329.77905681818197,373.27625,,,,,2.0,13.477596096723046,44.80849709364787
84,19580124,16,,right,saccade,,21.0,,,363.841,368.977,436.11,371.31199999999995,,,
85,19580144,164,3.4047142857142854,right,fixation,,22.0,445.608642857143,369.83819047618994,,,,,0.0,,
86,19580312,44,,right,saccade,,22.0,,,445.224,373.324,515.274,315.312,,,
87,19580320,44,,left,saccade,22.0,,,,382.481,382.49,426.452,348.111,,,
88,19580440,600,3.298636262850232,right,fixation,,23.0,508.543437086093,347.824814569536,,,,,3.0,10.019962770821797,36.848719035950865
89,19580456,384,3.317284552845529,left,fixation,23.0,,438.524278350515,355.41904123711305,,,,,0.0,,
90,19580844,20,,left,saccade,23.0,,,,451.77099999999996,347.764,366.875,342.436,,,
91,19580868,1052,3.2750492424242426,left,fixation,24.0,,365.614246212121,348.480125,,,,,2.0,8.202833604104853,27.75729042990605
92,19581044,8,,right,saccade,,23.0,,,463.569,354.73400000000015,459.05300000000005,340.084,,,
93,19581056,864,3.2757995391705066,right,fixation,,24.0,488.63311520737295,335.444400921659,,,,,1.0,15.316373472892053,51.465562320837385
94,19581924,24,,right,saccade,,24.0,,,509.066,394.061,719.5260000000003,452.754,,,
95,19581924,28,,left,saccade,24.0,,,,394.421,334.6380000000001,602.625,462.93800000000016,,,
96,19581952,880,3.3413,right,fixation,,25.0,743.683339366515,482.260452488688,,,,,2.0,12.080237491396662,34.808403866229995
97,19581956,880,3.341390909090909,left,fixation,25.0,,650.83842081448,478.42201809954696,,,,,1.0,24.371264343370555,78.84629107320139
98,19582836,28,,right,saccade,,25.0,,,741.495,504.29400000000004,936.908,487.034,,,
99,19582840,24,,left,saccade,25.0,,,,652.207,497.913,820.7310000000001,498.161,,,
100,19582868,1104,3.3851684782608693,right,fixation,,26.0,960.074772563177,478.50911552346605,,,,,1.0,4.8624063544253096,9.15624404436674
101,19582868,1108,3.3849494584837547,left,fixation,26.0,,908.953769784173,476.6040107913671,,,,,1.0,7.123154991138253,21.947869144862423
102,19583976,36,,right,saccade,,26.0,,,963.013,479.54900000000004,1405.019,534.571,,,
103,19583980,32,,left,saccade,26.0,,,,908.2239999999999,462.376,1328.271,524.274,,,
104,19584016,168,3.3242976190476186,right,fixation,,27.0,1393.0226744185998,552.064488372093,,,,,1.0,8.418140512871222,25.857018099540962
105,19584016,595,3.3370979729729733,left,fixation,27.0,,1421.95522666667,492.971453333333,,,,,2.0,8.920479169420187,29.784415700041393
106,19584188,8,,right,saccade,,27.0,,,1410.207,515.45,1431.263,506.037,,,
107,19584200,415,3.342563106796117,right,fixation,,28.0,1444.97802857143,479.16396190476195,,,,,0.0,,
108,19584615,60,,left,saccade,27.0,,,,1449.432,483.06199999999995,926.482,506.369,,,
109,19584619,52,,right,saccade,,28.0,,,1453.085,474.619,1002.7289999999999,500.911,,,
110,19584675,2848,3.285985818181818,right,fixation,,29.0,967.611253856944,470.792007012622,,,,,1.0,6.472216175485972,22.934125926226148
111,19584679,2069,3.249398648648649,left,fixation,28.0,,799.9535019305009,450.855866795367,,,,,10.0,6.3173032013675,17.431342168962356
112,19586752,8,,left,saccade,28.0,,,,836.855,445.96,836.885,415.718,,,
113,19586764,759,3.4002021276595737,left,fixation,29.0,,893.1924869109952,419.624738219895,,,,,0.0,,
114,19587527,44,,left,saccade,29.0,,,,939.6310000000001,418.745,415.352,575.9780000000002,,,
115,19587527,48,,right,saccade,,29.0,,,957.334,445.991,440.991,615.595,,,
116,19587684,283,3.5060967741935483,right,fixation,,30.0,435.15818055555604,606.548694444444,,,,,0.0,,
117,19587696,1051,3.331730848861284,left,fixation,30.0,,418.274734848485,588.0636477272731,,,,,1.0,6.684470576559451,31.27743598826477
118,19587971,0,,right,saccade,,30.0,,,474.68,606.005,474.68,606.005,,,
119,19587975,268,3.375738805970149,right,fixation,,31.0,483.05883823529405,613.513573529412,,,,,1.0,4.815246310187834,18.243731745451594
120,19588247,0,,right,saccade,,31.0,,,514.03,593.809,514.03,593.809,,,
121,19588251,500,3.240316,right,fixation,,32.0,519.976222222222,612.485261904762,,,,,0.0,,
122,19588751,24,,left,saccade,30.0,,,,464.495,575.056,347.267,573.1469999999998,,,
123,19588755,20,,right,saccade,,32.0,,,518.225,613.226,405.491,608.488,,,
124,19588779,216,3.244,left,fixation,31.0,,344.82510909090894,596.7158,,,,,1.0,9.27726176675472,35.774264339046866
125,19588779,216,3.244,right,fixation,,33.0,394.2206909090911,623.688127272727,,,,,1.0,9.054922462702562,19.557029247817727
126,19588999,20,,right,saccade,,33.0,,,392.772,623.331,440.48199999999997,692.07,,,
127,19588999,24,,left,saccade,31.0,,,,360.399,603.092,461.894,681.095,,,
128,19589023,544,3.3652647058823533,right,fixation,,34.0,478.517343065694,708.900591240875,,,,,1.0,10.894653460655713,22.2648726248322
129,19589027,544,3.3660110294117644,left,fixation,32.0,,476.267788321168,690.977313868613,,,,,1.0,10.116666849258632,27.367112544073812
130,19589571,28,,right,saccade,,34.0,,,474.532,721.4,742.9169999999997,731.291,,,
131,19589575,24,,left,saccade,32.0,,,,478.298,686.615,718.709,700.612,,,
132,19589603,464,3.4251551724137927,right,fixation,,35.0,750.206068376068,727.271957264957,,,,,3.0,7.5393444637847065,21.59597220503993
133,19589603,468,3.4252179487179486,left,fixation,33.0,,714.131186440678,689.79572881356,,,,,2.0,8.781724766151077,27.775049354775888
134,19590071,28,,right,saccade,,35.0,,,733.799,718.062,979.965,718.062,,,
135,19590075,28,,left,saccade,33.0,,,,701.165,695.6569999999997,924.301,697.653,,,
136,19590103,388,3.4020979381443297,right,fixation,,36.0,985.5673571428572,720.419704081633,,,,,1.0,10.428679719621464,5.004582799794613
137,19590107,384,3.4017291666666662,left,fixation,34.0,,950.924597938145,705.497865979382,,,,,1.0,7.94170022553247,27.596222368288174
138,19590495,64,,left,saccade,34.0,,,,948.1419999999999,704.692,431.18699999999995,576.12,,,
139,19590495,64,,right,saccade,,36.0,,,969.802,734.176,416.676,632.633,,,
140,19590563,268,3.2766194029850757,right,fixation,,37.0,385.760882352941,603.2344852941179,,,,,1.0,5.227755227841329,12.472945642469568
141,19590563,272,3.276308823529412,left,fixation,35.0,,384.918101449276,581.105536231884,,,,,0.0,,
142,19590835,8,,right,saccade,,37.0,,,389.398,594.352,422.611,590.819,,,
143,19590839,4,,left,saccade,35.0,,,,427.535,591.47,431.913,591.47,,,
144,19590847,532,3.24393984962406,left,fixation,36.0,,427.611141791045,585.182873134328,,,,,0.0,,
145,19590847,532,3.24393984962406,right,fixation,,38.0,449.853485074627,597.9121492537313,,,,,2.0,5.434802441277032,13.77519619869381
146,19591383,16,,left,saccade,36.0,,,,413.916,584.8580000000002,335.4430000000001,590.059,,,
147,19591383,16,,right,saccade,,38.0,,,451.29900000000004,600.769,374.556,599.069,,,
148,19591403,456,3.2592807017543866,left,fixation,37.0,,319.359043478261,599.038495652174,,,,,1.0,4.901269554921457,18.977726549826773
149,19591403,456,3.2592807017543866,right,fixation,,39.0,397.57715652173897,600.9073478260871,,,,,4.0,7.21698127861062,22.454327969341726
150,19591863,20,,left,saccade,37.0,,,,339.517,594.994,419.086,596.18,,,
151,19591863,20,,right,saccade,,39.0,,,420.49800000000016,610.3330000000002,543.5219999999998,608.722,,,
152,19591887,428,3.293967289719627,right,fixation,,40.0,534.2785,595.045888888889,,,,,1.0,15.215793970046013,35.81123501081746
153,19591887,432,3.293898148148148,left,fixation,38.0,,446.8893577981649,577.4945137614679,,,,,1.0,8.005429962774578,20.589579136058084
154,19592319,60,,right,saccade,,40.0,,,518.13,612.139,1082.405,664.1439999999999,,,
155,19592323,60,,left,saccade,38.0,,,,458.634,591.84,973.46,686.835,,,
156,19592383,156,3.322692307692308,right,fixation,,41.0,1098.7048,682.65495,,,,,0.0,,
157,19592387,152,3.3228289473684214,left,fixation,39.0,,993.8938974358972,701.8011282051282,,,,,0.0,,
