,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2089209,48,3.30475,left,fixation,1.0,,1541.02738461538,909.252846153846,,,,,0.0,,
1,2089209,48,3.30475,right,fixation,,1.0,1512.37615384615,897.0910769230769,,,,,0.0,,
2,2089261,68,,left,saccade,1.0,,,,1541.201,905.71,865.0160000000003,403.725,,,
3,2089261,68,,right,saccade,,1.0,,,1513.3729999999994,891.919,872.33,394.86300000000006,,,
4,2089333,172,3.2544069767441863,left,fixation,2.0,,847.400954545455,386.08727272727305,,,,,1.0,3.988224514464784,8.230455698197991
5,2089333,172,3.2544069767441863,right,fixation,,2.0,853.7695,384.8087045454551,,,,,1.0,5.1759715700962365,17.116859349775616
6,2089509,32,,left,saccade,2.0,,,,837.72,384.25800000000004,566.8009999999998,327.593,,,
7,2089509,36,,right,saccade,,2.0,,,846.855,378.69800000000004,583.804,327.413,,,
8,2089545,108,3.2644821428571427,left,fixation,3.0,,560.131107142857,301.561535714286,,,,,1.0,3.46263310614591,6.718367956579884
9,2089549,104,3.2647037037037028,right,fixation,,3.0,575.383888888889,295.383555555556,,,,,0.0,,
10,2089657,20,,left,saccade,3.0,,,,552.724,290.543,486.76,248.982,,,
11,2089657,24,,right,saccade,,3.0,,,574.0409999999998,279.19599999999997,494.784,221.035,,,
12,2089681,212,3.2584622641509435,left,fixation,4.0,,462.316611111111,214.467074074074,,,,,2.0,6.342208725613607,12.374477965701306
13,2089685,204,3.258696078431373,right,fixation,,4.0,474.712076923077,205.535076923077,,,,,0.0,,
14,2089893,8,,right,saccade,,4.0,,,477.449,230.063,485.251,252.326,,,
15,2089897,4,,left,saccade,4.0,,,,454.152,243.141,458.639,257.96299999999997,,,
16,2089905,224,3.2159732142857145,left,fixation,5.0,,483.548438596491,277.823473684211,,,,,0.0,,
17,2089905,224,3.2159732142857145,right,fixation,,5.0,501.517596491228,268.98445614035097,,,,,1.0,3.2875827154782318,6.640538607673329
18,2090133,32,,left,saccade,5.0,,,,497.574,277.692,751.058,262.258,,,
19,2090133,32,,right,saccade,,5.0,,,505.22,260.55400000000003,753.89,270.91900000000004,,,
20,2090169,320,3.23939375,left,fixation,6.0,,752.185395061729,271.556271604938,,,,,2.0,4.855034136210065,24.234497646213605
21,2090169,320,3.23939375,right,fixation,,6.0,754.8969012345682,271.98090123456797,,,,,1.0,6.715819816340778,31.990324443493943
22,2090493,32,,left,saccade,6.0,,,,723.058,283.603,480.029,228.852,,,
23,2090493,40,,right,saccade,,6.0,,,725.323,277.462,483.81,214.71099999999998,,,
24,2090529,244,3.293713114754098,left,fixation,7.0,,460.150241935484,200.593774193548,,,,,0.0,,
25,2090537,780,3.3100538461538465,right,fixation,,7.0,492.844229591837,185.867489795919,,,,,5.0,8.377226698250071,28.20295912258911
26,2090777,12,,left,saccade,7.0,,,,456.585,190.312,505.343,190.345,,,
27,2090793,324,3.3060802469135804,left,fixation,8.0,,525.617902439025,197.78548780487802,,,,,0.0,,
28,2091121,8,,left,saccade,8.0,,,,520.0219999999998,196.649,481.713,199.50900000000001,,,
29,2091133,184,3.336576086956522,left,fixation,9.0,,458.505574468085,192.820191489362,,,,,1.0,4.220184843239817,12.887272364623945
30,2091321,20,,left,saccade,9.0,,,,464.264,192.78900000000002,543.878,205.206,,,
31,2091321,20,,right,saccade,,7.0,,,467.463,178.748,563.4780000000002,198.813,,,
32,2091345,100,3.35584,left,fixation,10.0,,560.566,220.04161538461497,,,,,0.0,,
33,2091345,100,3.35584,right,fixation,,8.0,573.933038461538,213.95684615384602,,,,,0.0,,
34,2091449,24,,left,saccade,10.0,,,,567.095,222.813,726.3760000000003,245.512,,,
35,2091449,24,,right,saccade,,8.0,,,573.794,216.93599999999998,738.926,233.91299999999998,,,
36,2091477,200,3.3702300000000003,left,fixation,11.0,,726.276509803921,258.355411764706,,,,,0.0,,
37,2091477,200,3.3702300000000003,right,fixation,,9.0,743.344196078431,248.953921568627,,,,,0.0,,
38,2091681,28,,left,saccade,11.0,,,,740.24,275.51599999999996,974.2130000000001,275.67400000000004,,,
39,2091681,28,,right,saccade,,9.0,,,741.451,246.96099999999998,984.085,252.512,,,
40,2091713,332,3.364728915662652,left,fixation,12.0,,982.7188571428579,268.271226190476,,,,,1.0,3.771503682588363,7.676746185722238
41,2091713,336,3.3643928571428576,right,fixation,,10.0,984.097964705883,268.695176470588,,,,,1.0,5.564099130936552,24.12845527587708
42,2092049,48,,left,saccade,12.0,,,,976.095,273.527,484.793,279.673,,,
43,2092053,48,,right,saccade,,10.0,,,973.834,272.721,507.779,273.918,,,
44,2092101,224,3.3428839285714282,left,fixation,13.0,,465.497175438597,258.123824561403,,,,,0.0,,
45,2092105,220,3.3429545454545457,right,fixation,,11.0,487.843,265.61710714285704,,,,,1.0,4.277598446818284,11.673963380103645
46,2092329,76,,left,saccade,13.0,,,,461.792,257.93,1088.146,258.78,,,
47,2092329,76,,right,saccade,,11.0,,,483.934,262.675,1115.567,265.911,,,
48,2092409,120,3.3292333333333333,left,fixation,14.0,,1105.5634516128998,263.55845161290296,,,,,0.0,,
49,2092409,120,3.3292333333333333,right,fixation,,12.0,1128.09903225806,274.696193548387,,,,,0.0,,
50,2092533,20,,left,saccade,14.0,,,,1116.91,261.059,1189.026,269.061,,,
51,2092533,20,,right,saccade,,12.0,,,1134.766,265.193,1203.836,265.92400000000004,,,
52,2092557,476,3.3102605042016813,left,fixation,15.0,,1190.7036166666699,272.002216666667,,,,,0.0,,
53,2092557,476,3.3102605042016813,right,fixation,,13.0,1198.87010833333,277.453058333333,,,,,1.0,3.200853722923873,13.803239981975123
54,2093037,24,,left,saccade,15.0,,,,1189.371,266.499,1390.164,275.265,,,
55,2093037,24,,right,saccade,,13.0,,,1194.45,293.70799999999997,1399.635,298.55,,,
