,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2924416,180,3.317836956521739,left,fixation,1.0,,1550.41923913043,837.0467826086957,,,,,0.0,,
1,2924416,180,3.317836956521739,right,fixation,,1.0,1567.2062826087,807.279217391304,,,,,0.0,,
2,2924600,52,,left,saccade,1.0,,,,1535.945,835.817,495.76599999999996,161.061,,,
3,2924600,52,,right,saccade,,1.0,,,1565.241,804.82,556.925,257.469,,,
4,2924656,8,3.248,left,fixation,2.0,,490.938666666667,167.392,,,,,0.0,,
5,2924656,148,3.2402027027027027,right,fixation,,2.0,544.145052631579,306.626921052632,,,,,0.0,,
6,2924668,20,,left,saccade,2.0,,,,493.27099999999996,171.13099999999997,495.046,260.437,,,
7,2924692,112,3.23525,left,fixation,3.0,,518.928448275862,296.762448275862,,,,,0.0,,
8,2924808,20,,left,saccade,3.0,,,,520.436,294.317,420.526,153.864,,,
9,2924808,24,,right,saccade,,2.0,,,531.831,296.024,477.119,154.877,,,
10,2924832,232,3.2774981684981683,left,fixation,4.0,,437.1028305084751,153.29806779661,,,,,0.0,,
11,2924836,228,3.2790554854981084,right,fixation,,3.0,443.50977586206886,132.69917241379298,,,,,1.0,9.575127341769985,22.46826962629744
12,2925068,48,,left,saccade,4.0,,,,435.276,177.5,529.014,79.683,,,
13,2925068,40,,right,saccade,,3.0,,,448.32099999999997,182.50400000000002,579.043,154.314,,,
14,2925212,380,3.14365925925926,right,fixation,,4.0,569.213177083333,241.2275625,,,,,1.0,9.776291233273373,22.29943322149692
15,2925224,12,,left,fixation,5.0,,530.5325,90.17299999999999,,,,,0.0,,
16,2925240,24,,left,saccade,5.0,,,,531.765,92.93,548.986,207.03400000000002,,,
17,2925268,324,3.1436592592592585,left,fixation,6.0,,553.103170731707,204.81943902439,,,,,0.0,,
18,2925596,20,,left,saccade,6.0,,,,545.02,203.547,637.47,207.31599999999997,,,
19,2925596,20,,right,saccade,,4.0,,,566.2669999999998,275.437,668.6469999999998,268.372,,,
20,2925620,220,3.1795363636363634,left,fixation,7.0,,651.738589285714,206.845964285714,,,,,0.0,,
21,2925620,220,3.1795363636363634,right,fixation,,5.0,661.117321428571,209.68376785714298,,,,,0.0,,
22,2925844,20,,left,saccade,7.0,,,,672.551,218.12400000000002,751.1569999999997,217.637,,,
