,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,20641463,60,3.82828125,left,fixation,1.0,,1487.51725,882.98,,,,,0.0,,
1,20641463,60,3.82828125,right,fixation,,1.0,1508.355875,928.993125,,,,,0.0,,
2,20641527,48,,left,saccade,1.0,,,,1490.911,887.591,733.829,504.145,,,
3,20641527,52,,right,saccade,,1.0,,,1498.631,928.035,779.2760000000003,455.774,,,
4,20641579,208,3.8752358490566032,left,fixation,2.0,,718.3345471698109,486.3633773584901,,,,,0.0,,
5,20641583,208,3.8745094339622654,right,fixation,,2.0,727.446528301886,433.834716981132,,,,,1.0,7.069318144473179,27.796012897536173
6,20641791,20,,left,saccade,2.0,,,,721.385,500.495,579.102,344.24800000000016,,,
7,20641795,32,,right,saccade,,2.0,,,721.5189999999999,434.73800000000006,552.84,344.67,,,
8,20641815,140,3.778058823529413,left,fixation,3.0,,580.934444444444,314.36025,,,,,0.0,,
9,20641831,128,3.7749032258064514,right,fixation,,3.0,549.226060606061,339.857151515152,,,,,0.0,,
10,20641959,16,,left,saccade,3.0,,,,577.099,291.08,457.50800000000004,289.7870000000001,,,
11,20641963,16,,right,saccade,,3.0,,,552.385,344.981,468.86400000000003,334.8880000000001,,,
12,20641979,208,3.7605384615384616,left,fixation,4.0,,454.854377358491,284.445075471698,,,,,0.0,,
13,20641983,204,3.7604117647058826,right,fixation,,4.0,448.686865384616,305.087423076923,,,,,0.0,,
14,20642191,20,,left,saccade,4.0,,,,457.348,291.009,418.015,229.365,,,
15,20642191,20,,right,saccade,,4.0,,,435.22,299.743,389.912,195.96599999999998,,,
16,20642215,156,3.682857197403589,right,fixation,,5.0,367.396275,173.611275,,,,,0.0,,
17,20642215,160,3.682857197403589,left,fixation,5.0,,397.189804878049,203.121170731707,,,,,0.0,,
18,20642375,32,,right,saccade,,5.0,,,344.74300000000005,180.00900000000001,346.295,142.878,,,
19,20642379,32,,left,saccade,5.0,,,,399.499,211.562,406.524,188.56599999999997,,,
20,20642551,152,3.617746803638188,right,fixation,,6.0,368.30820512820503,170.061871794872,,,,,0.0,,
21,20642551,156,3.6189077462354606,left,fixation,6.0,,408.91815,236.266825,,,,,0.0,,
22,20642707,16,,right,saccade,,6.0,,,387.945,203.178,421.42,297.165,,,
23,20642711,12,,left,saccade,6.0,,,,421.532,250.187,431.722,303.76599999999996,,,
24,20642727,384,3.7575052083333333,left,fixation,7.0,,460.356082474227,319.039051546392,,,,,0.0,,
25,20642727,384,3.7575052083333333,right,fixation,,7.0,438.81622680412397,312.278216494845,,,,,0.0,,
26,20643115,20,,left,saccade,7.0,,,,453.301,307.422,425.00300000000004,233.207,,,
27,20643115,20,,right,saccade,,7.0,,,431.22900000000004,295.059,400.884,183.97400000000002,,,
