,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,881678,527,3.4346231060606063,left,fixation,1.0,,468.236977443609,175.224593984962,,,,,4.0,3.5442596954161547,12.897638459972036
1,881678,531,3.43440037593985,right,fixation,,1.0,436.293358208955,161.387044776119,,,,,0.0,,
2,882209,32,,left,saccade,1.0,,,,442.099,144.859,631.785,148.877,,,
3,882213,20,,right,saccade,,1.0,,,456.77,172.72299999999996,612.225,159.759,,,
4,882237,136,3.3680147058823526,right,fixation,,2.0,630.310885714286,188.4108,,,,,0.0,,
5,882245,128,3.366703125,left,fixation,2.0,,655.687484848485,168.69203030303,,,,,0.0,,
6,882377,20,,left,saccade,2.0,,,,662.387,169.97799999999995,566.219,170.139,,,
7,882377,20,,right,saccade,,2.0,,,638.3969999999998,167.643,525.841,162.763,,,
8,882401,228,3.333561170212765,left,fixation,3.0,,556.159948275862,182.59503448275902,,,,,1.0,4.905657972065431,9.822616861101764
9,882401,228,3.333561170212765,right,fixation,,3.0,516.14625862069,171.983827586207,,,,,0.0,,
10,882633,40,,left,saccade,3.0,,,,544.2280000000002,180.078,412.24300000000005,149.226,,,
11,882633,48,,right,saccade,,3.0,,,514.007,172.178,427.087,143.545,,,
12,882701,96,3.283,left,fixation,4.0,,429.95744,153.66928000000001,,,,,0.0,,
13,882701,104,3.283,right,fixation,,4.0,431.635518518518,151.912592592593,,,,,0.0,,
14,882801,40,,left,saccade,4.0,,,,448.286,158.769,467.145,137.308,,,
15,882809,40,,right,saccade,,4.0,,,427.44800000000004,153.762,437.792,139.32399999999998,,,
16,882921,588,3.448434782608695,right,fixation,,5.0,521.063905405406,188.253148648649,,,,,2.0,7.706763570523617,24.84845659445643
17,882937,576,3.4483275862068963,left,fixation,5.0,,540.9085517241381,183.99912413793098,,,,,4.0,6.847742217589895,20.47414786712533
18,883513,20,,right,saccade,,5.0,,,525.138,194.519,618.931,184.609,,,
19,883517,20,,left,saccade,5.0,,,,540.28,191.335,627.8340000000002,172.78,,,
20,883537,484,3.402334710743802,right,fixation,,6.0,633.6952213114747,180.73095081967202,,,,,0.0,,
21,883541,480,3.402029166666667,left,fixation,6.0,,638.9869752066111,158.684512396694,,,,,0.0,,
22,884025,20,,left,saccade,6.0,,,,634.533,167.102,734.238,160.298,,,
23,884025,20,,right,saccade,,6.0,,,638.242,164.61,748.693,173.52599999999995,,,
24,884049,396,3.3771969696969686,left,fixation,7.0,,753.38732,162.85041,,,,,0.0,,
25,884049,396,3.3771969696969686,right,fixation,,7.0,745.81412,184.53298,,,,,0.0,,
26,884449,20,,left,saccade,7.0,,,,767.908,154.053,861.5260000000003,165.68099999999995,,,
27,884449,20,,right,saccade,,7.0,,,754.0930000000003,175.65099999999995,850.485,173.378,,,
28,884473,228,3.4325692307692317,left,fixation,8.0,,870.5848620689661,195.796551724138,,,,,0.0,,
29,884473,232,3.4325692307692317,right,fixation,,8.0,857.4822542372881,158.501474576271,,,,,0.0,,
30,884705,40,,left,saccade,8.0,,,,866.034,225.845,855.143,172.325,,,
31,884709,40,,right,saccade,,8.0,,,852.791,165.357,843.909,158.434,,,
32,884845,136,3.396428571428572,right,fixation,,9.0,839.551199999999,171.79902857142898,,,,,0.0,,
33,884857,124,3.396428571428572,left,fixation,9.0,,857.99675,210.23525,,,,,1.0,3.081815779698708,5.956410496263559
34,884985,24,,left,saccade,9.0,,,,848.304,202.40599999999998,689.0010000000003,189.96900000000002,,,
35,884985,24,,right,saccade,,9.0,,,836.916,175.88400000000001,672.1560000000002,178.417,,,
36,885013,440,3.3885636363636364,left,fixation,10.0,,663.672828828829,195.21346846846905,,,,,1.0,4.216674575091386,9.109013393337412
37,885013,440,3.3885636363636364,right,fixation,,10.0,645.550081081081,174.95418018018,,,,,1.0,6.7135283652570585,23.19312012213966
38,885457,24,,left,saccade,10.0,,,,649.788,169.09900000000005,589.453,275.041,,,
39,885457,24,,right,saccade,,10.0,,,620.725,173.226,569.802,263.374,,,
40,885485,164,3.3219878048780482,left,fixation,11.0,,586.857761904762,294.7975,,,,,0.0,,
41,885485,164,3.3219878048780482,right,fixation,,11.0,568.935571428572,294.149071428571,,,,,0.0,,
42,885653,24,,left,saccade,11.0,,,,597.9069999999998,290.17,450.81,298.857,,,
43,885653,24,,right,saccade,,11.0,,,569.9730000000002,307.651,417.54,310.853,,,
44,885681,576,3.3380243055555554,right,fixation,,12.0,418.30604137931,319.858496551724,,,,,1.0,4.1891040940887585,15.24317450533191
45,885681,960,3.3152854166666668,left,fixation,12.0,,483.74843153527,314.470614107884,,,,,7.0,4.407677846382923,17.194707831606852
46,886261,20,,right,saccade,,12.0,,,412.19699999999995,317.268,518.5790000000002,320.70799999999997,,,
