,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,20126700,84,3.2444090909090906,left,fixation,1.0,,1536.79736363636,901.687045454545,,,,,0.0,,
1,20126700,84,3.2444090909090906,right,fixation,,1.0,1500.955,874.9276818181821,,,,,0.0,,
2,20126788,56,,left,saccade,1.0,,,,1533.162,907.1039999999999,568.529,214.13099999999997,,,
3,20126788,56,,right,saccade,,1.0,,,1499.767,880.132,604.721,257.814,,,
4,20126848,180,3.293411111111112,left,fixation,2.0,,584.7999347826091,230.436804347826,,,,,0.0,,
5,20126848,184,3.2931304347826096,right,fixation,,2.0,582.779765957447,234.057893617021,,,,,1.0,7.2376213192671965,10.805422203690146
6,20127032,20,,left,saccade,2.0,,,,590.906,238.25099999999998,521.4119999999998,264.699,,,
7,20127036,20,,right,saccade,,2.0,,,574.773,235.192,503.298,282.32099999999997,,,
8,20127056,164,3.2804512195121944,left,fixation,3.0,,520.456214285714,281.406619047619,,,,,1.0,4.6153493246869965,12.1826080951493
9,20127060,164,3.2800731707317072,right,fixation,,3.0,485.316238095238,301.084047619048,,,,,0.0,,
10,20127224,20,,left,saccade,3.0,,,,495.96,289.379,464.092,220.928,,,
11,20127228,24,,right,saccade,,3.0,,,478.18800000000016,301.5,451.32,199.705,,,
12,20127248,100,,left,fixation,4.0,,455.178115384615,201.929653846154,,,,,1.0,6.4347149487931725,33.95359141534223
13,20127256,92,,right,fixation,,4.0,431.19599999999997,182.797,,,,,0.0,,
14,20127352,48,,left,saccade,4.0,,,,430.309,170.34099999999995,420.166,129.933,,,
15,20127352,48,,right,saccade,,4.0,,,435.545,181.673,424.92199999999997,100.485,,,
16,20127520,492,3.3121544386985566,right,fixation,,5.0,423.17910483871003,143.043935483871,,,,,1.0,3.7029322690118,7.606560457920581
17,20127520,1380,3.3523433726767062,left,fixation,5.0,,442.82909248555,174.939179190752,,,,,5.0,5.943349040081648,29.407318260967177
18,20128016,20,,right,saccade,,5.0,,,430.892,154.38299999999995,417.603,225.778,,,
19,20128040,856,3.3721144859813084,right,fixation,,6.0,411.35795348837195,181.06546046511602,,,,,4.0,4.747278915015083,12.229418082798256
20,20128900,40,,right,saccade,,6.0,,,443.284,168.821,918.482,307.117,,,
21,20128904,36,,left,saccade,5.0,,,,474.283,165.832,934.721,281.503,,,
22,20128944,352,3.3263505747126434,left,fixation,6.0,,961.430303370786,287.110741573034,,,,,0.0,,
23,20128944,352,3.3263505747126434,right,fixation,,7.0,944.536134831461,314.88102247191,,,,,1.0,5.40959382589038,25.576990284238054
24,20129300,28,,left,saccade,6.0,,,,968.472,278.546,1186.665,304.866,,,
25,20129300,28,,right,saccade,,7.0,,,962.7739999999999,287.348,1176.894,303.45099999999996,,,
26,20129332,516,3.244868217054264,left,fixation,7.0,,1199.73833076923,291.938761538461,,,,,1.0,6.236451737789514,20.090424709298727
27,20129332,520,3.2448538461538465,right,fixation,,8.0,1187.22420610687,288.783236641221,,,,,0.0,,
28,20129852,24,,left,saccade,7.0,,,,1205.3410000000001,282.094,989.1410000000001,282.025,,,
29,20129856,24,,right,saccade,,8.0,,,1175.844,280.207,977.5110000000001,296.574,,,
30,20129880,180,3.2475666666666663,left,fixation,8.0,,984.504630434783,286.90932608695704,,,,,0.0,,
31,20129884,180,3.2476111111111106,right,fixation,,9.0,970.708565217392,302.716608695652,,,,,0.0,,
32,20130064,28,,left,saccade,8.0,,,,986.3919999999999,281.845,719.2810000000003,284.504,,,
33,20130068,28,,right,saccade,,9.0,,,963.04,306.117,697.87,319.663,,,
34,20130096,180,3.300771739130435,left,fixation,9.0,,705.0207173913043,277.802956521739,,,,,0.0,,
35,20130100,176,3.3014555555555565,right,fixation,,10.0,682.2155555555561,304.870533333333,,,,,0.0,,
36,20130280,20,,left,saccade,9.0,,,,697.8489999999997,264.752,571.765,272.806,,,
37,20130280,20,,right,saccade,,10.0,,,679.4069999999998,298.51099999999997,558.311,300.733,,,
38,20130304,76,3.3332631578947365,right,fixation,,11.0,553.87715,295.4593,,,,,0.0,,
39,20130304,80,3.333475,left,fixation,10.0,,574.667904761905,291.100238095238,,,,,0.0,,
40,20130384,44,,right,saccade,,11.0,,,553.511,289.454,1145.579,271.938,,,
41,20130388,44,,left,saccade,10.0,,,,580.115,301.39099999999996,1152.911,288.589,,,
42,20130432,104,3.3318846153846144,right,fixation,,12.0,1155.21518518519,260.200222222222,,,,,0.0,,
