,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,16228884,308,3.0994807692307687,left,fixation,1.0,,371.90975641025597,592.4216666666671,,,,,0.0,,
1,16228884,308,3.0994807692307687,right,fixation,,1.0,356.306205128205,573.861051282051,,,,,0.0,,
2,16229196,32,,right,saccade,,1.0,,,366.42199999999997,574.914,552.779,286.70799999999997,,,
3,16229196,36,,left,saccade,1.0,,,,366.17400000000004,578.116,527.945,268.522,,,
4,16229232,116,3.1370344827586205,right,fixation,,2.0,554.316733333333,274.291833333333,,,,,0.0,,
5,16229236,116,3.1373965517241373,left,fixation,2.0,,542.5217,240.350466666667,,,,,0.0,,
6,16229352,24,,right,saccade,,2.0,,,552.193,280.205,461.409,228.799,,,
7,16229356,20,,left,saccade,2.0,,,,544.143,230.04,457.116,206.083,,,
8,16229380,483,3.133633333333333,right,fixation,,3.0,420.5265,181.79858196721298,,,,,1.0,7.116888806056879,41.624390542084754
9,16229380,876,3.124029550438596,left,fixation,3.0,,429.010622727273,166.756145454545,,,,,5.0,7.425270269962787,23.259478303305308
10,16229867,12,,right,saccade,,3.0,,,417.801,180.86,472.134,181.722,,,
11,16229883,361,3.107963301282052,right,fixation,,4.0,457.056846153846,172.834758241758,,,,,1.0,7.227939544265402,24.383853366521038
12,16230248,48,,right,saccade,,4.0,,,432.716,183.137,418.957,167.125,,,
13,16230260,40,,left,saccade,3.0,,,,403.914,193.17700000000002,423.708,166.94799999999995,,,
14,16230428,1260,3.247751097438112,right,fixation,,5.0,463.214787974683,175.809525316456,,,,,5.0,5.438524505624073,15.846783339015904
15,16230432,1260,3.2478483397877222,left,fixation,4.0,,456.600212025317,140.345414556962,,,,,4.0,7.162618665026133,22.035511428456534
16,16231692,15,,right,saccade,,5.0,,,456.324,162.937,512.061,162.795,,,
17,16231696,11,,left,saccade,4.0,,,,454.342,142.162,501.657,148.572,,,
18,16231711,457,3.2436,left,fixation,5.0,,518.1204,175.63701739130403,,,,,3.0,4.886788763163324,17.365644698308014
19,16231711,457,3.2436,right,fixation,,6.0,526.046243478261,190.86916521739101,,,,,1.0,4.894770934374752,8.820586658493797
20,16232172,28,,left,saccade,5.0,,,,518.991,185.91,729.275,184.248,,,
21,16232172,28,,right,saccade,,6.0,,,524.998,202.892,729.197,208.168,,,
22,16232204,204,3.247911764705882,left,fixation,6.0,,747.4173653846159,207.827230769231,,,,,0.0,,
23,16232204,204,3.247911764705882,right,fixation,,7.0,745.2833076923082,245.95544230769198,,,,,0.0,,
24,16232412,12,,right,saccade,,7.0,,,739.868,250.512,696.322,252.99599999999998,,,
25,16232412,16,,left,saccade,6.0,,,,754.84,244.13299999999998,697.763,254.75400000000002,,,
26,16232428,76,3.227342105263157,right,fixation,,8.0,679.2721,269.14015,,,,,0.0,,
27,16232432,72,3.2274999999999987,left,fixation,7.0,,689.165368421053,264.806157894737,,,,,0.0,,
28,16232508,24,,left,saccade,7.0,,,,681.559,244.299,476.709,246.285,,,
29,16232508,28,,right,saccade,,8.0,,,675.185,283.9240000000001,477.79699999999997,286.851,,,
30,16232536,315,3.241487179487179,left,fixation,8.0,,470.6464875,239.9552625,,,,,2.0,4.701049861144502,16.227202227437775
31,16232540,315,3.241128205128205,right,fixation,,9.0,472.6076,271.842625,,,,,1.0,8.37820987575642,33.93250279599197
32,16232855,44,,left,saccade,8.0,,,,501.31199999999995,264.277,413.31,153.809,,,
33,16232859,20,,right,saccade,,9.0,,,482.73699999999997,262.127,437.98,205.285,,,
34,16232883,100,3.24626,right,fixation,,10.0,427.03134615384596,198.82315384615399,,,,,0.0,,
35,16232903,80,3.24895,left,fixation,9.0,,411.616142857143,142.95019047619,,,,,0.0,,
36,16232987,36,,right,saccade,,10.0,,,423.73,184.169,923.9810000000001,241.94400000000002,,,
37,16232987,44,,left,saccade,9.0,,,,413.4,136.93200000000002,932.341,214.732,,,
38,16233027,504,3.1541785714285715,right,fixation,,11.0,946.282929133858,280.365133858268,,,,,1.0,5.171620920412148,13.882123648779256
39,16233035,496,3.1529879032258066,left,fixation,10.0,,958.1526960000001,252.420272,,,,,1.0,7.817734326516835,24.450097504917984
40,16233535,28,,left,saccade,10.0,,,,950.025,249.373,1174.833,251.57,,,
41,16233535,28,,right,saccade,,11.0,,,934.378,290.752,1160.615,295.579,,,
42,16233567,269,3.115572463768116,left,fixation,11.0,,1194.23842647059,253.33142647058799,,,,,0.0,,
43,16233567,269,3.115572463768116,right,fixation,,12.0,1172.8165,272.57095588235296,,,,,0.0,,
44,16233840,24,,left,saccade,11.0,,,,1202.007,263.377,993.084,235.12,,,
45,16233840,28,,right,saccade,,12.0,,,1180.0710000000001,262.657,964.092,243.533,,,
46,16233868,164,3.109439024390244,left,fixation,12.0,,989.9668333333328,237.35366666666698,,,,,0.0,,
47,16233872,160,3.109125,right,fixation,,13.0,963.882365853659,252.187195121951,,,,,0.0,,
48,16234036,36,,right,saccade,,13.0,,,957.133,248.28099999999998,447.50699999999995,361.704,,,
49,16234036,40,,left,saccade,12.0,,,,989.2189999999999,229.233,473.531,353.37699999999984,,,
50,16234076,307,3.1373223684210534,right,fixation,,14.0,428.7596538461541,373.67071794871805,,,,,1.0,4.502297499919105,11.324599772177331
51,16234080,303,3.1376266666666663,left,fixation,13.0,,417.140883116883,358.936363636364,,,,,1.0,9.096754940331431,50.52852827858731
52,16234387,16,,right,saccade,,14.0,,,427.51099999999997,372.755,501.44699999999995,372.755,,,
53,16234387,20,,left,saccade,13.0,,,,406.815,350.652,502.42199999999997,353.858,,,
54,16234407,540,3.1147222222222224,right,fixation,,15.0,512.874529411765,380.278926470588,,,,,0.0,,
55,16234411,536,3.1145597014925372,left,fixation,14.0,,522.307481481481,378.642444444444,,,,,2.0,5.523496488821862,14.118579198285415
56,16234951,20,,left,saccade,14.0,,,,532.641,389.92900000000003,514.8580000000002,461.41900000000004,,,
57,16234951,20,,right,saccade,,15.0,,,518.87,382.005,474.61199999999997,463.26199999999994,,,
58,16234975,196,3.0819591836734697,left,fixation,15.0,,480.22475999999995,461.4579,,,,,2.0,6.888889464225737,18.454810673513176
59,16234975,196,3.0819591836734697,right,fixation,,16.0,471.03124,470.7194,,,,,0.0,,
60,16235175,28,,left,saccade,15.0,,,,459.004,427.176,707.887,440.913,,,
61,16235175,28,,right,saccade,,16.0,,,484.69,462.88,706.291,455.504,,,
62,16235207,332,3.0420000000000003,left,fixation,16.0,,732.465428571429,463.918130952381,,,,,0.0,,
63,16235207,336,3.0419702380952383,right,fixation,,17.0,718.326870588235,453.637223529412,,,,,0.0,,
64,16235543,28,,left,saccade,16.0,,,,729.4739999999997,465.327,549.395,404.81199999999995,,,
65,16235547,24,,right,saccade,,17.0,,,706.655,440.473,539.322,405.725,,,
66,16235575,788,3.085687817258884,left,fixation,17.0,,523.668823232323,383.841929292929,,,,,1.0,7.320985866367701,27.2430080754677
67,16235575,1192,3.0833942953020133,right,fixation,,18.0,491.596806020067,380.39660535117,,,,,4.0,6.453878331153655,19.277211323085783
68,16236367,12,,left,saccade,17.0,,,,507.154,388.485,454.881,388.37300000000016,,,
69,16236383,380,3.0786842105263164,left,fixation,18.0,,442.4270625,362.547104166667,,,,,0.0,,
70,16236767,12,,left,saccade,18.0,,,,450.48,381.156,392.44800000000004,385.494,,,
71,16236771,4,,right,saccade,,18.0,,,437.458,382.186,411.092,381.765,,,
72,16236779,496,3.1175887096774195,right,fixation,,19.0,426.080856,375.880912,,,,,2.0,6.442432724142012,21.2423373602654
73,16236783,496,3.1181209677419357,left,fixation,19.0,,418.83076,357.859296,,,,,2.0,9.457025379377153,33.464215287495215
74,16237279,16,,right,saccade,,19.0,,,440.32199999999995,369.616,516.59,372.25300000000004,,,
75,16237283,12,,left,saccade,19.0,,,,455.324,349.87,506.76599999999996,351.95,,,
76,16237299,376,3.112372340425532,left,fixation,20.0,,518.701978947368,354.057663157895,,,,,0.0,,
77,16237299,376,3.112372340425532,right,fixation,,20.0,515.773778947368,378.90267368420996,,,,,0.0,,
78,16237679,24,,right,saccade,,20.0,,,516.15,383.07300000000004,694.716,397.38800000000003,,,
79,16237679,32,,left,saccade,20.0,,,,519.867,344.926,700.6060000000001,442.815,,,
80,16237707,728,3.0289203296703304,right,fixation,,21.0,713.27593442623,447.365475409836,,,,,0.0,,
