,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2099649,176,3.6004488636363634,left,fixation,1.0,,660.065666666667,201.91475555555598,,,,,0.0,,
1,2099649,180,3.60035,right,fixation,,1.0,649.346347826087,201.300347826087,,,,,0.0,,
2,2099829,28,,left,saccade,1.0,,,,669.9760000000001,201.174,455.279,201.669,,,
3,2099833,32,,right,saccade,,1.0,,,645.172,214.1,433.439,199.037,,,
4,2099861,528,3.637511278195489,left,fixation,2.0,,426.2756240601509,188.59257894736805,,,,,4.0,5.391063688830247,16.749701986618447
5,2099869,516,3.637592307692308,right,fixation,,2.0,411.5047230769229,178.223030769231,,,,,3.0,3.533349807045642,11.741236090639706
6,2100389,40,,right,saccade,,2.0,,,381.35400000000004,182.86900000000003,683.0989999999998,285.751,,,
7,2100393,40,,left,saccade,2.0,,,,407.869,201.233,701.7389999999997,315.757,,,
8,2100433,480,3.886595833333333,right,fixation,,3.0,705.470719008264,316.59159504132197,,,,,2.0,4.121167236617563,8.782780189033751
9,2100437,476,3.888046218487393,left,fixation,3.0,,719.345408333334,334.165375,,,,,2.0,5.839363177567662,20.205861658496982
10,2100917,36,,right,saccade,,3.0,,,714.443,323.089,1149.911,321.214,,,
11,2100917,40,,left,saccade,3.0,,,,733.211,329.38199999999995,1153.353,314.83299999999997,,,
12,2100957,224,4.001973214285714,right,fixation,,4.0,1163.44014035088,328.758245614035,,,,,1.0,2.9952815347178974,8.630016512150949
13,2100961,220,4.001363636363637,left,fixation,4.0,,1186.58946428571,318.669285714286,,,,,1.0,7.472901334897387,26.161684445004678
14,2101185,40,,left,saccade,4.0,,,,1191.34,318.053,803.5939999999997,289.699,,,
15,2101185,40,,right,saccade,,4.0,,,1156.432,333.213,778.793,301.195,,,
16,2101229,236,3.97335,left,fixation,5.0,,766.523866666667,269.06385,,,,,3.0,8.224678313270472,18.9765501676426
17,2101229,236,3.97335,right,fixation,,5.0,751.24125,287.05055,,,,,3.0,4.993220546584998,16.280370199220776
18,2101469,32,,left,saccade,5.0,,,,729.217,261.592,463.975,168.047,,,
19,2101469,32,,right,saccade,,5.0,,,716.914,277.233,451.733,209.25599999999997,,,
20,2101505,387,4.018953125,left,fixation,6.0,,440.517979591837,157.288071428571,,,,,1.0,3.797210032086439,19.94709612951217
21,2101505,391,4.019170103092784,right,fixation,,6.0,423.62273737373704,183.815464646465,,,,,3.0,5.046517574879898,12.795416185781582
22,2101896,32,,left,saccade,6.0,,,,444.398,175.084,626.508,394.82300000000004,,,
23,2101900,28,,right,saccade,,6.0,,,430.898,199.433,613.809,397.87,,,
24,2101932,104,4.12551923076923,left,fixation,7.0,,646.132962962963,411.820777777778,,,,,1.0,6.738760078003142,15.754777307217026
