,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,21467719,12,3.588875,left,fixation,1.0,,1515.639,771.5189999999999,,,,,0.0,,
1,21467719,16,3.58853125,right,fixation,,1.0,1497.1244,772.4910000000001,,,,,0.0,,
2,21467735,60,,left,saccade,1.0,,,,1515.639,771.5189999999999,544.1419999999998,273.67900000000003,,,
3,21467739,56,,right,saccade,,1.0,,,1496.726,769.217,548.077,310.78,,,
4,21467799,260,3.6302923076923066,left,fixation,2.0,,536.187560606061,252.001984848485,,,,,0.0,,
5,21467799,260,3.6302923076923066,right,fixation,,2.0,522.5093030303029,300.576712121212,,,,,0.0,,
6,21468063,20,,right,saccade,,2.0,,,508.405,302.168,456.577,223.954,,,
7,21468063,24,,left,saccade,2.0,,,,531.266,254.82,470.941,176.622,,,
8,21468087,276,3.7175362318840577,right,fixation,,3.0,434.99578571428594,213.2608,,,,,0.0,,
9,21468091,284,3.7173098591549287,left,fixation,3.0,,447.188236111111,168.741083333333,,,,,0.0,,
10,21468367,12,,right,saccade,,3.0,,,440.783,221.019,488.55300000000005,215.571,,,
11,21468379,0,,left,saccade,3.0,,,,480.43199999999996,178.80900000000003,480.43199999999996,178.80900000000003,,,
12,21468383,124,3.7129375,left,fixation,4.0,,524.0206875,169.30578125,,,,,1.0,6.115608627838165,15.912400478871785
13,21468383,132,3.7129375,right,fixation,,4.0,501.06094117647,204.328735294118,,,,,0.0,,
14,21468511,60,,left,saccade,4.0,,,,524.216,170.93900000000005,605.957,84.677,,,
15,21468519,48,,right,saccade,,4.0,,,502.976,207.91099999999997,615.52,132.921,,,
16,21468631,336,3.6308349514563107,right,fixation,,5.0,624.311847058824,197.070647058824,,,,,1.0,8.387467756189059,52.46838348948822
17,21468667,312,3.6299908256880737,left,fixation,5.0,,646.85164556962,163.100696202532,,,,,1.0,7.576463006868338,29.059414051215853
18,21468971,20,,right,saccade,,5.0,,,620.323,214.28099999999998,705.33,210.442,,,
19,21468983,4,,left,saccade,5.0,,,,696.206,169.31799999999996,704.5089999999999,168.833,,,
