,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2697975,264,3.786470149253732,left,fixation,1.0,,843.683089552238,446.609074626866,,,,,0.0,,
1,2697975,264,3.786470149253732,right,fixation,,1.0,848.80976119403,429.757343283582,,,,,1.0,2.540575137203712,8.767975364928793
2,2698243,32,,left,saccade,1.0,,,,838.6519999999997,443.366,587.351,709.2510000000003,,,
3,2698243,36,,right,saccade,,1.0,,,835.058,435.651,568.56,746.561,,,
4,2698279,112,3.825214285714286,left,fixation,2.0,,566.181206896552,721.306551724138,,,,,2.0,1.7576708124059568,4.125746534132598
5,2698283,112,3.8251428571428567,right,fixation,,2.0,563.2462068965519,763.301551724138,,,,,0.0,,
6,2698395,28,,left,saccade,2.0,,,,554.185,722.51,443.54699999999997,869.28,,,
7,2698399,24,,right,saccade,,2.0,,,567.415,770.365,409.974,879.525,,,
8,2698427,156,3.813884615384616,right,fixation,,3.0,414.11285,887.884325,,,,,0.0,,
9,2698427,160,3.8141625,left,fixation,3.0,,421.129024390244,875.24387804878,,,,,2.0,3.507573369734696,9.637232526123961
10,2698587,60,,right,saccade,,3.0,,,415.342,887.6030000000003,1488.568,850.6239999999997,,,
11,2698591,56,,left,saccade,3.0,,,,409.94699999999995,877.4580000000003,1498.918,842.985,,,
12,2698651,196,3.800989795918368,left,fixation,4.0,,1505.21626,815.75936,,,,,0.0,,
13,2698651,200,3.8005300000000006,right,fixation,,4.0,1496.05419607843,831.472352941176,,,,,1.0,3.1248952204655738,9.100173899437431
14,2698851,60,,left,saccade,4.0,,,,1508.08,812.49,522.1709999999998,366.973,,,
15,2698855,60,,right,saccade,,4.0,,,1482.457,837.5269999999997,515.619,374.153,,,
16,2698915,144,3.7612222222222216,left,fixation,5.0,,505.382108108108,349.157810810811,,,,,2.0,2.2050271205061334,1.997248266659173
17,2698919,140,3.7609285714285714,right,fixation,,5.0,497.305444444445,346.730611111111,,,,,4.0,3.3820361243340673,13.630053276559186
18,2699063,24,,left,saccade,5.0,,,,503.60900000000004,336.142,478.963,229.44799999999998,,,
19,2699063,24,,right,saccade,,5.0,,,498.18199999999996,347.621,472.224,213.297,,,
20,2699091,320,3.7335875,left,fixation,6.0,,460.75895061728403,188.73987654321,,,,,0.0,,
21,2699091,320,3.7335875,right,fixation,,6.0,446.84487654321,184.330888888889,,,,,1.0,2.081149588835722,3.9899516287794667
22,2699415,24,,left,saccade,6.0,,,,458.98699999999997,174.669,617.558,164.546,,,
23,2699415,24,,right,saccade,,6.0,,,436.19300000000004,180.78900000000002,620.038,178.57,,,
24,2699443,208,3.6754326923076923,right,fixation,,7.0,625.552433962264,176.499830188679,,,,,0.0,,
25,2699443,212,3.675537735849056,left,fixation,7.0,,626.237666666667,168.962203703704,,,,,1.0,1.847092444898233,2.8714108030722505
26,2699655,48,,right,saccade,,7.0,,,625.57,174.43900000000005,1277.005,184.174,,,
27,2699659,44,,left,saccade,7.0,,,,635.866,179.512,1291.3,153.341,,,
28,2699707,132,3.704621212121213,left,fixation,8.0,,1305.3760588235302,156.331558823529,,,,,1.0,4.267031917959929,13.026898518066382
29,2699707,132,3.704621212121213,right,fixation,,8.0,1299.0153823529402,165.333029411765,,,,,2.0,3.2604043596442294,11.58851807029212
30,2699843,12,,right,saccade,,8.0,,,1311.83,154.447,1330.401,110.34299999999999,,,
31,2699843,16,,left,saccade,8.0,,,,1321.441,146.095,1344.85,96.73100000000001,,,
32,2699859,100,3.7436,right,fixation,,9.0,1347.35323076923,88.9176538461538,,,,,1.0,3.126729676870469,6.097071838185882
33,2699863,96,3.744229166666667,left,fixation,9.0,,1349.0018,90.45404,,,,,1.0,3.6909382464204006,6.799768010748613
34,2699963,32,,left,saccade,9.0,,,,1349.6229999999996,76.449,1012.54,68.986,,,
35,2699963,36,,right,saccade,,9.0,,,1347.274,82.08,996.545,53.36600000000001,,,
36,2699999,200,3.76243,left,fixation,10.0,,998.8403725490199,54.5047647058823,,,,,0.0,,
37,2700003,196,3.7625102040816327,right,fixation,,10.0,983.074519999999,48.85472,,,,,0.0,,
38,2700203,40,,left,saccade,10.0,,,,993.205,62.226000000000006,519.4159999999998,182.34599999999998,,,
39,2700203,44,,right,saccade,,10.0,,,980.262,49.96100000000001,490.212,147.472,,,
