,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,13852298,156,3.07268125,left,fixation,1.0,,397.8792,778.75925,,,,,0.0,,
1,13852298,156,3.07268125,right,fixation,,1.0,414.901575,776.566225,,,,,0.0,,
2,13852458,36,,left,saccade,1.0,,,,406.51199999999994,789.6419999999997,561.8340000000002,382.87800000000004,,,
3,13852458,36,,right,saccade,,1.0,,,407.606,770.6210000000003,584.361,347.289,,,
4,13852498,172,3.0263720930232565,left,fixation,2.0,,576.932431818182,354.652863636364,,,,,0.0,,
5,13852498,172,3.0263720930232565,right,fixation,,2.0,593.191136363636,339.782,,,,,1.0,4.112000124972978,7.589558221662214
6,13852674,24,,left,saccade,2.0,,,,577.859,347.961,474.56,177.05200000000005,,,
7,13852674,24,,right,saccade,,2.0,,,594.762,346.858,495.384,170.965,,,
8,13852702,440,3.0131318181818187,left,fixation,3.0,,455.02400900900886,163.059531531532,,,,,0.0,,
9,13852702,2548,2.987072998430141,right,fixation,,3.0,481.6267868338549,155.682669278997,,,,,17.0,7.824635313837144,21.833335593948146
10,13853146,8,,left,saccade,3.0,,,,437.10400000000004,139.416,421.879,139.42700000000002,,,
11,13853158,272,2.9424999999999994,left,fixation,4.0,,381.071420289855,152.001492753623,,,,,0.0,,
12,13853434,20,,left,saccade,4.0,,,,381.74199999999996,163.66899999999995,457.605,169.68,,,
13,13853458,1792,2.9885055803571428,left,fixation,5.0,,508.078614699332,150.747870824053,,,,,5.0,9.352691042877543,28.832123443124978
14,13855254,24,,left,saccade,5.0,,,,579.351,141.33100000000005,483.406,199.262,,,
15,13855254,24,,right,saccade,,3.0,,,598.9830000000002,167.794,518.82,245.928,,,
16,13855282,835,3.0432716346153845,left,fixation,6.0,,477.694680952382,255.04409523809503,,,,,0.0,,
17,13855282,843,3.04234761904762,right,fixation,,4.0,484.892033018868,256.162466981132,,,,,1.0,6.656902117768854,26.03207139280315
18,13856121,20,,left,saccade,6.0,,,,473.465,263.758,466.10699999999997,184.53799999999998,,,
19,13856129,12,,right,saccade,,4.0,,,490.879,245.952,490.722,191.91,,,
20,13856145,521,2.954977099236641,right,fixation,,5.0,482.75869465648805,162.529610687023,,,,,1.0,14.776982702086991,39.91097257647325
21,13856145,525,2.9551060606060613,left,fixation,7.0,,474.913303030303,158.16978030303002,,,,,3.0,7.348722691156733,22.232592684984045
22,13856670,20,,right,saccade,,5.0,,,511.27,149.269,489.348,235.423,,,
23,13856674,16,,left,saccade,7.0,,,,495.49199999999996,167.605,488.26599999999996,234.25,,,
24,13856694,771,2.9757135416666665,left,fixation,8.0,,482.904067010309,257.36182474226797,,,,,0.0,,
25,13856694,771,2.9757135416666665,right,fixation,,6.0,488.35657731958804,259.800355670103,,,,,0.0,,
26,13857469,44,,left,saccade,8.0,,,,470.26199999999994,248.676,963.835,231.49,,,
27,13857469,44,,right,saccade,,6.0,,,467.00300000000004,281.119,1003.2439999999999,225.831,,,
28,13857517,628,2.9428057324840764,left,fixation,9.0,,967.5002468354428,228.461873417721,,,,,1.0,7.518016774537176,24.46989366548211
29,13857517,628,2.9428057324840764,right,fixation,,7.0,979.5871455696199,229.780164556962,,,,,1.0,11.068988034644814,34.91994135161166
30,13858149,36,,left,saccade,9.0,,,,950.1,214.231,1293.892,247.649,,,
31,13858149,36,,right,saccade,,7.0,,,977.0369999999999,243.342,1347.4279999999999,229.84799999999998,,,
32,13858189,124,2.9769354838709665,right,fixation,,8.0,1355.52353125,219.161625,,,,,0.0,,
33,13858189,284,2.9645352112676053,left,fixation,10.0,,1360.3860972222199,243.335597222222,,,,,2.0,11.431989762378766,35.423883229121586
34,13858317,12,,right,saccade,,8.0,,,1358.844,219.86900000000003,1422.236,227.23,,,
35,13858333,140,2.9539857142857144,right,fixation,,9.0,1434.7165833333304,231.30108333333303,,,,,0.0,,
36,13858477,20,,left,saccade,10.0,,,,1394.75,256.457,1211.779,257.828,,,
37,13858477,24,,right,saccade,,9.0,,,1433.5520000000001,230.343,1215.5639999999999,231.489,,,
38,13858501,588,2.9856334459459464,left,fixation,11.0,,1199.6544527027002,240.403141891892,,,,,0.0,,
39,13858505,588,2.9857989864864867,right,fixation,,10.0,1197.49214864865,250.41608783783798,,,,,0.0,,
40,13859093,52,,left,saccade,11.0,,,,1200.607,244.125,485.353,249.31,,,
41,13859097,48,,right,saccade,,10.0,,,1188.508,269.493,513.351,259.349,,,
42,13859149,308,3.029285714285715,left,fixation,12.0,,483.539179487179,246.513269230769,,,,,0.0,,
43,13859149,312,3.02949358974359,right,fixation,,11.0,470.9114430379741,260.614316455696,,,,,0.0,,
44,13859461,20,,left,saccade,12.0,,,,464.981,250.831,472.92699999999996,168.69299999999996,,,
45,13859465,20,,right,saccade,,11.0,,,483.02,253.89,497.10699999999997,151.387,,,
46,13859485,372,3.07991935483871,left,fixation,13.0,,514.734563829787,145.494521276596,,,,,1.0,7.407565736386607,19.88212327695407
47,13859489,1020,3.0569176470588237,right,fixation,,12.0,455.05992578125,161.6191015625,,,,,3.0,8.998816749124996,30.884302968043123
48,13859861,16,,left,saccade,13.0,,,,524.969,151.955,451.236,149.329,,,
49,13859881,628,3.0422770700636943,left,fixation,14.0,,426.7673860759491,145.666582278481,,,,,0.0,,
50,13860513,24,,left,saccade,14.0,,,,392.665,160.43200000000004,421.76,334.702,,,
51,13860513,24,,right,saccade,,12.0,,,371.952,154.914,408.611,376.2,,,
52,13860541,2296,2.870535114566962,left,fixation,15.0,,431.631968695652,373.764175652174,,,,,3.0,11.514206758237536,36.41315365750118
53,13860541,2296,2.870535114566962,right,fixation,,13.0,422.076132173913,395.989624347826,,,,,9.0,6.826622333111943,20.19555589928937
54,13862841,64,,left,saccade,15.0,,,,493.35699999999997,386.465,484.213,363.577,,,
55,13862841,72,,right,saccade,,13.0,,,493.57099999999997,393.62699999999995,522.4159999999998,367.019,,,
56,13862989,228,3.013,left,fixation,16.0,,508.5379310344831,359.9250344827591,,,,,2.0,6.8526649510704685,16.55788461249698
57,13862997,224,3.013,right,fixation,,14.0,503.580421052632,372.694192982456,,,,,0.0,,
