,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2669110,4,,left,saccade,1.0,,,,712.176,203.295,712.176,234.21900000000002,,,
1,2669110,208,3.2018915094339624,right,fixation,,1.0,699.2556226415089,257.96916981132097,,,,,0.0,,
2,2669118,200,3.2041813725490202,left,fixation,1.0,,711.9171568627451,253.963039215686,,,,,0.0,,
3,2669322,24,,left,saccade,2.0,,,,709.0160000000003,260.885,486.55400000000003,238.028,,,
4,2669322,24,,right,saccade,,1.0,,,700.337,278.584,468.63699999999994,242.217,,,
5,2669350,72,,left,fixation,2.0,,485.25800000000004,228.002789473684,,,,,0.0,,
6,2669350,72,,right,fixation,,2.0,468.364684210526,222.895210526316,,,,,0.0,,
7,2669426,44,,left,saccade,3.0,,,,478.684,218.64,449.602,143.377,,,
8,2669426,40,,right,saccade,,2.0,,,458.843,203.84,431.22,139.678,,,
9,2669566,936,3.2501183474955275,right,fixation,,3.0,425.60547234042605,192.72757446808498,,,,,3.0,10.238376473562608,31.380689223151933
10,2669574,924,3.249862880575217,left,fixation,3.0,,425.23714655172404,169.404918103448,,,,,5.0,7.577593448077988,20.584177989966236
11,2670502,20,,left,saccade,4.0,,,,426.2,165.188,446.181,296.043,,,
12,2670506,24,,right,saccade,,3.0,,,432.903,176.13099999999997,476.209,302.381,,,
13,2670526,156,3.27248717948718,left,fixation,4.0,,474.8912,298.774175,,,,,1.0,2.7660092592437597,7.136936177380374
14,2670534,148,3.2721351351351355,right,fixation,,4.0,502.80994736842086,310.419894736842,,,,,0.0,,
15,2670686,24,,right,saccade,,4.0,,,494.37199999999996,309.087,719.306,299.357,,,
16,2670686,28,,left,saccade,5.0,,,,477.01099999999997,295.913,703.941,302.031,,,
17,2670714,384,3.2399635416666666,right,fixation,,5.0,718.869793814433,305.317371134021,,,,,0.0,,
18,2670718,380,3.2396421052631577,left,fixation,5.0,,720.309083333333,321.02053125,,,,,1.0,3.7381470305784332,10.142091155180905
19,2671102,32,,left,saccade,6.0,,,,719.4580000000003,288.9290000000001,1139.603,307.687,,,
20,2671102,32,,right,saccade,,5.0,,,712.17,312.655,1160.604,312.725,,,
21,2671138,244,3.20522131147541,left,fixation,6.0,,1171.43011290323,306.099596774193,,,,,1.0,6.379121787344857,23.911205009367514
22,2671138,244,3.20522131147541,right,fixation,,6.0,1175.18469354839,326.305887096774,,,,,1.0,6.687382900324723,11.5523722672012
23,2671386,28,,left,saccade,7.0,,,,1178.07,303.895,1466.1870000000001,319.14,,,
24,2671386,28,,right,saccade,,6.0,,,1175.738,308.256,1471.674,342.926,,,
25,2671418,232,3.2281637931034486,left,fixation,7.0,,1456.7449661016901,305.645237288136,,,,,3.0,5.832622683116338,27.470645637149268
26,2671418,232,3.2281637931034486,right,fixation,,7.0,1452.9833559322,331.389372881356,,,,,3.0,7.828452553938245,20.67950258582145
27,2671654,40,,left,saccade,8.0,,,,1417.491,297.311,784.4789999999997,296.74,,,
28,2671654,44,,right,saccade,,7.0,,,1423.531,331.58,793.05,299.15,,,
29,2671698,516,3.24381007751938,left,fixation,8.0,,740.677953846154,294.471292307693,,,,,4.0,6.273477337621192,27.604883522475408
30,2671702,512,3.2440390625,right,fixation,,8.0,724.057643410853,314.965837209302,,,,,2.0,6.611235508188517,22.270590975979268
31,2672218,28,,left,saccade,9.0,,,,727.288,330.89,513.675,353.19800000000015,,,
32,2672218,36,,right,saccade,,8.0,,,703.4939999999997,295.178,517.646,359.244,,,
33,2672250,128,3.3089375,left,fixation,9.0,,496.395363636364,368.479333333333,,,,,1.0,4.2713558379564205,8.710037715188115
34,2672258,120,3.308966666666667,right,fixation,,9.0,515.063806451613,375.29583870967696,,,,,0.0,,
35,2672382,16,,left,saccade,10.0,,,,487.426,369.17900000000003,459.936,423.588,,,
36,2672382,16,,right,saccade,,9.0,,,498.275,360.569,433.075,379.082,,,
37,2672402,152,3.3198589743589744,left,fixation,10.0,,437.271923076923,429.12699999999995,,,,,0.0,,
38,2672402,152,3.3198589743589744,right,fixation,,10.0,427.54217948717996,414.8171025641031,,,,,1.0,5.657209483383901,10.731392127771631
39,2672558,28,,right,saccade,,10.0,,,423.236,419.986,709.564,308.466,,,
40,2672558,36,,left,saccade,11.0,,,,438.78,423.727,710.305,306.107,,,
41,2672590,216,3.3925185185185183,right,fixation,,11.0,723.893072727273,297.313418181818,,,,,0.0,,
42,2672598,204,3.3938431372549016,left,fixation,11.0,,739.521230769231,273.854807692308,,,,,1.0,5.418348338951867,16.06469576431506
43,2672806,28,,left,saccade,12.0,,,,753.908,277.789,432.35,456.236,,,
44,2672810,28,,right,saccade,,11.0,,,726.695,292.033,446.62199999999996,439.57099999999997,,,
45,2672838,416,3.3398056659108084,left,fixation,12.0,,413.81616190476194,436.45180952380895,,,,,2.0,6.042378314994718,18.548372676982197
46,2672842,404,3.3393976343690626,right,fixation,,12.0,425.230754901961,442.578852941177,,,,,0.0,,
47,2673250,68,,right,saccade,,12.0,,,408.481,403.01,377.1,311.981,,,
48,2673258,44,,left,saccade,13.0,,,,394.65,398.934,365.81699999999995,353.76199999999994,,,
49,2673350,44,,left,fixation,13.0,,382.59975,386.4766666666671,,,,,2.0,10.935523567990858,20.163046346559568
50,2673378,8,,right,fixation,,13.0,384.745,311.981,,,,,0.0,,
51,2673390,12,,right,saccade,,13.0,,,386.82800000000003,339.8830000000001,391.244,364.95099999999996,,,
52,2673398,0,,left,saccade,14.0,,,,405.142,419.167,405.142,419.167,,,
53,2673402,64,,left,fixation,14.0,,410.98358823529406,456.155529411765,,,,,0.0,,
54,2673406,56,,right,fixation,,14.0,384.467533333333,407.9356666666671,,,,,0.0,,
55,2673466,60,,right,saccade,,14.0,,,377.155,418.56300000000016,447.24,388.39300000000003,,,
56,2673470,40,,left,saccade,15.0,,,,410.129,457.54400000000004,417.281,393.966,,,
57,2673602,164,3.2503529411764704,left,fixation,15.0,,452.5003809523809,432.57223809523805,,,,,1.0,6.674668539419107,24.241773944990147
58,2673622,148,3.2511944444444443,right,fixation,,15.0,474.896947368421,452.53410526315804,,,,,0.0,,
59,2673770,24,,left,saccade,16.0,,,,454.09,437.50800000000004,486.996,562.96,,,
60,2673774,24,,right,saccade,,15.0,,,471.901,442.875,483.62300000000016,566.96,,,
61,2673798,172,3.2105581395348834,left,fixation,16.0,,517.875522727273,578.964045454546,,,,,1.0,3.2296288486450018,10.584185278045792
62,2673802,164,3.210768292682926,right,fixation,,16.0,502.9806428571431,580.4248809523809,,,,,0.0,,
63,2673970,24,,right,saccade,,16.0,,,514.12,606.016,692.745,613.591,,,
64,2673974,20,,left,saccade,17.0,,,,525.235,587.372,685.3789999999998,592.618,,,
65,2673998,120,3.14765,left,fixation,17.0,,697.043677419355,593.1103870967739,,,,,0.0,,
66,2673998,120,3.14765,right,fixation,,17.0,688.995,602.345483870968,,,,,0.0,,
67,2674122,24,,right,saccade,,17.0,,,699.7689999999999,607.4730000000002,951.164,609.047,,,
68,2674122,28,,left,saccade,18.0,,,,701.137,596.47,958.8610000000001,593.761,,,
69,2674150,520,3.085265384615385,right,fixation,,18.0,961.909030534351,558.820076335877,,,,,1.0,6.575540512214798,15.003712373942712
70,2674154,520,3.0850692307692307,left,fixation,18.0,,968.241312977099,555.0602442748091,,,,,0.0,,
71,2674674,24,,right,saccade,,18.0,,,968.2869999999999,520.34,1178.267,516.737,,,
72,2674678,20,,left,saccade,19.0,,,,981.7669999999999,511.542,1175.933,520.761,,,
73,2674702,252,3.0793412698412697,left,fixation,19.0,,1185.947765625,552.69521875,,,,,0.0,,
74,2674702,252,3.0793412698412697,right,fixation,,19.0,1192.419578125,505.284484375,,,,,0.0,,
75,2674958,24,,right,saccade,,19.0,,,1201.364,515.97,964.99,525.202,,,
76,2674958,28,,left,saccade,20.0,,,,1170.15,570.133,953.817,526.501,,,
77,2674986,960,3.1648195020746885,right,fixation,,20.0,961.2655975103728,508.687016597511,,,,,1.0,4.977898362874755,14.32215081613091
78,2674990,956,3.16505625,left,fixation,20.0,,969.4688875,525.2632125,,,,,5.0,5.144997452576535,12.590951454211481
79,2675950,36,,left,saccade,21.0,,,,968.21,507.436,468.745,663.924,,,
80,2675950,36,,right,saccade,,20.0,,,961.5989999999999,497.852,450.91900000000004,628.561,,,
81,2675990,856,3.1461565420560738,left,fixation,21.0,,450.990990697674,699.747032558139,,,,,6.0,4.18439208635419,13.365917899937765
82,2675990,856,3.1461565420560738,right,fixation,,21.0,422.252079069767,678.560725581395,,,,,3.0,6.719946469251893,20.86637856812855
83,2676850,20,,left,saccade,22.0,,,,463.12,686.12,471.455,834.577,,,
84,2676850,20,,right,saccade,,21.0,,,421.279,660.072,440.426,847.252,,,
85,2676874,171,3.165261904761904,left,fixation,22.0,,502.068386363636,830.6597045454539,,,,,1.0,3.1239351296793063,9.145359150957411
86,2676874,171,3.165261904761904,right,fixation,,22.0,464.063954545454,869.866931818182,,,,,0.0,,
87,2677049,20,,right,saccade,,22.0,,,469.295,885.467,719.668,883.072,,,
88,2677049,24,,left,saccade,23.0,,,,503.783,843.047,705.872,850.1289999999997,,,
89,2677073,300,3.204533333333334,right,fixation,,23.0,720.782644736842,867.994105263158,,,,,0.0,,
90,2677077,296,3.204851351351352,left,fixation,23.0,,726.2692400000003,866.3498,,,,,1.0,4.839719932783087,9.540265457522619
91,2677377,20,,left,saccade,24.0,,,,729.363,864.447,730.41,801.456,,,
92,2677377,20,,right,saccade,,23.0,,,717.113,861.755,725.546,709.087,,,
93,2677401,916,3.1713836956521737,left,fixation,24.0,,723.6000565217403,800.9807913043469,,,,,5.0,4.760240060498333,11.264651234891467
94,2677401,916,3.1713836956521737,right,fixation,,24.0,736.920195652174,790.8837478260872,,,,,1.0,5.175543857627145,16.22291767839573
95,2678321,24,,right,saccade,,24.0,,,738.0110000000003,807.0269999999997,893.567,810.8610000000001,,,
96,2678321,28,,left,saccade,25.0,,,,711.038,808.8439999999997,926.449,808.957,,,
97,2678349,248,3.2190161290322585,right,fixation,,25.0,935.082047619048,829.989380952381,,,,,2.0,5.8919932332489635,15.94746812501694
98,2678353,136,3.223205882352941,left,fixation,25.0,,931.9630571428572,819.7634571428571,,,,,2.0,7.911884199292589,16.102425171064507
99,2678493,20,,left,saccade,26.0,,,,930.049,817.435,999.3560000000001,827.443,,,
100,2678517,84,3.2066428571428567,left,fixation,26.0,,1008.9155,842.842363636364,,,,,0.0,,
101,2678601,28,,right,saccade,,25.0,,,969.063,862.956,1183.746,876.058,,,
102,2678605,24,,left,saccade,27.0,,,,1016.462,849.222,1224.617,846.263,,,
103,2678633,196,3.1888979591836737,left,fixation,27.0,,1230.65056,854.2882800000001,,,,,3.0,5.42834936190922,27.61768779670113
104,2678633,196,3.1888979591836737,right,fixation,,26.0,1211.6077400000001,840.6239400000003,,,,,2.0,10.333869624364974,20.8827069942339
105,2678833,20,,right,saccade,,26.0,,,1209.616,842.097,1413.556,862.1460000000003,,,
106,2678833,24,,left,saccade,28.0,,,,1231.374,855.347,1436.731,857.069,,,
107,2678857,244,3.141803278688524,right,fixation,,27.0,1428.38693548387,845.5312903225812,,,,,1.0,7.665611566890442,10.339586548794056
108,2678861,240,3.140833333333333,left,fixation,28.0,,1453.2762295082,851.5008032786881,,,,,2.0,3.935410209868831,15.663403340230268
109,2679105,20,,left,saccade,29.0,,,,1457.3829999999994,842.077,1510.234,906.1060000000001,,,
110,2679105,20,,right,saccade,,27.0,,,1446.651,839.819,1517.289,921.98,,,
111,2679129,744,3.160322368421053,left,fixation,29.0,,1538.4383262032095,921.801459893048,,,,,4.0,3.850835599794937,9.887509418563726
112,2679129,744,3.160322368421053,right,fixation,,28.0,1527.57971122995,941.452823529412,,,,,7.0,133.20568186562363,274.0842091417402
