,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,9718450,60,3.49534375,left,fixation,1.0,,578.18725,151.1831875,,,,,0.0,,
1,9718450,60,3.49534375,right,fixation,,1.0,585.9680000000002,115.958125,,,,,0.0,,
2,9718514,20,,right,saccade,,1.0,,,583.078,118.28,447.037,112.43700000000001,,,
3,9718514,24,,left,saccade,1.0,,,,579.851,146.222,420.48,136.256,,,
4,9718538,388,3.51919587628866,right,fixation,,2.0,420.523428571428,95.25745918367348,,,,,2.0,7.2640072801756705,31.51653014601786
5,9718542,392,3.5188367346938776,left,fixation,2.0,,405.558494949495,134.728747474747,,,,,1.0,8.472116561271891,32.034034916007684
6,9718930,24,,right,saccade,,2.0,,,389.496,94.03200000000001,412.543,207.18400000000003,,,
7,9718938,16,,left,saccade,2.0,,,,402.066,164.88400000000001,420.649,225.683,,,
8,9718958,116,3.5331501831501835,left,fixation,3.0,,431.961566666667,236.88166666666697,,,,,1.0,7.1005301543069566,16.11198240440949
9,9718958,120,3.5331501831501835,right,fixation,,3.0,449.48377419354796,230.44483870967701,,,,,2.0,6.698076130205959,16.673770178949507
10,9719078,40,,left,saccade,3.0,,,,436.401,242.195,336.967,143.596,,,
11,9719082,68,,right,saccade,,3.0,,,446.18,245.274,356.16900000000015,162.329,,,
12,9719214,524,3.5662428571428566,right,fixation,,4.0,400.34542424242403,151.80628030303,,,,,0.0,,
13,9719218,520,3.5662428571428566,left,fixation,4.0,,378.858221374046,140.515167938931,,,,,2.0,5.721372439442074,12.023325792974088
14,9719742,20,,left,saccade,4.0,,,,381.725,149.561,431.032,246.593,,,
15,9719742,20,,right,saccade,,4.0,,,405.54699999999997,164.28,427.787,243.953,,,
16,9719766,167,3.637158536585365,right,fixation,,5.0,431.536953488372,243.679279069767,,,,,0.0,,
17,9719766,171,3.6369285714285713,left,fixation,5.0,,436.62325,235.53093181818198,,,,,0.0,,
18,9719937,32,,right,saccade,,5.0,,,432.865,258.14,704.539,258.524,,,
19,9719941,28,,left,saccade,5.0,,,,448.10699999999997,231.796,674.768,223.15400000000002,,,
20,9719973,685,3.546549418604651,left,fixation,6.0,,717.427645348837,225.53711627907,,,,,2.0,5.2209316663817695,15.938626720995073
21,9719973,685,3.546549418604651,right,fixation,,6.0,692.0631918604649,276.475476744186,,,,,3.0,5.080796985500879,22.189671001934048
22,9720662,32,,left,saccade,6.0,,,,703.503,239.85,413.339,374.332,,,
23,9720662,32,,right,saccade,,6.0,,,667.08,257.366,393.26,408.555,,,
24,9720698,507,3.6442952755905513,right,fixation,,7.0,405.1723984375,440.8798203125,,,,,0.0,,
25,9720698,511,3.6443515625,left,fixation,7.0,,394.778,385.250992248062,,,,,0.0,,
26,9721209,44,,right,saccade,,7.0,,,400.75199999999995,450.074,951.5310000000001,560.696,,,
27,9721213,36,,left,saccade,7.0,,,,406.385,379.19300000000004,950.0239999999999,517.919,,,
28,9721253,532,3.765293233082707,left,fixation,8.0,,949.159268656717,526.536485074627,,,,,2.0,9.9366294614369,27.558613398521217
29,9721257,524,3.765480916030535,right,fixation,,8.0,958.771446969697,583.4950303030313,,,,,1.0,4.924611358044184,13.49574603347282
30,9721785,40,,right,saccade,,8.0,,,968.904,573.2869999999998,442.538,736.387,,,
31,9721789,36,,left,saccade,8.0,,,,944.842,484.624,419.621,661.079,,,
32,9721829,180,3.7172943722943725,left,fixation,9.0,,395.952934782609,696.2433913043477,,,,,0.0,,
33,9721829,280,3.717294372294373,right,fixation,,9.0,434.37385915492996,727.270591549296,,,,,2.0,6.777346045633687,15.622433768557908
34,9722013,12,,left,saccade,9.0,,,,393.005,707.887,384.895,657.582,,,
35,9722029,84,,left,fixation,10.0,,378.43813636363603,640.491454545455,,,,,1.0,12.09606676660733,33.40713750083956
36,9722113,56,,right,saccade,,9.0,,,430.44,708.005,384.94800000000004,723.433,,,
37,9722117,44,,left,saccade,10.0,,,,402.225,671.784,368.676,638.461,,,
38,9722245,436,3.5966715902410344,right,fixation,,10.0,426.411872727273,717.872136363637,,,,,3.0,7.523775143375856,22.539261491193386
39,9722265,416,3.5966715902410344,left,fixation,11.0,,405.672057142857,693.929790476191,,,,,3.0,9.58739909165371,47.18758477261855
40,9722685,20,,left,saccade,11.0,,,,430.775,652.808,431.481,775.658,,,
41,9722685,24,,right,saccade,,10.0,,,455.76199999999994,699.7310000000001,477.657,848.654,,,
42,9722709,180,3.5594222222222216,left,fixation,12.0,,459.956086956522,802.773,,,,,0.0,,
43,9722713,172,3.5591976744186056,right,fixation,,11.0,487.632477272727,842.425795454545,,,,,0.0,,
44,9722889,28,,right,saccade,,11.0,,,488.26800000000003,827.584,727.49,851.365,,,
45,9722893,24,,left,saccade,12.0,,,,486.788,817.2739999999999,691.3969999999997,843.816,,,
46,9722921,248,3.612677419354839,left,fixation,13.0,,710.446682539682,848.54280952381,,,,,0.0,,
47,9722921,248,3.612677419354839,right,fixation,,12.0,735.520349206349,852.5149206349208,,,,,0.0,,
48,9723173,24,,right,saccade,,12.0,,,746.072,847.575,865.38,846.0189999999999,,,
49,9723173,32,,left,saccade,13.0,,,,728.255,831.9019999999997,856.449,821.2239999999997,,,
50,9723201,92,3.702152173913044,right,fixation,,13.0,870.650166666666,819.59025,,,,,0.0,,
51,9723209,84,3.705238095238095,left,fixation,14.0,,867.616272727273,818.997,,,,,0.0,,
52,9723297,20,,right,saccade,,13.0,,,862.505,815.175,729.074,819.825,,,
53,9723297,24,,left,saccade,14.0,,,,863.816,827.9169999999997,711.23,819.48,,,
54,9723321,156,3.5938076923076925,right,fixation,,14.0,717.96055,831.07295,,,,,0.0,,
55,9723325,152,3.592039473684211,left,fixation,15.0,,705.09017948718,803.497897435897,,,,,0.0,,
56,9723481,28,,right,saccade,,14.0,,,717.2260000000001,832.3589999999997,457.32800000000003,757.607,,,
57,9723481,32,,left,saccade,15.0,,,,709.275,790.3810000000003,402.028,723.926,,,
58,9723513,400,3.505633663366337,right,fixation,,15.0,438.047435643564,719.2878415841583,,,,,0.0,,
59,9723517,396,3.5052200000000004,left,fixation,16.0,,384.3312,684.98243,,,,,0.0,,
60,9723917,32,,left,saccade,16.0,,,,390.60699999999997,678.35,710.127,817.7360000000001,,,
