,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2871647,307,3.4944740259740263,left,fixation,1.0,,962.5237692307692,50.593551282051294,,,,,0.0,,
1,2871647,307,3.4944740259740263,right,fixation,,1.0,974.228064102564,72.2271410256411,,,,,0.0,,
2,2871958,44,,left,saccade,1.0,,,,963.775,47.371,408.86400000000003,165.623,,,
3,2871958,44,,right,saccade,,1.0,,,973.6519999999999,68.861,417.86300000000006,179.769,,,
4,2872006,276,3.346528985507246,right,fixation,,2.0,398.767785714286,204.01902857142898,,,,,1.0,3.8509332923620487,9.178419962063245
5,2872006,288,3.344673611111111,left,fixation,2.0,,386.34012328767096,168.266178082192,,,,,3.0,4.990168919529272,19.108001739688284
6,2872286,20,,right,saccade,,2.0,,,390.344,193.518,429.584,134.184,,,
7,2872298,20,,left,saccade,2.0,,,,412.662,176.583,431.231,108.415,,,
8,2872310,60,3.3029,right,fixation,,3.0,445.688375,127.451375,,,,,0.0,,
9,2872322,52,3.3039230769230765,left,fixation,3.0,,439.047357142857,88.19307142857141,,,,,0.0,,
10,2872374,68,,right,saccade,,3.0,,,445.327,128.184,1467.115,863.816,,,
11,2872378,64,,left,saccade,3.0,,,,440.726,80.523,1473.4379999999999,868.268,,,
12,2872446,245,3.2307837837837834,left,fixation,4.0,,1488.46143548387,893.895596774194,,,,,1.0,11.682847239055643,35.77018407836345
13,2872446,249,3.230783783783784,right,fixation,,4.0,1494.30250793651,886.368555555556,,,,,1.0,5.806039271980361,13.382326441990648
14,2872695,56,,left,saccade,4.0,,,,1494.384,913.318,388.63199999999995,252.649,,,
15,2872699,68,,right,saccade,,4.0,,,1520.499,902.5260000000001,397.744,237.799,,,
16,2872791,64,,right,fixation,,5.0,393.607882352941,257.61400000000003,,,,,0.0,,
17,2872811,44,,left,fixation,5.0,,414.7721666666671,251.468833333333,,,,,0.0,,
18,2872859,40,,left,saccade,5.0,,,,423.16900000000004,246.58,390.35400000000004,189.601,,,
19,2872859,40,,right,saccade,,5.0,,,396.533,270.616,404.95,181.574,,,
20,2872979,1219,3.328371303979688,right,fixation,,6.0,407.43433006536003,188.504862745098,,,,,0.0,,
21,2872987,1207,3.3283107258521096,left,fixation,6.0,,401.24277887788804,158.814702970297,,,,,3.0,7.860202918992949,20.82028502546452
22,2874198,32,,left,saccade,6.0,,,,391.663,145.33100000000005,473.583,262.645,,,
23,2874202,24,,right,saccade,,6.0,,,412.55199999999996,169.87400000000005,474.279,229.732,,,
24,2874230,412,3.3629514563106797,right,fixation,,7.0,481.494346153846,267.746567307692,,,,,0.0,,
25,2874234,392,3.360535714285714,left,fixation,7.0,,494.286787878788,287.972959595959,,,,,0.0,,
26,2874630,24,,left,saccade,7.0,,,,484.98400000000004,283.666,406.708,197.804,,,
27,2874646,20,,right,saccade,,7.0,,,455.315,230.739,408.334,208.24900000000002,,,
28,2874658,396,3.487807900536911,left,fixation,8.0,,393.75391,146.86042,,,,,1.0,8.424580599518167,29.561450793220573
29,2874670,380,3.4898521990461644,right,fixation,,8.0,392.7107916666671,185.7104375,,,,,0.0,,
30,2875054,40,,right,saccade,,8.0,,,397.269,204.524,382.18699999999995,157.416,,,
31,2875058,40,,left,saccade,8.0,,,,421.88699999999994,144.805,417.475,150.94299999999996,,,
32,2875198,969,3.4940781112491988,right,fixation,,9.0,399.621448559671,190.32466666666699,,,,,3.0,5.702799987912253,13.862284827385306
33,2875214,961,3.493998867727266,left,fixation,9.0,,409.773821576763,155.947315352697,,,,,0.0,,
34,2876171,16,,right,saccade,,9.0,,,421.958,174.572,488.231,210.80200000000002,,,
35,2876179,8,,left,saccade,9.0,,,,439.186,183.037,467.885,191.36,,,
36,2876191,599,3.4842416107382554,left,fixation,10.0,,494.61708609271597,283.39249006622504,,,,,1.0,7.302959858471381,21.58486377070745
37,2876191,603,3.48463,right,fixation,,10.0,480.97765131579,262.297118421053,,,,,0.0,,
38,2876794,24,,left,saccade,10.0,,,,469.597,285.834,433.098,171.735,,,
39,2876798,28,,right,saccade,,10.0,,,457.744,250.715,432.159,161.311,,,
40,2876822,516,3.5771711510493795,left,fixation,11.0,,409.677923076923,147.052292307692,,,,,0.0,,
41,2876830,508,3.5776987462153875,right,fixation,,11.0,422.578453125,166.8942578125,,,,,1.0,5.573543616447669,44.200101911647174
42,2877342,40,,left,saccade,11.0,,,,387.98199999999997,134.10399999999998,356.222,124.212,,,
43,2877342,40,,right,saccade,,11.0,,,408.811,181.572,395.47,182.78,,,
44,2877478,320,3.551204693065158,right,fixation,,12.0,403.46356790123497,211.310358024691,,,,,2.0,6.204616048589803,25.72125613817096
45,2877502,296,3.5512046930651584,left,fixation,12.0,,396.1087066666671,171.406533333333,,,,,1.0,5.413917148321441,12.700194093005047
46,2877802,40,,left,saccade,12.0,,,,416.145,208.13,700.6519999999997,255.933,,,
47,2877802,40,,right,saccade,,12.0,,,416.54,191.726,727.4019999999997,275.752,,,
48,2877846,752,3.442452380952381,right,fixation,,13.0,718.960021164021,277.47471957672,,,,,0.0,,
49,2877846,756,3.4421789473684217,left,fixation,13.0,,735.713957894737,293.281747368421,,,,,0.0,,
50,2878602,32,,right,saccade,,13.0,,,725.865,303.76099999999997,968.7339999999999,280.349,,,
51,2878606,32,,left,saccade,13.0,,,,736.25,264.249,942.5060000000001,278.091,,,
52,2878638,480,3.4357375,right,fixation,,14.0,963.420619834711,269.676008264463,,,,,0.0,,
53,2878642,476,3.436004201680672,left,fixation,14.0,,953.0198333333328,278.6828,,,,,0.0,,
54,2879122,32,,left,saccade,14.0,,,,954.681,287.332,1173.708,302.116,,,
55,2879122,32,,right,saccade,,14.0,,,959.5989999999999,259.288,1164.5330000000001,280.433,,,
56,2879158,448,3.4272837837837837,left,fixation,15.0,,1189.15391150442,295.178884955752,,,,,0.0,,
57,2879158,448,3.4272837837837837,right,fixation,,15.0,1190.6285840708001,286.842230088496,,,,,0.0,,
58,2879610,52,,right,saccade,,15.0,,,1191.885,296.28,429.12,208.493,,,
59,2879610,56,,left,saccade,15.0,,,,1187.697,276.84,419.459,167.726,,,
60,2879666,1028,3.5008492039318844,right,fixation,,16.0,400.843027131783,155.878953488372,,,,,0.0,,
61,2879670,1024,3.501036053948832,left,fixation,16.0,,398.4857548638129,141.01386770428005,,,,,0.0,,
62,2880698,40,,left,saccade,16.0,,,,411.369,167.326,371.30199999999996,138.26,,,
63,2880698,40,,right,saccade,,16.0,,,405.879,172.736,402.931,166.50400000000005,,,
64,2880826,1552,3.4493399441340777,right,fixation,,17.0,393.003735218509,177.055696658098,,,,,0.0,,
65,2880842,1540,3.449304178272982,left,fixation,17.0,,401.45524352331495,168.50105699481801,,,,,0.0,,
66,2882382,48,,right,saccade,,17.0,,,386.11300000000006,169.926,967.372,270.51099999999997,,,
67,2882386,36,,left,saccade,17.0,,,,407.173,153.39600000000004,933.326,246.18400000000003,,,
