,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2235322,4,3.563375,left,fixation,1.0,,441.04400000000004,413.746,,,,,0.0,,
1,2235322,8,3.5591875,right,fixation,,1.0,454.4376666666671,347.686,,,,,0.0,,
2,2235330,32,,left,saccade,1.0,,,,443.978,413.746,455.065,239.19799999999998,,,
3,2235334,20,,right,saccade,,1.0,,,459.656,347.686,459.652,262.793,,,
4,2235358,448,3.531893008090808,right,fixation,,2.0,471.713955752212,198.922646017699,,,,,1.0,5.597802788197846,15.963925895593489
5,2235366,440,3.5309320145236005,left,fixation,2.0,,460.655756756757,196.031225225225,,,,,1.0,8.090153962619544,27.75699281262289
6,2235810,52,,left,saccade,2.0,,,,487.846,230.206,477.103,93.681,,,
7,2235810,48,,right,saccade,,2.0,,,496.651,227.96200000000002,505.11300000000006,148.861,,,
8,2235934,312,3.5280446777380567,right,fixation,,3.0,519.94135443038,139.716987341772,,,,,1.0,8.562399217573956,22.98441741702407
9,2235942,304,3.5280446777380567,left,fixation,3.0,,515.619883116883,132.60838961039,,,,,1.0,6.550687574174518,14.952114398973752
10,2236250,20,,left,saccade,3.0,,,,537.03,121.204,454.642,128.218,,,
11,2236250,20,,right,saccade,,3.0,,,541.442,124.18799999999999,442.856,118.634,,,
12,2236274,168,3.5260714285714285,left,fixation,4.0,,429.732604651163,122.83127906976699,,,,,0.0,,
13,2236274,168,3.5260714285714285,right,fixation,,4.0,438.219976744186,126.275697674419,,,,,0.0,,
14,2236446,20,,left,saccade,4.0,,,,417.62300000000016,99.95700000000001,468.73400000000004,218.96,,,
15,2236446,24,,right,saccade,,4.0,,,437.75199999999995,125.204,477.917,238.15099999999998,,,
16,2236470,148,3.4928513513513515,left,fixation,5.0,,497.203342105263,247.399842105263,,,,,0.0,,
17,2236474,144,3.4922500000000003,right,fixation,,5.0,498.57751351351305,257.328324324324,,,,,0.0,,
18,2236622,24,,left,saccade,5.0,,,,513.548,265.254,709.16,246.84900000000002,,,
19,2236622,24,,right,saccade,,5.0,,,518.646,281.874,720.5989999999997,276.736,,,
20,2236650,180,3.4999555555555566,left,fixation,6.0,,729.230065217391,233.419652173913,,,,,0.0,,
21,2236650,180,3.4999555555555566,right,fixation,,6.0,732.68497826087,252.99693478260897,,,,,0.0,,
22,2236834,24,,left,saccade,6.0,,,,735.434,239.076,950.1039999999999,219.394,,,
23,2236834,24,,right,saccade,,6.0,,,738.867,256.695,959.818,254.304,,,
24,2236862,132,3.510906250000001,left,fixation,7.0,,970.480970588235,209.538235294118,,,,,0.0,,
25,2236862,132,3.510906250000001,right,fixation,,7.0,980.729647058824,237.58144117647097,,,,,0.0,,
26,2236998,20,,left,saccade,7.0,,,,977.069,202.62099999999998,1193.282,195.76,,,
27,2236998,20,,right,saccade,,7.0,,,998.445,239.477,1196.287,239.137,,,
28,2237022,176,3.5231704545454545,left,fixation,8.0,,1200.7397333333302,209.106533333333,,,,,0.0,,
29,2237022,176,3.5231704545454545,right,fixation,,8.0,1198.44508888889,224.945711111111,,,,,0.0,,
30,2237202,24,,left,saccade,8.0,,,,1208.576,246.63,1370.0870000000002,247.805,,,
31,2237202,24,,right,saccade,,8.0,,,1205.31,198.13400000000001,1386.098,213.885,,,
32,2237230,176,3.5644555555555555,left,fixation,9.0,,1412.22584444444,233.12666666666698,,,,,0.0,,
33,2237230,176,3.5644555555555555,right,fixation,,9.0,1409.11846666667,252.01453333333302,,,,,0.0,,
34,2237410,48,,right,saccade,,9.0,,,1431.338,234.83700000000002,570.715,188.845,,,
35,2237410,52,,left,saccade,9.0,,,,1414.131,211.03400000000002,582.201,219.52599999999998,,,
36,2237462,856,3.5405514018691595,right,fixation,,10.0,509.445097674419,182.83488837209305,,,,,3.0,8.179633426648271,31.316163748227922
37,2237466,500,3.536976,left,fixation,10.0,,499.441,209.46589682539692,,,,,3.0,9.584990056176359,27.275851114670008
38,2237970,0,,left,saccade,10.0,,,,476.673,151.9,476.673,151.9,,,
39,2237974,120,3.54765,left,fixation,11.0,,472.71151612903196,127.39483870967699,,,,,1.0,7.853934357307086,15.3653691462327
40,2238098,4,,left,saccade,11.0,,,,503.833,126.155,516.706,128.003,,,
41,2238106,208,3.544125,left,fixation,12.0,,537.668811320755,133.674471698113,,,,,0.0,,
42,2238318,24,,left,saccade,12.0,,,,521.905,110.022,490.001,206.10299999999998,,,
43,2238322,20,,right,saccade,,10.0,,,531.693,128.658,497.36400000000003,225.63099999999997,,,
44,2238346,428,3.520191588785047,left,fixation,13.0,,489.780703703704,210.444351851852,,,,,0.0,,
45,2238346,428,3.520191588785047,right,fixation,,11.0,491.800731481481,217.441675925926,,,,,0.0,,
46,2238778,52,,left,saccade,13.0,,,,488.694,204.38400000000001,1379.039,198.92700000000002,,,
47,2238778,52,,right,saccade,,11.0,,,476.564,173.687,1362.243,205.213,,,
48,2238834,224,3.4999727272727266,left,fixation,14.0,,1402.87642105263,232.66357894736802,,,,,0.0,,
49,2238834,224,3.4999727272727266,right,fixation,,12.0,1402.02973684211,214.650877192982,,,,,1.0,5.755245916166843,23.34555735038255
50,2239062,48,,right,saccade,,12.0,,,1424.8629999999994,204.71,536.571,327.3,,,
51,2239062,56,,left,saccade,14.0,,,,1420.0220000000006,238.733,547.21,393.38699999999994,,,
52,2239114,156,3.4249329268292685,right,fixation,,13.0,513.285975,370.75185,,,,,1.0,7.673232205024281,11.719603278268375
53,2239122,628,3.4138915094339626,left,fixation,15.0,,451.328734177215,363.939386075949,,,,,5.0,7.2617469654468225,20.339822542302095
54,2239274,4,,right,saccade,,13.0,,,469.996,373.20599999999996,467.535,369.61300000000006,,,
55,2239282,452,3.4104955752212387,right,fixation,,14.0,442.98291228070195,350.50289473684194,,,,,1.0,4.179120807325654,12.928147585791248
56,2239738,20,,right,saccade,,14.0,,,420.385,337.038,509.00800000000004,342.491,,,
57,2239754,0,,left,saccade,15.0,,,,475.42699999999996,344.173,475.42699999999996,344.173,,,
58,2239758,220,3.4236720583007467,left,fixation,16.0,,501.84075,347.514053571429,,,,,2.0,4.593776341970505,11.33010592261525
59,2239762,216,3.4237674889543444,right,fixation,,15.0,520.386290909091,339.669890909091,,,,,0.0,,
60,2239982,52,,left,saccade,16.0,,,,513.7669999999998,356.212,501.11800000000005,454.00800000000004,,,
61,2239982,52,,right,saccade,,15.0,,,519.087,342.57099999999997,506.079,460.07300000000004,,,
62,2240130,248,3.4053838440898185,right,fixation,,16.0,508.930634920635,472.845301587302,,,,,0.0,,
63,2240142,244,3.4046755924487884,left,fixation,17.0,,496.5045806451609,488.329903225807,,,,,0.0,,
64,2240382,20,,right,saccade,,16.0,,,498.213,433.126,612.803,445.29699999999997,,,
65,2240390,20,,left,saccade,17.0,,,,525.947,495.101,606.836,481.12699999999995,,,
66,2240406,32,3.382,right,fixation,,17.0,630.465888888889,451.457777777778,,,,,0.0,,
67,2240414,24,3.3800833333333333,left,fixation,18.0,,612.719285714286,479.82028571428594,,,,,0.0,,
68,2240442,32,,left,saccade,18.0,,,,621.9169999999998,478.668,929.095,459.99199999999996,,,
69,2240442,32,,right,saccade,,17.0,,,637.969,448.921,953.409,442.469,,,
70,2240478,176,3.3182159090909087,left,fixation,19.0,,954.8903333333341,457.867622222222,,,,,0.0,,
71,2240478,176,3.3182159090909087,right,fixation,,18.0,971.086511111111,438.780711111111,,,,,0.0,,
72,2240658,28,,left,saccade,19.0,,,,964.904,444.62199999999996,1170.756,432.55199999999996,,,
73,2240658,28,,right,saccade,,18.0,,,970.953,441.57199999999995,1195.237,443.50800000000004,,,
74,2240690,336,3.338333333333333,left,fixation,20.0,,1200.03235294118,440.8694,,,,,0.0,,
75,2240690,336,3.338333333333333,right,fixation,,19.0,1213.23989411765,434.196082352941,,,,,0.0,,
76,2241030,24,,left,saccade,20.0,,,,1198.0439999999999,451.35900000000004,1422.95,462.439,,,
77,2241030,28,,right,saccade,,19.0,,,1207.529,433.13800000000003,1436.521,459.655,,,
78,2241058,204,3.4157254901960785,left,fixation,21.0,,1435.19326923077,465.91119230769203,,,,,0.0,,
79,2241062,200,3.4165099999999997,right,fixation,,20.0,1432.8408627451001,461.76737254902,,,,,0.0,,
80,2241266,36,,left,saccade,21.0,,,,1437.4360000000001,451.662,785.9860000000001,443.05199999999996,,,
81,2241266,36,,right,saccade,,20.0,,,1426.4070000000006,444.62,809.809,429.08,,,
82,2241306,280,3.4346071428571427,left,fixation,22.0,,736.0119154929581,449.308929577465,,,,,3.0,7.4224212533918354,21.288561666493546
83,2241306,280,3.4346071428571427,right,fixation,,21.0,752.4877746478868,447.04018309859197,,,,,3.0,8.928873931822533,20.98151981220429
84,2241590,44,,right,saccade,,21.0,,,716.1260000000003,459.98199999999997,1386.457,416.10900000000004,,,
85,2241590,48,,left,saccade,22.0,,,,708.199,455.594,1383.957,422.55699999999996,,,
86,2241638,528,3.489193181818182,right,fixation,,22.0,1427.73584210526,407.08645112782006,,,,,2.0,4.798988820132792,17.521970136334946
87,2241642,524,3.4894236641221377,left,fixation,23.0,,1418.76907575758,432.70757575757597,,,,,0.0,,
88,2242170,48,,right,saccade,,22.0,,,1426.862,426.01800000000003,571.859,329.05699999999996,,,
89,2242170,52,,left,saccade,23.0,,,,1430.5829999999999,411.21,576.1030000000002,366.091,,,
90,2242222,356,3.484747191011236,right,fixation,,23.0,542.894333333333,331.805466666667,,,,,0.0,,
91,2242226,356,3.4843314606741576,left,fixation,24.0,,521.618355555555,327.645544444445,,,,,0.0,,
92,2242582,56,,right,saccade,,23.0,,,537.653,342.338,1363.733,385.423,,,
93,2242586,48,,left,saccade,24.0,,,,518.58,340.043,1374.661,381.63,,,
94,2242638,1104,3.4632518050541514,left,fixation,25.0,,1413.46870758123,451.93287725631797,,,,,4.0,5.427979552157127,13.835685114379986
95,2242642,1100,3.4633052536231883,right,fixation,,24.0,1429.8355579710098,430.758536231884,,,,,3.0,3.871137590485312,13.8192287240459
96,2243746,44,,left,saccade,25.0,,,,1424.046,472.452,709.2330000000003,382.879,,,
97,2243746,44,,right,saccade,,24.0,,,1428.5620000000001,471.401,725.195,356.289,,,
98,2243794,124,3.459241935483872,right,fixation,,25.0,686.37075,363.4053125,,,,,2.0,4.092456886274029,14.204779118874285
99,2243794,128,3.459625,left,fixation,26.0,,685.398363636363,388.046212121212,,,,,0.0,,
100,2243922,20,,right,saccade,,25.0,,,659.217,342.409,570.746,342.92199999999997,,,
101,2243926,20,,left,saccade,26.0,,,,670.28,381.58099999999996,570.881,374.333,,,
102,2243946,120,3.4933166666666664,right,fixation,,26.0,551.378096774193,345.836612903226,,,,,0.0,,
103,2243950,116,3.493258620689656,left,fixation,27.0,,547.0765666666671,362.7228,,,,,0.0,,
104,2244070,20,,left,saccade,27.0,,,,544.538,372.28,484.871,406.81699999999995,,,
105,2244070,20,,right,saccade,,26.0,,,533.72,339.621,484.185,387.35900000000004,,,
106,2244094,108,3.4638333333333327,right,fixation,,27.0,477.736464285714,415.4045,,,,,0.0,,
107,2244094,120,3.4612833333333324,left,fixation,28.0,,467.515451612903,417.766064516129,,,,,0.0,,
108,2244206,20,,right,saccade,,27.0,,,490.267,433.05,507.86199999999997,359.73199999999997,,,
109,2244218,4,,left,saccade,28.0,,,,488.915,389.784,493.906,387.957,,,
110,2244226,731,3.517931318681318,left,fixation,29.0,,484.8696195652169,361.238081521739,,,,,4.0,8.867700014662859,31.016783050012336
111,2244230,612,3.509169934640523,right,fixation,,28.0,501.23496103896105,345.996337662338,,,,,3.0,8.266113843543947,22.80332196284337
112,2244846,12,,right,saccade,,28.0,,,473.61,348.471,424.236,357.19,,,
113,2244862,95,3.5695869565217397,right,fixation,,29.0,418.07,366.19316000000003,,,,,1.0,5.251789761066648,18.069550630826456
114,2244961,52,,left,saccade,29.0,,,,421.836,378.585,1350.3139999999999,412.782,,,
115,2244961,52,,right,saccade,,29.0,,,406.12,357.289,1341.736,416.273,,,
116,2245017,305,3.6005649350649347,left,fixation,30.0,,1406.6077142857098,448.89024675324686,,,,,2.0,7.452899501052218,18.425598227946445
117,2245017,305,3.6005649350649347,right,fixation,,30.0,1406.7431688311701,433.357246753247,,,,,2.0,5.983787190167094,27.027641000957516
118,2245326,36,,left,saccade,30.0,,,,1432.1329999999994,457.37300000000016,974.425,447.842,,,
119,2245326,36,,right,saccade,,30.0,,,1425.9370000000001,445.80300000000005,1006.1510000000001,429.185,,,
120,2245366,184,3.545782608695652,left,fixation,31.0,,934.821893617021,439.66948936170195,,,,,1.0,4.388653659659658,13.817956614492507
121,2245366,184,3.545782608695652,right,fixation,,31.0,948.959723404256,442.461574468085,,,,,1.0,5.170050840605373,17.933652751182645
122,2245554,20,,right,saccade,,31.0,,,929.3539999999999,458.52099999999996,736.451,456.47,,,
123,2245554,24,,left,saccade,31.0,,,,922.7810000000001,457.89099999999996,728.332,451.959,,,
124,2245578,255,3.493380952380953,right,fixation,,32.0,727.0774461538472,445.7839846153849,,,,,1.0,12.369635794737231,44.127719100356934
125,2245582,251,3.4927016129032262,left,fixation,32.0,,731.297,446.343875,,,,,1.0,7.5176074226519205,43.45476666604025
126,2245837,28,,left,saccade,32.0,,,,768.9939999999997,436.05400000000003,1106.745,433.735,,,
127,2245837,36,,right,saccade,,32.0,,,778.7330000000003,424.111,1126.573,445.994,,,
128,2245869,156,3.461653846153846,left,fixation,33.0,,1125.30795,446.17095,,,,,0.0,,
