,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,10657864,292,4.201628378378379,left,fixation,1.0,,1515.11268918919,819.142243243243,,,,,0.0,,
1,10657864,296,4.201833333333334,right,fixation,,1.0,1509.2860133333304,810.868653333333,,,,,0.0,,
2,10658160,68,,left,saccade,1.0,,,,1528.9160000000006,821.084,494.147,168.84799999999996,,,
3,10658164,68,,right,saccade,,1.0,,,1509.193,811.057,492.94599999999997,173.16099999999997,,,
4,10658232,332,4.24545238095238,left,fixation,2.0,,471.56175,142.778083333333,,,,,3.0,3.84435433217732,11.975876656863491
5,10658236,324,4.2459939024390225,right,fixation,,2.0,450.721585365854,150.608012195122,,,,,2.0,6.007961519628509,13.184273835258674
6,10658564,20,,right,saccade,,2.0,,,431.085,160.903,494.847,151.231,,,
7,10658568,16,,left,saccade,2.0,,,,458.218,130.55100000000002,511.31699999999995,127.435,,,
8,10658588,236,4.157508474576272,left,fixation,3.0,,520.06785,128.381066666667,,,,,1.0,2.3084376209895905,2.477243024008797
9,10658588,236,4.157508474576272,right,fixation,,3.0,505.586233333333,147.268766666667,,,,,2.0,3.6499853939839113,7.192942481462457
10,10658828,20,,left,saccade,3.0,,,,515.862,128.05200000000002,500.095,241.002,,,
11,10658828,20,,right,saccade,,3.0,,,509.467,152.461,482.16900000000004,245.25900000000001,,,
12,10658852,140,4.188777777777776,right,fixation,,4.0,471.498277777778,273.961694444445,,,,,3.0,4.815998123557427,15.16657819200325
13,10658852,144,4.190094594594595,left,fixation,4.0,,498.064540540541,256.140675675676,,,,,1.0,4.828211130659285,5.733943233063981
14,10658996,36,,right,saccade,,4.0,,,477.81300000000016,285.038,704.753,252.47099999999998,,,
15,10659000,24,,left,saccade,4.0,,,,502.065,260.018,719.423,259.153,,,
16,10659028,208,4.349153846153847,left,fixation,5.0,,741.692415094339,278.409716981132,,,,,2.0,3.8696231830495913,6.886377483410616
17,10659036,196,4.350683673469387,right,fixation,,5.0,703.38618,254.80086,,,,,1.0,3.881068874821862,10.762112246208918
18,10659236,24,,right,saccade,,5.0,,,711.273,255.658,919.92,246.12900000000002,,,
19,10659240,24,,left,saccade,5.0,,,,732.823,280.209,975.92,280.798,,,
20,10659264,232,4.433189655172415,right,fixation,,6.0,952.557779661017,230.86193220339,,,,,5.0,4.7777642039308414,9.231510513241737
21,10659268,228,4.433464912280702,left,fixation,6.0,,989.492293103448,272.406913793103,,,,,5.0,3.402898345471004,7.419529777263424
22,10659500,40,,right,saccade,,6.0,,,951.064,245.46900000000002,1449.797,225.13299999999998,,,
23,10659500,44,,left,saccade,6.0,,,,1005.951,271.83299999999997,1473.122,272.654,,,
24,10659544,280,4.417364285714286,right,fixation,,7.0,1447.0784507042301,227.147690140845,,,,,2.0,11.6312420297774,26.7295320709354
25,10659548,276,4.417275362318841,left,fixation,7.0,,1476.0988,264.480885714286,,,,,2.0,11.000586507339944,37.972660170467655
26,10659828,60,,left,saccade,7.0,,,,1455.286,245.903,459.27099999999996,267.759,,,
27,10659828,64,,right,saccade,,7.0,,,1413.58,240.467,439.084,247.98,,,
28,10659892,296,4.404938356164384,left,fixation,8.0,,476.979693333333,279.70756,,,,,1.0,5.231932288573915,21.54158464458923
29,10659896,296,4.403678082191782,right,fixation,,8.0,444.736626666667,243.59387999999998,,,,,3.0,4.774969218008045,15.569610353764661
30,10660192,20,,left,saccade,8.0,,,,486.31,253.112,494.06,172.887,,,
31,10660196,20,,right,saccade,,8.0,,,472.62199999999996,254.065,497.256,177.732,,,
32,10660216,304,4.280060897435898,left,fixation,9.0,,519.244402597403,139.881792207792,,,,,1.0,8.585827456402269,28.57484936093276
33,10660220,512,4.289636538461538,right,fixation,,9.0,498.65096124031,187.323279069767,,,,,5.0,6.497069706760034,22.610134595874772
34,10660524,20,,left,saccade,9.0,,,,520.092,134.415,496.139,202.002,,,
35,10660548,180,4.307911111111111,left,fixation,10.0,,483.457086956522,226.78973913043492,,,,,1.0,3.228656936113078,7.479405992456896
36,10660732,24,,left,saccade,10.0,,,,492.347,245.047,428.46,343.773,,,
37,10660736,20,,right,saccade,,9.0,,,476.532,250.52900000000002,425.86699999999996,369.595,,,
38,10660760,472,4.478313559322034,left,fixation,11.0,,437.797302521008,374.87174789916,,,,,5.0,4.956710574094165,8.438035494427265
39,10660760,472,4.478313559322034,right,fixation,,10.0,408.198226890756,390.73031092437003,,,,,8.0,5.882311527643839,9.87294295363844
40,10661236,8,,left,saccade,11.0,,,,480.38199999999995,380.26,491.10699999999997,380.11699999999996,,,
41,10661236,8,,right,saccade,,10.0,,,449.475,386.745,456.475,388.336,,,
42,10661248,632,4.434927215189873,left,fixation,12.0,,514.635100628931,379.252968553459,,,,,2.0,5.823581128392028,4.4515384111905725
43,10661248,632,4.434927215189873,right,fixation,,11.0,480.570421383648,391.70465408805,,,,,2.0,3.681081245255876,5.593910282868143
44,10661884,20,,left,saccade,12.0,,,,514.685,382.73900000000003,486.478,474.22,,,
45,10661884,20,,right,saccade,,11.0,,,462.314,389.592,442.561,470.07199999999995,,,
46,10661908,196,4.572275510204081,left,fixation,13.0,,479.69728,497.5727,,,,,1.0,5.43028610868912,13.633166506721757
47,10661908,196,4.572275510204081,right,fixation,,12.0,435.56278,502.99452,,,,,2.0,4.757513550233818,9.773958256418718
48,10662108,28,,left,saccade,13.0,,,,475.98800000000006,506.25699999999995,703.5210000000003,496.53,,,
49,10662108,28,,right,saccade,,12.0,,,439.55699999999996,516.572,664.073,509.648,,,
50,10662140,316,4.582987341772152,right,fixation,,13.0,684.410925,517.2088375,,,,,3.0,4.614309274252908,5.6936126915483625
51,10662140,320,4.5818625000000015,left,fixation,14.0,,733.7489999999997,496.9968395061731,,,,,2.0,9.320364577071736,16.000369353158348
52,10662460,24,,right,saccade,,13.0,,,686.6139999999998,521.94,881.325,524.1669999999998,,,
53,10662464,24,,left,saccade,14.0,,,,727.982,489.413,902.2460000000001,503.67400000000004,,,
54,10662488,228,4.432175438596492,right,fixation,,14.0,909.8425,516.938879310345,,,,,2.0,5.937633122024477,7.038802177909808
55,10662492,228,4.430438596491227,left,fixation,15.0,,940.753448275862,507.1215,,,,,4.0,5.130185709912434,9.880146846712137
56,10662720,28,,right,saccade,,14.0,,,917.58,515.387,1146.489,514.8340000000002,,,
57,10662724,24,,left,saccade,15.0,,,,957.947,509.171,1147.649,489.98,,,
58,10662752,240,4.28775,left,fixation,16.0,,1184.7985409836099,498.13824590164,,,,,1.0,7.9854722847875825,11.065633736935332
59,10662752,244,4.286688524590164,right,fixation,,15.0,1165.60014516129,507.5090806451609,,,,,2.0,2.968835865671898,5.9723053720214025
60,10662996,24,,left,saccade,16.0,,,,1202.108,486.72900000000004,1003.304,496.70099999999996,,,
61,10663000,20,,right,saccade,,15.0,,,1155.849,512.128,979.742,509.111,,,
62,10663024,220,4.229727272727273,left,fixation,17.0,,976.821125,508.0277678571431,,,,,1.0,9.158279807244227,6.186870776086924
63,10663024,220,4.229727272727273,right,fixation,,16.0,959.550875,495.432660714286,,,,,1.0,4.620103924997539,8.131287966859883
64,10663248,36,,right,saccade,,16.0,,,953.187,489.835,1447.764,488.82800000000003,,,
65,10663248,40,,left,saccade,17.0,,,,973.794,504.05300000000005,1433.355,492.408,,,
66,10663288,712,4.1802247191011235,right,fixation,,17.0,1431.47404469274,478.083229050279,,,,,7.0,2.992017537350243,7.283128114846938
67,10663292,708,4.180110169491525,left,fixation,18.0,,1440.54543258427,480.92837640449403,,,,,2.0,3.5680838131393933,10.99612798716968
68,10664004,56,,left,saccade,18.0,,,,1438.7179999999994,475.755,565.075,414.635,,,
69,10664004,60,,right,saccade,,17.0,,,1420.7579999999994,478.884,556.9680000000002,382.55,,,
70,10664064,887,4.181882352941177,left,fixation,19.0,,530.317076233184,386.80355605381203,,,,,5.0,2.3192508602909006,5.74104313197022
71,10664068,879,4.1822694063926935,right,fixation,,18.0,500.35291402714995,379.2261493212671,,,,,9.0,2.9966296140825786,9.785443712703218
72,10664951,60,,right,saccade,,18.0,,,504.35900000000004,385.29,1411.2679999999998,457.529,,,
