,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2431423,200,3.875838235294118,left,fixation,1.0,,599.569196078431,259.85384313725496,,,,,0.0,,
1,2431423,208,3.8752783018867927,right,fixation,,1.0,568.99779245283,332.91318867924485,,,,,0.0,,
2,2431627,36,,left,saccade,1.0,,,,599.9830000000002,260.72700000000003,456.45599999999996,227.608,,,
3,2431635,28,,right,saccade,,1.0,,,568.46,337.01199999999994,457.67699999999996,249.493,,,
4,2431667,916,3.758707423580786,right,fixation,,2.0,411.5561478260871,166.893839130435,,,,,4.0,7.871572762990421,38.49701051840878
5,2431667,1324,3.7662024169184285,left,fixation,2.0,,432.074403614458,170.353780120482,,,,,9.0,3.5278764613566,13.187970450255925
6,2432587,0,,right,saccade,,2.0,,,411.065,145.562,411.065,145.562,,,
7,2432591,384,3.7820364583333337,right,fixation,,3.0,436.8952783505149,155.402144329897,,,,,0.0,,
8,2432979,32,,right,saccade,,3.0,,,440.589,159.428,467.533,336.475,,,
9,2432995,20,,left,saccade,2.0,,,,448.316,181.092,482.912,248.391,,,
10,2433015,176,3.851300000000001,right,fixation,,4.0,487.8634,362.3376,,,,,2.0,3.4037974028328533,8.249487426939204
11,2433019,176,3.8523666666666654,left,fixation,3.0,,492.988888888889,252.2206,,,,,0.0,,
12,2433195,32,,right,saccade,,4.0,,,488.26800000000003,350.397,432.31800000000004,258.022,,,
13,2433199,24,,left,saccade,3.0,,,,491.957,246.09900000000002,414.67800000000005,208.87900000000002,,,
14,2433227,472,3.911118644067797,left,fixation,4.0,,395.76666386554604,166.927831932773,,,,,3.0,3.2047372884478063,12.420032325320108
15,2433231,336,3.909214285714286,right,fixation,,5.0,402.917470588235,229.287023529412,,,,,3.0,2.9646708960023127,8.376012496295665
16,2433571,16,,right,saccade,,5.0,,,392.87199999999996,217.479,391.881,163.53,,,
17,2433591,108,3.916277777777778,right,fixation,,6.0,397.259678571429,136.127607142857,,,,,1.0,2.722806201533841,7.9425175479818835
18,2433703,48,,right,saccade,,6.0,,,403.225,128.34799999999998,1007.528,351.32,,,
19,2433703,52,,left,saccade,4.0,,,,398.536,131.085,959.788,221.53799999999998,,,
20,2433755,412,3.866126213592233,right,fixation,,7.0,978.68325,351.9164230769229,,,,,5.0,2.9931197380383234,11.794919048903001
21,2433759,412,3.8649271844660182,left,fixation,5.0,,957.700490384615,202.291788461538,,,,,3.0,6.09766681015487,31.07993020726312
22,2434171,32,,right,saccade,,7.0,,,965.6,354.43800000000016,1189.895,348.189,,,
23,2434175,28,,left,saccade,5.0,,,,948.377,200.13,1157.998,221.618,,,
24,2434207,784,3.7768030303030304,left,fixation,6.0,,1178.86403045685,190.401827411167,,,,,6.0,3.6494081479203335,12.813080242025512
25,2434207,784,3.7768030303030304,right,fixation,,8.0,1200.4782436548198,293.5449035533,,,,,5.0,2.835810729951032,9.053358907606203
26,2434995,56,,left,saccade,6.0,,,,1183.59,179.774,329.944,443.35400000000004,,,
27,2434995,60,,right,saccade,,8.0,,,1198.981,266.954,345.87300000000016,535.401,,,
28,2435055,3724,3.839100429645543,left,fixation,7.0,,400.934746781116,436.48113626609495,,,,,16.0,3.983778684728812,18.52100514988717
29,2435059,3712,3.8388669181034483,right,fixation,,9.0,381.445879440258,536.757049515608,,,,,22.0,3.0482376785828382,13.654267562366044
30,2438775,24,,right,saccade,,9.0,,,387.99199999999996,526.8330000000002,447.915,622.044,,,
31,2438783,20,,left,saccade,7.0,,,,412.88300000000004,469.907,449.86300000000006,535.876,,,
32,2438803,116,3.9614310344827586,right,fixation,,10.0,473.134733333333,641.892466666667,,,,,1.0,3.4861427665672164,12.557119136171336
33,2438807,112,3.9611964285714287,left,fixation,8.0,,473.494620689655,562.119482758621,,,,,1.0,3.5882767490506913,6.441876822790025
34,2438923,32,,right,saccade,,10.0,,,476.27,645.254,734.3939999999999,636.856,,,
35,2438923,36,,left,saccade,8.0,,,,475.278,566.474,719.336,549.663,,,
36,2438959,708,3.977418079096045,right,fixation,,11.0,709.5901853932588,620.491769662921,,,,,2.0,4.385615028887141,32.12245908324281
37,2438963,704,3.9772045454545455,left,fixation,9.0,,708.713367231638,530.666327683616,,,,,5.0,4.569467751328553,25.967968304322643
38,2439671,40,,left,saccade,9.0,,,,711.107,508.733,442.41,445.80800000000005,,,
39,2439671,40,,right,saccade,,11.0,,,694.962,606.966,418.55699999999996,548.061,,,
40,2439715,196,3.7517857142857145,left,fixation,10.0,,427.2006,422.08088,,,,,1.0,3.119482186375026,3.4994080928065867
41,2439715,196,3.7517857142857145,right,fixation,,12.0,405.69818,530.91882,,,,,0.0,,
42,2439915,36,,right,saccade,,12.0,,,399.064,528.573,714.452,551.4680000000002,,,
43,2439915,44,,left,saccade,10.0,,,,431.68199999999996,427.657,710.947,501.126,,,
44,2439955,351,3.781045977011495,right,fixation,,13.0,722.364539325843,584.7090000000002,,,,,3.0,3.1003006539898834,10.38470395415115
45,2439963,343,3.7816705882352943,left,fixation,11.0,,721.201367816093,512.78008045977,,,,,3.0,4.462856445033807,15.816816677127516
46,2440310,44,,left,saccade,11.0,,,,697.2460000000003,521.505,380.925,436.00699999999995,,,
47,2440310,48,,right,saccade,,13.0,,,708.824,597.779,367.106,532.45,,,
48,2440358,449,3.8229057017543866,left,fixation,12.0,,400.53378761061896,416.8519026548671,,,,,9.0,3.053607387552029,8.493290234434006
49,2440362,441,3.8229441964285718,right,fixation,,14.0,345.55318918918886,496.116846846847,,,,,3.0,2.9670016424972694,10.33588742170043
50,2440807,36,,right,saccade,,14.0,,,337.11,491.776,679.805,535.265,,,
51,2440811,36,,left,saccade,12.0,,,,395.49199999999996,409.291,654.748,469.957,,,
52,2440847,215,3.8538018867924526,right,fixation,,15.0,678.2376,585.7196,,,,,3.0,3.1941176116817838,17.035632277281536
53,2440851,211,3.8539615384615376,left,fixation,13.0,,670.271277777778,516.410944444444,,,,,1.0,7.1328034557871565,52.69366219954723
54,2441066,40,,left,saccade,13.0,,,,658.171,520.161,398.48199999999997,451.096,,,
