,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,3225580,204,3.70125,left,fixation,1.0,,497.1553653846151,797.872230769231,,,,,2.0,2.0145225427047633,9.399750496733732
1,3225580,204,3.70125,right,fixation,,1.0,487.470461538462,794.7363076923082,,,,,1.0,2.333340339275223,10.123021782057023
2,3225788,40,,left,saccade,1.0,,,,490.92800000000005,799.6510000000003,466.709,322.687,,,
3,3225788,40,,right,saccade,,1.0,,,484.416,795.096,468.36800000000005,289.82099999999997,,,
4,3225832,184,3.7284239130434793,left,fixation,2.0,,456.185659574468,290.451021276596,,,,,5.0,2.6728380510409635,13.430737141962744
5,3225832,184,3.7284239130434793,right,fixation,,2.0,455.29114893617003,267.846617021277,,,,,4.0,2.7995650253963453,10.382890918007442
6,3226020,16,,right,saccade,,2.0,,,462.046,255.11,471.496,185.141,,,
7,3226020,20,,left,saccade,2.0,,,,454.959,275.372,462.767,182.13099999999997,,,
8,3226040,721,3.746417127071824,right,fixation,,3.0,487.26618784530405,160.631370165746,,,,,6.0,3.6107531558100567,20.53294620634013
9,3226044,717,3.746394444444445,left,fixation,3.0,,479.436394444444,148.057366666667,,,,,5.0,3.8463216295987888,22.340109713038927
10,3226765,16,,left,saccade,3.0,,,,512.481,137.042,452.20300000000003,136.048,,,
11,3226765,20,,right,saccade,,3.0,,,515.0980000000002,158.626,440.51199999999994,155.748,,,
12,3226785,263,3.7242125,left,fixation,4.0,,422.948835820896,149.33080597014904,,,,,3.0,3.623608662857892,22.798731477804104
13,3226789,259,3.7243461538461538,right,fixation,,4.0,420.741424242424,148.382045454545,,,,,4.0,2.8698780642763615,10.604799637689668
14,3227052,40,,left,saccade,4.0,,,,385.365,150.225,405.226,143.44899999999996,,,
15,3227052,44,,right,saccade,,4.0,,,395.606,147.002,460.043,136.638,,,
16,3227164,4,,left,fixation,5.0,,413.6595,143.44899999999996,,,,,0.0,,
17,3227168,1668,3.7729469609569497,right,fixation,,5.0,492.89982775119597,136.690136363636,,,,,11.0,3.77976415288658,18.772621120891596
18,3227172,16,,left,saccade,5.0,,,,420.30699999999996,143.44899999999996,465.583,143.15,,,
19,3227192,1644,3.7729469609569497,left,fixation,6.0,,503.77913106796206,150.56803640776698,,,,,12.0,4.1438041011914555,22.48952191655085
20,3228840,20,,right,saccade,,5.0,,,476.644,153.313,585.663,151.779,,,
21,3228840,24,,left,saccade,6.0,,,,464.27099999999996,147.361,572.462,146.183,,,
22,3228864,156,3.9069615384615375,right,fixation,,6.0,589.35295,147.004025,,,,,1.0,1.974569833603688,6.3029278910678626
23,3228868,152,3.9074868421052624,left,fixation,7.0,,582.2008205128201,152.227641025641,,,,,1.0,2.451846696313271,9.810352949817851
24,3229024,24,,left,saccade,7.0,,,,584.418,155.189,685.352,240.37900000000002,,,
25,3229024,24,,right,saccade,,6.0,,,595.181,147.02200000000005,695.951,224.636,,,
26,3229052,212,3.861,left,fixation,8.0,,701.4240740740739,251.656333333333,,,,,1.0,4.0112340370514685,14.191354058017039
27,3229052,212,3.861,right,fixation,,7.0,709.9418148148151,242.88400000000001,,,,,3.0,2.6244603470752583,8.905363000953956
28,3229268,28,,right,saccade,,7.0,,,717.2389999999997,234.28900000000002,947.2660000000001,242.488,,,
29,3229268,32,,left,saccade,8.0,,,,702.445,254.08700000000002,940.19,259.80400000000003,,,
30,3229300,280,3.836619718309859,right,fixation,,8.0,954.1049718309861,242.33678873239398,,,,,0.0,,
