,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,1700388,136,2.94135,left,fixation,1.0,,1431.1391428571399,731.447885714286,,,,,0.0,,
1,1700388,136,2.94135,right,fixation,,1.0,1459.74342857143,742.4209142857138,,,,,0.0,,
2,1700528,48,,left,saccade,1.0,,,,1431.231,739.3660000000001,971.461,385.731,,,
3,1700528,48,,right,saccade,,1.0,,,1461.182,737.003,974.8910000000001,414.991,,,
4,1700580,184,2.972489130434782,left,fixation,2.0,,965.5892553191493,389.53323404255286,,,,,0.0,,
5,1700580,184,2.972489130434782,right,fixation,,2.0,956.2277872340428,385.66693617021286,,,,,0.0,,
6,1700768,32,,left,saccade,2.0,,,,963.622,393.255,754.557,270.961,,,
7,1700768,36,,right,saccade,,2.0,,,942.75,384.98800000000006,766.25,245.53900000000002,,,
8,1700804,92,2.9983913043478254,left,fixation,3.0,,748.581458333333,249.258833333333,,,,,0.0,,
9,1700808,84,2.9985238095238094,right,fixation,,3.0,754.361272727273,231.26645454545502,,,,,0.0,,
10,1700896,36,,right,saccade,,3.0,,,746.327,220.24200000000002,505.95599999999996,185.07,,,
11,1700900,32,,left,saccade,3.0,,,,742.453,229.476,514.168,190.912,,,
12,1700936,1880,3.0521968085106383,left,fixation,4.0,,477.4007685774949,166.43364543524402,,,,,5.0,5.983958027731553,21.378524857482525
13,1700936,2128,3.0543402255639096,right,fixation,,4.0,473.37473921200797,169.300283302064,,,,,6.0,7.908199454736964,21.35189554480093
14,1702820,16,,left,saccade,4.0,,,,501.293,182.669,489.648,239.141,,,
15,1702840,224,3.0705089285714284,left,fixation,5.0,,472.24,240.49277192982498,,,,,0.0,,
16,1703068,28,,left,saccade,5.0,,,,473.91900000000004,241.162,677.8439999999998,240.56900000000002,,,
