,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,21133767,40,3.3214318181818183,left,fixation,1.0,,1513.7079999999999,895.715363636364,,,,,0.0,,
1,21133767,40,3.3214318181818183,right,fixation,,1.0,1496.22909090909,892.6455454545461,,,,,1.0,4.2496675196746585,7.678012763729969
2,21133811,56,,left,saccade,1.0,,,,1513.1329999999994,893.0360000000003,1003.586,366.43300000000005,,,
3,21133811,60,,right,saccade,,1.0,,,1496.547,901.426,1014.061,370.704,,,
4,21133871,192,3.2628958333333333,left,fixation,2.0,,995.194816326531,343.626530612245,,,,,1.0,4.230628381221863,10.416617685218117
5,21133875,192,3.262739583333333,right,fixation,,2.0,1003.32991836735,336.742897959184,,,,,1.0,4.44867374119024,18.195242510062872
6,21134067,40,,left,saccade,2.0,,,,993.199,335.615,606.905,315.70599999999996,,,
7,21134071,36,,right,saccade,,2.0,,,1003.321,331.921,585.852,313.797,,,
8,21134111,148,3.284337837837838,left,fixation,3.0,,576.416131578947,290.20605263157904,,,,,2.0,5.779068355404119,29.46044569631309
9,21134111,148,3.284337837837838,right,fixation,,3.0,567.42647368421,295.628973684211,,,,,1.0,3.8253306029966,11.136490111341171
10,21134263,20,,right,saccade,,3.0,,,566.316,297.724,500.096,223.965,,,
11,21134263,24,,left,saccade,3.0,,,,577.565,300.876,485.769,237.77700000000002,,,
12,21134287,944,3.3268114406779663,right,fixation,,4.0,493.0248776371309,175.835683544304,,,,,10.0,6.150080756920472,22.563378229084808
13,21134291,940,3.326893617021277,left,fixation,4.0,,482.88709322033895,158.73035169491502,,,,,8.0,5.331973111745036,23.174740778861175
14,21135235,24,,right,saccade,,4.0,,,539.595,190.157,715.0930000000003,219.658,,,
15,21135235,36,,left,saccade,4.0,,,,518.382,161.746,695.597,235.645,,,
16,21135263,160,3.3845625,right,fixation,,5.0,738.3508780487799,240.45985365853699,,,,,0.0,,
17,21135275,148,3.385851351351352,left,fixation,5.0,,714.556605263158,257.454210526316,,,,,2.0,3.3271100021130446,7.655993654966253
18,21135427,28,,right,saccade,,5.0,,,751.808,262.724,989.3439999999999,255.271,,,
19,21135427,32,,left,saccade,5.0,,,,727.9060000000003,260.336,964.049,260.998,,,
20,21135459,180,3.4679333333333333,right,fixation,,6.0,1003.6676521739099,245.561608695652,,,,,0.0,,
21,21135463,176,3.4689204545454544,left,fixation,6.0,,972.0652,252.463244444444,,,,,1.0,2.2355616743896767,5.114275119701638
22,21135643,24,,left,saccade,6.0,,,,968.605,230.858,1160.137,239.507,,,
23,21135643,24,,right,saccade,,6.0,,,1004.4730000000001,243.445,1188.728,250.731,,,
24,21135671,532,3.5374436090225565,left,fixation,7.0,,1174.28497761194,255.550880597015,,,,,0.0,,
25,21135671,868,3.5423755760368665,right,fixation,,7.0,1198.72311926605,245.262064220184,,,,,1.0,5.85681057734403,23.370937037269144
26,21136207,0,,left,saccade,7.0,,,,1174.874,242.24,1174.874,242.24,,,
27,21136211,328,3.55054268292683,left,fixation,8.0,,1184.2077108433698,208.066156626506,,,,,1.0,4.324947915550232,9.839000813090754
28,21136543,56,,left,saccade,8.0,,,,1187.634,232.31099999999998,511.56300000000016,162.549,,,
29,21136543,60,,right,saccade,,7.0,,,1208.886,227.02700000000002,511.654,171.93900000000005,,,
30,21136603,636,3.60832453416149,left,fixation,9.0,,499.00490625,152.071325,,,,,5.0,3.9508004903644514,13.613904237926285
31,21136607,632,3.6085453125,right,fixation,,8.0,507.909012578616,166.49872327044,,,,,4.0,4.0545150617990915,13.527827343279288
32,21137243,52,,left,saccade,9.0,,,,512.7040000000002,140.786,1177.312,216.769,,,
33,21137243,56,,right,saccade,,8.0,,,508.827,154.017,1220.205,251.25900000000001,,,
34,21137299,288,3.551513888888889,left,fixation,10.0,,1204.81547945205,254.713821917808,,,,,1.0,3.164258874084466,6.009754237903607
35,21137303,288,3.5511597222222213,right,fixation,,9.0,1212.4457260274,288.63357534246603,,,,,1.0,4.1716678152881554,8.663012062787429
36,21137591,88,,left,saccade,10.0,,,,1201.633,244.518,435.022,446.538,,,
37,21137595,72,,right,saccade,,9.0,,,1217.379,278.676,464.836,475.088,,,
38,21137671,180,3.5598444444444435,right,fixation,,10.0,456.60447826087005,494.48058695652196,,,,,0.0,,
39,21137683,168,3.559214285714285,left,fixation,11.0,,450.560441860465,464.4866511627909,,,,,1.0,2.5183165452782537,9.055055880556473
40,21137855,16,,right,saccade,,10.0,,,458.491,491.15,465.309,429.61,,,
41,21137855,20,,left,saccade,11.0,,,,444.861,459.639,448.77,377.654,,,
42,21137875,604,3.54477,right,fixation,,11.0,516.111546052631,418.035203947369,,,,,4.0,5.13963399796822,17.64394844107671
