,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2331343,228,3.0569482758620694,left,fixation,1.0,,978.370724137931,214.998068965517,,,,,0.0,,
1,2331343,228,3.0569482758620694,right,fixation,,1.0,954.8192068965519,237.947431034483,,,,,0.0,,
2,2331575,44,,left,saccade,1.0,,,,972.084,226.463,535.855,267.818,,,
3,2331575,44,,right,saccade,,1.0,,,953.747,239.95,525.465,251.81400000000002,,,
4,2331623,112,3.0451428571428574,left,fixation,2.0,,510.790586206897,286.683931034483,,,,,1.0,5.001429376243932,15.170514163995936
5,2331623,112,3.0451428571428574,right,fixation,,2.0,502.29831034482805,275.646482758621,,,,,0.0,,
6,2331739,24,,left,saccade,2.0,,,,515.4680000000002,294.649,496.88800000000003,164.49599999999995,,,
7,2331739,24,,right,saccade,,2.0,,,503.791,296.555,483.006,171.48,,,
8,2331767,200,3.063359999999999,left,fixation,3.0,,461.464352941176,151.100294117647,,,,,0.0,,
9,2331767,200,3.063359999999999,right,fixation,,3.0,450.924509803922,147.087019607843,,,,,0.0,,
10,2331971,20,,right,saccade,,3.0,,,455.07199999999995,138.791,473.615,261.753,,,
11,2331971,24,,left,saccade,3.0,,,,465.98800000000006,159.914,483.598,281.79,,,
12,2331995,172,3.011069767441861,right,fixation,,4.0,484.910318181818,273.82379545454603,,,,,0.0,,
13,2331999,168,3.0105714285714287,left,fixation,4.0,,495.255395348837,298.327790697674,,,,,0.0,,
14,2332171,28,,left,saccade,4.0,,,,495.666,300.27099999999996,704.2760000000003,282.33099999999996,,,
15,2332171,28,,right,saccade,,4.0,,,487.93699999999995,273.767,695.3760000000003,259.16700000000003,,,
16,2332203,176,2.984738636363637,left,fixation,5.0,,721.7222,270.91597777777804,,,,,0.0,,
17,2332203,176,2.984738636363637,right,fixation,,5.0,717.216088888889,248.90124444444402,,,,,0.0,,
18,2332383,24,,left,saccade,5.0,,,,725.8889999999999,267.02,547.7040000000002,211.956,,,
19,2332383,32,,right,saccade,,5.0,,,708.84,262.138,500.195,205.907,,,
20,2332411,876,2.9606324200913243,left,fixation,6.0,,461.918709090909,162.288968181818,,,,,3.0,6.437334543864827,25.08814963991225
21,2332419,1112,2.9589010791366905,right,fixation,,6.0,453.134093189965,146.637899641577,,,,,6.0,9.696791445813195,31.275005711813268
22,2333291,8,,left,saccade,6.0,,,,457.792,161.305,481.07,161.463,,,
23,2333303,232,2.9534741379310345,left,fixation,7.0,,517.8310847457631,146.163101694915,,,,,2.0,3.98210094154544,8.657371291546289
24,2333535,32,,right,saccade,,6.0,,,512.585,173.979,733.205,219.208,,,
25,2333539,24,,left,saccade,7.0,,,,511.556,142.428,718.953,213.00599999999997,,,
26,2333567,268,2.9095522388059702,left,fixation,8.0,,740.963529411765,268.088014705882,,,,,1.0,4.638017754865142,10.526543829766727
27,2333571,264,2.909068181818182,right,fixation,,7.0,730.8705074626871,259.323432835821,,,,,1.0,7.340194036944804,33.98241334867186
28,2333839,24,,left,saccade,8.0,,,,742.6110000000001,297.8040000000001,532.6,291.88599999999997,,,
29,2333839,24,,right,saccade,,7.0,,,712.284,231.457,533.111,245.054,,,
30,2333867,124,2.9210483870967754,left,fixation,9.0,,509.490875,283.3188125,,,,,0.0,,
31,2333867,124,2.9210483870967754,right,fixation,,8.0,512.0373125,273.24234375,,,,,0.0,,
