,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2909792,208,3.8207594339622646,left,fixation,1.0,,864.8225849056599,473.859962264151,,,,,0.0,,
1,2909792,208,3.8207594339622646,right,fixation,,1.0,896.382924528302,489.476433962264,,,,,0.0,,
2,2910004,40,,left,saccade,1.0,,,,854.79,466.858,428.634,199.942,,,
3,2910004,44,,right,saccade,,1.0,,,887.5060000000003,492.51300000000003,500.665,194.915,,,
4,2910048,776,3.5982794638856888,left,fixation,2.0,,406.8863230769229,157.108061538462,,,,,1.0,6.5120783378102765,35.47155824037052
5,2910052,768,3.5977452091784166,right,fixation,,2.0,431.79217616580286,142.818310880829,,,,,2.0,6.474355889723157,11.080585718645935
6,2910824,40,,right,saccade,,2.0,,,398.735,137.368,407.324,142.799,,,
7,2910828,40,,left,saccade,2.0,,,,395.87800000000004,160.25,353.156,193.954,,,
8,2910976,2268,3.6239995706911863,left,fixation,3.0,,411.1407130281691,174.45206690140805,,,,,16.0,5.851167057966718,23.554624684046804
9,2910988,384,3.496090198808695,right,fixation,,3.0,400.030443298969,168.135175257732,,,,,1.0,6.179878981195519,10.435083133353576
10,2911376,0,,right,saccade,,3.0,,,390.662,130.114,390.662,130.114,,,
11,2911380,1272,3.5659292452830185,right,fixation,,4.0,415.705269592476,106.053946708464,,,,,3.0,6.854461519073732,18.79233902055452
12,2912656,4,,right,saccade,,4.0,,,376.99800000000016,153.25799999999995,377.20099999999996,169.463,,,
13,2912664,572,3.810704861111111,right,fixation,,5.0,394.681548611111,204.772833333333,,,,,0.0,,
14,2913240,24,,right,saccade,,5.0,,,401.88699999999994,229.64700000000002,471.668,303.983,,,
15,2913248,20,,left,saccade,3.0,,,,392.77,212.016,450.55699999999996,246.06799999999998,,,
16,2913268,188,3.8380744680851056,right,fixation,,6.0,488.1803541666671,313.663270833333,,,,,0.0,,
17,2913272,184,3.837456521739131,left,fixation,4.0,,479.261404255319,276.624638297872,,,,,0.0,,
18,2913460,24,,left,saccade,4.0,,,,482.833,276.689,391.208,152.769,,,
19,2913460,28,,right,saccade,,6.0,,,484.711,315.925,413.902,111.87299999999999,,,
20,2913488,2208,3.9628568840579717,left,fixation,5.0,,407.628112115733,159.167556962025,,,,,8.0,6.345610928957719,27.203415277738017
21,2913492,580,3.8791,right,fixation,,7.0,398.41754109589,126.20794520548,,,,,2.0,5.927061472667787,13.961239613947107
22,2914076,16,,right,saccade,,7.0,,,384.871,145.002,387.191,197.02700000000002,,,
23,2914096,1604,3.994006234413965,right,fixation,,8.0,416.45394278607,173.509450248756,,,,,4.0,7.618219888895867,25.08222936500905
24,2915700,24,,left,saccade,5.0,,,,434.783,174.898,496.92,287.812,,,
25,2915704,20,,right,saccade,,8.0,,,432.517,202.945,445.219,290.876,,,
26,2915728,184,4.139347826086957,left,fixation,6.0,,504.61046808510696,291.778170212766,,,,,0.0,,
27,2915728,184,4.139347826086957,right,fixation,,9.0,464.40448936170196,302.068063829787,,,,,0.0,,
28,2915916,24,,left,saccade,6.0,,,,501.275,295.123,431.526,229.878,,,
29,2915916,28,,right,saccade,,9.0,,,452.69599999999997,295.62,371.043,184.583,,,
30,2915944,5911,4.041395057549086,left,fixation,7.0,,419.9633887762,177.44817985125096,,,,,17.0,5.256483012659363,19.31980559946895
31,2915948,3787,4.084061310782241,right,fixation,,10.0,404.137501054852,172.739965189873,,,,,7.0,7.325250722536343,21.048426152180035
32,2919739,8,,right,saccade,,10.0,,,431.283,152.565,430.35400000000004,137.125,,,
33,2919751,1208,3.943829470198676,right,fixation,,11.0,416.317089108911,180.619716171617,,,,,6.0,6.882489063802725,18.15979205276484
34,2920963,8,,right,saccade,,11.0,,,424.01300000000003,219.722,445.955,198.47,,,
35,2920975,880,3.994193181818181,right,fixation,,12.0,424.112036199095,153.264253393665,,,,,3.0,7.921053059802159,28.75658275278944
36,2921859,32,,left,saccade,7.0,,,,419.55800000000005,145.175,562.1619999999998,259.44,,,
37,2921859,32,,right,saccade,,12.0,,,441.76599999999996,185.42,580.299,287.86,,,
38,2921895,169,4.043720930232558,right,fixation,,13.0,571.354860465116,294.047837209302,,,,,0.0,,
39,2921895,173,4.044272727272727,left,fixation,8.0,,582.916772727273,268.735818181818,,,,,0.0,,
40,2922068,28,,right,saccade,,13.0,,,560.34,305.5540000000001,708.023,301.365,,,
41,2922072,24,,left,saccade,8.0,,,,592.9830000000002,279.70099999999996,715.567,283.86,,,
42,2922100,232,4.043120689655171,left,fixation,9.0,,729.623220338983,283.51993220339,,,,,0.0,,
43,2922100,236,4.04243220338983,right,fixation,,14.0,714.195383333334,302.5893,,,,,0.0,,
44,2922336,39,,left,saccade,9.0,,,,734.32,292.435,443.085,210.771,,,
45,2922340,39,,right,saccade,,14.0,,,710.172,310.832,448.045,199.577,,,
46,2922379,552,3.8078369565217383,left,fixation,10.0,,444.130287769784,174.844949640288,,,,,0.0,,
47,2922383,540,3.8077185185185183,right,fixation,,15.0,450.13773529411696,166.839169117647,,,,,4.0,6.664872276425776,20.748131583406696
48,2922927,20,,right,saccade,,15.0,,,458.691,163.749,401.186,190.757,,,
49,2922935,12,,left,saccade,10.0,,,,430.17,176.645,402.684,198.798,,,
50,2922951,540,3.8557185185185188,right,fixation,,16.0,407.790470588235,216.165830882353,,,,,0.0,,
51,2922951,544,3.856308823529412,left,fixation,11.0,,394.568839416058,204.931335766423,,,,,1.0,4.520815511485613,17.086569960059247
52,2923495,60,,right,saccade,,16.0,,,393.036,186.128,919.074,189.89,,,
53,2923499,60,,left,saccade,11.0,,,,407.95,204.497,881.72,184.9,,,
54,2923559,28,3.9477857142857142,right,fixation,,17.0,936.163,212.010375,,,,,1.0,8.574612205354972,26.033627503673053
55,2923563,176,3.961386363636364,left,fixation,12.0,,878.3682,244.792777777778,,,,,2.0,8.740439259772698,35.80400147692643
56,2923591,4,,right,saccade,,17.0,,,930.357,245.52900000000002,927.567,246.449,,,
57,2923599,140,3.9636857142857145,right,fixation,,18.0,871.914611111111,271.37819444444403,,,,,0.0,,
58,2923743,16,,right,saccade,,18.0,,,859.128,261.663,930.329,285.341,,,
59,2923743,20,,left,saccade,12.0,,,,873.845,274.05400000000003,955.0139999999999,297.123,,,
60,2923763,220,4.004627272727274,right,fixation,,19.0,947.535660714286,320.022464285714,,,,,0.0,,
61,2923767,216,4.004814814814815,left,fixation,13.0,,966.0781272727272,310.90492727272704,,,,,0.0,,
62,2923987,28,,left,saccade,13.0,,,,962.738,319.83799999999997,1182.671,326.663,,,
63,2923987,28,,right,saccade,,19.0,,,963.498,314.848,1168.194,311.427,,,
64,2924019,552,3.908717391304348,right,fixation,,20.0,1191.04004316547,326.307755395684,,,,,0.0,,
65,2924019,556,3.9081043165467615,left,fixation,14.0,,1181.8862428571401,339.50785,,,,,1.0,4.118089052515075,10.108004946575708
66,2924575,40,,right,saccade,,20.0,,,1216.11,330.18199999999996,1506.418,319.409,,,
67,2924579,28,,left,saccade,14.0,,,,1189.1989999999996,335.80300000000005,1452.055,334.0130000000001,,,
68,2924611,412,3.771432038834951,left,fixation,15.0,,1457.27972115385,327.51129807692297,,,,,1.0,4.83912277690909,12.301635704246808
69,2924619,404,3.7710544554455447,right,fixation,,21.0,1490.7211960784302,319.28537254901903,,,,,1.0,7.475522540264282,34.431293963486226
70,2925027,48,,left,saccade,15.0,,,,1439.089,326.01599999999996,973.788,335.595,,,
71,2925027,52,,right,saccade,,21.0,,,1458.165,323.659,1013.9989999999999,317.157,,,
72,2925079,224,3.7929553571428576,left,fixation,16.0,,956.5955438596492,327.745719298246,,,,,2.0,5.272752588121362,16.65591217861442
73,2925083,220,3.7932818181818178,right,fixation,,22.0,972.551160714285,331.920785714286,,,,,0.0,,
74,2925307,32,,left,saccade,16.0,,,,949.41,331.784,689.4810000000001,329.05,,,
75,2925307,36,,right,saccade,,22.0,,,964.933,321.627,672.26,319.572,,,
76,2925343,412,3.8112669902912617,left,fixation,17.0,,695.3677019230769,312.202875,,,,,1.0,3.8745092915103263,9.795299791226356
77,2925347,412,3.811456310679612,right,fixation,,23.0,680.6327788461531,320.63972115384604,,,,,2.0,6.6649407588325085,22.58222128886241
78,2925759,28,,left,saccade,17.0,,,,704.216,303.314,494.119,290.514,,,
79,2925763,24,,right,saccade,,23.0,,,706.768,330.789,528.2869999999998,316.08099999999996,,,
80,2925791,544,3.85352205882353,left,fixation,18.0,,496.20495620438,300.216496350365,,,,,3.0,5.43627056802255,16.23185834464591
81,2925791,548,3.8543065693430663,right,fixation,,24.0,493.42301449275396,314.882956521739,,,,,0.0,,
82,2926339,32,,left,saccade,18.0,,,,508.264,310.782,386.981,148.065,,,
83,2926343,32,,right,saccade,,24.0,,,453.955,315.168,401.157,133.555,,,
84,2926375,2248,3.90752810290652,left,fixation,19.0,,412.374355239786,162.798294849023,,,,,8.0,5.842592475963907,20.446718169981587
85,2926379,732,3.920502732240437,right,fixation,,25.0,392.096853260869,153.76820652173902,,,,,1.0,6.7835215882968045,13.509892856717972
86,2927115,12,,right,saccade,,25.0,,,397.039,164.301,447.97,164.55200000000005,,,
87,2927131,1228,3.902399350649351,right,fixation,,26.0,412.590743506494,181.183272727273,,,,,1.0,9.54274881927516,39.437834119028345
88,2928363,20,,right,saccade,,26.0,,,378.67400000000004,164.03599999999997,454.779,162.175,,,
89,2928387,236,3.8855019138755984,right,fixation,,27.0,461.5209,165.23865,,,,,0.0,,
90,2928627,40,,left,saccade,19.0,,,,431.458,153.017,414.726,147.922,,,
91,2928627,40,,right,saccade,,27.0,,,450.795,173.293,477.045,145.064,,,
92,2928783,800,3.8034766352296927,left,fixation,20.0,,444.14984079602004,144.132482587065,,,,,3.0,5.447129389086489,21.698081156469026
93,2928787,792,3.803366034271726,right,fixation,,28.0,452.07498492462304,112.959346733668,,,,,1.0,6.013122624264731,12.603788359060905
94,2929583,16,,right,saccade,,28.0,,,422.974,147.241,390.50199999999995,176.551,,,
95,2929587,0,,left,saccade,20.0,,,,421.80199999999996,190.886,421.80199999999996,190.886,,,
96,2929591,1544,3.951009067357513,left,fixation,21.0,,407.428441860465,168.738927648579,,,,,5.0,5.687254263693032,23.58972521177073
97,2929603,468,3.89635593220339,right,fixation,,29.0,381.610686440678,198.758644067797,,,,,1.0,5.732701927441262,18.941925060563452
98,2930075,24,,right,saccade,,29.0,,,404.27,206.6,403.961,111.926,,,
99,2930103,564,3.953723404255319,right,fixation,,30.0,410.143133802817,121.43932394366199,,,,,3.0,7.840912250372808,24.902569014819765
100,2930671,4,,right,saccade,,30.0,,,450.37699999999995,168.516,449.995,177.40900000000005,,,
101,2930679,460,4.009131578947369,right,fixation,,31.0,439.92518103448197,213.988543103448,,,,,1.0,6.79124940436018,38.71572807012676
102,2931139,28,,left,saccade,21.0,,,,447.72900000000004,154.47299999999996,477.595,295.933,,,
103,2931143,20,,right,saccade,,31.0,,,429.06800000000004,223.88,438.55800000000005,329.26199999999994,,,
104,2931167,176,4.106261363636364,right,fixation,,32.0,441.4768666666671,331.609688888889,,,,,0.0,,
105,2931171,172,4.106848837209301,left,fixation,22.0,,505.91170454545403,309.49604545454497,,,,,0.0,,
106,2931347,52,,left,saccade,22.0,,,,506.945,307.884,1204.485,280.02099999999996,,,
107,2931347,52,,right,saccade,,32.0,,,443.713,332.041,1161.876,304.295,,,
108,2931403,1940,3.991725823045268,left,fixation,23.0,,1197.40613374486,298.799491769547,,,,,2.0,4.559276337659959,15.142462628335323
109,2931403,1944,3.9916545174537994,right,fixation,,33.0,1183.00787063655,315.11228952772,,,,,2.0,8.11092093149347,23.693509205187784
110,2933347,56,,left,saccade,23.0,,,,1183.6889999999999,269.509,415.32800000000003,410.88800000000003,,,
111,2933351,52,,right,saccade,,33.0,,,1180.238,312.296,399.91,418.269,,,
112,2933407,1264,3.834868670886076,right,fixation,,34.0,426.9228801261831,444.947735015773,,,,,3.0,6.387498316847501,15.101823233723884
113,2933407,1268,3.8344984227129335,left,fixation,24.0,,449.003610062893,423.053578616353,,,,,3.0,5.9248192550344525,15.641810212950931
114,2934675,12,,right,saccade,,34.0,,,439.538,474.402,392.048,488.097,,,
115,2934679,12,,left,saccade,24.0,,,,449.849,454.36699999999996,422.561,485.63199999999995,,,
116,2934691,2755,3.6868713662790698,right,fixation,,35.0,406.379844927536,467.80098840579694,,,,,8.0,7.8394799048811485,25.54520756320297
117,2934695,2759,3.687335994194485,left,fixation,25.0,,416.052480463097,427.8676526772789,,,,,15.0,5.6987740235019375,17.82217867241739
118,2937450,16,,right,saccade,,35.0,,,430.099,465.593,463.963,403.55800000000005,,,
119,2937458,8,,left,saccade,25.0,,,,437.702,418.847,451.665,409.702,,,
120,2937470,996,3.8348534136546175,right,fixation,,36.0,460.33764,443.985632,,,,,3.0,6.283141330043282,31.48224670732323
121,2937470,1000,3.8347620000000004,left,fixation,26.0,,482.060310756973,401.47126693227096,,,,,1.0,4.93909548624262,15.873634145966639
122,2938470,28,,right,saccade,,36.0,,,446.69,474.667,606.0790000000002,555.778,,,
123,2938474,24,,left,saccade,26.0,,,,499.728,445.721,596.595,495.926,,,
124,2938502,148,3.8979324324324316,right,fixation,,37.0,593.224131578948,559.26002631579,,,,,0.0,,
125,2938502,152,3.898960526315789,left,fixation,27.0,,619.958025641026,527.632,,,,,0.0,,
126,2938654,20,,right,saccade,,37.0,,,579.18,557.174,710.939,566.909,,,
127,2938658,16,,left,saccade,27.0,,,,639.286,535.737,719.6030000000003,536.5369999999998,,,
128,2938678,240,3.960716666666667,left,fixation,28.0,,751.164393442623,534.7666885245901,,,,,0.0,,
129,2938678,240,3.960716666666667,right,fixation,,38.0,708.387131147541,573.901770491804,,,,,0.0,,
130,2938922,32,,left,saccade,28.0,,,,736.6060000000001,529.039,503.163,480.556,,,
131,2938922,32,,right,saccade,,38.0,,,697.3489999999997,576.4680000000002,481.316,513.0369999999998,,,
132,2938958,1676,3.8575417661097853,right,fixation,,39.0,461.97460952381,493.766804761905,,,,,2.0,8.638683001199716,29.66373038515253
133,2938958,2556,3.844553208137715,left,fixation,29.0,,470.1272953125,450.0845828125,,,,,5.0,5.9522111466850625,21.68305523722869
