,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
0,2587915,20,,right,saccade,,1.0,,,632.5369999999998,351.205,604.936,413.57199999999995,,,
1,2587915,209,3.69875,left,fixation,1.0,,601.388452830189,468.5986037735849,,,,,1.0,53.920293130230675,73.78816981061397
2,2587939,185,3.702364583333333,right,fixation,,1.0,603.235510638297,427.91755319149,,,,,1.0,6.2601781524170885,12.36725547565026
3,2588128,28,,left,saccade,1.0,,,,603.82,479.334,425.787,171.403,,,
4,2588128,32,,right,saccade,,2.0,,,606.029,440.916,427.212,152.931,,,
5,2588160,303,3.7177544618113294,left,fixation,2.0,,407.99653246753195,159.519181818182,,,,,0.0,,
6,2588164,295,3.718549292586304,right,fixation,,2.0,414.12788,136.003093333333,,,,,0.0,,
7,2588463,40,,right,saccade,,3.0,,,419.25300000000004,129.945,408.12,132.821,,,
8,2588467,40,,left,saccade,2.0,,,,398.11800000000005,152.72899999999996,389.615,155.42700000000005,,,
9,2588615,244,3.75937427353876,right,fixation,,3.0,427.625548387097,165.299193548387,,,,,0.0,,
10,2588627,232,3.75937427353876,left,fixation,3.0,,390.726847457627,181.391118644068,,,,,0.0,,
11,2588863,36,,left,saccade,3.0,,,,380.876,186.74900000000002,665.6669999999998,274.853,,,
12,2588863,36,,right,saccade,,4.0,,,427.472,158.592,702.585,213.801,,,
13,2588903,124,3.796193548387096,left,fixation,4.0,,666.82525,298.46,,,,,0.0,,
14,2588903,124,3.796193548387096,right,fixation,,4.0,695.69959375,248.32159375,,,,,0.0,,
15,2589031,36,,left,saccade,4.0,,,,678.3660000000001,307.813,408.26800000000003,147.041,,,
16,2589031,36,,right,saccade,,5.0,,,697.862,257.536,430.889,134.239,,,
17,2589071,1516,3.7004182058047497,left,fixation,5.0,,403.063200000001,176.77750789473703,,,,,2.0,6.913456539063513,22.58362887013521
18,2589071,1520,3.700525,right,fixation,,5.0,423.23562467191596,143.619228346457,,,,,2.0,7.476643371627842,33.64692546255755
19,2590591,36,,left,saccade,5.0,,,,429.231,177.035,711.658,290.155,,,
20,2590595,32,,right,saccade,,6.0,,,465.445,130.986,747.137,218.708,,,
21,2590631,336,3.7177738095238095,left,fixation,6.0,,715.866458823529,322.864894117647,,,,,0.0,,
22,2590631,336,3.7177738095238095,right,fixation,,6.0,741.7690235294119,265.70368235294103,,,,,1.0,8.980067305179611,28.35929189877644
23,2590971,40,,right,saccade,,7.0,,,743.966,270.628,1251.3980000000001,273.79400000000004,,,
24,2590971,44,,left,saccade,6.0,,,,705.209,338.0,1207.4,312.7920000000001,,,
25,2591015,732,3.5732336956521737,right,fixation,,7.0,1222.578125,265.464532608696,,,,,0.0,,
26,2591019,728,3.572560109289618,left,fixation,7.0,,1193.5733661202198,311.007491803279,,,,,1.0,6.527474279705907,14.892156660470636
27,2591751,53,,left,saccade,7.0,,,,1159.9589999999996,296.171,377.74800000000016,449.792,,,
28,2591751,57,,right,saccade,,8.0,,,1200.251,260.923,409.582,419.344,,,
29,2591808,1339,3.429866766467065,left,fixation,8.0,,405.389348214286,448.421148809523,,,,,0.0,,
30,2591812,1335,3.429917417417417,right,fixation,,8.0,415.60869253731397,409.642104477612,,,,,2.0,5.525491220986483,14.998403183727438
31,2593151,16,,left,saccade,8.0,,,,436.449,464.719,467.116,504.175,,,
32,2593151,20,,right,saccade,,9.0,,,456.985,424.055,484.24,514.026,,,
33,2593171,132,3.4968181818181816,left,fixation,9.0,,483.307911764706,534.433323529412,,,,,0.0,,
34,2593175,128,3.49740625,right,fixation,,9.0,492.231787878788,512.539,,,,,0.0,,
35,2593307,24,,left,saccade,9.0,,,,477.075,529.975,373.18800000000016,478.028,,,
36,2593307,24,,right,saccade,,10.0,,,483.455,507.655,391.779,430.098,,,
37,2593335,604,3.5023874172185425,left,fixation,10.0,,377.016532894737,442.608723684211,,,,,0.0,,
38,2593335,608,3.5022993421052635,right,fixation,,10.0,394.496594771242,417.707183006536,,,,,0.0,,
39,2593943,40,,left,saccade,10.0,,,,381.84,441.741,502.723,615.29,,,
40,2593947,24,,right,saccade,,11.0,,,395.344,420.333,524.79,596.746,,,
41,2593975,156,3.513602564102564,right,fixation,,11.0,526.975275,614.027775,,,,,1.0,7.141415647085978,21.02748777196161
42,2593987,144,3.5150833333333336,left,fixation,11.0,,520.516783783784,616.143702702703,,,,,0.0,,
43,2594135,48,,right,saccade,,12.0,,,535.766,618.618,1320.219,554.6030000000002,,,
44,2594135,52,,left,saccade,11.0,,,,511.60900000000004,618.1419999999998,1256.519,569.962,,,
45,2594187,156,3.5877051282051275,right,fixation,,12.0,1308.256875,543.644775,,,,,0.0,,
46,2594191,144,3.5869722222222222,left,fixation,12.0,,1260.76543243243,571.270486486486,,,,,0.0,,
47,2594339,12,,left,saccade,12.0,,,,1252.8210000000001,574.658,1199.499,577.071,,,
48,2594347,4,,right,saccade,,13.0,,,1268.26,552.188,1255.046,552.188,,,
49,2594355,156,3.6388717948717964,left,fixation,13.0,,1187.50575,577.665075,,,,,0.0,,
50,2594355,156,3.6388717948717964,right,fixation,,13.0,1225.418025,554.8285,,,,,0.0,,
51,2594515,32,,left,saccade,13.0,,,,1181.713,582.159,802.056,584.919,,,
52,2594515,32,,right,saccade,,14.0,,,1218.246,566.346,852.205,548.29,,,
53,2594551,120,3.63355,left,fixation,14.0,,811.325096774194,578.059225806452,,,,,0.0,,
54,2594551,120,3.63355,right,fixation,,14.0,838.580580645161,544.640290322581,,,,,0.0,,
55,2594675,20,,left,saccade,14.0,,,,815.8860000000003,585.939,707.0980000000003,587.734,,,
