,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
52,2229928,56,,left,saccade,1.0,,,,1407.297,319.212,627.299,524.499,,,
53,2229928,60,,right,saccade,1.0,14.0,,,1439.842,267.88599999999997,651.335,491.727,,,
54,2229988,140,2.906228571428572,left,fixation,1.0,,626.476666666667,529.221138888889,,,,,0.0,,
55,2229992,136,2.9053088235294124,right,fixation,1.0,15.0,630.456914285714,517.793971428571,,,,,1.0,6.346639465102753,16.25408640926948
56,2230132,28,,right,saccade,2.0,15.0,,,632.4830000000002,534.703,422.981,475.57199999999995,,,
57,2230132,44,,left,saccade,2.0,,,,636.643,532.658,424.92,478.314,,,
58,2230164,1376,2.8561125198098254,right,fixation,2.0,16.0,407.942753623189,423.702026086957,,,,,6.0,5.63349654207298,18.02848663488477
59,2230180,1360,2.8554799357945417,left,fixation,2.0,,426.54237243401803,440.349583577712,,,,,5.0,9.190095032697142,28.79300361447155
60,2231544,40,,left,saccade,3.0,,,,425.031,417.73400000000004,637.377,438.655,,,
61,2231544,40,,right,saccade,3.0,16.0,,,385.783,428.414,651.757,443.435,,,
62,2231696,4,,left,fixation,3.0,,640.9495,465.1445,,,,,0.0,,
63,2231696,328,2.855858102766798,right,fixation,3.0,17.0,654.655361445783,529.707048192771,,,,,1.0,5.0017438209088745,6.309948969682695
64,2231704,0,,left,saccade,4.0,,,,641.597,468.426,641.597,468.426,,,
65,2231708,328,2.855344477836214,left,fixation,4.0,,655.749903614458,538.0784337349401,,,,,1.0,15.466532622443586,35.705202212002725
66,2232028,16,,right,saccade,4.0,17.0,,,673.097,551.7909999999998,752.62,552.601,,,
67,2232040,0,,left,saccade,5.0,,,,720.052,561.615,720.052,561.615,,,
68,2232044,120,2.8331500000000007,left,fixation,5.0,,753.295322580645,550.208870967742,,,,,1.0,6.599050666152269,19.770263554135965
69,2232048,116,2.8325172413793105,right,fixation,4.0,18.0,770.5601,542.221366666667,,,,,0.0,,
70,2232168,28,,left,saccade,6.0,,,,769.322,563.413,979.058,555.203,,,
71,2232168,28,,right,saccade,5.0,18.0,,,771.561,548.716,958.85,571.572,,,
72,2232200,176,2.809045454545455,left,fixation,6.0,,993.465422222222,542.130955555556,,,,,0.0,,
73,2232200,176,2.809045454545455,right,fixation,5.0,19.0,988.109888888889,560.436511111111,,,,,0.0,,
74,2232380,48,,left,saccade,7.0,,,,983.422,548.305,439.338,492.35699999999997,,,
75,2232380,52,,right,saccade,6.0,19.0,,,983.051,563.819,416.787,442.81699999999995,,,
76,2232432,472,2.7923559322033893,left,fixation,7.0,,428.228798319327,474.116857142857,,,,,1.0,5.0817312475397936,11.220665577406681
77,2232436,464,2.7923232758620693,right,fixation,6.0,20.0,405.316547008547,446.103136752137,,,,,1.0,3.7003529749050776,9.45959518161328
78,2232904,48,,right,saccade,7.0,20.0,,,398.92900000000003,439.336,1021.745,516.9780000000002,,,
79,2232908,40,,left,saccade,8.0,,,,431.11800000000005,486.49699999999996,983.988,509.69599999999997,,,
80,2232952,188,2.7957127659574463,left,fixation,8.0,,1029.3615833333301,541.0840000000002,,,,,1.0,6.747572026292104,16.9072283949795
81,2232956,184,2.7960326086956524,right,fixation,7.0,21.0,1040.40363829787,515.121489361702,,,,,0.0,,
82,2233144,32,,left,saccade,9.0,,,,1037.114,542.414,741.077,542.321,,,
83,2233144,40,,right,saccade,8.0,21.0,,,1051.726,505.286,736.2,531.29,,,
84,2233180,116,2.8216724137931037,left,fixation,9.0,,709.1448,521.067566666666,,,,,0.0,,
85,2233188,108,2.821648148148149,right,fixation,8.0,22.0,713.1136071428571,533.085785714286,,,,,1.0,6.998568250403456,18.649184700677935
86,2233300,32,,left,saccade,10.0,,,,688.775,515.993,1067.46,565.2869999999998,,,
87,2233300,36,,right,saccade,9.0,22.0,,,715.192,534.091,1109.121,546.83,,,
88,2233336,112,2.8359821428571435,left,fixation,10.0,,1094.54103448276,553.03575862069,,,,,1.0,7.269142001945222,47.27892826619486
89,2233340,128,2.8361129032258066,right,fixation,9.0,23.0,1115.27406060606,567.6467272727269,,,,,0.0,,
90,2233452,20,,left,saccade,11.0,,,,1094.382,566.134,1176.519,563.1080000000002,,,
91,2233472,0,,right,saccade,10.0,23.0,,,1160.739,572.393,1160.739,572.393,,,
92,2233476,284,2.8459722222222226,left,fixation,11.0,,1193.86106944444,590.879083333333,,,,,1.0,4.631303878079208,9.041221875388436
93,2233476,284,2.8459722222222226,right,fixation,10.0,24.0,1191.71461111111,568.7307083333329,,,,,1.0,4.030680742753008,5.790289802764832
94,2233764,48,,right,saccade,11.0,24.0,,,1198.509,562.399,473.431,444.277,,,
95,2233764,52,,left,saccade,12.0,,,,1187.8,610.276,473.36699999999996,473.81199999999995,,,
96,2233816,1179,2.831527210884353,right,fixation,11.0,25.0,409.36417905405403,414.43057432432505,,,,,3.0,4.380455953203134,9.245946898640916
97,2233820,339,2.8288095238095243,left,fixation,12.0,,444.10734883720886,428.539197674418,,,,,1.0,6.297288962543951,34.61752754025046
98,2234163,20,,left,saccade,13.0,,,,462.327,427.72900000000004,381.705,420.916,,,
99,2234187,592,2.8354391891891892,left,fixation,13.0,,409.430026845638,427.499993288591,,,,,3.0,5.693412221488856,29.487574084303947
100,2234783,12,,left,saccade,14.0,,,,401.17699999999996,415.351,407.13300000000004,456.977,,,
101,2234799,200,2.82477,left,fixation,14.0,,424.90096078431395,480.3598431372551,,,,,0.0,,
102,2234999,52,,right,saccade,12.0,25.0,,,386.713,425.36199999999997,1112.256,497.295,,,
103,2235003,48,,left,saccade,15.0,,,,400.966,468.952,1135.319,483.93699999999995,,,
104,2235055,1000,2.826823705179283,left,fixation,15.0,,1203.8861394422302,546.165051792828,,,,,3.0,7.712523108957909,21.698911906662435
105,2235055,1000,2.826823705179283,right,fixation,12.0,26.0,1181.63094820717,542.2464501992031,,,,,1.0,8.341840585932465,51.886006745557005
