,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
66,3036930,48,,left,saccade,1.0,,,,1203.263,236.78900000000002,504.08,395.09,,,
67,3036930,52,,right,saccade,1.0,17.0,,,1199.7730000000001,227.024,502.569,387.593,,,
68,3036982,375,3.2165268817204304,left,fixation,1.0,,453.760652631579,386.783042105263,,,,,1.0,8.904053441800773,30.211767591453476
69,3036986,119,3.2078103448275863,right,fixation,1.0,18.0,495.57277419354796,412.110935483871,,,,,0.0,,
70,3037109,12,,right,saccade,2.0,18.0,,,495.035,419.539,446.265,412.55800000000005,,,
71,3037125,228,3.2215877192982454,right,fixation,2.0,19.0,428.703775862069,395.0789310344831,,,,,0.0,,
72,3037357,16,,right,saccade,3.0,19.0,,,430.01300000000003,400.904,503.355,401.25699999999995,,,
73,3037361,12,,left,saccade,2.0,,,,432.98400000000004,377.587,484.55699999999996,377.792,,,
74,3037377,713,3.1396452513966477,left,fixation,2.0,,503.554597765363,389.501541899442,,,,,3.0,7.5676954145247635,23.67225442062711
75,3037377,713,3.1396452513966477,right,fixation,3.0,20.0,516.435055865922,398.24444134078203,,,,,4.0,7.0151803892340485,26.61884444095304
76,3038094,16,,right,saccade,4.0,20.0,,,539.799,405.283,497.466,459.955,,,
77,3038094,20,,left,saccade,3.0,,,,531.139,399.659,491.481,463.211,,,
78,3038114,160,3.122175,right,fixation,4.0,21.0,487.208512195122,479.912902439024,,,,,1.0,4.756156390522817,6.495815961062927
79,3038118,156,3.1221794871794875,left,fixation,3.0,,472.81055,492.651925,,,,,0.0,,
80,3038277,28,,left,saccade,4.0,,,,468.522,503.249,659.1060000000001,492.36199999999997,,,
81,3038277,28,,right,saccade,5.0,21.0,,,487.074,484.07300000000004,701.701,483.67400000000004,,,
82,3038309,1504,3.0887904509283826,left,fixation,4.0,,716.383607427055,491.3682254641909,,,,,4.0,4.768539196808557,14.600610658832188
83,3038309,1504,3.0887904509283826,right,fixation,5.0,22.0,735.468618037134,488.001697612732,,,,,7.0,4.314758409250676,11.27818324071916
